ID,Persoonskenmerken,TotaalAantalKinderenVan0TM12Jaar_1,TotaalKinderopvangAantal_2,TotaalKinderopvang_3,PeuterspeelzaalAantal_4,Peuterspeelzaal_5,KinderdagverblijfAantal_6,Kinderdagverblijf_7,GastouderAantal_8,Gastouder_9,BuitenschoolseOpvangAantal_10,BuitenschoolseOpvang_11,OverbijvenAantal_12,Overbijven_13,OppasEldersAantal_14,OppasElders_15,OppasThuisAantal_16,OppasThuis_17,GeenOpvang_18,EenSoort_19,TweeSoorten_20,DrieOfMeerSoorten_21,k_1Dag_22,k_2Dagen_23,k_3OfMeerDagen_24,k_1Dag_25,k_2Dagen_26,k_3OfMeerDagen_27,k_1Dag_28,k_2Dagen_29,k_3OfMeerDagen_30,k_1Dag_31,k_2Dagen_32,k_3OfMeerDagen_33,k_1Dag_34,k_2Dagen_35,k_3OfMeerDagen_36,k_1Dag_37,k_2Dagen_38,k_3OfMeerDagen_39,k_1Dag_40,k_2Dagen_41,k_3OfMeerDagen_42,k_18Uren_43,k_916Uren_44,k_17OfMeerUren_45,k_18Uren_46,k_9OfMeerUren_47,k_18Uren_48,k_916Uren_49,k_17OfMeerUren_50,k_18Uren_51,k_9OfMeerUren_52,k_18Uren_53,k_9OfMeerUren_54,k_18Uren_55,k_9OfMeerUren_56,k_18Uren_57,k_916Uren_58,k_17OfMeerUren_59,k_18Uren_60,k_9OfMeerUren_61,Werk_62,Studie_63,OverigeActiviteitenOuders_64,OntwikkelingKind_65,AndereReden_66,Werk_67,Studie_68,OverigeActiviteitenOuders_69,OntwikkelingKind_70,AndereReden_71,Werk_72,Studie_73,OverigeActiviteitenOuders_74,OntwikkelingKind_75,AndereReden_76,Werk_77,Studie_78,OverigeActiviteitenOuders_79,OntwikkelingKind_80,AndereReden_81,Werk_82,Studie_83,OverigeActiviteitenOuders_84,OntwikkelingKind_85,AndereReden_86,Werk_87,Studie_88,OverigeActiviteitenOuders_89,OntwikkelingKind_90,AndereReden_91,Werk_92,Studie_93,OverigeActiviteitenOuders_94,OntwikkelingKind_95,AndereReden_96,Werk_97,Studie_98,OverigeActiviteitenOuders_99,OntwikkelingKind_100,AndereReden_101,GeenBehoefte_102,JaZeker_103,Enigszins_104,NietMatigTevreden_105,Tevreden_106,ZeerTevreden_107,NietMatigTevreden_108,Tevreden_109,ZeerTevreden_110,NietMatigTevreden_111,Tevreden_112,ZeerTevreden_113,NietMatigTevreden_114,Tevreden_115,ZeerTevreden_116,NietMatigTevreden_117,ZeerTevreden_118,Tevreden_119,NietMatigTevreden_120,Tevreden_121,ZeerTevreden_122,NietMatigTevreden_123,Tevreden_124,ZeerTevreden_125,TotaalKinderopvang_126,Peuterspeelzaal_127,Kinderdagverblijf_128,Gastouder_129,BuitenschoolseOpvang_130,Overblijven_131,OppasElders_132,OppasThuis_133
0,10,2712,1544,57,217.0,8.0,201.0,7.0,74,3,123.0,5.0,579.0,21.0,602,22,484,18,43,35,18,4,12.0,72.0,16.0,12.0,46.0,41.0,32.0,36.0,33.0,22.0,43.0,36.0,25.0,23.0,52.0,50,31,20,58,27,16,54,22,24,87.0,13.0,12.0,35.0,54.0,40.0,60.0,72.0,28.0,99.0,1.0,66,21,12,71,29,74,4,11,17,11,50.0,3.0,13.0,51.0,5.0,93.0,4.0,9.0,25.0,3.0,95.0,5.0,5.0,10.0,1.0,89.0,7.0,6.0,11.0,5.0,68.0,4.0,9.0,10.0,19.0,85.0,4.0,13.0,13.0,5.0,82,5,18,12,6,2563,75,75,5.0,71.0,24.0,5.0,74.0,21.0,5.0,52.0,43.0,6.0,75.0,19.0,16.0,72.0,12.0,2.0,38.0,60.0,2.0,40.0,60.0,109.0,32.0,247.0,145.0,94.0,10.0,28.0,42.0
1,11,436,264,61,,,99.0,23.0,18,4,,,,,136,31,95,22,40,43,16,2,,,,11.0,50.0,39.0,34.0,35.0,31.0,,,,,,,47,35,19,64,28,8,23,29,49,,,10.0,37.0,53.0,28.0,72.0,,,,,46,32,22,63,37,87,3,16,17,4,,,,,,95.0,4.0,11.0,24.0,1.0,98.0,4.0,6.0,12.0,2.0,,,,,,,,,,,84.0,4.0,19.0,18.0,5.0,81,3,20,17,5,397,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,453,365,81,217.0,48.0,94.0,21.0,21,5,,,,,141,31,95,21,19,43,30,7,12.0,72.0,16.0,13.0,43.0,44.0,28.0,38.0,34.0,,,,,,,51,34,16,59,25,17,31,25,45,87.0,13.0,11.0,33.0,56.0,25.0,75.0,,,,,48,34,18,62,38,66,4,12,38,5,50.0,3.0,13.0,51.0,5.0,93.0,5.0,8.0,24.0,4.0,96.0,3.0,11.0,20.0,1.0,,,,,,,,,,,84.0,5.0,16.0,21.0,5.0,81,4,18,20,8,429,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,613,363,59,,,8.0,1.0,17,3,64.0,11.0,205.0,34.0,139,23,127,21,41,33,21,5,,,,,,,,,,22.0,42.0,36.0,27.0,26.0,46.0,51,27,22,60,29,11,65,23,11,,,,,,,,72.0,29.0,99.0,1.0,78,16,6,78,23,77,3,12,12,11,,,,,,,,,,,,,,,,94.0,2.0,7.0,16.0,6.0,74.0,3.0,10.0,15.0,13.0,84.0,5.0,12.0,13.0,6.0,82,5,21,9,5,575,16,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,14,619,334,54,,,,,13,2,46.0,8.0,227.0,37.0,116,19,110,18,46,31,18,5,,,,,,,,,,22.0,43.0,35.0,24.0,24.0,52.0,49,29,23,51,24,25,72,18,9,,,,,,,,71.0,29.0,100.0,1.0,84,11,5,76,24,76,5,8,7,14,,,,,,,,,,,,,,,,86.0,11.0,3.0,4.0,4.0,71.0,4.0,8.0,7.0,18.0,90.0,3.0,7.0,5.0,4.0,86,6,12,6,6,588,13,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,15,592,217,37,,,,,5,1,12.0,2.0,146.0,25.0,70,12,56,10,63,27,8,2,,,,,,,,,,,,,23.0,16.0,61.0,50,30,20,52,28,21,82,12,6,,,,,,,,,,99.0,1.0,92,3,5,78,22,63,5,9,5,25,,,,,,,,,,,,,,,,74.0,13.0,14.0,7.0,3.0,56.0,4.0,9.0,6.0,31.0,83.0,6.0,9.0,5.0,9.0,75,9,16,5,8,574,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16,262,153,59,12.0,5.0,20.0,8.0,5,2,19.0,7.0,72.0,27.0,70,27,46,18,42,31,21,6,,,,,,,,,,,,,9.0,14.0,77.0,49,21,30,41,28,31,45,23,33,,,,,,,,,,100.0,0.0,53,26,21,68,32,63,11,7,17,18,,,,,,,,,,,,,,,,,,,,,58.0,10.0,6.0,10.0,25.0,76.0,10.0,9.0,16.0,12.0,78,10,6,15,4,228,16,17,15.0,74.0,11.0,,,,,,,,,,25.0,63.0,11.0,7.0,45.0,48.0,,,,98.0,22.0,168.0,143.0,89.0,11.0,27.0,42.0
7,17,2451,1391,57,204.0,8.0,181.0,7.0,69,3,104.0,4.0,507.0,21.0,532,22,438,18,43,35,18,4,11.0,74.0,14.0,12.0,49.0,39.0,34.0,39.0,28.0,24.0,46.0,30.0,27.0,24.0,49.0,50,32,18,59,27,14,55,22,23,88.0,12.0,11.0,37.0,53.0,43.0,57.0,78.0,22.0,99.0,1.0,68,21,11,72,29,75,3,12,17,10,51.0,3.0,12.0,50.0,5.0,95.0,3.0,10.0,24.0,2.0,95.0,6.0,5.0,11.0,1.0,93.0,3.0,6.0,12.0,2.0,70.0,3.0,9.0,10.0,19.0,86.0,4.0,14.0,13.0,5.0,82,5,19,11,6,2335,59,57,4.0,71.0,25.0,5.0,76.0,19.0,5.0,54.0,41.0,7.0,76.0,17.0,14.0,73.0,12.0,1.0,37.0,62.0,2.0,40.0,58.0,110.0,33.0,256.0,145.0,95.0,10.0,28.0,42.0
8,18,494,353,72,48.0,10.0,82.0,17.0,15,3,19.0,4.0,76.0,15.0,197,40,81,16,29,43,24,4,17.0,67.0,16.0,12.0,46.0,43.0,,,,,,,15.0,18.0,67.0,42,33,25,64,26,10,34,28,38,84.0,17.0,12.0,41.0,48.0,,,,,100.0,0.0,49,32,19,68,32,78,4,12,16,9,60.0,5.0,18.0,43.0,2.0,90.0,8.0,7.0,21.0,4.0,,,,,,,,,,,66.0,5.0,11.0,9.0,21.0,85.0,3.0,14.0,13.0,6.0,84,3,14,11,6,449,28,17,7.0,66.0,26.0,3.0,75.0,22.0,,,,,,,21.0,67.0,12.0,2.0,36.0,62.0,2.0,30.0,69.0,121.0,29.0,233.0,140.0,115.0,10.0,30.0,26.0
9,19,1319,782,59,118.0,9.0,101.0,8.0,39,3,77.0,6.0,297.0,23.0,302,23,245,19,41,35,20,5,12.0,73.0,16.0,12.0,49.0,39.0,31.0,33.0,36.0,24.0,50.0,26.0,28.0,24.0,48.0,52,31,17,59,27,14,55,22,23,88.0,12.0,10.0,32.0,58.0,33.0,67.0,76.0,34.0,99.0,1.0,72,19,9,71,29,77,3,9,18,9,50.0,2.0,10.0,52.0,5.0,97.0,2.0,9.0,26.0,1.0,97.0,3.0,14.0,13.0,1.0,91.0,6.0,3.0,10.0,3.0,75.0,3.0,7.0,9.0,15.0,86.0,4.0,11.0,14.0,5.0,85,3,15,11,6,1243,35,42,5.0,72.0,24.0,7.0,74.0,20.0,7.0,50.0,43.0,7.0,74.0,20.0,15.0,73.0,12.0,2.0,36.0,62.0,1.0,43.0,56.0,113.0,33.0,267.0,156.0,90.0,10.0,26.0,48.0
