ID,Perioden,TotaalBedrijvenOrganisaties_1,TotaalWerkzamePersonen_2,TotaalWerknemers_3,UitgeleendPersoneel_4,GesubsidieerdeWerknemers_5,NietGesubsidieerdeWerknemers_6,WerknemersWerkzaamInDeTechniek_7,WerknemersNietWerkzaamInDeTechniek_8,IngeleendPersoneel_9,VrijwilligersStagiaires_10,OverigeWerkzamePersonen_11,Werknemers_12,WerkzamePersonen_13,TotaleBaten_14,TotaalBedrijfsomzet_15,PublieksgebondenInkomsten_16,VerhuurVoorNietTheatraleEvenementen_17,OmzetHorecaPachtopbrengsten_18,InkomstenUitSponsoring_19,TotaalSubsidies_20,SubsidiesVanGemeente_21,OverigeSubsidies_22,OverigeBedrijfsopbrengstenEnBaten_23,TotaleLasten_24,TotaalPersoneelskosten_25,ArbeidskostenWerknemers_26,OverigePersoneelskosten_27,TotaalInkoopwaardeOmzet_28,DirecteVoorstellingskosten_29,OverigeInkoop_30,OverigeBedrijfskostenEnLasten_31,OverigeLasten_32
0,2002JJ00,296,,8.0,,0.6,7.4,1.9,6.1,,,,4.8,,525594,262988,177020,21071,57723,7174,239712,183681,56031,22893,552463,208008,189183.0,18825.0,169172,149963.0,19209.0,157401,17881
1,2003JJ00,291,16.4,7.7,0.0,0.4,7.2,1.6,6.1,1.6,4.0,3.2,4.9,6.6,541179,262929,181952,19894,54166,6917,258978,195476,63501,19272,517708,178860,162987.0,15874.0,174300,155656.0,18644.0,149913,14634
2,2004JJ00,290,16.5,8.2,0.0,0.5,7.7,2.0,6.2,1.4,3.8,3.1,5.1,6.6,598839,300812,207928,24565,60618,7701,273184,206201,66983,24843,546283,194546,176151.0,18395.0,173691,154094.0,19597.0,163304,14742
3,2005JJ00,317,16.8,9.6,0.0,0.5,9.1,1.5,8.2,1.9,5.1,0.2,5.8,7.0,658044,336859,239737,22061,65294,9767,296990,231136,65854,24195,635763,219665,199452.0,20213.0,211660,189192.0,22468.0,185580,18859
4,2006JJ00,318,17.7,9.7,0.0,0.3,9.4,1.5,8.2,1.8,5.9,0.2,5.7,7.4,722128,371891,258551,24527,78403,10410,321216,262800,58416,29022,695319,224200,202304.0,21896.0,242840,215277.0,27564.0,210491,17789
5,2007JJ00,321,18.0,9.9,0.0,0.3,9.7,1.6,8.4,2.1,5.7,0.2,5.8,7.2,740814,377831,263299,25982,78508,10042,325962,257374,68588,37020,714761,240086,214330.0,25756.0,245575,217317.0,28258.0,208850,20321
6,2008JJ00,319,18.0,10.1,0.0,0.2,9.9,1.5,8.6,2.1,5.6,0.3,6.0,7.4,768619,413820,284113,28180,89953,11491,324576,262180,62398,30222,737945,245423,216133.0,29290.0,263724,232540.0,31185.0,205799,23004
7,2009JJ00,319,19.2,10.4,0.0,0.3,10.1,1.4,8.9,2.2,6.4,0.3,6.2,7.6,759895,396162,273163,25417,85640,11942,327560,279999,47561,36177,727924,235743,207927.0,27815.0,260522,230517.0,30005.0,212500,19157
8,2010JJ00,324,19.8,10.3,0.0,0.4,9.9,1.3,9.1,2.2,6.9,0.4,6.1,7.5,824521,401227,268964,31063,89248,11952,367092,306534,60558,56202,800698,281741,250056.0,31683.0,264161,230756.0,33405.0,230139,24657
9,2011JJ00,329,21.8,10.0,0.0,0.1,9.9,1.2,8.7,3.1,8.6,0.2,6.4,7.9,814101,409598,279578,26333,91503,12180,360167,283037,77130,44348,790296,269007,238903.0,30105.0,260082,227931.0,32151.0,230712,30497
