ID,BankenSBI2008,Perioden,Ondernemingen_1,LokaleBedrijfseenheid_2,TotaalWerkzamePersonen_3,WerkzameVrouwen_4,WerkzameMannen_5,NoordNederland_6,OostNederland_7,WestNederland_8,ZuidNederland_9,WerknemersInVTE_10,AantalGelduitgifteautomaten_11,TotaalBaten_12,TotaalRenteEnSoortgelijkeBaten_13,RenteBatenVastRentendeWaardepapieren_14,OverigeRenteEnSoortgelijkeBaten_15,TotaalOpbrengstenUitWaardepapieren_16,OpbrengstenUitAandelen_17,OverigeOpbrengstenUitWaardepapieren_18,Provisiebaten_19,ResultaatUitFinancieleTransacties_20,OverigeBaten_21,TotaalLasten_22,TotaalRenteEnSoortgelijkeLasten_23,RenteEnSoortgelLastenUitgegevenObl_24,OverigeRenteEnSoortgelijkeLasten_25,Provisielasten_26,TotaalAlgemeneAdministratieveUitgaven_27,OverigeAdministratieveUitgaven_28,TotaalPersoneelskosten_29,LonenEnSalarissen_30,SocialeLasten_31,OverigeBedrijfslasten_32,WaardeverVanVordEnToevOnttr_33,OverigeWaardeveranderingen_34,ResultaatUitGewoneActiviteiten_35,ResultaatBuitengewoneBatenEnLasten_36,Belastingen_37,WinstVerliesBoekjaar_38,Productiewaarde_39,ToegevoegdeWaardeTegenBasisprijzen_40,BrutoInvesteringenInMaterieleActiva_41,TotaleAankoopVanGoederenEnDiensten_42
0, 641  ,1997JJ00,91.0,7168.0,114754.0,,,,,,,,6397.0,,,,,,,,,,,,,,,,,,4794.0,,,,,,,,,,18487.0,13059.0,1205.0,5428.0
1, 641  ,1998JJ00,86.0,6861.0,122783.0,,,,,,,,6568.0,,,,,,,,,,,,,,,,,,5224.0,,,,,,,,,,19528.0,13715.0,1472.0,5813.0
2, 641  ,1999JJ00,86.0,6454.0,127799.0,,,,,,,,6673.0,,,,,,,,,,,,,,,,,,5970.0,,,,,,,,,,21065.0,15035.0,1226.0,6030.0
3, 641  ,2000JJ00,88.0,6157.0,142215.0,68020.0,74195.0,,,,,,6921.0,,,,,,,,,,,,,,,,,,6792.0,,,,,,,,,,24463.0,17310.0,2418.0,7153.0
4, 641  ,2001JJ00,87.0,5765.0,144375.0,69036.0,75339.0,,,,,,7142.0,,,,,,,,,,,,,,,,,,7205.0,,,,,,,,,,23768.0,16172.0,2092.0,7596.0
5, 641  ,2002JJ00,89.0,4826.0,138456.0,66196.0,72260.0,,,,,,7442.0,,,,,,,,,,,,,,,,,,8022.0,6163.0,1858.0,,,,,,,,23581.0,16135.0,1057.0,7446.0
6, 641  ,2003JJ00,87.0,4504.0,133735.0,63935.0,69800.0,,,,,,7556.0,,,,,,,,,,,,,,,,,,8208.0,6258.0,1951.0,,,,,,,,26173.0,18471.0,1185.0,7702.0
7, 641  ,2004JJ00,90.0,4359.0,130908.0,62579.0,68329.0,,,,,,7889.0,,,,,,,,,,,,,,,,,,8732.0,6484.0,2248.0,,,,,,,,27254.0,18780.0,1354.0,8474.0
8, 641  ,2005JJ00,92.0,4265.0,128154.0,61282.0,66872.0,,,,,,7446.0,,,,,,,,,,,,,,,,,,8866.0,7065.0,1801.0,,,,,,,,33648.0,22664.0,3273.0,10984.0
9, 641  ,2006JJ00,90.0,4135.0,126879.0,60693.0,66186.0,,,,,,8114.0,,,,,,,,,,,,,,,,,,8795.0,7304.0,1492.0,,,,,,,,33605.0,19975.0,3164.0,13630.0
