ID,SBI93,AantalBedrijven_1,BedrijvenMetComputers_2,Computerpersoneel_3,BedrijvenMetICTSystemen_4,OrderverwerkingGekoppeldICTSysteem_5,OrderverwerkingInternICTSysteem_6,OrderverwerkingVoorraadbeheer_7,OrderverwerkingFacturering_8,OrderverwerkingProductieLogistiek_9,OrderverwerkingMarketing_10,OrderverwerkingICTSysteemVanDerden_11,OrderverwerkingKlantenAfnemers_12,OrderverwerkingToeleveranciers_13,BedrijvenMetLAN_14,BedrijvenMetDraadloosLAN_15,BedrijvenMetIntranet_16,TotaalBedrijvenMetInternet_17,AnaloogModem_18,ISDN_19,Breedbandverbinding_20,XDSL_21,RTVKabel_22,AndereHoogwaardigeVasteVerbindingen_23,DraadlozeVerbinding_24,AnderTypeVerbinding_25,BedrijvenMetExterneNetwerken_26,PersoneelDatWerktMetInternet_27,GeslotenInternetnetwerken_28,NietInternetnetwerken_29,BedrijvenMetTelewerkers_30,AantalTelewerkers_31,TotaalAlgemeenGebruik_32,FinancieleTransacties_33,TrainingEnOpleiding_34,TotaalCommunicatieMetOverheden_35,VerkrijgenVanInformatie_36,VerkrijgenVanFormulieren_37,RetournerenIngevuldeFormulieren_38,VolledigElektronischeAfhandeling_39,TotaalBedrijvenVerkoopViaInternet_40,InformatiePresentatieEigenBedrijf_41,InformatiePrijzen_42,ServiceCustomisedPage_43,ProductenElektronischeAflevering_44,ServiceKlantondersteuning_45,DienstenMobielInternet_46,ElektronischeOrderontvangst_47,ElektronischeOntvangstBetalingen_48,GebruikElektronischeMarktplaatsen_49,TotaalBedrijvenMetInkoopViaInternet_50,OpvragenVanGratisInformatie_51,ElektronischeOntvangstProducten_52,KlantondersteuningDoorToeleveranciers_53,ElektronischeInkoop_54,ElektronischeBetaling_55,GebruikElektronischeMarktplaatsen_56,TotaalVerkoopViaExterneNetwerken_57,Omzet1_58,Omzet2_59,Omzet5_60,Omzet10_61,TotaalVerkoopViaInternet_62,Omzet1_63,Omzet2_64,Omzet5_65,Omzet10_66,VerkoopAanHuishoudens_67,TotaalVerkoopViaNietInternetnetwe_68,Omzet1_69,Omzet2_70,Omzet5_71,Omzet10_72,TotaalInkoopViaExterneNetwerken_73,Inkoopwaarde1_74,Inkoopwaarde2_75,Inkoopwaarde5_76,Inkoopwaarde10_77,TotaalInkoopViaInternet_78,Inkoopwaarde1_79,Inkoopwaarde2_80,Inkoopwaarde5_81,Inkoopwaarde10_82,TotaalInkoopViaNietInternetwerken_83,Inkoopwaarde1_84,Inkoopwaarde2_85,Inkoopwaarde5_86,Inkoopwaarde10_87,BeveiligingTotaal_88,BeveiligingBeveiligdeWebserver_89,BeveiligingFirewall_90,BeveiligingEncryptie_91,BeveiligingOffSiteDataBackUp_92,BeveiligingDigitaleHandtekening_93,BeveiligingOverigeAuthenticatie_94,BeveiligingAntivirussoftware_95,BeveiligingUpdateMaatregelen_96,ProblemenVeiligheid_97,ProblemenVirusaanval_98,ProblemenIllegaleToegang_99,ProblemenChantageBedreiging_100
0,55,63470.0,94,55,65,92,91,51,84,42,29,31,23,24,82,10,29,93,19,41,62,50,7,6,4,2,93,35,14,7,28,7,86,71,10,53,49,45,31,13,79,74,30,13,6,15,3,20,3,3,77,74,24,27,32,10,5,23,80,67,54,39,20,74,61,47,29,28,51.0,50.0,47.0,44.0,39.0,33,71,54,45,29,32,68,51,41,24,35.0,34.0,33.0,31.0,28.0,94,67,73,22,35,14,20,91,85,46,45,4,1.0
1,20,1689.0,90,40,69,90,90,56,87,59,27,18,17,8,60,6,24,93,23,43,49,35,10,5,3,6,93,21,18,19,21,4,94,76,6,53,48,43,36,13,62,55,18,9,1,15,0,29,9,2,73,69,21,21,28,9,2,40,91,78,60,41,29,83,72,53,28,27,68.0,68.0,58.0,48.0,40.0,29,51,39,29,19,28,49,35,25,16,7.0,7.0,7.0,6.0,6.0,96,63,69,13,33,10,21,87,79,42,42,5,
2,21,447.0,88,39,87,91,91,62,86,53,32,21,21,10,82,7,20,93,7,42,58,49,2,8,6,3,96,20,12,14,28,2,91,76,6,50,43,43,32,9,73,68,31,6,3,11,3,28,9,8,76,73,12,15,28,12,4,35,76,61,43,35,28,65,47,37,25,25,64.0,64.0,64.0,41.0,31.0,29,71,60,37,25,28,70,50,26,14,25.0,22.0,22.0,22.0,22.0,97,61,68,20,31,12,21,95,86,40,40,3,
3,22,255.0,100,54,88,91,91,78,89,78,28,21,19,13,92,18,47,100,13,47,64,48,0,15,6,11,100,24,24,17,45,5,94,74,20,61,59,47,37,9,77,69,23,10,8,16,0,24,3,2,78,76,24,29,32,13,2,32,94,80,64,45,24,87,87,64,40,0,72.0,68.0,41.0,38.0,29.0,32,54,41,30,20,32,54,41,26,17,6.0,6.0,6.0,6.0,6.0,97,74,86,20,40,15,21,95,90,53,53,6,
4,23,1265.0,98,75,91,92,92,46,86,49,40,32,24,23,92,8,30,100,10,36,80,67,5,9,8,1,100,49,10,3,28,9,90,74,8,58,52,48,38,17,92,82,56,25,18,20,3,45,5,5,89,88,42,34,45,17,6,45,83,73,66,47,45,82,73,66,47,29,26.0,22.0,15.0,11.0,11.0,45,75,60,43,30,45,75,60,43,30,4.0,4.0,4.0,4.0,4.0,98,74,76,25,48,12,20,97,86,58,57,4,
5,24,467.0,100,75,91,97,97,85,95,68,34,26,22,18,97,12,54,97,17,39,63,44,4,16,8,13,97,45,27,16,55,11,87,62,17,65,62,56,45,16,86,80,18,12,4,22,3,23,2,6,86,86,25,36,42,12,13,29,85,79,65,51,23,75,66,48,35,0,70.0,69.0,63.0,58.0,47.0,44,61,44,37,26,42,57,37,29,18,37.0,36.0,33.0,33.0,27.0,97,74,85,46,47,20,29,95,93,49,49,1,
6,25,522.0,96,43,88,94,94,69,87,60,22,27,21,15,97,7,32,98,20,43,57,51,2,5,4,4,98,26,11,10,27,4,87,68,5,58,55,40,36,13,88,82,30,12,2,12,0,20,2,3,86,83,17,24,32,7,8,26,82,74,65,48,20,75,67,56,35,5,71.0,71.0,64.0,59.0,54.0,33,66,51,44,20,32,58,43,36,14,32.0,32.0,27.0,25.0,20.0,100,77,75,27,29,12,8,98,89,43,43,0,
7,26,116.0,98,50,91,92,92,66,92,62,23,27,27,10,84,5,26,98,19,45,56,37,7,11,5,3,98,22,19,12,28,6,89,82,10,54,54,48,34,16,85,78,18,14,4,12,0,31,2,2,85,85,10,23,27,5,8,37,78,67,56,46,31,65,51,37,32,0,86.0,86.0,86.0,58.0,58.0,30,61,32,26,13,27,57,25,19,5,35.0,21.0,21.0,21.0,21.0,98,72,73,25,46,12,20,98,93,50,48,3,
8,27,2218.0,97,38,73,89,87,43,79,48,29,21,18,16,87,7,18,92,20,47,51,43,4,4,5,1,92,22,12,2,17,3,87,72,7,49,46,44,29,11,81,78,21,6,1,11,2,15,0,1,81,81,10,18,23,5,1,16,76,67,57,27,15,72,62,52,20,4,86.0,86.0,86.0,82.0,69.0,24,82,68,48,23,23,81,67,47,22,17.0,17.0,17.0,17.0,17.0,97,68,73,19,34,12,26,96,85,38,37,0,
9,28,1506.0,94,51,87,95,95,61,85,55,29,35,31,28,95,8,28,98,19,51,53,43,3,8,3,4,98,30,11,3,24,5,81,67,10,55,52,50,36,12,92,90,26,7,1,22,3,20,3,1,89,88,23,29,32,10,4,21,64,52,48,26,20,62,49,45,22,8,40.0,40.0,40.0,40.0,40.0,33,78,39,29,14,32,74,35,25,13,63.0,63.0,59.0,59.0,16.0,98,67,72,21,35,15,24,96,91,45,45,2,
