ID,Sectoren,Jaren,ToegevoegdeWaardeBrutoBasisprijzen_1,ExploitatieoverschotNetto_2,PrimairInkomenNetto_3,BeschikbaarInkomenNetto_4,BesparingenNetto_5,SaldoLopendeTransMetHetBuitenland_6,SaldoNettoBespEnKapitaaloverdr_7,Vorderingensaldo_8,VorderingenTotaal_9,SchuldenTotaal_10,FinancieelVermogen_11,VorderingenTotaal_12,SchuldenTotaal_13,FinancieelVermogen_14,StatistischVerschil_15,VorderingenTotaal_16,SchuldenTotaal_17,FinancieelVermogen_18,VorderingenTotaal_19,SchuldenTotaal_20,FinancieelVermogen_21,TotaalMiddelen_22,TotaalInvoerVanGoederenEnDiensten_23,InvoerVanGoederen_24,InvoerVanDiensten_25,TotaalProductieBasisprijzen_26,ProductieVanToegerekendeBankdiensten_27,OverigeMarktproductie_28,InvesteringenInEigenBeheer_29,TotaalBeloningWerknemers_30,Lonen_31,SocialePremiesTLVWerkgevers_32,TotaalBelastingenProductieEnInvoer_33,BelastOpProdEnInvoerProductg_34,BelastOpProdInvoerNietProductg_35,TotaalSubsidies_36,SubsidiesProductgebonden_37,SubsidiesNietProductgebonden_38,TotaalInkomenUitVermogen_39,Rente_40,Dividenden_41,InkomenOnttrokkenAanQuasiVennootsch_42,IngehoudenWinstenOpDirBuitenlInv_43,InkUitVermToegerAanPolishouders_44,TotaalBelastingenInkomenEnVermogen_45,BelastingenOpInkomen_46,TotaalSocialePremies_47,PremiesWettelijkeSocialeVerzekering_48,ToegerekendeSocialePremies_49,TotaalSocialeUitkeringen_50,UitkeringenWettelSocialeVerzekering_51,Pensioenuitkeringen_52,TotaalOverigeInkomensoverdrachten_53,Schadeverzekeringspremies_54,Schadeverzekeringsuitkeringen_55,OverigeInkomensoverdrachtenNEG_56,CorrectiePensioenvoorziening_57,TotaalKapitaaloverdrachten_58,Investeringsbijdragen_59,OverigeKapitaaloverdrachten_60,TotaalBestedingen_61,TotaalUitvoerVanGoederenEnDiensten_62,UitvoerVanGoederen_63,UitvoerVanDiensten_64,IntermediairVerbruik_65,BelastOpProdNietProductgebonden_66,SubsidiesNietProductgebonden_67,TotaalBeloningVanWerknemers_68,Lonen_69,SocialePremiesTLVWerkgevers_70,TotaalInkomenUitVermogen_71,Rente_72,Dividenden_73,InkomenOnttrokkenAanQuasiVennootsch_74,IngehWinstenOpDirecteBuitInvest_75,InkUitVermToegerAanPolishouders_76,InkomenUitGrondEnMineraleReserves_77,TotaalBelastingenInkomenEnVermogen_78,BelastingenOpInkomen_79,TotaalSocialePremies_80,PremiesWettelijkeSocialeVerzekering_81,Pensioenpremies_82,TotaalSocialeUitkeringen_83,UitkerWettelijkeSocialeVerzekering_84,UitkeringenRechtstreeksDoorWerkgevers_85,TotaalOverigeInkomensoverdrachten_86,Schadeverzekeringspremies_87,Schadeverzekeringsuitkeringen_88,OverigeInkomensoverdrachtenNEG_89,TotaalKapitaaloverdrachten_90,Investeringsbijdragen_91,OverigeKapitaaloverdrachten_92,TotaalInvesteringenBruto_93,InvesteringenInVasteActivaBruto_94,Afschrijvingen_95,InvesteringenInVasteActivaNetto_96,SaldoAVNietGeprodNietFinActiva_97,BeginbalansTotaal_98,ChartaalGeld_99,GiraleDepositoS_100,SpaartegoedenInEuros_101,OverigeDepositoS_102,KortlopendeWaardepapieren_103,Obligaties_104,FinancieleDerivaten_105,KortlopendeLeningen_106,LanglopendeLeningen_107,AandelenEnOverigeDeelnemingen_108,PensioenEnLevensverzVoorzieningen_109,HandelskredEnTransitPosten_110,FinancieleTransactiesTotaal_111,ChartaalGeld_112,GiraleDepositoS_113,SpaartegoedenInEuros_114,OverigeDepositoS_115,KortlopendeWaardepapieren_116,Obligaties_117,FinancieleDerivaten_118,KortlopendeLeningen_119,LanglopendeLeningen_120,AandelenEnOverigeDeelnemingen_121,PensioenEnLevensverzVoorzieningen_122,HandelskredEnTransitPosten_123,OverigeMutatiesTotaal_124,ChartaalGeld_125,GiraleDepositoS_126,SpaartegoedenInEuros_127,OverigeDepositoS_128,KortlopendeWaardepapieren_129,Obligaties_130,FinancieleDerivaten_131,KortlopendeLeningen_132,LanglopendeLeningen_133,AandelenEnOverigeDeelnemingen_134,PensioenEnLevensverzVoorzieningen_135,HandelskredEnTransitPosten_136,EindbalansTotaal_137,ChartaalGeld_138,GiraleDepositoS_139,SpaartegoedenInEuros_140,OverigeDepositoS_141,KortlopendeWaardepapieren_142,Obligaties_143,FinancieleDerivaten_144,KortlopendeLeningen_145,LanglopendeLeningen_146,AandelenEnOverigeDeelnemingen_147,PensioenEnLevensverzVoorzieningen_148,HandelskredEnTransitPosten_149,BeginbalansTotaal_150,MonetairGoudEnBijzTrekkingsrechten_151,ChartaalGeld_152,GiraleDepositoS_153,OverigeDepositoS_154,KortlopendeWaardepapieren_155,Obligaties_156,KortlopendeLeningen_157,LanglopendeLeningen_158,AandelenEnOverigeDeelnemingen_159,PensioenEnLevensverzVoorzieningen_160,HandelskredEnTransitPosten_161,FinancieleTransactiesTotaal_162,MonetairGoudEnBijzTrekkingsrechten_163,ChartaalGeld_164,GiraleDepositoS_165,OverigeDepositoS_166,KortlopendeWaardepapieren_167,Obligaties_168,KortlopendeLeningen_169,LanglopendeLeningen_170,AandelenEnOverigeDeelnemingen_171,PensioenEnLevensverzVoorzieningen_172,HandelskredEnTransitPosten_173,OverigeMutatiesTotaal_174,MonetairGoudEnBijzTrekkingsrechten_175,ChartaalGeld_176,GiraleDepositoS_177,OverigeDepositoS_178,KortlopendeWaardepapieren_179,Obligaties_180,KortlopendeLeningen_181,LanglopendeLeningen_182,AandelenEnOverigeDeelnemingen_183,PensioenEnLevensverzVoorzieningen_184,HandelskredEnTransitPosten_185,EindbalansTotaal_186,MonetairGoudEnBijzTrekkingsrechten_187,ChartaalGeld_188,GiraleDepositoS_189,OverigeDepositoS_190,KortlopendeWaardepapieren_191,Obligaties_192,KortlopendeLeningen_193,LanglopendeLeningen_194,AandelenEnOverigeDeelnemingen_195,PensioenEnLevensverzVoorzieningen_196,HandelskredEnTransitPosten_197
0,OvFinIns,1995JJ00,1324.0,-1015.0,696.0,53.0,53.0,,79,-139,632786,647762,-14976,23458,23597,-139,,6032,13891,-7859,662276,685250,-22974,36993,,,,5852.0,654.0,4863.0,335.0,,,,,,,,,,31085,10822,9629,131,10503,,,,14,,14.0,,,,16,,16,,,26,,26,37132,,,,4528.0,9.0,6.0,1697,1449,248,29374,8623,7254,4,13475,,18.0,643,643,,,,14,,14.0,16,16,,0,0,,0,811.0,811.0,639.0,172.0,46.0,632786,0,1745,,22969,854,30075,45,87274,118855,355487,,15482,23458,0,428,,-260,361,1955,18,3747,2347,13678,,1184,6032,0,22,,101,130,2237,-6,-4704,-10047,17515,,784,662276,0,2195,,22810,1345,34267,57,86317,111155,386680,,17450,647762,,,,,77,145194,51485,62382,373059,,15565,23597,,,,,53,8669,4796,3133,6321,,625,13891,,,,,9,7405,-2668,-5519,14782,,-118,685250,,,,,139,161268,53613,59996,394162,,16072
1,OvFinIns,1996JJ00,1794.0,-774.0,1948.0,1186.0,1186.0,,1351,825,662276,685250,-22974,31564,30739,825,,32899,43363,-10464,726739,759352,-32613,38908,,,,6629.0,663.0,5689.0,277.0,,,,,,,,,,32085,10163,11410,156,10356,,,,14,,14.0,,,,15,,15,,,165,,165,38083,,,,4835.0,13.0,20.0,1882,1615,267,29363,9145,7917,5,12278,,18.0,762,762,,,,14,,14.0,15,15,,0,0,,0,1201.0,1201.0,693.0,508.0,18.0,662276,0,2195,,22810,1345,34267,57,86317,111155,386680,,17450,31564,0,-84,,730,2,1073,841,10899,8565,9368,,170,32899,1,1,,48,1,580,-428,2631,1169,28180,,716,726739,1,2112,,23588,1348,35920,470,99847,120889,424228,,18336,685250,,,,,139,161268,53613,59996,394162,,16072,30739,,,,,53,13074,4259,4156,8306,,891,43363,,,,,1,811,1487,1781,38664,,619,759352,,,,,193,175153,59359,65933,441132,,17582
2,OvFinIns,1997JJ00,2220.0,-641.0,3525.0,2577.0,2577.0,,2640,2004,726739,759352,-32613,48917,46913,2004,,22922,35087,-12165,798578,841352,-42774,57462,,,,7711.0,658.0,6904.0,149.0,,,,,,,,,,49659,12890,18061,234,18474,,,,14,,14.0,,,,15,,15,,,63,,63,55458,,,,5491.0,14.0,32.0,2080,1789,291,45493,10390,12038,5,23044,,16.0,948,948,,,,14,,14.0,15,15,,0,0,,0,1428.0,1428.0,799.0,629.0,7.0,726739,1,2112,,23588,1348,35920,470,99847,120889,424228,,18336,48917,1,262,,-761,-8,-496,1199,16756,14946,15702,,1316,22922,0,-37,,113,-303,116,325,5564,4277,13121,,-254,798578,2,2337,,22940,1037,35540,1994,122167,140112,453051,,19398,759352,,,,,193,175153,59359,65933,441132,,17582,46913,,,,,101,13570,1851,3403,26756,,1232,35087,,,,,27,1008,2920,2412,28851,,-131,841352,,,,,321,189731,64130,71748,496739,,18683
3,OvFinIns,1998JJ00,3649.0,-330.0,1615.0,589.0,589.0,,663,-603,798578,841352,-42774,95538,96141,-603,,25929,75222,-49293,920045,1012715,-92670,57356,,,,10387.0,897.0,9389.0,101.0,,,,,,,,,,46859,14679,17985,169,14026,,,,18,,18.0,,,,18,,18,,,74,,74,57959,,,,6738.0,54.0,55.0,2881,2307,574,44914,12493,16184,5,16216,,16.0,1026,1026,,,,18,,18.0,18,18,,0,0,,0,2356.0,2356.0,1099.0,1257.0,9.0,798578,2,2337,,22940,1037,35540,1994,122167,140112,453051,,19398,95538,0,-437,,820,174,1449,731,19786,27388,41381,,4246,25929,4,558,,-1351,-655,3594,522,69,19725,1679,,1784,920045,6,2458,,22409,556,40583,3247,142022,187225,496111,,25428,841352,,,,,321,189731,64130,71748,496739,,18683,96141,,,,,47,21913,10912,29378,31585,,2306,75222,,,,,1036,10057,12377,14621,35431,,1700,1012715,,,,,1404,221701,87419,115747,563755,,22689
4,OvFinIns,1999JJ00,3739.0,-860.0,3681.0,2195.0,2195.0,,2216,927,920045,1012715,-92670,138668,137741,927,,46593,60017,-13424,1105306,1210473,-105167,70953,,,,11296.0,1283.0,9887.0,126.0,,,,,,,,,,59596,18233,23003,66,18294,,,,21,,21.0,,,,19,,19,,,21,,21,70026,,,,7557.0,71.0,56.0,3209,2529,680,55055,16043,17478,11,21507,,16.0,1486,1486,,,,21,,21.0,19,19,,0,0,,0,2658.0,2658.0,1375.0,1283.0,6.0,920045,6,2458,,22409,556,40583,3247,142022,187225,496111,,25428,138668,78,1044,,4598,82,470,191,42373,51003,38187,,642,46593,-1,-15,,59,0,-2150,589,11762,10706,25872,,-229,1105306,83,3487,,27066,638,38903,4027,196157,248934,560170,,25841,1012715,,,,,1404,221701,87419,115747,563755,,22689,137741,,,,,-445,67488,8830,15341,43058,,3469,60017,,,,,0,-8780,7696,6228,54044,,829,1210473,,,,,959,280409,103945,137316,660857,,26987
5,OvFinIns,2000JJ00,3103.0,-2041.0,5320.0,3582.0,3582.0,,3610,1742,1105306,1210473,-105167,224930,223188,1742,,-42344,-9018,-33326,1287892,1424643,-136751,98277,,,,12910.0,1085.0,11657.0,168.0,,,,,,,,,,85296,26926,32953,176,25241,,,,22,,22.0,,,,21,,21,,,28,,28,96535,,,,9807.0,71.0,76.0,3516,2818,698,77935,24645,23696,7,29574,,13.0,1618,1618,,,,22,,22.0,141,21,,120,0,,0,3299.0,3299.0,1633.0,1666.0,202.0,1105306,83,3487,,27066,638,38903,4027,196157,248934,560170,,25841,224930,-74,1440,,7932,-362,13774,337,22243,72027,98611,,9002,-42344,0,614,,463,0,139,-587,-771,-14441,-27023,,-738,1287892,9,5541,,35461,276,52816,3777,217629,306520,631758,,34105,1210473,,,,,959,280409,103945,137316,660857,,26987,223188,,,,,1288,58661,21716,38210,98965,,4348,-9018,,,,,0,882,-437,-12652,4428,,-1239,1424643,,,,,2247,339952,125224,162874,764250,,30096
6,OvFinIns,2001JJ00,3911.0,-1381.0,2966.0,1057.0,1057.0,,1094,1600,1287892,1424643,-136751,262968,261368,1600,,-112756,-152441,39685,1438104,1533570,-95466,113495,,,,13321.0,1443.0,11751.0,127.0,,,,,,,,,,100091,28196,40182,127,31586,,,,21,,21.0,,,,25,,25,,,37,,37,111895,,,,9410.0,71.0,95.0,3578,2853,725,95744,26716,25937,8,43073,,10.0,1909,1909,,,,21,,21.0,25,25,,0,0,,0,1196.0,1196.0,1738.0,-542.0,36.0,1287892,9,5541,,35461,276,52816,3777,217629,306520,631758,,34105,262968,20,103,,22372,273,20217,372,8135,64397,144417,,2662,-112756,0,-613,,-2743,0,-7559,-730,-16827,-14130,-71841,,1687,1438104,29,5031,,55090,549,65474,3419,208937,356787,704334,,38454,1424643,,,,,2247,339952,125224,162874,764250,,30096,261368,,,,,-425,64110,29657,40481,126460,,1085,-152441,,,,,-670,-28090,-5791,-6211,-110682,,-997,1533570,,,,,1152,375972,149090,197144,780028,,30184
7,OvFinIns,2002JJ00,4396.0,-971.0,1803.0,83.0,83.0,,142,1945,1438104,1533570,-95466,59154,57209,1945,,-87645,-128392,40747,1409613,1462387,-52774,83711,,,,13533.0,1929.0,11494.0,110.0,,,,,,,,,,70077,29609,27657,116,12695,,,,21,,21.0,,,,21,,21,,,59,,59,81766,,,,9137.0,63.0,94.0,3662,2925,737,67303,30075,17346,7,19864,,11.0,1719,1719,,,,21,,21.0,22,21,,1,0,,0,79.0,79.0,1736.0,-1657.0,-146.0,1438104,29,5031,,55090,549,65474,3419,208937,356787,704334,,38454,59154,-5,320,,2320,17,6785,-983,16377,31169,1866,,1288,-87645,0,-1204,,1113,0,-2498,41,-20384,-21743,-44344,,1374,1409613,24,4147,,58523,566,69761,2477,204930,366213,661856,,41116,1533570,,,,,1152,375972,149090,197144,780028,,30184,57209,,,,,-254,43022,21370,1951,-13720,,4840,-128392,,,,,0,-14161,-14028,-10095,-92350,,2242,1462387,,,,,898,404833,156432,189000,673958,,37266
8,OvFinIns,2003JJ00,4900.0,-630.0,-110.0,-1802.0,-1802.0,,-1737,-1775,1409613,1462387,-52774,111318,113093,-1775,,-13727,-24244,10517,1507204,1551236,-44032,73896,,,,14319.0,2751.0,11457.0,111.0,,,,,,,,,,59469,26320,32547,100,502,,,,22,,22.0,,,,21,,21,,,65,,65,75671,,,,9419.0,76.0,98.0,3836,3016,820,58949,28164,26880,7,3886,,12.0,1692,1692,,,,22,,22.0,21,21,,0,0,,0,1731.0,1731.0,1716.0,15.0,23.0,1409613,24,4147,,58523,566,69761,2477,204930,366213,661856,,41116,111318,-4,1614,,3264,13,4338,-217,-3196,51072,60552,,-6118,-13727,0,-9,,144,0,226,267,-5259,-6436,-2460,,-200,1507204,20,5752,,61931,579,74325,2527,196475,410849,719948,,34798,1462387,,,,,898,404833,156432,189000,673958,,37266,113093,,,,,543,49807,75,27824,40098,,-5254,-24244,,,,,0,-23513,-918,-4192,4194,,185,1551236,,,,,1441,431127,155589,212632,718250,,32197
9,OvFinIns,2004JJ00,5820.0,126.0,2170.0,313.0,313.0,,388,898,1507204,1551236,-44032,17215,16317,898,,25040,-10158,35198,1549459,1557395,-7936,93144,,,,15692.0,2915.0,12636.0,141.0,,,,,,,,,,77334,27868,39420,103,9943,,,,22,,22.0,,,,21,,21,,,75,,75,92246,,,,9872.0,88.0,123.0,4013,3131,882,75290,29027,28154,5,18092,,12.0,1857,1857,,,,22,,22.0,21,21,,0,0,,0,1210.0,1210.0,1716.0,-506.0,-4.0,1507204,20,5752,,61931,579,74325,2527,196475,410849,719948,,34798,17215,-2,-619,,-2361,25,-988,53,-26844,31736,18034,,-1819,25040,0,133,,520,-173,-187,519,-2664,-1952,28800,,44,1549459,18,5266,,60090,431,73150,3099,166967,440633,766782,,33023,1551236,,,,,1441,431127,155589,212632,718250,,32197,16317,,,,,-951,-1460,-2859,26097,-1812,,-2698,-10158,,,,,-105,-1518,606,-4844,-4351,,54,1557395,,,,,385,428149,153336,233885,712087,,29553
