ID,SBI93,Grootteklassen,Perioden,Bedrijven_1,WerkzamePersonen_2,Werknemers_3,VerloondeSocialeVerzekeringsdagen_4,GewerkteDagen_5,Totaal_6,ProductieBouwbedrijf_7,OmzetHandelEnOverigeOpbrengsten_8,Totaal_9,Totaal_10,VoorBouwactiviteiten_11,VoorHandelEnOvActiviteiten_12,BetalingenAanOnderaannemers_13,KostenEnergieverbruik_14,OverigeBedrijfskosten_15,Totaal_16,Arbeidskosten_17,SubsidiesEnHeffingen_18,Totaal_19,SaldoInterest_20,SaldoBatenEnLasten_21,SaldoVoorzieningen_22,AfschrijvingenOpVasteActiva_23,SaldoBouwactiviteitenBuitenland_24,ResultaatVoorBelastingen_25,CodeBedrijfsactiviteit_26
0,45    ,T,1997JJ00,69146,423.0,386.0,88720.0,78612.0,45888.0,44105.0,1783.0,31158.0,14467.0,9582.0,462.0,10922.0,120.0,5768.0,14730.0,11746.0,19.0,2965.0,-130.0,69.0,-52.0,970.0,737.0,2619.0,45    
1,45    ,T,1998JJ00,72874,430.0,392.0,91210.0,80394.0,48916.0,46925.0,1990.0,33131.0,15461.0,10429.0,581.0,11633.0,126.0,6037.0,15785.0,12585.0,10.0,3189.0,-108.0,69.0,-37.0,1024.0,728.0,2816.0,45    
2,45    ,T,1999JJ00,78945,442.0,399.0,92939.0,82683.0,54052.0,51749.0,2304.0,36627.0,17453.0,11672.0,1074.0,12793.0,126.0,6380.0,17426.0,13408.0,-14.0,4003.0,-139.0,117.0,-43.0,1117.0,620.0,3441.0,45    
3,45    ,K,1997JJ00,61711,130.0,95.0,20576.0,18634.0,9880.0,9388.0,491.0,5941.0,3205.0,0.0,0.0,1458.0,27.0,1278.0,3939.0,2360.0,19.0,1561.0,-77.0,6.0,-11.0,314.0,58.0,1222.0,45    
4,45    ,K,1998JJ00,65073,125.0,89.0,19563.0,17700.0,9842.0,9380.0,462.0,5810.0,3171.0,0.0,0.0,1365.0,28.0,1275.0,4031.0,2319.0,15.0,1698.0,-54.0,4.0,-10.0,306.0,23.0,1354.0,45    
5,45    ,K,1999JJ00,70837,129.0,87.0,19206.0,17578.0,10333.0,9972.0,361.0,5970.0,3326.0,0.0,0.0,1279.0,27.0,1365.0,4363.0,2387.0,-15.0,1961.0,-45.0,17.0,-6.0,324.0,27.0,1631.0,45    
6,45    ,G,1997JJ00,7435,293.0,291.0,68145.0,59978.0,36008.0,34717.0,1291.0,25217.0,11262.0,9582.0,462.0,9464.0,93.0,4490.0,10791.0,9386.0,0.0,1405.0,-53.0,63.0,-40.0,657.0,679.0,1397.0,45    
7,45    ,G,1998JJ00,7801,305.0,304.0,71646.0,62694.0,39074.0,37545.0,1528.0,27321.0,12290.0,10429.0,581.0,10269.0,98.0,4762.0,11753.0,10266.0,-4.0,1491.0,-54.0,64.0,-26.0,718.0,705.0,1462.0,45    
8,45    ,G,1999JJ00,8108,313.0,311.0,73732.0,65105.0,43719.0,41776.0,1943.0,30657.0,14127.0,11672.0,1074.0,11515.0,98.0,5015.0,13063.0,11021.0,0.0,2042.0,-94.0,99.0,-38.0,793.0,593.0,1810.0,45    
9,45    ,A,1997JJ00,38014,27.0,14.0,2998.0,2747.0,2065.0,1981.0,83.0,1264.0,642.0,0.0,0.0,339.0,5.0,284.0,800.0,339.0,2.0,460.0,-17.0,4.0,0.0,67.0,8.0,388.0,45    
10,45    ,A,1998JJ00,41415,28.0,14.0,3059.0,2797.0,2142.0,2042.0,99.0,1254.0,660.0,0.0,0.0,296.0,5.0,297.0,888.0,355.0,2.0,531.0,-1.0,-1.0,-1.0,72.0,4.0,460.0,45    
11,45    ,A,1999JJ00,46512,31.0,14.0,3035.0,2810.0,2305.0,2234.0,71.0,1334.0,726.0,0.0,0.0,283.0,5.0,325.0,970.0,363.0,-2.0,605.0,-12.0,9.0,0.0,75.0,5.0,531.0,45    
12,45    ,B,1997JJ00,23697,102.0,80.0,17578.0,15887.0,7815.0,7407.0,408.0,4677.0,2563.0,0.0,0.0,1119.0,23.0,995.0,3138.0,2021.0,17.0,1100.0,-60.0,2.0,-11.0,246.0,50.0,835.0,45    
13,45    ,B,1998JJ00,23658,96.0,74.0,16505.0,14903.0,7700.0,7338.0,363.0,4557.0,2511.0,0.0,0.0,1068.0,23.0,977.0,3143.0,1964.0,13.0,1167.0,-52.0,5.0,-10.0,235.0,19.0,895.0,45    
