ID,SBI93,Bedrijfsgrootte,AantalBedrijven_1,TotaalPersoneel_2,BedrijvenMetComputers_3,WerkzamePersonenMetComputers_4,LAN_5,DraadloosLAN_6,Intranet_7,TotaalExterneNetwerken_8,EDI_9,BedrijvenMetTelewerkers_10,AantalTelewerkers_11,TotaalInternet_12,AnaloogModem_13,ISDN_14,Breedbandverbindingen_15,XDSL_16,Kabel_17,OverigeBreedbandverbindingen_18,DraadlozeVerbinding_19,AndereTypenVerbinding_20,GeslotenInternetnetwerken_21,WerkzamePersonenMetInternet_22,GebruikInternetnetwerkenTotaal_23,TrainingEnOpleiding_24,PresentatieEigenBedrijfViaWebsite_25,TotaalCommunicatieMetOverheden_26,VerkrijgenVanInformatie_27,VerkrijgenVanFormulieren_28,RetournerenIngevuldeFormulieren_29,VolledigeElektronischeAfhandeling_30,TotaalVerkoopExterneNetwerken_31,Omzet1_32,Omzet2_33,Omzet5_34,Omzet10_35,TotaalInkoopExterneNetwerken_36,Inkoop1_37,Inkoop2_38,Inkoop5_39,Inkoop10_40,TotaalBeveiligingICTSystemen_41,Antivirussoftware_42,Firewall_43,BeveiligdeWebserver_44,OffSiteDatBackUp_45,DigitaleHandtekening_46,AndereAuthenticatiemiddelen_47,Encryptie_48,UpdateBeveiligingsmaatregelen_49,TotaalVeiligheidsploblemen_50,Virusaanval_51,IllegaleToegang_52,ChantageBedreiging_53,Betaaldiensten_54,Hypotheken_55,LenenKredietverstrekkingED_56,Sparen_57,Beleggen_58,Verzekeringsdiensten_59,Valutahandel_60,Vermogensbeheer_61,Betaaldiensten_62,Hypotheken_63,LenenKredietverstrekkingED_64,Sparen_65,Beleggen_66,Verzekeringsdiensten_67,Valutahandel_68,Vermogensbeheer_69
0,24,33,1203.0,187413.0,95,98,93,7,55,98,,52,11,99,11,26,80,64,7,11,3,4,41,79,52,15,81,46,43,42,26,16,37,71,58,53,36,55,79,59,49,35,94,93,89,65,49,22,20,32,84,33,31,3,1,46.0,36.0,38.0,31.0,43.0,44.0,68.0,33.0,96.0,87.0,90.0,88.0,91.0,89.0,95.0,46.0
1,24,30,929.0,17189.0,94,89,92,5,48,97,,44,9,99,10,26,79,67,8,6,2,3,36,70,50,12,78,44,40,41,24,16,34,67,56,51,38,54,75,58,50,36,92,91,86,58,41,18,17,23,81,32,31,4,1,,,,,,,,,,,,,,,,
2,24,31,203.0,18327.0,98,93,99,9,75,99,,74,15,100,14,21,81,54,7,24,6,11,56,62,55,20,93,50,46,41,26,17,41,84,66,61,33,61,88,65,49,32,98,98,94,86,67,30,25,54,93,29,29,0,0,,,,,,,,,,,,,,,,
3,24,32,71.0,151897.0,100,99,100,15,96,100,,91,11,100,20,43,95,57,0,37,15,8,68,82,75,44,93,61,61,55,42,9,63,80,58,53,29,64,89,51,38,24,100,100,100,98,98,46,46,83,100,49,49,7,0,,,,,,,,,,,,,,,,
4,21,33,145.0,107646.0,96,100,97,3,74,100,,66,6,95,13,26,84,58,3,23,2,19,52,79,63,25,87,52,48,41,25,16,39,96,93,85,51,62,89,62,47,34,95,95,86,76,73,38,31,64,88,37,37,0,0,,,,,,,,,,,,,,,,
5,21,30,84.0,1675.0,92,98,95,5,70,100,,53,19,92,14,22,91,69,5,17,0,21,43,75,54,17,83,41,41,32,18,9,31,100,100,100,44,61,79,51,37,22,92,92,79,62,70,17,22,52,83,43,43,0,0,,,,,,,,,,,,,,,,
6,21,31,42.0,3530.0,100,96,100,0,66,100,,76,10,100,14,27,67,37,0,30,0,19,51,62,63,20,91,63,47,48,33,25,40,87,75,63,63,52,100,90,57,37,100,100,91,90,62,47,27,67,90,17,17,0,0,,,,,,,,,,,,,,,,
7,21,32,19.0,102441.0,100,100,100,0,100,100,,91,6,100,11,39,89,59,0,30,11,11,80,80,91,61,91,70,70,59,30,21,62,100,100,83,49,80,100,61,61,61,100,100,100,100,100,91,70,100,100,51,51,0,0,,,,,,,,,,,,,,,,
8,22,33,175.0,47032.0,97,97,97,14,73,100,,61,17,100,13,31,78,50,7,25,6,14,43,82,54,15,86,48,47,40,31,11,52,84,64,56,26,52,75,47,30,10,98,97,97,83,73,26,22,42,93,41,40,4,1,,,,,,,,,,,,,,,,
9,22,30,86.0,2051.0,94,86,94,8,57,100,,39,6,100,6,27,76,53,8,20,4,10,31,43,41,8,77,35,33,25,20,8,43,77,68,55,27,39,60,45,35,15,96,94,94,72,59,25,12,24,86,35,33,2,2,,,,,,,,,,,,,,,,
