ID,SBI93,AantalBedrijven_1,BedrijvenMetComputers_2,Computerpersoneel_3,BedrijvenMetICTSystemen_4,OrderverwerkingGekoppeldICTSysteem_5,OrderverwerkingInternICTSysteem_6,OrderverwerkingVoorraadbeheer_7,OrderverwerkingFacturering_8,OrderverwerkingProductieLogistiek_9,OrderverwerkingMarketing_10,OrderverwerkingICTSysteemVanDerden_11,OrderverwerkingToeleveranciers_12,OrderverwerkingKlantenAfnemers_13,BedrijvenMetLAN_14,BedrijvenMetDraadloosLAN_15,BedrijvenMetIntranet_16,BedrijvenMetExtranet_17,BedrijvenMetExterneNetwerken_18,TotaalBedrijvenMetInternet_19,AnaloogModem_20,ISDN_21,Breedbandverbinding_22,XDSL_23,RTVKabel_24,AndereHoogwaardigeVasteVerbindingen_25,DraadlozeVerbinding_26,AnderTypeVerbinding_27,PersoneelDatWerktMetInternet_28,GebruikVanNietInternetnetwerken_29,BedrijvenMetTelewerkers_30,AantalTelewerkers_31,TotaalAlgemeenGebruik_32,FinancieleTransacties_33,TrainingEnOpleiding_34,Marktmonitoring_35,ElektronischeOntvangstProducten_36,KlantondersteuningDoorToeleveranciers_37,TotaalCommunicatieMetOverheden_38,VerkrijgenVanInformatie_39,VerkrijgenVanFormulieren_40,RetournerenIngevuldeFormulieren_41,VolledigeElektronischeAfhandeling_42,TotaalAangebodenFaciliteiten_43,InformatiePresentatieEigenBedrijf_44,InformatieProducten_45,InformatiePrijzen_46,ServiceCustomisedPage_47,ProductenElectronischeLevering_48,ServiceKlantondersteuning_49,DienstenMobielInternet_50,ElektronischeOrderontvangst_51,ElektronischeOntvangstBetalingen_52,GebruikElektronischeMarktplaatsen_53,ElektronischeInkoop_54,ElektronischeBetaling_55,GebruikElektronischeMarktplaatsen_56,TotaalVerkoopExterneNetwerken_57,Omzet1_58,Omzet2_59,Omzet5_60,Omzet10_61,TotaalVerkoopViaNietInternetnetwe_62,Omzet1_63,Omzet2_64,Omzet5_65,Omzet10_66,TotaalVerkoopViaInternet_67,Omzet1_68,Omzet2_69,Omzet5_70,Omzet10_71,VerkoopBuitenland_72,VerkoopHuishoudens_73,TotaalInkoopViaExterneNetwerken_74,Inkoopwaarde1_75,Inkoopwaarde2_76,Inkoopwaarde5_77,Inkoopwaarde10_78,TotaalInkoopViaInternet_79,Inkoopwaarde1_80,Inkoopwaarde2_81,Inkoopwaarde5_82,Inkoopwaarde10_83,TotaalInkoopViaNietInternetnetwer_84,Inkoopwaarde1_85,Inkoopwaarde2_86,Inkoopwaarde5_87,Inkoopwaarde10_88,BeveiligingTotaal_89,BeveiligingTweeMaatregelen_90,BeveiligingEigenICTSysteem_91,BeveiligingAntivirussoftware_92,BeveiligingFirewall_93,BeveiligingBeveiligdeWebserver_94,BeveiligingOffSiteDataBackUp_95,BeveiligingCommunicatie_96,BeveiligingDigitaleHandtekening_97,BeveiligingOverigeAuthenticatie_98,BeveiligingEncryptie_99,BeveiligingUpdateMaatregelen_100,ProblemenVeiligheid_101,ProblemenVirusaanval_102,ProblemenIllegaleToegang_103,ProblemenChantageBedreiging_104,ProblemenOverige_105
0,55,60457.0,94,56,65,94,93,52,86,40,27,28,21,17,85,13,33,12,90,95,12,26,78,68,7,9,5,1,40,7,31,8,91,72,14,48,37,29,63,58,56,47,11,83,80,56,28,11,6,12,4,23,3,2,39,15,5,26,58,49,40,29,4,83.0,84.0,81.0,70.0,23,52,43,32,21,40,29,40,54,43,34,23,39,52,39.0,30.0,19.0,2,90.0,87.0,79.0,75.0,95,84,95,92,78,35,38,38,13,32,15,69,22,20,1,0.0,3
1,20,1573.0,94,42,68,96,96,55,92,57,17,24,13,18,68,11,28,8,90,96,11,22,78,64,10,9,0,1,27,17,23,7,91,76,13,46,35,19,65,61,60,45,13,69,63,58,18,10,4,11,1,30,4,6,27,11,6,39,74,68,51,39,13,87.0,91.0,86.0,82.0,30,63,57,35,20,17,24,27,63,27,15,14,27,63,26.0,13.0,12.0,1,47.0,47.0,47.0,35.0,93,81,93,92,79,28,31,31,10,25,11,59,21,20,0,,2
2,21,410.0,92,38,77,94,94,65,85,63,26,20,10,17,86,5,18,6,84,92,6,16,86,70,11,8,4,0,21,13,22,3,96,84,8,41,44,20,63,54,51,50,5,75,71,50,16,4,7,7,0,27,2,1,39,22,4,37,75,66,60,37,13,95.0,95.0,86.0,45.0,27,60,46,42,30,10,33,39,21,7,4,3,39,20,5.0,2.0,1.0,0,100.0,100.0,100.0,100.0,92,83,92,92,71,19,36,36,5,31,9,66,16,16,0,,2
3,22,245.0,100,58,93,95,93,75,90,63,30,25,15,23,95,19,49,13,98,98,5,19,86,70,6,17,7,2,28,22,51,6,92,79,14,57,48,33,66,63,62,56,13,83,80,59,22,12,2,10,2,28,6,1,47,21,9,39,91,79,72,51,16,95.0,95.0,79.0,68.0,28,89,65,63,40,0,45,48,54,54,37,8,47,52,50.0,31.0,5.0,6,79.0,79.0,71.0,57.0,97,92,97,97,89,40,52,51,13,47,26,65,23,21,2,,3
4,23,1218.0,96,72,84,94,94,42,91,48,39,26,22,16,95,13,36,14,94,98,9,31,89,76,7,9,4,0,51,2,36,6,89,71,11,52,49,36,59,54,47,44,11,94,88,67,45,24,18,20,3,49,2,6,49,26,3,50,63,50,41,29,2,70.0,70.0,60.0,45.0,49,63,48,40,28,34,32,49,60,33,31,25,49,60,33.0,31.0,25.0,0,100.0,100.0,100.0,100.0,98,94,98,97,89,51,47,50,13,45,15,65,24,21,4,,1
5,24,454.0,100,76,90,96,96,88,95,69,30,23,20,19,97,15,56,22,100,100,12,17,87,63,3,29,4,3,51,14,59,11,89,65,23,61,33,27,72,67,68,56,12,90,88,68,14,12,3,18,2,24,1,5,37,12,8,30,70,56,41,32,10,82.0,87.0,80.0,64.0,24,56,40,22,18,6,53,39,56,41,35,20,37,55,39.0,35.0,19.0,3,50.0,50.0,33.0,25.0,100,97,99,98,92,47,48,51,16,44,34,76,24,23,1,,3
6,25,526.0,98,43,84,96,96,80,92,65,24,9,6,8,90,11,28,7,94,96,9,22,80,70,4,9,5,1,27,7,31,4,89,74,10,54,38,21,63,60,51,53,13,90,87,66,15,3,0,14,0,31,3,0,32,6,2,35,64,57,44,27,6,80.0,97.0,80.0,73.0,31,59,54,39,20,10,47,32,44,26,19,17,32,40,24.0,18.0,15.0,2,25.0,25.0,25.0,25.0,95,87,95,95,81,37,38,29,8,23,10,66,20,20,0,,3
7,26,114.0,95,61,84,91,91,70,91,51,15,29,15,27,83,16,27,13,93,97,15,28,72,51,5,18,3,3,21,12,43,7,93,74,8,50,34,24,65,54,55,50,12,83,82,72,16,3,0,12,3,31,0,1,48,11,1,40,68,54,39,34,11,100.0,100.0,64.0,64.0,31,56,41,28,22,13,41,49,14,2,2,2,48,12,,,,1,100.0,100.0,100.0,100.0,97,89,97,97,78,41,39,38,10,32,21,76,21,21,0,,1
8,27,2072.0,95,40,75,90,89,45,81,52,18,21,16,14,91,11,34,12,94,100,12,29,74,69,3,2,8,0,24,3,21,3,91,76,8,53,33,28,58,53,56,45,9,88,84,61,19,2,0,7,3,23,1,2,28,7,2,24,63,39,38,26,2,97.0,97.0,97.0,88.0,23,60,35,33,22,6,40,29,39,31,30,23,28,39,32.0,30.0,23.0,0,0.0,0.0,0.0,0.0,99,95,99,97,87,39,33,32,16,26,6,81,27,25,1,,2
9,28,1443.0,99,55,78,91,91,71,82,57,23,17,14,13,96,15,39,17,99,100,9,24,82,73,6,8,3,3,36,5,33,7,89,69,18,56,35,29,68,65,60,56,12,93,90,69,16,8,3,16,4,16,2,2,40,17,6,18,57,55,42,23,2,94.0,94.0,94.0,94.0,16,51,48,33,13,16,62,40,37,26,23,18,40,37,25.0,21.0,18.0,1,100.0,100.0,100.0,18.0,99,89,99,97,87,42,40,37,14,31,15,71,22,19,1,,3
