ID,SBI93,Bedrijfsgrootte,AantalBedrijven_1,BedrijvenMetComputers_2,Computerpersoneel_3,BedrijvenMetICTSystemen_4,OrderverwerkingGekoppeldICTSysteem_5,OrderverwerkingInternICTSysteem_6,OrderverwerkingVoorraadbeheer_7,OrderverwerkingFacturering_8,OrderverwerkingProductieLogistiek_9,OrderverwerkingMarketing_10,OrderverwerkingICTSysteemVanDerden_11,OrderverwerkingToeleveranciers_12,OrderverwerkingKlantenAfnemers_13,BedrijvenMetLAN_14,BedrijvenMetDraadloosLAN_15,BedrijvenMetIntranet_16,BedrijvenMetExtranet_17,BedrijvenMetExterneNetwerken_18,TotaalBedrijvenMetInternet_19,AnaloogModem_20,ISDN_21,Breedbandverbinding_22,XDSL_23,RTVKabel_24,AndereHoogwaardigeVasteVerbinding_25,DraadlozeVerbinding_26,AnderTypeVerbinding_27,PersoneelDatWerktMetInternet_28,GebruikVanNietInternetnetwerken_29,BedrijvenMetTelewerkers_30,AantalTelewerkers_31,TotaalAlgemeenGebruik_32,FinancieleTransacties_33,TrainingEnOpleiding_34,Marktmonitoring_35,ElektronischeOntvangstProducten_36,KlantondersteuningDoorToeleveranciers_37,TotaalCommunicatieMetOverheden_38,VerkrijgenVanInformatie_39,VerkrijgenVanFormulieren_40,RetournerenIngevuldeFormulieren_41,VolledigeElektronischeAfhandeling_42,TotaalAangebodenFaciliteiten_43,InformatiePresentatieEigenBedrijf_44,InformatieProducten_45,InformatiePrijzen_46,ServiceCustomisedPage_47,ProductenElectronischeLevering_48,ServiceKlantondersteuning_49,DienstenMobielInternet_50,ElektronischeOrderontvangst_51,ElektronischeOntvangstBetalingen_52,GebruikElektronischeMarktplaatsen_53,ElektronischeInkoop_54,ElektronischeBetaling_55,GebruikElektronischeMarktplaatsen_56,TotaalVerkoopViaExterneNetwerken_57,Omzet1_58,Omzet2_59,Omzet5_60,Omzet10_61,TotaalVerkoopViaNietInternetnetwe_62,Omzet1_63,Omzet2_64,Omzet5_65,Omzet10_66,TotaalVerkoopViaInternet_67,Omzet1_68,Omzet2_69,Omzet5_70,Omzet10_71,VerkoopBuitenland_72,VerkoopHuishoudens_73,TotaalInkoopExterneNetwerken_74,Inkoopwaarde1_75,Inkoopwaarde2_76,Inkoopwaarde5_77,Inkoopwaarde10_78,TotaalInkoopViaInternet_79,Inkoopwaarde1_80,Inkoopwaarde2_81,Inkoopwaarde5_82,Inkoopwaarde10_83,TotaalInkoopViaNietInternetwerken_84,Inkoopwaarde1_85,Inkoopwaarde2_86,Inkoopwaarde5_87,Inkoopwaarde10_88,BeveiligingTotaal_89,BeveiligingTweeMaatregelen_90,BeveiligingEigenICTSysteem_91,BeveiligingAntivirussoftware_92,BeveiligingFirewall_93,BeveiligingBeveiligdeWebserver_94,BeveiligingOffSiteDataBackUp_95,BeveiligingCommunicatie_96,BeveiligingDigitaleHandtekening_97,BeveiligingOverigeAuthenticatie_98,BeveiligingEncryptie_99,BeveiligingUpdateMaatregelen_100,ProblemenVeiligheid_101,ProblemenVirusaanval_102,ProblemenIllegaleToegang_103,ProblemenChantageBedreiging_104,ProblemenOverige_105
0,80,14,60457.0,94,56,65,94,93,52,86,40,27,28,21,17,85,13,33,12,90,95,12,26,78,68,7,9,5,1,40,7,31,8,91,72,14,48,37,29,63,58,56,47,11,83,80,56,28,11,6,12,4,23,3,2,39,15,5,26,58.0,49.0,40.0,29.0,4,83.0,84.0,81.0,70.0,23,52.0,43.0,32.0,21.0,40,29,40,54,43,34,23,39,52,39,30,19,2,90.0,87.0,79.0,75.0,95,84,95,92,78,35,38,38,13,32,15,69,22,20,1,0.0,3
1,80,11,49284.0,94,49,62,94,92,49,85,35,26,28,21,16,83,11,27,10,88,94,12,28,76,67,7,5,4,1,36,5,25,5,91,73,12,46,35,28,59,54,53,44,11,81,78,53,28,10,6,11,3,23,2,2,36,14,5,25,55.0,46.0,36.0,25.0,2,75.0,77.0,74.0,63.0,23,51.0,42.0,32.0,20.0,43,28,37,55,45,35,24,36,53,42,33,21,2,92.0,90.0,78.0,78.0,94,82,94,91,75,31,36,34,13,28,11,67,21,20,1,,3
2,80,12,9123.0,98,54,76,95,95,61,89,57,31,28,21,20,95,17,53,19,96,98,9,21,87,73,7,18,5,2,38,15,49,7,91,70,19,55,42,31,74,71,70,58,14,90,87,66,29,15,6,17,5,24,3,3,47,19,6,31,68.0,62.0,52.0,42.0,11,93.0,95.0,91.0,80.0,24,55.0,47.0,34.0,24.0,30,33,49,50,37,29,20,47,47,31,23,14,4,90.0,89.0,85.0,77.0,97,93,97,96,90,49,46,50,15,43,24,77,24,23,2,,3
3,80,13,2049.0,99,61,80,97,96,69,92,60,37,38,30,24,99,27,76,33,98,99,12,19,95,68,10,43,9,2,42,33,71,9,92,67,30,64,47,38,79,77,73,59,17,95,94,78,27,18,8,19,8,23,5,4,58,21,9,32,64.0,58.0,51.0,43.0,15,76.0,78.0,71.0,60.0,23,50.0,42.0,33.0,23.0,35,32,61,52,38,28,15,58,49,33,21,8,9,79.0,73.0,67.0,54.0,99,98,99,99,98,64,60,70,20,57,47,86,29,26,2,,7
4,71,14,11008.0,96,53,77,93,93,59,87,56,25,21,15,15,87,12,34,12,93,97,11,26,79,68,6,8,4,1,34,7,30,7,91,73,11,51,37,28,63,59,57,49,10,86,82,63,22,9,4,13,2,26,2,3,37,14,5,30,65.0,54.0,45.0,31.0,5,87.0,90.0,82.0,72.0,26,59.0,47.0,37.0,22.0,16,38,37,48,33,27,19,37,47,31,25,17,1,68.0,68.0,63.0,45.0,97,88,97,95,82,38,38,37,13,31,13,71,23,21,1,,2
5,71,11,8211.0,94,37,71,92,91,47,84,46,21,19,15,13,84,10,24,8,91,96,12,29,74,67,6,3,4,1,26,2,18,2,91,74,8,47,34,26,57,53,51,43,9,84,80,60,24,8,4,11,2,27,2,3,32,12,4,28,61.0,50.0,40.0,23.0,1,100.0,100.0,94.0,71.0,27,60.0,48.0,38.0,21.0,18,36,33,52,38,32,24,32,52,37,31,23,0,53.0,53.0,53.0,53.0,96,85,96,94,77,34,34,30,12,26,9,67,22,20,1,,2
6,71,12,2286.0,99,50,94,96,96,83,92,76,31,20,13,16,97,16,60,20,99,99,8,15,91,77,4,17,4,1,31,18,58,6,92,72,17,61,43,31,80,76,74,65,15,92,88,70,19,11,4,17,3,21,1,2,47,18,5,30,73.0,63.0,53.0,48.0,13,89.0,92.0,84.0,79.0,21,56.0,44.0,31.0,26.0,10,43,48,41,22,16,10,47,40,20,14,9,2,71.0,71.0,60.0,29.0,99,99,99,99,95,47,46,52,15,43,23,79,24,22,1,,3
7,71,13,511.0,100,66,99,98,98,94,98,90,44,38,26,32,100,31,87,40,100,100,10,18,96,54,8,56,7,3,41,44,87,10,94,66,34,75,47,41,75,70,68,57,13,94,93,78,16,22,8,25,8,29,3,6,54,21,12,51,76.0,72.0,64.0,52.0,34,78.0,82.0,71.0,59.0,29,55.0,49.0,36.0,27.0,15,49,58,42,36,27,13,54,33,26,13,2,11,76.0,76.0,73.0,57.0,100,99,100,99,99,66,68,72,16,61,49,88,35,31,2,,8
8,72,14,76.0,95,71,92,98,98,65,94,61,36,30,27,18,100,13,90,34,95,100,12,20,99,47,27,58,6,2,46,27,75,16,92,54,25,75,35,35,69,68,63,49,8,86,86,74,68,29,3,42,10,21,4,7,42,16,11,22,44.0,44.0,44.0,44.0,6,100.0,100.0,100.0,100.0,21,33.0,33.0,33.0,27.0,87,7,43,42,23,23,23,42,40,20,20,13,6,100.0,100.0,100.0,100.0,100,100,100,100,100,61,71,58,36,50,29,75,25,21,2,,7
9,72,11,21.0,95,85,90,100,100,16,95,47,21,32,21,21,100,7,81,26,95,100,0,0,100,57,36,14,0,0,73,14,38,7,90,71,33,67,29,43,86,86,71,71,10,67,67,52,19,19,0,29,10,10,0,10,24,14,7,14,100.0,100.0,100.0,100.0,10,100.0,100.0,100.0,100.0,10,100.0,100.0,100.0,100.0,100,0,24,100,40,40,40,24,100,40,40,0,10,100.0,100.0,100.0,100.0,100,100,100,100,100,48,52,48,19,48,14,67,7,7,0,,7
