ID,TypeInstelling,Perioden,TotaalAantalBedrijven_1,Dagopvang_2,BuitenEnNaschoolseOpvang_3,Peuterspeelzaalwerk_4,WelzijnOuderen_5,SociaalCultureelWerk_6,AlgemeenMaatschappelijkWerk_7,TotaalAantalWerkzamePersonen_8,TotaalArbeidsjarenWerkzamePersonen_9,AantalWerknemersOpEigenLoonlijst_10,ArbeidsjarenWerknemersOpEigenLoon_11,TotaalAantalOverigWerkzamePersonen_12,ArbeidsjarenOverigeWerkzamePersonen_13,AantalUitzendkrachtenGedetacheerd_14,AantalOverigWerkzamePersonenNiet_15,AantalVrijwilligers_16,AantalBeschikbarePlaatsen_17,AantalGeplaatstePeuters_18,AantalBeschikbarePlaatsen_19,AantalGeplaatsteKinderen_20,AantalBeschikbarePlaatsen_21,AantalGeplaatsteKinderen_22,AantalKindkoppelingen_23,Deelnemers_24,ProductieUren_25,Deelnemers_26,ProductieUren_27
0,100,2001JJ00  ,2390,900,,1590,0,10,0,,33090,54300,31870,,1230,1870,,,,170,83,165,40,69,37,0.0,0.0,,
1,100,2002JJ00  ,2370,1060,,1470,0,10,0,,33370,56450,32390,,970,1560,,,,183,94,165,52,81,22,0.0,0.0,68.0,41.0
2,100,2003JJ00  ,2780,1120,602.0,1790,0,10,0,62720.0,35400,60390,34250,2340.0,1150,2060,270.0,13950.0,192.0,191,104,182,59,83,21,0.0,0.0,71.0,45.0
3,100,2004JJ00  ,2865,1259,662.0,1805,0,8,0,64905.0,37757,63061,36521,1844.0,1236,1508,335.0,13230.0,159.0,191,111,195,65,94,22,0.0,0.0,80.0,49.0
4,100,2005JJ00  ,3015,1528,1075.0,1859,0,6,8,67728.0,40311,65454,39139,2274.0,1172,1909,365.0,12618.0,163.0,196,122,198,80,113,27,0.0,0.0,71.0,43.0
5,100,2006X005  ,3285,1548,1176.0,1787,0,5,1,70777.0,41985,68477,40713,2300.0,1272,1880,419.0,12272.0,158.0,190,126,197,88,130,36,0.0,0.0,,
6,100,2006X001  ,2710,1548,1176.0,1787,0,5,1,71571.0,42456,69245,41170,2397.0,1286,1901,496.0,12410.0,160.0,192,127,199,89,131,36,0.0,0.0,,
7,100,2007JJ00  ,3025,1904,1460.0,1205,0,10,1,81817.0,46644,78103,45033,3714.0,1611,3218,496.0,17187.0,125.0,150,152,242,116,175,74,0.0,0.0,,
8,100,2008JJ00  ,3125,2011,1750.0,1174,0,0,1,96692.0,54025,92015,51825,4677.0,2200,4056,621.0,17484.0,135.0,168,159,251,144,217,111,0.0,0.0,,
9,200,2001JJ00  ,310,0,0.0,0,310,10,0,,1450,2420,1550,,-95,190,,,0.0,0,0,0,0,0,0,,,,
