ID,Geslacht,Kenmerken,Perioden,WerknemersMetKinderenTot8Jaar_1,WerknemersMetOuderschapsverlof_2,GeenOuderschapsverlofWelBehoefte_3,GeenOuderschapsverlofGeenBehoefte_4,OuderschapsverlofOnbekend_5
0,3,11,2005JJ00,1366.0,121.0,140.0,993.0,112.0
1,3,11,2007JJ00,1392.0,122.0,161.0,979.0,130.0
2,3,11,2009JJ00,1371.0,126.0,148.0,971.0,127.0
3,3,11,2011JJ00,1328.0,160.0,111.0,932.0,125.0
4,3,11,2013JJ00,1260.0,182.0,109.0,840.0,129.0
5,3,12,2005JJ00,312.0,29.0,21.0,223.0,38.0
6,3,12,2007JJ00,299.0,21.0,22.0,212.0,43.0
7,3,12,2009JJ00,275.0,18.0,20.0,199.0,37.0
8,3,12,2011JJ00,248.0,23.0,15.0,182.0,28.0
9,3,12,2013JJ00,203.0,21.0,9.0,142.0,31.0
10,3,13,2005JJ00,326.0,46.0,38.0,201.0,42.0
11,3,13,2007JJ00,362.0,48.0,44.0,222.0,49.0
12,3,13,2009JJ00,390.0,55.0,45.0,238.0,52.0
13,3,13,2011JJ00,401.0,69.0,33.0,242.0,57.0
14,3,13,2013JJ00,411.0,90.0,32.0,232.0,57.0
15,3,14,2005JJ00,728.0,46.0,81.0,569.0,32.0
16,3,14,2007JJ00,730.0,53.0,94.0,545.0,37.0
17,3,14,2009JJ00,706.0,52.0,83.0,533.0,38.0
18,3,14,2011JJ00,679.0,67.0,63.0,508.0,40.0
19,3,14,2013JJ00,646.0,72.0,68.0,465.0,41.0
20,3,26,2005JJ00,82.0,5.0,11.0,58.0,8.0
21,3,26,2007JJ00,46.0,2.0,6.0,33.0,5.0
22,3,26,2009JJ00,39.0,,4.0,30.0,3.0
23,3,26,2011JJ00,,,,,
24,3,26,2013JJ00,,,,,
25,3,27,2005JJ00,400.0,20.0,33.0,325.0,21.0
26,3,27,2007JJ00,259.0,11.0,31.0,200.0,17.0
27,3,27,2009JJ00,190.0,8.0,24.0,145.0,12.0
28,3,27,2011JJ00,,,,,
29,3,27,2013JJ00,,,,,
30,3,28,2005JJ00,489.0,45.0,51.0,352.0,42.0
31,3,28,2007JJ00,515.0,43.0,63.0,366.0,44.0
32,3,28,2009JJ00,437.0,30.0,52.0,324.0,32.0
33,3,28,2011JJ00,,,,,
34,3,28,2013JJ00,,,,,
35,3,29,2005JJ00,210.0,23.0,24.0,137.0,26.0
36,3,29,2007JJ00,285.0,30.0,31.0,191.0,34.0
37,3,29,2009JJ00,326.0,34.0,31.0,224.0,37.0
38,3,29,2011JJ00,,,,,
39,3,29,2013JJ00,,,,,
40,3,30,2005JJ00,178.0,27.0,20.0,116.0,16.0
41,3,30,2007JJ00,278.0,37.0,28.0,183.0,31.0
42,3,30,2009JJ00,356.0,51.0,35.0,229.0,41.0
43,3,30,2011JJ00,,,,,
44,3,30,2013JJ00,,,,,
45,3,31,2005JJ00,7.0,,,5.0,
46,3,31,2007JJ00,9.0,,,7.0,
47,3,31,2009JJ00,24.0,,3.0,19.0,
48,3,31,2011JJ00,,,,,
49,3,31,2013JJ00,,,,,
50,3,15,2005JJ00,14.0,14.0,,,
51,3,15,2007JJ00,11.0,11.0,,,
52,3,15,2009JJ00,11.0,11.0,,,
53,3,15,2011JJ00,15.0,15.0,,,
54,3,15,2013JJ00,13.0,13.0,,,
55,3,16,2005JJ00,58.0,58.0,,,
