ID,BedrijfstakkenBranchesSBI93,Bedrijfsgrootte,AantalBedrijven10WerkzamePersonen_1,PersoneelDatWerktMetEenComputer_2,PersoneelDatWerktMetInternet_3,Telewerkers_4,BijscholingEigenICTSpecialisten_5,TotaalWerven_6,OndervondenProblemenBijWerven_7,OnvoldoendeVaardigheden_8,OnvoldoendeOpleiding_9,OnvoldoendeWerkervaring_10,TeHogeSalariseisen_11,Werven_12,ProblemenMetWerven_13,BijscholingEigenPersoneel_14,BinnenNederland_15,TotaalBuitenNederland_16,BinnenEuropeseUnie_17,BuitenEuropeseUnie_18,BinnenEuropeseUnie_19,BuitenEuropeseUnie_20,LAN_21,DraadloosLAN_22,Intranet_23,Extranet_24,Telewerkers_25,NietInternetnetwerken_26,Internet_27,AnaloogModem_28,ISDN_29,TotaalBreedband_30,ADSLSDSLKabelEnDergelijke_31,AndereHoogwaardigeVasteVerbindingen_32,DraadlozeVerbinding_33,TenminsteEenAlgemeneToepassing_34,TrainingEnOpleiding_35,Marktmonitoring_36,FinancieleTransacties_37,KlantondersteuningDoorToeleveranciers_38,ElektronischeOntvangstVanProducten_39,TenminsteEenAangebodenFaciliteit_40,PresentatieEigenBedrijf_41,PresentatieEigenProducten_42,Klantenservice_43,ProductcatalogiEnPrijslijsten_44,TenminsteEenSoortCommunicatie_45,VerkrijgenVanInformatie_46,VerkrijgenVanFormulieren_47,RetournerenIngevuldeFormulieren_48,ElektronischInschrijvenOpAanbesteding_49,ViaExterneNetwerken_50,Verkoopwaarde1VanDeTotaleOmzet_51,Verkoopwaarde2VanDeTotaleOmzet_52,Verkoopwaarde5VanDeTotaleOmzet_53,Verkoopwaarde10VanDeTotaleOmzet_54,VerkoopViaInternet_55,Verkoopwaarde1VanDeTotaleOmzet_56,Verkoopwaarde2VanDeTotaleOmzet_57,Verkoopwaarde5VanDeTotaleOmzet_58,Verkoopwaarde10VanDeTotaleOmzet_59,VerkoopViaNietInternetnetwerken_60,Verkoopwaarde1VanDeTotaleOmzet_61,Verkoopwaarde2VanDeTotaleOmzet_62,Verkoopwaarde5VanDeTotaleOmzet_63,Verkoopwaarde10VanDeTotaleOmzet_64,ViaExterneNetwerken_65,Inkoopwaarde1VanDeTotaleInkoop_66,Inkoopwaarde2VanDeTotaleInkoop_67,Inkoopwaarde5VanDeTotaleInkoop_68,Inkoopwaarde10VanDeTotaleInkoop_69,InkoopViaInternet_70,Inkoopwaarde1VanDeTotaleInkoop_71,Inkoopwaarde2VanDeTotaleInkoop_72,Inkoopwaarde5VanDeTotaleInkoop_73,Inkoopwaarde10VanDeTotaleInkoop_74,InkoopViaNietInternetnetwerken_75,Inkoopwaarde1VanDeTotaleInkoop_76,Inkoopwaarde2VanDeTotaleInkoop_77,Inkoopwaarde5VanDeTotaleInkoop_78,Inkoopwaarde10VanDeTotaleInkoop_79,OpenSourceOperatingSystem_80,ERPSoftware_81,TotaalCRMSoftware_82,OpslagKlantgegevens_83,AnalyseKlantgegevens_84,TotaalOrderverwerkingsystemen_85,OrderverwerkingEnGekoppeldeSystemen_86,Facturering_87,Voorraadaanvulling_88,ProductieLogistiek_89,Toeleveranciers_90,KlantenAfnemers_91,Ontvangen_92,Verzonden_93,DigitaleHandtekening_94,CryptografischeProtocollen_95
0, 1,14,57973.0,60,49,13,13,8,5,4,2,3,2,35,5,22,47,7,3,1,3,1,83,21,30,13,45,9,99,14,22,87,80,19,12,92,12,33,85,29,34,80,80,47,16,19,80,66,67,70,6,28,24,22,19,14,26,22,19,17,12,4,4,4,3,3,42,35,31,29,21,40,34,30,27,20,3,3,3,2,2,9,21,22,18,13,65,60,57,15,23,13,8,6,7,32,7
1, 1,11,47397.0,56,48,12,8,5,3,3,2,2,2,29,4,16,43,5,3,0,2,0,81,19,24,10,39,6,99,14,23,85,80,15,10,91,10,30,84,27,32,78,78,44,15,18,78,63,65,69,5,27,23,21,18,13,26,22,19,17,12,3,2,2,2,2,40,34,31,28,21,39,33,29,27,20,2,2,2,2,1,8,16,19,15,12,63,57,54,12,18,12,6,5,5,32,6
2, 1,12,8543.0,61,50,14,31,16,9,7,3,6,4,59,9,44,66,12,7,2,5,1,96,27,49,21,70,20,99,13,17,94,80,32,23,95,19,40,86,36,41,89,89,60,22,24,88,77,78,79,8,34,29,27,23,19,29,24,21,18,14,11,10,9,9,8,47,40,34,31,21,44,37,32,28,18,7,6,5,5,4,15,45,34,28,21,76,72,70,25,43,18,16,9,13,36,12
3, 1,13,2033.0,62,50,13,62,41,29,23,12,20,15,72,18,71,73,19,9,4,9,5,99,38,76,39,85,35,100,6,12,98,67,58,32,95,35,54,82,49,57,94,94,66,28,26,88,81,76,70,12,33,27,25,22,18,27,21,18,15,10,16,13,13,12,10,60,48,42,36,26,57,45,38,31,21,12,11,10,9,7,25,41,35,29,24,76,73,69,24,47,29,20,17,18,40,17
4, 2,14,10429.0,53,41,11,15,7,3,3,1,2,1,33,4,22,49,7,4,1,3,1,86,20,29,11,45,9,99,14,18,90,83,19,12,95,9,37,88,32,36,83,83,52,16,19,83,68,70,75,4,35,31,28,25,19,32,28,25,22,16,6,5,5,5,4,39,33,30,27,19,38,32,29,26,18,2,2,2,2,1,9,36,20,17,12,77,72,69,23,43,14,11,5,7,30,6
5, 2,11,7814.0,44,36,7,6,3,1,1,1,1,1,25,3,15,43,4,2,0,2,1,82,17,22,8,34,3,99,15,19,87,84,13,8,94,5,31,88,30,32,80,80,47,13,17,81,65,66,74,4,34,30,26,24,17,33,29,25,23,17,2,2,2,1,1,37,32,29,26,19,36,31,29,26,18,1,1,1,1,0,7,25,15,13,9,72,67,64,15,34,12,8,4,4,29,4
6, 2,12,2135.0,56,42,10,37,13,6,5,1,4,3,57,5,36,65,16,9,2,6,2,98,28,46,17,77,21,100,11,14,97,81,35,20,97,19,52,87,37,47,94,94,68,21,24,89,80,80,80,5,37,33,32,28,23,27,23,23,19,14,15,15,14,14,12,45,35,30,26,17,42,33,28,24,16,5,4,3,3,3,14,74,33,29,21,91,88,84,48,72,17,17,6,15,35,10
7, 2,13,480.0,56,42,14,72,37,25,20,10,16,10,70,13,74,73,28,14,7,14,4,99,41,78,41,89,41,100,6,12,100,66,64,32,96,43,64,87,47,62,94,94,67,30,34,89,80,78,71,6,48,42,39,36,31,34,28,24,21,15,30,26,26,25,20,62,49,42,36,27,59,45,38,31,21,15,12,11,11,7,21,68,46,41,32,91,88,84,45,77,37,28,18,22,33,25
8, 3,14,67.0,96,88,22,56,46,31,14,11,9,20,75,11,82,85,18,9,0,12,6,100,30,74,40,90,23,100,13,31,97,59,67,38,93,29,56,80,47,56,93,93,69,30,43,90,80,77,67,15,29,23,21,21,16,27,21,19,19,14,2,2,2,2,2,39,29,26,26,24,39,29,26,26,24,0,0,0,0,0,23,59,36,34,29,83,80,80,38,54,30,15,17,19,56,18
9, 3,11,14.0,88,76,15,36,18,9,9,0,0,0,52,0,57,88,9,9,0,0,0,100,34,48,27,70,18,100,9,21,100,73,45,13,100,18,48,70,21,30,91,91,34,9,21,79,57,70,48,9,18,18,18,18,18,9,9,9,9,9,9,9,9,9,9,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,18,30,21,9,66,57,57,21,27,18,9,18,9,43,0
