ID,Perioden,AlleBedrijven_1,BedrijvenMetAkkerbouw_2,BedrijvenMetTuinbouwOpenGrond_3,BedrijvenMetTuinbouwOnderGlas_4,BedrijvenMetGrasland_5,BedrijvenMetRundvee_6,BedrijvenMetVarkens_7,BedrijvenMetPaardenEnPonyS_8,BedrijvenMetSchapen_9,BedrijvenMetGeiten_10,BedrijvenMetKippen_11,BedrijvenMetEenden_12,ArbeidskrachtenTotaal_13,Mannen_14,Vrouwen_15,GezinsarbeidskrachtenTotaal_16,Mannen_17,Vrouwen_18,BedrijfshoofdenTotaal_19,Mannen_20,Vrouwen_21,MeewerkendeEchtgenotenTotaal_22,Mannen_23,Vrouwen_24,MeewerkendeKinderenTotaal_25,Mannen_26,Vrouwen_27,OverigeMeewerkendeFamilieledenTotaal_28,Mannen_29,Vrouwen_30,NietGezinsarbeidskrachtenTotaal_31,Mannen_32,Vrouwen_33,Eenden_34,Geiten_35,Kalkoenen_36,Leghennen_37,Slachtkuikens_38,PaardenEnPonyS_39,MelkEnKalfkoeien_40,Stieren_41,OverigMelkEnFokvee_42,VleesEnWeidevee_43,Vleeskalveren_44,Schapen_45,Varkens_46,TotaleCultuurgrond_47,Consumptieaardappelen_48,Zetmeelaardappelen_49,Gladiolen_50,Hyacinten_51,Irissen_52,Lelies_53,Narcissen_54,Tulpen_55,BloemkwekerijgewassenOpenGrond_56,Anjers_57,Anthurium_58,Chrysanten_59,Fresia_60,Gerbera_61,Lelies_62,Orchideeen_63,Rozen_64,Perkplanten_65,Potplanten_66,BosEnHaagplantsoen_67,LaanEnParkbomen_68,Rozenstruiken_69,Sierconiferen_70,SierheestersEnKlimplanten_71,VastePlanten_72,Vruchtbomen_73,BoomkwekerijgewassenOnderGlas_74,Braakland_75,Appelen_76,KersenEnMorellen_77,Kleinfruit_78,Peren_79,Pruimen_80,FruitOnderGlas_81,GerstWinter_82,GerstZomer_83,Haver_84,Korrelmais_85,Rogge_86,TarweWinter_87,TarweZomer_88,GraslandTotaal_89,BlijvendGrasland_90,TijdelijkGrasland_91,Groenbemestingsgewassen_92,Aardbeien_93,Asperges_94,Augurken_95,Bloemkool_96,Erwten_97,Knolselderij_98,Peen_99,Prei_100,Sluitkool_101,Spinazie_102,Spruitkool_103,StokEnStamslabonen_104,Tuinbonen_105,Witlofwortel_106,Komkommers_107,Tomaten_108,KlaverEnLuzerne_109,Snijmais_110,Cichorei_111,Koolzaad_112,Vlas_113,ErwtenDroogGeoogst_114,BruineBonen_115,Veldbonen_116,Suikerbieten_117,Voederbieten_118,Zaaiuien_119,Akkerbouwzaden_120,Tuinbouwzaden_121,Consumptieaardappelen_122,Zetmeelaardappelen_123,Appelen_124,Bessen_125,Bramen_126,Druiven_127,Frambozen_128,KersenEnMorellen_129,Meloenen_130,Peren_131,Perziken_132,Pruimen_133,GerstWinter_134,GerstZomer_135,Haver_136,Korrelmais_137,Rogge_138,TarweWinter_139,TarweZomer_140,Aardbeien_141,Andijvie_142,Asperges_143,Augurken_144,Bloemkool_145,Boerenkool_146,Champignons_147,ChineseKool_148,Erwten_149,Komkommer_150,Knolselderij_151,Koolraap_152,Kropsla_153,Kroten_154,Paprika_155,Peen_156,Peterselie_157,Postelein_158,Prei_159,Rabarber_160,Radijs_161,RodeKool_162,Savooiekool_163,Schorseneren_164,Selderij_165,Snijbonen_166,Sperziebonen_167,Spinazie_168,Spitskool_169,Spruiten_170,Tomaten_171,Tuinbonen_172,Uien_173,Witlof_174,WitteKool_175,Cichorei_176,Koolzaad_177,VlasLijnzaad_178,ErwtenDroogGeoogst_179,BruineBonen_180,Veldbonen_181,Snijmais_182,Suikerbieten_183,Voederbieten_184,Zaaiuien_185,Eieren_186,TotaleMelkproductie_187,MelkAfgeleverdAanFabrieken_188,OverigeMelk_189,Rundvlees_190,Kalfsvlees_191,Varkensvlees_192,Paardenvlees_193,SchapenEnGeitenvlees_194,VleesVanVleeskippen_195,VleesVanVleeskuikens_196,Boter_197,GecondenseerdeMelk_198,Kaas_199,Melkpoeder_200
0,1851JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.0,,,,,,812.0,315.0,,97,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,207,,,,,,,,,,,,,,,,,,,,,,,,,1.0,42,17,10,3,34,,,,,,736.0,55.0,,,,,,,,,,,,,122.0,,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,60.0,10.0,17.0,5.0,60.0,,,,,,1966.0,,,,,,,,,,,,,
1,1852JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.0,,,,,,837.0,306.0,,101,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,205,,,,,,,,,,,,,,,,,,,,,,,,,1.0,36,17,11,3,34,,,,,,602.0,45.0,,,,,,,,,,,,,147.0,,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,44.0,9.0,15.0,5.0,59.0,,,,,,1956.0,,,,,,,,,,,,,
2,1853JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,,,,,,832.0,299.0,,104,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,207,,,,,,,,,,,,,,,,,,,,,,,,,1.0,25,16,12,4,41,,,,,,540.0,41.0,,,,,,,,,,,,,150.0,,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,24.0,7.0,20.0,7.0,84.0,,,,,,1908.0,,,,,,,,,,,,,
3,1854JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,,,,,,858.0,307.0,,102,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,207,,,,,,,,,,,,,,,,,,,,,,,,,1.0,31,15,12,4,41,,,,,,749.0,56.0,,,,,,,,,,,,,161.0,,286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,48.0,9.0,19.0,7.0,69.0,,,,,,1946.0,,,,,,,,,,,,,
4,1855JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.0,,,,,,821.0,302.0,,107,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,208,,,,,,,,,,,,,,,,,,,,,,,,,1.0,30,15,13,4,43,,,,,,705.0,53.0,,,,,,,,,,,,,188.0,,244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,40.0,9.0,21.0,7.0,75.0,,,,,,1870.0,,,,,,,,,,,,,
5,1856JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,,,,,,782.0,306.0,,110,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,213,,,,,,,,,,,,,,,,,,,,,,,,,2.0,30,15,13,4,43,,,,,,936.0,70.0,,,,,,,,,,,,,164.0,,302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,40.0,4.0,24.0,9.0,80.0,,,,,,2047.0,,,,,,,,,,,,,
6,1857JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.0,,,,,,789.0,334.0,,111,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,212,,,,,,,,,,,,,,,,,,,,,,,,,2.0,34,15,12,5,41,,,,,,908.0,68.0,,,,,,,,,,,,,120.0,,310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,44.0,9.0,18.0,10.0,62.0,,,,,,1952.0,,,,,,,,,,,,,
7,1858JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,,,,,,768.0,323.0,,116,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,215,,,,,,,,,,,,,,,,,,,,,,,,,2.0,22,17,11,4,44,,,,,,1183.0,89.0,,,,,,,,,,,,,130.0,,297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,24.0,8.0,7.0,,48.0,,,,,,1800.0,,,,,,,,,,,,,
8,1859JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.0,,,,,,802.0,334.0,,111,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,215,,,,,,,,,,,,,,,,,,,,,,,,,1.0,34,16,9,4,38,,,,,,796.0,60.0,,,,,,,,,,,,,129.0,,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,53.0,9.0,15.0,8.0,55.0,,,,,,1980.0,,,,,,,,,,,,,
9,1860JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.0,,,,,,866.0,346.0,,114,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,213,,,,,,,,,,,,,,,,,,,,,,,,,1.0,28,18,11,4,36,,,,,,855.0,64.0,,,,,,,,,,,,,165.0,,288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,35.0,9.0,15.0,,60.0,,,,,,2036.0,,,,,,,,,,,,,
