ID,SoftwarepakkettenBedrijfsfuncties,MateVanStandaardisatieSoftwarepakket,BedrijfstakkenBranchesSBI93,Perioden,AantalBedrijven250WerkzamePersonen_1,PercentageBedrijven250WerkzPers_2
0,  1,  0,       1,2006JJ00  ,2282,100
1,  1,  0,       1,2007JJ00  ,2273,100
2,  1,  0,       1,2008JJ00  ,2256,100
3,  1,  0,       2,2006JJ00  ,495,100
4,  1,  0,       2,2007JJ00  ,496,100
5,  1,  0,       2,2008JJ00  ,492,100
6,  1,  0,       3,2006JJ00  ,293,100
7,  1,  0,       3,2007JJ00  ,298,100
8,  1,  0,       3,2008JJ00  ,299,100
9,  1,  0,       4,2006JJ00  ,152,100
10,  1,  0,       4,2007JJ00  ,153,100
11,  1,  0,       4,2008JJ00  ,146,100
12,  1,  0,       5,2006JJ00  ,74,100
13,  1,  0,       5,2007JJ00  ,73,100
14,  1,  0,       5,2008JJ00  ,63,100
15,  1,  0,       6,2006JJ00  ,430,100
16,  1,  0,       6,2007JJ00  ,423,100
17,  1,  0,       6,2008JJ00  ,430,100
18,  1,  0,       7,2006JJ00  ,838,100
19,  1,  0,       7,2007JJ00  ,830,100
20,  1,  0,       7,2008JJ00  ,827,100
21,  1,  1,       1,2006JJ00  ,622,27
22,  1,  1,       1,2007JJ00  ,713,31
23,  1,  1,       1,2008JJ00  ,723,32
24,  1,  1,       2,2006JJ00  ,188,38
25,  1,  1,       2,2007JJ00  ,207,42
26,  1,  1,       2,2008JJ00  ,213,43
27,  1,  1,       3,2006JJ00  ,114,39
28,  1,  1,       3,2007JJ00  ,131,44
29,  1,  1,       3,2008JJ00  ,149,50
30,  1,  1,       4,2006JJ00  ,30,20
31,  1,  1,       4,2007JJ00  ,40,26
32,  1,  1,       4,2008JJ00  ,43,29
33,  1,  1,       5,2006JJ00  ,22,30
34,  1,  1,       5,2007JJ00  ,30,41
35,  1,  1,       5,2008JJ00  ,24,38
36,  1,  1,       6,2006JJ00  ,124,29
37,  1,  1,       6,2007JJ00  ,132,31
38,  1,  1,       6,2008JJ00  ,144,33
39,  1,  1,       7,2006JJ00  ,146,17
40,  1,  1,       7,2007JJ00  ,174,21
41,  1,  1,       7,2008JJ00  ,150,18
42,  1,  2,       1,2006JJ00  ,515,23
43,  1,  2,       1,2007JJ00  ,576,25
44,  1,  2,       1,2008JJ00  ,644,29
45,  1,  2,       2,2006JJ00  ,135,27
46,  1,  2,       2,2007JJ00  ,139,28
47,  1,  2,       2,2008JJ00  ,142,29
48,  1,  2,       3,2006JJ00  ,71,24
49,  1,  2,       3,2007JJ00  ,75,25
50,  1,  2,       3,2008JJ00  ,80,27
51,  1,  2,       4,2006JJ00  ,36,24
52,  1,  2,       4,2007JJ00  ,50,33
53,  1,  2,       4,2008JJ00  ,64,44
54,  1,  2,       5,2006JJ00  ,38,51
55,  1,  2,       5,2007JJ00  ,18,25
56,  1,  2,       5,2008JJ00  ,19,30
57,  1,  2,       6,2006JJ00  ,103,24
