ID,ICTStellingen,BeantwoordingICTStellingen,BedrijfstakkenBranchesSBI93,Perioden,AantalBedrijven250WerkzamePersonen_1,PercentageBedrijven250WerkzamePers_2
0,  1,  0,       1,2006JJ00  ,2282,100
1,  1,  0,       1,2007JJ00  ,2273,100
2,  1,  0,       1,2008JJ00  ,2256,100
3,  1,  0,       2,2006JJ00  ,495,100
4,  1,  0,       2,2007JJ00  ,496,100
5,  1,  0,       2,2008JJ00  ,492,100
6,  1,  0,       3,2006JJ00  ,293,100
7,  1,  0,       3,2007JJ00  ,298,100
8,  1,  0,       3,2008JJ00  ,299,100
9,  1,  0,       4,2006JJ00  ,152,100
10,  1,  0,       4,2007JJ00  ,153,100
11,  1,  0,       4,2008JJ00  ,146,100
12,  1,  0,       5,2006JJ00  ,74,100
13,  1,  0,       5,2007JJ00  ,73,100
14,  1,  0,       5,2008JJ00  ,63,100
15,  1,  0,       6,2006JJ00  ,430,100
16,  1,  0,       6,2007JJ00  ,423,100
17,  1,  0,       6,2008JJ00  ,430,100
18,  1,  0,       7,2006JJ00  ,838,100
19,  1,  0,       7,2007JJ00  ,830,100
20,  1,  0,       7,2008JJ00  ,827,100
21,  1,  1,       1,2006JJ00  ,1379,60
22,  1,  1,       1,2007JJ00  ,1393,61
23,  1,  1,       1,2008JJ00  ,1440,64
24,  1,  1,       2,2006JJ00  ,300,61
25,  1,  1,       2,2007JJ00  ,302,61
26,  1,  1,       2,2008JJ00  ,320,65
27,  1,  1,       3,2006JJ00  ,186,63
28,  1,  1,       3,2007JJ00  ,194,65
29,  1,  1,       3,2008JJ00  ,216,72
30,  1,  1,       4,2006JJ00  ,107,70
31,  1,  1,       4,2007JJ00  ,107,70
32,  1,  1,       4,2008JJ00  ,98,67
33,  1,  1,       5,2006JJ00  ,72,97
34,  1,  1,       5,2007JJ00  ,64,88
35,  1,  1,       5,2008JJ00  ,43,68
36,  1,  1,       6,2006JJ00  ,268,62
37,  1,  1,       6,2007JJ00  ,273,65
38,  1,  1,       6,2008JJ00  ,254,59
39,  1,  1,       7,2006JJ00  ,446,53
40,  1,  1,       7,2007JJ00  ,453,55
41,  1,  1,       7,2008JJ00  ,508,61
42,  1,  2,       1,2006JJ00  ,726,32
43,  1,  2,       1,2007JJ00  ,707,31
44,  1,  2,       1,2008JJ00  ,656,29
45,  1,  2,       2,2006JJ00  ,171,35
46,  1,  2,       2,2007JJ00  ,152,31
47,  1,  2,       2,2008JJ00  ,144,29
48,  1,  2,       3,2006JJ00  ,87,30
49,  1,  2,       3,2007JJ00  ,90,30
50,  1,  2,       3,2008JJ00  ,63,21
51,  1,  2,       4,2006JJ00  ,38,25
52,  1,  2,       4,2007JJ00  ,38,25
53,  1,  2,       4,2008JJ00  ,37,25
54,  1,  2,       5,2006JJ00  ,0,0
55,  1,  2,       5,2007JJ00  ,3,4
56,  1,  2,       5,2008JJ00  ,12,19
57,  1,  2,       6,2006JJ00  ,139,32
