ID,MotievenEBusiness,BelangVanMotief,BedrijfstakkenBranchesSBI93,Perioden,AantalBedrijven250WerkzamePersonen_1,PercentageBedrijven250WerkzPers_2
0,  1,  0,       1,2006JJ00  ,2282,100
1,  1,  0,       1,2007JJ00  ,2273,100
2,  1,  0,       1,2008JJ00  ,2256,100
3,  1,  0,       2,2006JJ00  ,495,100
4,  1,  0,       2,2007JJ00  ,496,100
5,  1,  0,       2,2008JJ00  ,492,100
6,  1,  0,       3,2006JJ00  ,293,100
7,  1,  0,       3,2007JJ00  ,298,100
8,  1,  0,       3,2008JJ00  ,299,100
9,  1,  0,       4,2006JJ00  ,152,100
10,  1,  0,       4,2007JJ00  ,153,100
11,  1,  0,       4,2008JJ00  ,146,100
12,  1,  0,       5,2006JJ00  ,74,100
13,  1,  0,       5,2007JJ00  ,73,100
14,  1,  0,       5,2008JJ00  ,63,100
15,  1,  0,       6,2006JJ00  ,430,100
16,  1,  0,       6,2007JJ00  ,423,100
17,  1,  0,       6,2008JJ00  ,430,100
18,  1,  0,       7,2006JJ00  ,838,100
19,  1,  0,       7,2007JJ00  ,830,100
20,  1,  0,       7,2008JJ00  ,827,100
21,  1,  1,       1,2006JJ00  ,641,28
22,  1,  1,       1,2007JJ00  ,695,31
23,  1,  1,       1,2008JJ00  ,677,30
24,  1,  1,       2,2006JJ00  ,119,24
25,  1,  1,       2,2007JJ00  ,116,23
26,  1,  1,       2,2008JJ00  ,103,21
27,  1,  1,       3,2006JJ00  ,81,28
28,  1,  1,       3,2007JJ00  ,125,42
29,  1,  1,       3,2008JJ00  ,124,41
30,  1,  1,       4,2006JJ00  ,72,47
31,  1,  1,       4,2007JJ00  ,58,38
32,  1,  1,       4,2008JJ00  ,69,47
33,  1,  1,       5,2006JJ00  ,46,62
34,  1,  1,       5,2007JJ00  ,51,70
35,  1,  1,       5,2008JJ00  ,52,83
36,  1,  1,       6,2006JJ00  ,149,35
37,  1,  1,       6,2007JJ00  ,159,38
38,  1,  1,       6,2008JJ00  ,131,30
39,  1,  1,       7,2006JJ00  ,174,21
40,  1,  1,       7,2007JJ00  ,186,22
41,  1,  1,       7,2008JJ00  ,198,24
42,  1,  2,       1,2006JJ00  ,701,31
43,  1,  2,       1,2007JJ00  ,657,29
44,  1,  2,       1,2008JJ00  ,587,26
45,  1,  2,       2,2006JJ00  ,171,35
46,  1,  2,       2,2007JJ00  ,159,32
47,  1,  2,       2,2008JJ00  ,142,29
48,  1,  2,       3,2006JJ00  ,88,30
49,  1,  2,       3,2007JJ00  ,66,22
50,  1,  2,       3,2008JJ00  ,84,28
51,  1,  2,       4,2006JJ00  ,37,24
52,  1,  2,       4,2007JJ00  ,48,31
53,  1,  2,       4,2008JJ00  ,22,15
54,  1,  2,       5,2006JJ00  ,20,27
55,  1,  2,       5,2007JJ00  ,19,26
56,  1,  2,       5,2008JJ00  ,11,17
57,  1,  2,       6,2006JJ00  ,121,28
58,  1,  2,       6,2007JJ00  ,128,30
