ID,BedrijfstakkenBranchesSBI2008,Vestigingsgrootte,RegioS,Perioden,ProductieBasisprijzen_1,ToegevoegdeWaardeBrutoBasisprijzen_2,BeloningVanWerknemers_3,ArbeidsvolumeWerkzamePersonen_4,ArbeidsvolumeWerknemers_5
0,300025,100000,NL01  ,2007JJ00,1085523.0,507645.0,280313.0,6729.3,5906.2
1,300025,100000,NL01  ,2008JJ00,1149447.0,528239.0,294716.0,6831.7,6013.9
2,300025,100000,NL01  ,2009JJ00,1092974.0,509151.0,298517.0,6759.2,5939.1
3,300025,100000,LD01  ,2007JJ00,96436.0,49595.0,23594.0,610.4,520.8
4,300025,100000,LD01  ,2008JJ00,105044.0,55099.0,24720.0,616.3,528.6
5,300025,100000,LD01  ,2009JJ00,97958.0,50690.0,24952.0,607.8,520.3
6,300025,100000,LD02  ,2007JJ00,188810.0,90182.0,52707.0,1345.1,1168.9
7,300025,100000,LD02  ,2008JJ00,198417.0,93622.0,55634.0,1365.7,1189.4
8,300025,100000,LD02  ,2009JJ00,191623.0,91582.0,56494.0,1353.8,1177.1
9,300025,100000,LD03  ,2007JJ00,553212.0,255935.0,144756.0,3315.6,2935.7
10,300025,100000,LD03  ,2008JJ00,587303.0,263332.0,151663.0,3365.7,2988.0
11,300025,100000,LD03  ,2009JJ00,562442.0,256181.0,154097.0,3337.5,2958.2
12,300025,100000,LD04  ,2007JJ00,238759.0,105642.0,58829.0,1452.6,1275.2
13,300025,100000,LD04  ,2008JJ00,249536.0,108927.0,62268.0,1478.5,1302.4
14,300025,100000,LD04  ,2009JJ00,234046.0,105491.0,62537.0,1454.6,1278.0
15,300025,100000,LDZZ  ,2007JJ00,8306.0,6291.0,427.0,5.6,5.6
16,300025,100000,LDZZ  ,2008JJ00,9147.0,7259.0,431.0,5.5,5.5
17,300025,100000,LDZZ  ,2009JJ00,6905.0,5207.0,437.0,5.5,5.5
18,300025,100000,PV20  ,2007JJ00,40008.0,21857.0,8537.0,208.9,182.6
19,300025,100000,PV20  ,2008JJ00,46312.0,26499.0,8897.0,210.1,184.9
20,300025,100000,PV20  ,2009JJ00,41640.0,22891.0,9001.0,207.3,182.3
21,300025,100000,PV21  ,2007JJ00,32295.0,15997.0,8654.0,232.4,195.1
