ID,ArbeidspositieEindePeriode,LangdurigeAandoening,Geslacht,KinderenInHuishouden,Perioden,Personen15Tot65JaarBeginPeriode_1,WerkzameBeroepsbevolkingBeginPeriode_2,WerklozenNietActievenBeginPeriode_3
0,1,1, 1,10,2003kw01,10893,6945,3948
1,1,1, 1,10,2003kw02,10906,6959,3948
2,1,1, 1,10,2003kw03,10906,7022,3884
3,1,1, 1,10,2003kw04,10913,6945,3968
4,1,1, 1,10,2003JJ00,10903,6969,3934
5,1,1, 1,10,2004kw01,10919,6894,4025
6,1,1, 1,10,2004kw02,10923,6933,3990
7,1,1, 1,10,2004kw03,10927,7004,3923
8,1,1, 1,10,2004kw04,10931,6933,3998
9,1,1, 1,10,2004JJ00,10925,6941,3984
10,1,1, 1,10,2005kw01,10935,6881,4054
11,1,1, 1,10,2005kw02,10938,6959,3979
12,1,1, 1,10,2005kw03,10941,7042,3900
13,1,1, 1,10,2005kw04,10945,7010,3934
14,1,1, 1,10,2005JJ00,10940,6973,3967
15,1,1, 1,10,2006kw01,10948,6994,3953
16,1,1, 1,10,2006kw02,10950,7060,3890
17,1,1, 1,10,2006kw03,10951,7170,3781
18,1,1, 1,10,2006kw04,10956,7165,3791
19,1,1, 1,10,2006JJ00,10952,7097,3854
20,1,1, 1,10,2008kw01,10984,7396,3588
21,1,1, 1,10,2008kw02,10992,7495,3497
22,1,1, 1,10,2008kw03,11001,7578,3423
23,1,1, 1,10,2008kw04,11010,7534,3476
24,1,1, 1,10,2008JJ00,10997,7501,3496
25,1,1, 1,10,2009kw01,11014,7500,3514
26,1,1, 1,10,2009kw02,11014,7495,3518
27,1,1, 1,10,2009kw03,11014,7499,3514
28,1,1, 1,10,2009kw04,11013,7382,3631
29,1,1, 1,10,2009JJ00,11014,7469,3545
30,1,1, 1,10,2010kw01,11014,7312,3702
31,1,1, 1,10,2010kw02,11016,7370,3646
32,1,1, 1,10,2010kw03,11018,7455,3563
33,1,1, 1,10,2010kw04,11020,7426,3595
34,1,1, 1,11,2003kw01,6199,3969,2230
35,1,1, 1,11,2003kw02,6202,3996,2206
36,1,1, 1,11,2003kw03,6178,4047,2131
37,1,1, 1,11,2003kw04,6202,3984,2218
38,1,1, 1,11,2003JJ00,6104,3944,2160
39,1,1, 1,11,2004kw01,6236,3969,2267
40,1,1, 1,11,2004kw02,6245,3986,2259
41,1,1, 1,11,2004kw03,6221,4032,2189
42,1,1, 1,11,2004kw04,6236,3966,2270
43,1,1, 1,11,2004JJ00,6166,3928,2238
44,1,1, 1,11,2005kw01,6206,3936,2270
45,1,1, 1,11,2005kw02,6201,3988,2213
46,1,1, 1,11,2005kw03,6199,4054,2145
47,1,1, 1,11,2005kw04,6210,4032,2177
48,1,1, 1,11,2005JJ00,6143,3959,2184
49,1,1, 1,11,2006kw01,6213,4022,2191
50,1,1, 1,11,2006kw02,6190,4042,2148
51,1,1, 1,11,2006kw03,6160,4100,2060
52,1,1, 1,11,2006kw04,6193,4117,2077
53,1,1, 1,11,2006JJ00,6110,4019,2091
54,1,1, 1,11,2008kw01,6239,4270,1969
55,1,1, 1,11,2008kw02,6246,4310,1936
56,1,1, 1,11,2008kw03,6266,4393,1873
57,1,1, 1,11,2008kw04,6280,4347,1933
58,1,1, 1,11,2008JJ00,6201,4305,1896
59,1,1, 1,11,2009kw01,6272,4299,1974
60,1,1, 1,11,2009kw02,6287,4334,1953
61,1,1, 1,11,2009kw03,6278,4350,1928
62,1,1, 1,11,2009kw04,6238,4216,2022
63,1,1, 1,11,2009JJ00,6173,4235,1938
64,1,1, 1,11,2010kw01,6219,4175,2044
65,1,1, 1,11,2010kw02,6226,4211,2014
66,1,1, 1,11,2010kw03,6175,4221,1954
67,1,1, 1,11,2010kw04,6171,4183,1987
68,1,1, 1,12,2003kw01,4711,3034,1677
69,1,1, 1,12,2003kw02,4712,3055,1657
70,1,1, 1,12,2003kw03,4708,3108,1601
71,1,1, 1,12,2003kw04,4706,3047,1659
72,1,1, 1,12,2003JJ00,4629,3020,1609
73,1,1, 1,12,2004kw01,4716,3029,1687
74,1,1, 1,12,2004kw02,4677,3010,1667
75,1,1, 1,12,2004kw03,4670,3057,1613
76,1,1, 1,12,2004kw04,4689,3009,1680
77,1,1, 1,12,2004JJ00,4640,2995,1646
78,1,1, 1,12,2005kw01,4695,2994,1701
79,1,1, 1,12,2005kw02,4671,3021,1650
80,1,1, 1,12,2005kw03,4659,3063,1596
81,1,1, 1,12,2005kw04,4686,3065,1622
82,1,1, 1,12,2005JJ00,4635,3012,1623
83,1,1, 1,12,2006kw01,4702,3077,1625
84,1,1, 1,12,2006kw02,4672,3079,1594
85,1,1, 1,12,2006kw03,4662,3136,1526
86,1,1, 1,12,2006kw04,4670,3139,1531
87,1,1, 1,12,2006JJ00,4619,3068,1551
88,1,1, 1,12,2008kw01,4623,3191,1431
89,1,1, 1,12,2008kw02,4621,3213,1407
90,1,1, 1,12,2008kw03,4634,3275,1359
91,1,1, 1,12,2008kw04,4636,3249,1387
92,1,1, 1,12,2008JJ00,4627,3261,1366
93,1,1, 1,12,2009kw01,4641,3226,1415
94,1,1, 1,12,2009kw02,4624,3229,1394
95,1,1, 1,12,2009kw03,4613,3240,1374
96,1,1, 1,12,2009kw04,4604,3156,1448
97,1,1, 1,12,2009JJ00,4629,3220,1409
98,1,1, 1,12,2010kw01,4594,3133,1461
99,1,1, 1,12,2010kw02,4571,3157,1414
100,1,1, 1,12,2010kw03,4576,3194,1382
101,1,1, 1,12,2010kw04,4508,3113,1395
102,1,1, 1,13,2003kw01,1488,935,553
103,1,1, 1,13,2003kw02,1490,941,549
104,1,1, 1,13,2003kw03,1470,939,530
105,1,1, 1,13,2003kw04,1495,937,558
106,1,1, 1,13,2003JJ00,1474,924,551
107,1,1, 1,13,2004kw01,1520,940,580
108,1,1, 1,13,2004kw02,1569,977,592
109,1,1, 1,13,2004kw03,1551,975,576
110,1,1, 1,13,2004kw04,1547,957,591
111,1,1, 1,13,2004JJ00,1525,933,592
112,1,1, 1,13,2005kw01,1511,942,568
113,1,1, 1,13,2005kw02,1530,967,563
114,1,1, 1,13,2005kw03,1540,991,549
115,1,1, 1,13,2005kw04,1523,968,555
116,1,1, 1,13,2005JJ00,1508,947,562
117,1,1, 1,13,2006kw01,1511,945,566
118,1,1, 1,13,2006kw02,1518,963,554
119,1,1, 1,13,2006kw03,1498,964,534
120,1,1, 1,13,2006kw04,1523,978,545
121,1,1, 1,13,2006JJ00,1491,951,540
122,1,1, 1,13,2008kw01,1616,1078,537
123,1,1, 1,13,2008kw02,1626,1097,529
124,1,1, 1,13,2008kw03,1632,1118,514
125,1,1, 1,13,2008kw04,1645,1098,547
126,1,1, 1,13,2008JJ00,1575,1044,530
127,1,1, 1,13,2009kw01,1631,1072,559
128,1,1, 1,13,2009kw02,1663,1105,559
129,1,1, 1,13,2009kw03,1664,1110,554
130,1,1, 1,13,2009kw04,1634,1059,574
131,1,1, 1,13,2009JJ00,1544,1015,529
132,1,1, 1,13,2010kw01,1625,1042,582
133,1,1, 1,13,2010kw02,1655,1054,600
134,1,1, 1,13,2010kw03,1599,1027,573
135,1,1, 1,13,2010kw04,1662,1070,592
136,1,1, 1,14,2003kw01,4694,2976,1718
137,1,1, 1,14,2003kw02,4705,2963,1742
138,1,1, 1,14,2003kw03,4728,2975,1753
139,1,1, 1,14,2003kw04,4711,2961,1750
140,1,1, 1,14,2003JJ00,4799,3026,1774
141,1,1, 1,14,2004kw01,4683,2925,1758
142,1,1, 1,14,2004kw02,4678,2947,1731
143,1,1, 1,14,2004kw03,4706,2972,1734
144,1,1, 1,14,2004kw04,4695,2967,1728
145,1,1, 1,14,2004JJ00,4759,3013,1746
146,1,1, 1,14,2005kw01,4730,2945,1784
147,1,1, 1,14,2005kw02,4737,2971,1766
148,1,1, 1,14,2005kw03,4743,2987,1755
149,1,1, 1,14,2005kw04,4735,2978,1757
150,1,1, 1,14,2005JJ00,4797,3014,1783
151,1,1, 1,14,2006kw01,4734,2972,1762
152,1,1, 1,14,2006kw02,4760,3019,1742
153,1,1, 1,14,2006kw03,4791,3070,1721
154,1,1, 1,14,2006kw04,4762,3048,1714
155,1,1, 1,14,2006JJ00,4842,3078,1763
156,1,1, 1,14,2008kw01,4745,3126,1619
157,1,1, 1,14,2008kw02,4746,3185,1561
158,1,1, 1,14,2008kw03,4735,3185,1550
159,1,1, 1,14,2008kw04,4730,3187,1542
160,1,1, 1,14,2008JJ00,4795,3196,1599
161,1,1, 1,14,2009kw01,4742,3201,1541
162,1,1, 1,14,2009kw02,4727,3162,1565
163,1,1, 1,14,2009kw03,4736,3149,1586
164,1,1, 1,14,2009kw04,4776,3167,1609
165,1,1, 1,14,2009JJ00,4840,3234,1606
166,1,1, 1,14,2010kw01,4796,3137,1658
167,1,1, 1,14,2010kw02,4791,3159,1632
168,1,1, 1,14,2010kw03,4843,3235,1609
169,1,1, 1,14,2010kw04,4850,3243,1607
170,1,1, 2,10,2003kw01,5507,4109,1398
171,1,1, 2,10,2003kw02,5513,4119,1394
172,1,1, 2,10,2003kw03,5512,4146,1366
173,1,1, 2,10,2003kw04,5514,4109,1405
174,1,1, 2,10,2003JJ00,5512,4138,1373
175,1,1, 2,10,2004kw01,5516,4086,1430
176,1,1, 2,10,2004kw02,5517,4076,1441
177,1,1, 2,10,2004kw03,5516,4110,1407
178,1,1, 2,10,2004kw04,5515,4058,1457
179,1,1, 2,10,2004JJ00,5516,4095,1421
180,1,1, 2,10,2005kw01,5516,4041,1474
181,1,1, 2,10,2005kw02,5517,4074,1443
182,1,1, 2,10,2005kw03,5518,4084,1434
183,1,1, 2,10,2005kw04,5518,4072,1446
184,1,1, 2,10,2005JJ00,5517,4078,1439
185,1,1, 2,10,2006kw01,5518,4060,1458
186,1,1, 2,10,2006kw02,5519,4088,1431
187,1,1, 2,10,2006kw03,5510,4147,1363
188,1,1, 2,10,2006kw04,5517,4134,1383
189,1,1, 2,10,2006JJ00,5517,4122,1396
190,1,1, 2,10,2008kw01,5527,4224,1303
191,1,1, 2,10,2008kw02,5531,4286,1245
192,1,1, 2,10,2008kw03,5535,4317,1218
193,1,1, 2,10,2008kw04,5539,4281,1258
194,1,1, 2,10,2008JJ00,5533,4285,1248
195,1,1, 2,10,2009kw01,5540,4253,1288
196,1,1, 2,10,2009kw02,5538,4234,1304
197,1,1, 2,10,2009kw03,5536,4218,1318
198,1,1, 2,10,2009kw04,5534,4156,1377
199,1,1, 2,10,2009JJ00,5537,4217,1320
200,1,1, 2,10,2010kw01,5533,4087,1446
201,1,1, 2,10,2010kw02,5533,4121,1412
202,1,1, 2,10,2010kw03,5533,4168,1364
203,1,1, 2,10,2010kw04,5532,4148,1385
204,1,1, 2,11,2003kw01,3108,2385,724
205,1,1, 2,11,2003kw02,3111,2403,708
206,1,1, 2,11,2003kw03,3089,2419,670
207,1,1, 2,11,2003kw04,3101,2386,714
208,1,1, 2,11,2003JJ00,3055,2371,684
209,1,1, 2,11,2004kw01,3118,2370,748
210,1,1, 2,11,2004kw02,3125,2364,761
211,1,1, 2,11,2004kw03,3122,2394,728
212,1,1, 2,11,2004kw04,3120,2356,764
