ID,BedrijfstakkenBranchesSBI2008,AantalBedrijven_1,PersoneelDatWerktMetEenComputer_2,PersoneelDatWerktMetInternet_3,Telewerkers_4,LAN_5,DraadloosLAN_6,Intranet_7,Extranet_8,Telewerkers_9,Internet_10,ISDNOfAnaloogModem_11,TotaalBreedband_12,ADSLVDSLEnSDSLEnDergelijke_13,BreedbandVast_14,AndereHoogwaardigeVasteVerbindingen_15,MobielBreedbandTotaal_16,ViaDraagbareComputer_17,ViaMobieleTelefoonSmartphone_18,AndereMobieleVerbindingGPRSEDGE_19,TenMinsteEenAlgemeneToepassing_20,FinancieleTransacties_21,TrainingEnOpleiding_22,TenMinsteEenAangebodenFaciliteit_23,PresentatieEigenBedrijf_24,ProductcatalogiEnPrijslijsten_25,ProductaanpassingVoorKlant_26,OnlineBestellenOfBoeken_27,BestellingVolgen_28,PaginaVoorVasteBezoekers_29,WervenVanPersoneel_30,AndereFaciliteiten_31,TenMinsteEenSoortCommunicatie_32,VerkrijgenVanInformatie_33,VerkrijgenVanFormulieren_34,RetournerenIngevuldeFormulieren_35,VolledigeElekAfhandelingAanvraag_36,ElektronischInschrijvenOpAanbesteding_37,VerkoopViaExterneNetwerken_38,CryptografischeProtocollen_39,Verkoopwaarde1VanDeTotaleOmzet_40,Verkoopwaarde2VanDeTotaleOmzet_41,Verkoopwaarde5VanDeTotaleOmzet_42,Verkoopwaarde10VanDeTotaleOmzet_43,Verkoopwaarde25VanDeTotaleOmzet_44,Verkoopwaarde50VanDeTotaleOmzet_45,VerkoopViaEenWebsite_46,Verkoopwaarde1VanDeTotaleOmzet_47,Verkoopwaarde2VanDeTotaleOmzet_48,Verkoopwaarde5VanDeTotaleOmzet_49,Verkoopwaarde10VanDeTotaleOmzet_50,Verkoopwaarde25VanDeTotaleOmzet_51,Verkoopwaarde50VanDeTotaleOmzet_52,VerkoopViaNietInternetnetwerken_53,Verkoopwaarde1VanDeTotaleOmzet_54,Verkoopwaarde2VanDeTotaleOmzet_55,Verkoopwaarde5VanDeTotaleOmzet_56,Verkoopwaarde10VanDeTotaleOmzet_57,Verkoopwaarde25VanDeTotaleOmzet_58,Verkoopwaarde50VanDeTotaleOmzet_59,InkoopViaExterneNetwerken_60,Inkoopwaarde1VanDeTotaleInkoop_61,Inkoopwaarde2VanDeTotaleInkoop_62,Inkoopwaarde5VanDeTotaleInkoop_63,Inkoopwaarde10VanDeTotaleInkoop_64,Inkoopwaarde25VanDeTotaleInkoop_65,Inkoopwaarde50VanDeTotaleInkoop_66,ERPSoftware_67,TotaalCRMSoftware_68,OpslagKlantgegevens_69,AnalyseKlantgegevens_70,TotaalOpenSourceSoftware_71,BesturingssystemenServerSoftware_72,KantoorEnBedrijfsapplicaties_73,TotaalVerkooporderverwerkingssysteem_74,FactureringsEnBoekhoudsystemen_75,Voorraadbeheersystemen_76,Productiesystemen_77,LogistiekeSystemen_78,TotaalInkooporderverwerkingssysteem_79,BetalingsEnBoekhoudsysteem_80,Voorraadbeheersystemen_81,TenMinsteEenSoortADE_82,OrderverwerkingMetDerden_83,VerzendenVanInkooporders_84,OntvangenVanElektronischeFacturen_85,OntvangenVanVerkooporders_86,VerzendenVanElektronischeFacturen_87,Productinformatie_88,Transportdocumenten_89,DataVanNaarOverheden_90,AndereBerichten_91,TotaalBedrijvenMetSCM_92,TotaalSCMMetLeveranciers_93,TotaalSCMMetAfnemers_94,ViaWebsites_95,ViaAutomatedDataExchangeADE_96,WasZeerBelangrijk_97,WasBelangrijk_98,WasEnigszinsBelangrijk_99,WasOnbelangrijk_100,WasZeerBelangrijk_101,WasBelangrijk_102,WasEnigszinsBelangrijk_103,WasOnbelangrijk_104,WasZeerBelangrijk_105,WasBelangrijk_106,WasEnigszinsBelangrijk_107,WasOnbelangrijk_108,WasZeerBelangrijk_109,WasBelangrijk_110,WasEnigszinsBelangrijk_111,WasOnbelangrijk_112,DigitaleHandtekening_113,Totaal_114,VernietigingOfVerminkingVanGegevens_115,OnthullingVanVertrouwelijkeGegevens_116,UitvalVanICTDiensten_117,VerplichteTrainingOfVoorlichting_118,OpnameInEenArbeidsContract_119,VrijwilligeTraining_120,Storingen_121,AanvalVanBuitenaf_122,Infectie_123,InbraakPharmingOfPhishing_124,Personeel_125,SterkeWachtwoorden_126,HardwareTokens_127,BiometrischeMethoden_128,OffsiteDataBackup_129,LoggingActiviteiten_130
0,11,65518.0,66,61,19,83,37,33,18,56,98,24,91,78,90,28,28,20,22,15,91,91,14,65,82,31,5,23,6,11,39,37,95,64,94,93,46,9,23,8,21,20,18,16,12,9,15,14,13,11,9,4,2,16,15,14,13,12,8,6,43,32,29,26,20,13,9,21,21,19,15,25,14,20,53,38,23,16,20,43,30,22,72,44,25,31,22,12,29,15,51,29,5,3,3,3,3,33,32,19,15,42,43,12,4,23,41,24,13,24,44,24,7,25,30,78,71,76,11,21,22,19,7,8,4,4,51,18,3,49,29
1,12,1456.0,46,37,13,75,29,23,13,44,100,28,87,74,86,28,18,14,12,10,95,94,11,59,79,30,2,25,5,7,26,29,97,63,94,90,48,4,39,16,37,35,33,30,22,15,18,17,13,11,10,4,2,30,29,27,27,23,19,14,37,26,22,19,11,6,3,31,14,12,10,22,11,17,69,53,33,43,35,46,35,27,80,61,24,31,45,30,32,25,54,32,9,6,7,4,8,8,29,30,33,34,47,13,6,18,40,25,18,16,33,38,13,26,21,81,62,77,8,13,19,21,6,7,3,4,45,14,4,41,25
2,13,280.0,59,46,10,88,30,28,19,62,100,22,94,84,93,25,31,20,27,18,92,92,2,65,90,47,6,31,6,4,27,19,98,66,94,91,48,7,38,12,33,29,25,22,20,20,21,19,14,11,7,5,2,28,26,24,24,21,18,17,49,38,36,30,22,14,10,34,16,15,13,24,8,22,85,63,48,45,47,63,46,42,74,48,24,39,38,20,33,42,58,27,4,1,3,1,4,12,38,33,17,27,44,27,2,9,63,25,3,26,33,37,4,23,33,78,77,61,14,22,29,24,15,7,4,5,54,15,2,51,31
3,14,1336.0,63,48,9,85,40,26,25,53,98,26,91,76,90,29,29,12,25,11,89,89,13,59,82,26,14,34,13,18,21,25,97,71,96,96,45,10,36,10,35,33,32,26,20,15,25,24,20,18,10,4,3,28,27,27,24,20,14,12,51,40,36,31,24,14,9,34,30,26,23,33,22,24,77,58,39,46,36,57,37,34,77,49,32,27,36,12,33,25,58,34,7,5,6,6,4,26,26,32,17,39,29,22,10,23,44,28,6,12,61,20,7,25,34,82,67,74,9,21,19,22,12,9,2,5,53,14,3,46,26
4,15,445.0,83,74,23,96,45,54,27,79,100,26,93,78,92,47,39,31,30,30,97,95,33,73,95,42,3,20,6,7,37,42,99,74,99,99,58,10,39,16,32,31,29,26,21,20,16,13,12,12,11,7,2,32,28,28,25,23,20,17,60,40,37,34,22,12,10,64,32,28,24,27,17,19,85,78,69,56,62,79,66,67,81,48,31,25,31,20,27,35,70,31,17,14,12,10,15,7,19,41,33,30,36,31,3,15,37,38,10,15,53,27,6,32,63,85,79,87,32,39,40,28,8,12,5,4,73,31,3,80,53
5,16,863.0,56,41,13,94,33,39,10,71,99,23,91,77,91,30,30,21,24,17,93,92,10,72,93,47,7,21,3,4,38,38,97,70,97,97,55,5,24,5,21,21,18,15,8,6,14,14,13,10,7,4,2,18,15,15,14,11,6,4,45,35,30,26,16,8,6,46,33,28,26,20,11,15,80,53,46,46,43,62,43,38,78,47,32,29,30,10,31,22,62,27,6,3,5,2,5,10,24,34,31,28,43,25,5,7,52,29,12,16,37,34,13,29,42,79,76,78,14,25,28,22,7,9,3,4,63,24,3,60,37
6,17,2147.0,52,41,10,88,31,22,9,49,98,26,89,75,88,26,19,12,14,9,91,91,6,54,82,23,1,14,2,5,32,24,94,63,93,93,43,8,21,4,19,18,17,16,12,10,12,11,10,8,7,3,1,18,16,16,15,14,11,7,42,30,27,24,18,8,5,43,19,16,12,19,11,15,70,47,33,34,31,62,36,30,72,41,26,25,25,7,26,15,51,18,2,1,2,1,2,9,31,31,30,22,43,29,5,5,30,52,13,22,38,20,20,23,25,70,57,68,6,13,21,15,4,6,2,2,51,12,2,51,24
7,18,566.0,83,67,15,94,49,47,26,74,99,18,97,73,95,43,42,31,34,27,90,89,18,76,91,48,2,20,5,11,51,40,99,75,98,97,52,5,23,7,22,22,20,17,15,13,11,9,8,8,5,5,2,19,18,18,16,14,12,11,61,46,42,36,27,13,8,55,34,33,27,45,34,32,81,66,57,47,50,76,53,54,74,45,35,27,19,13,35,28,62,26,6,5,2,4,6,28,40,14,18,39,42,17,2,23,38,29,11,26,60,9,4,28,45,70,69,70,17,29,29,24,7,9,4,7,64,28,8,68,38
8,19,1158.0,67,59,18,90,38,28,14,61,97,17,92,80,92,27,27,20,20,18,90,89,9,69,88,33,3,12,3,6,43,34,97,65,95,95,50,9,21,5,18,15,13,11,8,7,8,8,5,4,3,1,1,15,13,13,12,10,7,7,48,40,35,32,19,11,6,45,26,24,17,21,12,16,76,52,42,39,39,70,45,41,79,40,30,24,21,6,35,28,60,21,8,6,5,7,5,19,34,27,21,39,47,13,1,29,31,23,17,8,55,37,0,23,30,75,61,64,13,24,18,22,6,6,3,5,53,16,3,57,31
9,20,448.0,57,47,11,93,49,32,17,63,98,27,93,78,91,23,32,21,25,12,92,92,9,75,93,34,6,16,4,10,47,39,98,71,98,98,48,6,19,5,14,13,12,11,10,6,5,4,4,2,2,1,1,16,11,11,11,10,9,5,47,34,29,24,18,10,9,38,16,16,10,27,12,21,63,43,34,28,29,59,38,35,80,41,28,30,19,8,43,25,66,27,4,3,3,3,2,18,38,20,25,23,53,16,9,12,43,25,20,8,47,17,29,29,34,78,65,85,10,21,25,22,5,6,3,4,52,18,5,55,31
