ID,BedrijfstakkenBranchesSBI2008,Bedrijfsgrootte,AantalBedrijven_1,PersoneelDatWerktMetEenComputer_2,PersoneelDatWerktMetInternet_3,Telewerkers_4,LAN_5,DraadloosLAN_6,Intranet_7,Extranet_8,Telewerkers_9,Internet_10,ISDNOfAnaloogModem_11,TotaalBreedband_12,ADSLVDSLEnSDSLEnDergelijke_13,BreedbandVast_14,AndereHoogwaardigeVasteVerbindingen_15,MobielBreedbandTotaal_16,ViaDraagbareComputer_17,ViaMobieleTelefoonSmartphone_18,AndereMobieleVerbindingGPRSEDGE_19,TenMinsteEenAlgemeneToepassing_20,FinancieleTransacties_21,TrainingEnOpleiding_22,TenMinsteEenAangebodenFaciliteit_23,PresentatieEigenBedrijf_24,ProductcatalogiEnPrijslijsten_25,ProductaanpassingVoorKlant_26,OnlineBestellenOfBoeken_27,BestellingVolgen_28,PaginaVoorVasteBezoekers_29,WervenVanPersoneel_30,AndereFaciliteiten_31,TenMinsteEenSoortCommunicatie_32,VerkrijgenVanInformatie_33,VerkrijgenVanFormulieren_34,RetournerenIngevuldeFormulieren_35,VolledigeElekAfhandelingAanvraag_36,ElektronischInschrijvenOpAanbesteding_37,VerkoopViaExterneNetwerken_38,CryptografischeProtocollen_39,Verkoopwaarde1VanDeTotaleOmzet_40,Verkoopwaarde2VanDeTotaleOmzet_41,Verkoopwaarde5VanDeTotaleOmzet_42,Verkoopwaarde10VanDeTotaleOmzet_43,Verkoopwaarde25VanDeTotaleOmzet_44,Verkoopwaarde50VanDeTotaleOmzet_45,VerkoopViaEenWebsite_46,Verkoopwaarde1VanDeTotaleOmzet_47,Verkoopwaarde2VanDeTotaleOmzet_48,Verkoopwaarde5VanDeTotaleOmzet_49,Verkoopwaarde10VanDeTotaleOmzet_50,Verkoopwaarde25VanDeTotaleOmzet_51,Verkoopwaarde50VanDeTotaleOmzet_52,VerkoopViaNietInternetnetwerken_53,Verkoopwaarde1VanDeTotaleOmzet_54,Verkoopwaarde2VanDeTotaleOmzet_55,Verkoopwaarde5VanDeTotaleOmzet_56,Verkoopwaarde10VanDeTotaleOmzet_57,Verkoopwaarde25VanDeTotaleOmzet_58,Verkoopwaarde50VanDeTotaleOmzet_59,InkoopViaExterneNetwerken_60,Inkoopwaarde1VanDeTotaleInkoop_61,Inkoopwaarde2VanDeTotaleInkoop_62,Inkoopwaarde5VanDeTotaleInkoop_63,Inkoopwaarde10VanDeTotaleInkoop_64,Inkoopwaarde25VanDeTotaleInkoop_65,Inkoopwaarde50VanDeTotaleInkoop_66,ERPSoftware_67,TotaalCRMSoftware_68,OpslagKlantgegevens_69,AnalyseKlantgegevens_70,TotaalOpenSourceSoftware_71,BesturingssystemenServerSoftware_72,KantoorEnBedrijfsapplicaties_73,TotaalVerkooporderverwerkingssysteem_74,FactureringsEnBoekhoudsystemen_75,Voorraadbeheersystemen_76,Productiesystemen_77,LogistiekeSystemen_78,TotaalInkooporderverwerkingssysteem_79,BetalingsEnBoekhoudsysteem_80,Voorraadbeheersystemen_81,TenMinsteEenSoortADE_82,OrderverwerkingMetDerden_83,VerzendenVanInkooporders_84,OntvangenVanElektronischeFacturen_85,OntvangenVanVerkooporders_86,VerzendenVanElektronischeFacturen_87,Productinformatie_88,Transportdocumenten_89,DataVanNaarOverheden_90,AndereBerichten_91,TotaalBedrijvenMetSCM_92,TotaalSCMMetLeveranciers_93,TotaalSCMMetAfnemers_94,ViaWebsites_95,ViaAutomatedDataExchangeADE_96,WasZeerBelangrijk_97,WasBelangrijk_98,WasEnigszinsBelangrijk_99,WasOnbelangrijk_100,WasZeerBelangrijk_101,WasBelangrijk_102,WasEnigszinsBelangrijk_103,WasOnbelangrijk_104,WasZeerBelangrijk_105,WasBelangrijk_106,WasEnigszinsBelangrijk_107,WasOnbelangrijk_108,WasZeerBelangrijk_109,WasBelangrijk_110,WasEnigszinsBelangrijk_111,WasOnbelangrijk_112,DigitaleHandtekening_113,Totaal_114,VernietigingOfVerminkingVanGegevens_115,OnthullingVanVertrouwelijkeGegevens_116,UitvalVanICTDiensten_117,VerplichteTrainingOfVoorlichting_118,OpnameInEenArbeidsContract_119,VrijwilligeTraining_120,Storingen_121,AanvalVanBuitenaf_122,Infectie_123,InbraakPharmingOfPhishing_124,Personeel_125,SterkeWachtwoorden_126,HardwareTokens_127,BiometrischeMethoden_128,OffsiteDataBackup_129,LoggingActiviteiten_130
0,50,14,65518.0,66,61,19,83,37,33,18,56,98,24,91,78,90,28,28,20,22,15,91,91,14,65,82,31,5,23,6,11,39,37,95,64,94,93,46,9,23,8,21,20,18,16,12,9,15,14,13,11,9,4,2,16,15,14,13,12,8,6,43,32,29,26,20,13,9,21,21,19,15,25,14,20,53,38,23,16,20,43,30,22,72,44,25,31,22,12,29,15,51,29,5,3,3,3,3,33,32,19,15,42,43,12,4,23,41,24,13,24,44,24,7,25,30,78,71,76,11,21,22,19,7,8,4,4,51,18,3,49,29
1,50,11,52916.0,61,57,17,80,34,26,15,50,98,25,90,78,89,21,22,15,17,11,91,91,11,60,80,29,4,22,4,9,32,32,95,61,93,91,43,7,21,6,19,18,17,15,11,9,15,14,12,11,9,4,2,14,13,13,12,10,7,6,40,30,27,25,19,12,9,15,17,15,12,23,11,19,49,34,19,12,15,39,26,18,70,42,23,31,20,10,29,13,48,27,3,2,2,2,2,33,32,19,17,40,42,14,4,24,40,22,14,26,43,24,7,23,24,75,71,74,9,16,17,16,6,7,3,4,47,14,2,44,23
2,50,12,10246.0,66,61,18,92,46,52,25,75,99,21,96,80,96,46,46,33,36,26,93,91,21,80,90,36,7,27,9,14,64,50,98,74,97,97,56,14,29,14,27,25,23,20,14,11,18,16,14,12,9,5,3,21,20,19,18,16,11,7,49,37,32,29,21,13,9,41,34,30,25,32,22,24,67,54,37,28,36,58,43,35,80,51,28,31,28,18,29,21,63,34,9,7,5,6,7,33,33,20,13,43,44,10,3,20,43,26,10,21,48,25,6,35,47,82,72,79,17,35,35,28,8,9,4,6,67,29,5,64,46
3,50,13,2356.0,68,63,20,98,56,83,44,90,100,25,99,80,99,78,67,57,55,47,94,92,45,92,97,42,11,31,14,23,84,71,99,84,99,98,61,21,35,25,29,28,26,22,17,12,21,17,15,13,9,5,3,25,23,22,20,17,13,9,67,48,44,40,31,17,13,54,47,43,36,49,42,27,68,58,43,36,42,70,56,44,90,64,43,39,34,30,41,29,73,50,19,15,12,13,17,39,34,20,7,47,43,9,1,22,43,26,9,22,46,24,8,42,65,85,77,83,26,51,57,40,10,12,6,10,77,54,7,82,69
4,51,14,10168.0,55,45,12,87,36,28,15,56,98,24,91,77,90,28,26,18,20,15,92,91,10,63,85,31,5,20,5,8,34,31,96,67,95,94,47,7,27,8,24,23,21,18,14,11,14,13,11,9,7,3,1,21,19,19,17,15,12,9,47,35,31,28,20,10,7,39,22,20,16,25,14,19,73,54,39,39,36,61,41,35,76,47,29,28,29,13,32,22,57,25,6,4,4,4,4,15,29,30,26,31,43,21,5,15,39,33,13,15,44,29,11,25,31,77,67,73,11,19,22,20,7,8,3,4,53,17,3,52,29
5,51,11,7510.0,49,43,8,84,31,17,11,46,98,25,88,77,87,18,17,11,13,9,90,90,5,56,82,27,4,19,3,7,24,25,96,63,94,92,44,6,23,4,21,20,18,16,13,10,13,12,11,9,7,3,1,18,16,16,15,13,11,9,44,33,30,27,19,11,7,26,16,14,10,21,10,17,67,45,28,29,25,52,31,24,73,43,27,27,25,8,31,17,52,22,2,1,2,2,1,14,28,29,29,31,37,25,6,15,37,33,15,17,42,28,13,22,22,72,62,68,6,12,14,16,6,7,3,3,45,9,2,44,19
6,51,12,2189.0,56,47,12,95,47,52,21,81,99,22,97,78,96,48,45,31,36,24,94,93,17,78,94,42,5,22,7,10,55,43,99,75,98,98,55,11,34,16,31,29,26,23,16,13,16,14,11,9,7,4,2,27,25,24,23,20,14,10,50,39,34,29,19,9,6,68,35,32,29,30,21,21,88,72,65,62,62,81,63,61,83,52,30,28,35,20,34,33,67,31,11,8,8,6,9,17,30,30,22,28,51,16,5,14,42,33,10,13,48,30,9,30,50,82,72,78,19,35,36,28,8,9,4,6,71,31,5,72,51
7,51,13,469.0,57,45,14,99,65,84,41,92,100,28,99,80,99,79,67,56,53,52,97,95,50,88,98,41,8,26,12,18,73,64,100,87,100,99,61,14,42,27,36,35,33,26,19,14,16,12,11,9,5,2,2,34,32,30,28,23,17,12,72,48,42,37,27,14,11,89,59,55,45,44,36,23,93,81,79,73,79,93,77,78,93,67,46,34,45,37,39,47,74,44,30,23,21,19,26,17,31,36,16,40,43,14,3,16,39,36,9,14,46,33,7,35,71,84,73,79,33,52,64,40,9,11,4,8,83,53,8,87,75
8,52,14,451.0,71,67,24,96,31,50,23,60,99,16,97,80,96,39,39,31,32,23,87,87,15,70,85,29,10,27,9,13,52,43,99,76,97,95,51,18,17,9,17,15,13,10,7,6,14,12,9,8,5,3,1,13,13,12,11,7,6,5,41,28,23,19,11,5,4,33,31,26,24,29,23,13,62,46,24,23,33,53,39,26,79,40,22,29,18,7,30,18,60,38,5,3,3,3,4,32,30,12,26,34,50,9,6,23,45,23,9,29,31,35,5,37,43,88,76,83,11,30,30,25,7,6,4,4,61,23,4,62,39
9,52,11,304.0,52,48,10,94,29,34,16,45,98,14,95,84,94,23,26,20,22,11,84,84,9,57,79,21,5,16,6,10,36,29,98,66,97,96,48,13,13,5,12,11,11,6,4,3,8,7,6,5,3,2,0,11,11,11,10,5,3,3,33,24,21,18,11,3,2,19,21,18,17,22,13,14,56,38,18,18,23,42,26,18,75,36,16,29,15,5,29,19,56,35,4,1,3,2,4,28,15,10,47,36,44,18,3,30,34,19,17,35,29,26,10,30,31,97,72,82,7,21,18,27,6,7,5,4,51,15,3,52,28
10,52,12,111.0,65,62,20,100,36,69,23,83,100,16,100,74,100,58,55,40,49,43,90,89,19,89,93,36,12,40,14,16,74,64,100,93,95,92,53,18,23,13,23,19,16,16,12,9,20,18,12,11,8,5,4,16,16,14,13,13,11,8,51,32,20,15,7,5,5,45,40,33,26,35,33,9,72,57,27,24,47,65,54,32,89,41,24,25,17,10,25,7,65,37,4,4,3,4,1,31,45,9,15,34,50,4,12,16,53,27,5,20,36,44,0,50,58,81,74,81,16,40,44,15,8,2,1,0,80,29,2,79,55
11,52,13,36.0,78,73,29,100,34,100,68,93,100,27,100,71,100,93,74,74,56,47,97,97,46,100,100,65,39,60,14,21,97,81,100,87,100,100,62,50,32,19,29,29,26,22,14,10,32,29,26,26,11,11,0,21,21,18,18,10,10,10,67,48,45,34,24,14,10,94,68,61,63,62,59,19,80,62,58,49,64,97,79,69,75,60,57,41,39,17,51,43,69,58,14,14,7,7,14,42,39,19,0,30,70,0,0,25,51,24,0,24,27,50,0,50,79,77,92,92,22,62,79,45,10,10,10,21,74,67,14,82,73
