ID,Perioden,InkomstenTotaal_1,Belastingen_2,WettelijkeSocialeVerzekeringspremies_3,VerkopenVanGoederenEnDiensten_4,Overig_5,UitgavenTotaal_6,BeloningVanWerknemers_7,AankopenGoederenEnDiensten_8,Uitkeringen_9,BrutoInvesteringenInVasteActiva_10,Overig_11,Vorderingensaldo_12,RentevoordeelNadeelUitSwapcontracten_13,OverheidssaldoEMU_14,OverheidsschuldEMU_15,Overheidsconsumptie_16,InkomstenTotaal_17,Belastingen_18,WettelijkeSocialeVerzekeringspremies_19,VerkopenVanGoederenEnDiensten_20,Overig_21,UitgavenTotaal_22,BeloningVanWerknemers_23,AankopenGoederenEnDiensten_24,Uitkeringen_25,BrutoInvesteringenInVasteActiva_26,Overig_27,OverheidssaldoEMU_28,OverheidsschuldEMU_29,Overheidsconsumptie_30,VolumegroeiOverheidsconsumptie_31,Arbeidsvolume_32
0,1987JJ00,110815.0,51992.0,38782.0,6412.0,13629.0,122054.0,25539.0,12906.0,49113.0,6755.0,27741.0,-11239.0,,-11239.0,,51377.0,53.1,24.9,18.6,3.1,6.5,58.5,12.2,6.2,23.5,3.2,13.3,-5.4,,24.6,,977.0
1,1988JJ00,113466.0,54334.0,40084.0,6620.0,12428.0,122676.0,25478.0,13502.0,50158.0,7119.0,26419.0,-9210.0,,-9210.0,,52238.0,52.1,25.0,18.4,3.0,5.7,56.4,11.7,6.2,23.1,3.3,12.1,-4.2,,24.0,1.2,976.1
2,1989JJ00,113877.0,54890.0,38706.0,6973.0,13308.0,125397.0,25523.0,14185.0,51462.0,7251.0,26976.0,-11520.0,,-11520.0,,53452.0,49.5,23.8,16.8,3.0,5.8,54.5,11.1,6.2,22.3,3.1,11.7,-5.0,,23.2,1.5,976.5
3,1990JJ00,120833.0,62197.0,36937.0,7329.0,14370.0,133795.0,26401.0,15080.0,57042.0,7828.0,27444.0,-12962.0,,-12962.0,187345.0,56121.0,49.6,25.5,15.2,3.0,5.9,54.9,10.8,6.2,23.4,3.2,11.3,-5.3,76.9,23.0,2.2,981.3
4,1991JJ00,134528.0,69111.0,41005.0,8161.0,16251.0,141402.0,27623.0,16246.0,60153.0,8190.0,29190.0,-6874.0,,-6874.0,197306.0,59820.0,52.3,26.9,15.9,3.2,6.3,54.9,10.7,6.3,23.4,3.2,11.3,-2.7,76.7,23.2,2.6,969.0
5,1992JJ00,138241.0,69309.0,44107.0,8837.0,15988.0,149390.0,29286.0,16997.0,63908.0,8828.0,30371.0,-11149.0,,-11149.0,207659.0,63816.0,51.5,25.8,16.4,3.3,6.0,55.7,10.9,6.3,23.8,3.3,11.3,-4.2,77.4,23.8,2.5,961.0
6,1993JJ00,146071.0,75448.0,45063.0,9791.0,15769.0,153784.0,30414.0,18096.0,66017.0,8873.0,30384.0,-7713.0,,-7713.0,216607.0,66426.0,52.9,27.3,16.3,3.5,5.7,55.7,11.0,6.6,23.9,3.2,11.0,-2.8,78.5,24.1,2.2,961.1
7,1994JJ00,145032.0,70187.0,49871.0,9977.0,14997.0,155250.0,31215.0,19145.0,65642.0,9231.0,30017.0,-10218.0,,-10218.0,218266.0,69254.0,50.0,24.2,17.2,3.4,5.2,53.5,10.8,6.6,22.6,3.2,10.3,-3.5,75.3,23.9,2.0,959.1
8,1995JJ00,144168.0,70835.0,48443.0,10101.0,14789.0,172305.0,32345.0,20201.0,65285.0,9632.0,44842.0,-28137.0,,-28137.0,232232.0,72687.0,47.2,23.2,15.9,3.3,4.8,56.4,10.6,6.6,21.4,3.2,14.7,-9.2,76.1,23.8,2.5,973.7
9,1996JJ00,152020.0,76924.0,48723.0,10671.0,15702.0,158064.0,32391.0,21313.0,64885.0,10655.0,28820.0,-6044.0,,-6044.0,236952.0,72830.0,47.5,24.1,15.2,3.3,4.9,49.4,10.1,6.7,20.3,3.3,9.0,-1.9,74.1,22.8,-0.7,971.2
10,1997JJ00,158443.0,80759.0,51653.0,11172.0,14859.0,162715.0,33602.0,22076.0,66332.0,10030.0,30675.0,-4272.0,,-4272.0,233326.0,76472.0,46.3,23.6,15.1,3.3,4.3,47.5,9.8,6.5,19.4,2.9,9.0,-1.2,68.2,22.3,2.5,976.2
11,1998JJ00,166012.0,85441.0,54256.0,11523.0,14792.0,169176.0,35280.0,23374.0,67424.0,10734.0,32364.0,-3164.0,,-3164.0,238183.0,80489.0,45.8,23.6,15.0,3.2,4.1,46.7,9.7,6.4,18.6,3.0,8.9,-0.9,65.7,22.2,2.5,994.4
12,1999JJ00,179333.0,92675.0,59938.0,12308.0,14412.0,177733.0,37441.0,25615.0,69048.0,11651.0,33978.0,1600.0,,1600.0,236085.0,85867.0,46.4,24.0,15.5,3.2,3.7,46.0,9.7,6.6,17.9,3.0,8.8,0.4,61.1,22.2,2.8,1010.7
13,2000JJ00,192856.0,99060.0,64467.0,13280.0,16049.0,184612.0,39647.0,27278.0,72132.0,13112.0,32443.0,8244.0,,8244.0,224765.0,91871.0,46.1,23.7,15.4,3.2,3.8,44.2,9.5,6.5,17.3,3.1,7.8,2.0,53.8,22.0,1.9,1019.5
14,2001JJ00,201922.0,107285.0,61269.0,13918.0,19450.0,203063.0,42820.0,30969.0,77071.0,14563.0,37640.0,-1141.0,62.0,-1079.0,227096.0,101385.0,45.1,24.0,13.7,3.1,4.3,45.4,9.6,6.9,17.2,3.3,8.4,-0.2,50.7,22.6,4.6,1046.8
