ID,BedrijfstakBranchesSBI2008,NuttigeToepassingEnEindverwerking,Perioden,TotaalBedrijfsafvalstoffen_1,TotaalNietChemischAfval_2,Metaalafval_3,Glasafval_4,PapierKartonafval_5,KunststofRubberafval_6,Houtafval_7,TextielLederafval_8,DierlijkPlantaardigAfval_9,GemengdAfval_10,Slib_11,MineralenSteenachtigAfval_12,OverigNietChemischAfval_13,ChemischAfval_14,TotaalBedrijfsafvalstoffen_15,TotaalNuttigeToepassing_16,InzetAlsBrandstof_17,OverigNuttigeToepassing_18,TotaalEindverwerking_19,Verbranden_20,StortenLozen_21,ScheidenAchteraf_22
0,300002,T001523,1994JJ00,,,,,,,,,,,,,,,,,,,,,,
1,300002,T001523,1996JJ00,,,,,,,,,,,,,,,,,,,,,,
2,300002,T001523,1998JJ00,,,,,,,,,,,,,,,,,,,,,,
3,300002,T001523,2000JJ00,,,,,,,,,,,,,,,,,,,,,,
4,300002,T001523,2001JJ00,,,,,,,,,,,,,,,,,,,,,,
5,300002,T001523,2002JJ00,,,,,,,,,,,,,,,,,,,,,,
6,300002,T001523,2003JJ00,,,,,,,,,,,,,,,,,,,,,,
7,300002,T001523,2004JJ00,,,,,,,,,,,,,,,,,,,,,,
8,300002,T001523,2005JJ00,,,,,,,,,,,,,,,,,,,,,,
9,300002,T001523,2006JJ00,,,,,,,,,,,,,,,,,,,,,,
10,300002,T001523,2007JJ00,26061.0,24068.0,1326.0,83.0,899.0,205.0,715.0,46.0,6646.0,3382.0,2190.0,8545.0,29.0,1995.0,26061.0,20318.0,1122.0,19197.0,5743.0,3348.0,1978.0,415.0
11,300002,T001523,2008JJ00,26352.0,24267.0,1381.0,51.0,882.0,207.0,728.0,40.0,6489.0,3225.0,2291.0,8960.0,10.0,2086.0,26352.0,20629.0,1238.0,19391.0,5725.0,3472.0,1968.0,284.0
