ID,BedrijfstakkenBranchesSBI2008,AantalBedrijven_1,PersoneelDatWerktMetEenComputer_2,PersoneelDatWerktMetInternet_3,Telewerkers_4,TelewerkKomtVoor_5,PersoneelDatWerktMetMobielInternet_6,Internet_7,TotaalBreedband_8,BreedbandVastTotaal_9,ADSLVDSLEnSDSLEnDergelijke_10,AndereHoogwaardigeVasteVerbindingen_11,MobielBreedbandTotaal_12,ViaDraagbareComputer_13,ViaMobieleTelefoonSmartphone_14,MinderDan2MbitS_15,k_2Tot10MbitS_16,k_10Tot30MbitS_17,k_30Tot100MbitS_18,k_100MbitSOfMeer_19,TenMinsteEenAlgemeneToepassing_20,FinancieleTransacties_21,TrainingEnOpleiding_22,PresentatieEigenBedrijf_23,OnlineBestellenOfBoeken_24,TenMinsteEenSoortCommunicatie_25,VerkrijgenVanInformatie_26,VerkrijgenVanFormulieren_27,RetournerenIngevuldeFormulieren_28,SocialePremiesVanMedewerkers_29,Vennootschapsbelasting_30,BTW_31,InvoerrechtenAccijnzen_32,VolledigeElekAfhandelingAanvraag_33,BeperkingEContactMetDeOverheid_34,Geheimhouding_35,ProceduresTeIngewikkeld_36,ProceduresVereisenNogPapier_37,NietBekendMetBestaan_38,Anders_39,DocumentenRaadplegenOverAanbesteding_40,ElektronischInschrijvenOpAanbesteding_41,OverheidInNederland_42,OverheidInAnderEULand_43,OverheidBuitenEU_44,VerkoopViaExterneNetwerken_45,Verkoopwaarde1VanDeTotaleOmzet_46,Verkoopwaarde2VanDeTotaleOmzet_47,Verkoopwaarde5VanDeTotaleOmzet_48,Verkoopwaarde10VanDeTotaleOmzet_49,Verkoopwaarde25VanDeTotaleOmzet_50,Verkoopwaarde50VanDeTotaleOmzet_51,VerkoopViaEenWebsite_52,Verkoopwaarde1VanDeTotaleOmzet_53,Verkoopwaarde2VanDeTotaleOmzet_54,Verkoopwaarde5VanDeTotaleOmzet_55,Verkoopwaarde10VanDeTotaleOmzet_56,Verkoopwaarde25VanDeTotaleOmzet_57,Verkoopwaarde50VanDeTotaleOmzet_58,VerkoopViaNietInternetnetwerken_59,Verkoopwaarde1VanDeTotaleOmzet_60,Verkoopwaarde2VanDeTotaleOmzet_61,Verkoopwaarde5VanDeTotaleOmzet_62,Verkoopwaarde10VanDeTotaleOmzet_63,Verkoopwaarde25VanDeTotaleOmzet_64,Verkoopwaarde50VanDeTotaleOmzet_65,InkoopViaExterneNetwerken_66,Inkoopwaarde1VanDeTotaleInkoop_67,Inkoopwaarde2VanDeTotaleInkoop_68,Inkoopwaarde5VanDeTotaleInkoop_69,Inkoopwaarde10VanDeTotaleInkoop_70,Inkoopwaarde25VanDeTotaleInkoop_71,Inkoopwaarde50VanDeTotaleInkoop_72,TotaalOpenSourceSoftware_73,BesturingssystemenServerSoftware_74,Internetbrowsersoftware_75,OfficeSoftware_76,ERPOfCRMToepassingen_77,AndereOpenSourceSoftware_78,TotaalVerkooporderverwerkingssysteem_79,FactureringsEnBoekhoudsystemen_80,Voorraadbeheersystemen_81,Productiesystemen_82,LogistiekeSystemen_83,TotaalInkooporderverwerkingssysteem_84,BetalingsEnBoekhoudsysteem_85,Voorraadbeheersystemen_86,TenMinsteEenSoort_87,Productinformatie_88,Transportdocumenten_89,DataVanNaarOverheden_90,AndereBerichten_91,OrderverwerkingMetDerden_92,GeschiktVoorAutomatischeVerwerking_93,NietGeschiktVoorAutomBewerking_94,GeschiktVoorAutomatischeVerwerking_95,NietGeschiktVoorAutomVerwerking_96,WasZeerBelangrijk_97,WasBelangrijk_98,WasEnigszinsBelangrijk_99,WasOnbelangrijk_100,WasZeerBelangrijk_101,WasBelangrijk_102,WasEnigszinsBelangrijk_103,WasOnbelangrijk_104,WasZeerBelangrijk_105,WasBelangrijk_106,WasEnigszinsBelangrijk_107,WasOnbelangrijk_108,WasZeerBelangrijk_109,WasBelangrijk_110,WasEnigszinsBelangrijk_111,WasOnbelangrijk_112,VerminderenPapierPrintsKopieen_113,VerlagenEnergieverbruikApparaten_114,TelefoonWebVideoconferenceIpvReizen_115,ITToepassingenMinderEnergieverbruik_116
0,000034,57012,67,60,21,62,10,100,93,91,78,32,41,29,33,7,30,31,25,7,91,90,19,83,27,92,48,78,90,61,50,83,17,43,4,39,39,54,31,43,16,13,98,18,6,21,19,16,14,10,5,3,19,16,13,11,7,4,2,7,5,4,4,3,2,1,33,28,24,22,17,11,7,54,15,43,26,11,13,50,37,23,14,19,45,29,22,70,46,23,57,37,27,11,28,22,61,34,34,20,12,38,45,14,3,21,40,28,11,29,41,25,5,48,31,41,19
1,307610,1347,49,40,12,43,5,100,88,86,69,31,27,18,20,12,35,30,15,7,94,94,17,80,25,90,48,85,87,53,45,81,24,41,3,9,91,52,82,56,1,2,100,0,0,36,29,26,23,19,14,9,19,11,8,5,4,1,1,27,19,19,18,16,12,9,30,25,21,18,13,8,6,50,9,39,21,8,13,74,57,28,35,33,50,33,22,75,51,28,56,41,42,27,25,23,56,4,46,24,26,21,41,29,8,5,48,33,15,7,53,30,9,35,24,37,26
2,312505,253,57,44,11,65,4,100,91,91,76,31,34,26,29,9,28,27,31,5,97,97,6,88,39,94,55,82,94,64,49,89,28,48,4,44,12,56,0,44,18,11,100,50,0,35,33,29,27,23,10,4,35,30,25,20,16,6,3,11,8,7,7,7,3,1,17,16,13,11,8,3,1,55,11,40,33,12,19,79,64,52,38,41,58,43,43,84,54,45,75,55,32,15,38,27,73,13,31,27,29,26,54,5,15,20,42,35,3,12,44,41,4,44,35,47,14
3,315810,1086,61,45,12,67,5,99,94,94,81,30,44,34,35,5,29,34,26,5,90,87,17,86,35,96,50,80,95,62,57,91,17,46,4,38,38,62,19,26,18,13,99,9,6,32,32,28,20,10,6,2,28,27,23,15,7,4,1,9,7,7,6,2,2,1,29,27,22,19,14,6,5,62,25,54,37,13,15,69,46,33,38,28,49,25,23,66,42,30,54,35,20,8,33,16,66,27,27,35,11,43,27,29,1,22,33,31,14,22,34,41,4,41,30,39,25
4,000035,406,85,70,22,82,6,100,97,97,79,48,49,38,39,3,40,27,26,5,97,95,37,89,18,99,67,96,99,60,50,80,40,55,6,35,20,74,30,55,10,9,97,3,0,25,20,17,17,14,6,4,13,8,6,6,4,0,0,19,13,12,12,11,6,4,46,33,26,24,17,10,5,57,20,43,25,16,15,86,78,70,52,59,84,70,71,72,46,47,69,38,34,20,34,24,69,8,29,47,16,30,44,22,4,12,45,31,12,0,47,34,19,54,40,74,37
5,323705,742,53,39,13,71,5,100,93,90,78,30,40,25,36,7,42,27,21,3,94,93,17,94,17,94,57,85,92,63,43,91,27,52,2,14,14,23,0,77,11,12,100,8,1,21,17,14,11,7,3,1,14,12,8,7,3,1,0,10,6,5,5,4,1,1,32,25,21,16,8,2,1,53,13,43,25,9,8,78,59,50,49,46,65,46,42,73,51,37,62,33,23,8,32,18,73,11,21,35,33,23,57,18,2,10,38,33,19,6,45,25,25,46,29,43,23
6,328105,1844,57,44,11,54,4,100,90,89,73,23,28,17,24,10,37,24,26,3,94,94,4,86,19,94,48,86,94,56,46,92,15,47,1,26,44,21,44,26,11,8,97,24,10,17,16,14,12,8,4,3,16,13,11,10,7,2,2,5,4,4,4,3,2,1,28,24,20,18,11,5,2,48,9,35,22,8,8,68,45,33,33,30,62,37,30,76,55,28,65,36,18,5,24,15,64,15,24,46,15,22,48,24,5,17,37,29,17,20,59,18,3,43,27,41,19
7,332910,531,81,63,22,74,6,100,97,95,71,43,42,29,37,3,38,25,24,9,90,88,17,90,22,96,63,83,95,60,46,89,26,55,4,35,40,67,46,61,16,15,85,48,28,19,17,13,12,6,4,2,18,14,10,9,4,1,0,5,3,3,3,3,2,2,40,34,29,26,19,8,4,61,30,46,28,17,16,81,63,58,50,55,80,57,58,81,61,48,65,48,22,9,47,19,81,22,47,21,9,35,48,14,3,16,47,26,10,20,49,21,10,50,39,61,24
8,336500,1005,69,59,21,69,6,100,88,86,74,33,41,27,29,12,32,29,22,5,89,89,14,91,8,92,56,82,89,59,50,94,22,52,1,66,0,45,21,58,14,5,72,27,55,8,6,6,6,3,2,2,6,5,4,4,1,1,1,3,2,2,2,1,1,1,37,32,26,21,11,5,4,50,14,40,21,11,11,70,46,37,36,34,65,39,42,75,54,36,65,43,23,7,28,20,65,29,38,13,19,26,53,19,2,19,46,31,3,18,48,34,0,50,29,47,21
9,339205,385,56,43,10,56,4,100,94,91,74,30,30,21,24,6,38,33,20,3,93,93,11,88,21,97,55,86,95,52,41,82,19,40,8,72,46,54,44,30,12,12,86,37,20,20,19,16,14,11,8,5,17,15,11,10,7,4,3,7,6,6,6,5,4,2,34,32,26,23,13,6,5,53,13,35,25,5,9,55,41,33,26,31,59,37,36,78,50,37,69,41,26,10,36,23,77,16,29,38,17,28,45,23,4,27,38,28,8,26,28,32,14,39,22,47,18
10,300023,1283,33,28,9,69,4,100,92,90,76,33,43,29,36,8,28,32,25,8,90,90,14,84,16,95,56,85,93,55,46,82,19,47,5,39,52,42,58,35,18,17,97,10,4,15,14,11,8,6,2,1,14,11,8,6,5,1,0,4,3,3,2,1,1,1,38,33,28,25,19,12,6,41,10,30,20,10,9,72,54,33,27,27,64,39,32,70,47,30,59,38,22,6,30,20,69,12,30,39,19,20,47,28,6,14,38,34,14,24,40,29,7,38,29,33,19
11,000037,414,80,74,17,68,10,100,93,93,76,46,50,35,43,7,28,34,21,10,90,89,20,94,34,96,66,88,93,46,43,77,17,44,4,47,58,80,21,40,37,23,100,4,0,21,20,12,10,7,2,1,25,20,12,10,6,2,1,3,2,2,2,2,0,0,33,27,19,16,11,6,4,52,18,35,18,11,12,60,45,17,14,20,58,42,21,66,36,23,54,32,22,10,25,17,59,24,49,12,15,36,31,20,12,17,31,39,13,19,45,28,8,57,43,44,32
12,000036,2678,49,45,18,52,8,99,85,83,73,19,33,23,24,13,31,32,19,3,93,93,7,81,9,94,50,76,92,55,51,89,6,47,2,49,21,53,0,49,28,21,100,8,4,6,6,4,3,2,1,0,6,6,4,3,2,1,0,0,0,0,0,0,0,0,18,15,11,7,3,1,0,45,8,33,23,6,9,34,24,6,5,4,32,22,4,70,48,11,59,31,22,4,14,20,54,8,44,21,27,15,54,22,9,2,34,40,23,3,32,49,15,38,25,30,12
13,351900,3758,51,48,19,46,10,100,86,85,78,19,28,21,21,14,30,30,23,3,92,91,8,74,13,93,38,78,93,49,43,79,11,35,3,93,25,65,52,5,19,19,100,8,0,8,8,6,4,2,0,0,10,8,6,4,2,0,0,0,0,0,0,0,0,0,35,32,31,26,22,14,9,53,9,38,30,5,10,44,31,10,6,10,42,31,14,66,50,16,55,34,22,4,19,21,44,16,29,44,11,28,36,29,6,27,23,44,6,8,54,35,3,41,24,29,18
14,354300,1980,74,66,10,58,5,100,88,88,81,33,31,18,24,12,27,31,22,9,94,93,41,88,53,91,52,80,91,57,50,95,17,37,7,14,93,46,82,3,14,9,100,15,4,36,33,31,28,21,7,4,34,32,30,26,20,5,3,8,4,4,4,3,2,1,48,44,44,43,39,34,24,55,16,41,30,16,26,78,65,54,16,27,64,44,47,69,55,28,61,39,51,30,27,37,67,42,44,13,1,28,67,4,1,19,45,25,11,35,42,21,2,43,29,36,19
15,356900,7506,75,66,27,74,17,100,94,92,77,36,52,40,43,6,33,28,27,6,91,90,15,84,34,96,48,80,95,65,54,93,29,48,4,31,17,57,4,45,10,8,100,32,7,35,31,27,22,15,8,3,28,24,19,15,10,5,3,14,10,10,8,6,2,1,37,33,27,24,20,15,11,60,19,46,24,13,15,76,61,52,21,42,68,49,49,74,50,40,64,41,32,18,37,24,68,33,32,15,20,30,54,12,4,23,40,30,7,32,38,26,4,59,34,47,24
16,371600,5216,51,30,6,37,4,99,92,89,81,23,28,17,22,7,30,33,24,4,89,88,29,67,35,83,36,66,82,62,49,81,17,35,5,34,33,62,14,43,6,4,100,27,25,24,21,16,12,8,4,4,29,19,12,9,5,1,1,9,6,5,5,3,2,2,34,26,22,21,18,14,14,47,10,37,29,5,8,40,30,26,8,17,54,25,40,68,47,26,50,34,35,10,17,32,56,19,37,33,12,39,43,18,0,35,26,34,5,43,31,19,6,37,27,28,17
17,383100,3643,54,47,16,55,6,100,93,92,78,32,35,21,28,7,30,34,23,6,91,91,11,74,23,95,51,82,93,61,50,87,26,50,5,49,57,62,52,73,15,11,100,5,3,24,22,21,19,14,8,6,17,15,14,11,7,3,2,14,12,11,11,8,5,3,30,26,21,18,10,5,2,55,17,42,23,9,11,48,35,14,7,25,38,24,8,74,39,43,59,42,27,12,33,23,63,39,41,15,5,48,40,11,1,20,50,24,6,27,57,16,0,47,35,40,26
18,389200,818,55,50,9,49,6,100,98,95,89,29,36,23,31,2,31,41,24,2,83,82,14,84,73,90,28,63,87,54,41,76,10,29,8,35,36,67,2,31,11,11,100,5,5,61,61,60,56,52,44,19,64,59,58,56,52,44,19,3,3,3,2,2,2,2,26,22,22,22,19,15,10,47,7,38,27,7,6,48,31,10,5,8,29,10,3,65,58,9,46,30,21,5,37,19,60,29,45,23,3,25,58,17,0,1,48,39,12,24,44,32,0,48,31,27,17
19,390500,2790,34,29,10,34,8,100,94,89,82,18,30,18,24,6,28,36,25,4,85,85,7,77,38,82,26,61,80,67,51,76,13,23,3,50,50,50,50,100,8,4,100,47,0,14,14,12,12,9,5,1,16,14,12,12,9,5,1,0,0,0,0,0,0,0,27,25,24,23,20,11,7,50,3,38,27,3,11,32,14,12,2,5,20,9,4,63,47,12,42,31,15,4,27,15,49,6,59,5,29,74,17,8,1,21,51,10,18,25,26,34,14,35,16,22,11
20,391705,482,93,92,31,76,15,100,99,98,73,54,54,42,50,1,15,25,37,22,92,92,16,92,50,96,43,77,95,60,45,88,9,43,5,24,45,32,8,56,10,13,100,30,5,35,34,32,26,16,10,5,39,32,30,23,15,8,3,6,5,4,4,3,2,1,42,35,28,24,16,8,5,69,32,62,33,26,28,66,47,28,17,20,40,22,11,77,49,24,67,47,21,7,38,18,78,55,25,14,7,53,45,3,0,40,36,17,7,40,34,21,5,51,36,50,18
21,394100,123,34,34,14,88,11,100,100,99,65,77,64,48,61,0,8,15,29,47,95,93,54,95,45,97,61,86,97,60,49,83,16,48,3,0,50,0,0,50,29,24,100,13,7,30,30,29,27,19,10,9,32,28,27,25,17,7,5,7,7,7,7,5,3,2,59,52,48,48,40,28,23,72,48,67,35,31,45,60,38,21,20,21,55,31,22,63,45,20,48,44,30,12,51,27,74,67,24,6,3,39,53,8,0,22,33,28,17,34,45,12,10,55,52,76,20
22,395005,1911,99,97,68,91,41,100,97,97,77,53,71,56,65,3,23,28,31,16,96,93,57,92,19,97,59,88,94,64,56,89,23,48,5,43,93,24,21,43,32,28,91,43,8,11,11,9,8,5,2,1,11,10,9,7,5,1,1,2,2,2,2,1,0,0,52,47,44,42,35,25,17,76,43,72,30,36,37,42,26,9,8,10,33,22,8,72,42,16,58,32,22,10,48,18,76,79,14,7,0,63,32,6,0,29,38,17,16,56,34,8,1,49,41,79,27
