ID,BedrijfstakkenBranchesSBI2008,Bedrijfsgrootte,AantalBedrijven_1,PersoneelDatWerktMetEenComputer_2,PersoneelDatWerktMetInternet_3,Telewerkers_4,TelewerkKomtVoor_5,PersoneelDatWerktMetMobielInternet_6,Internet_7,TotaalBreedband_8,BreedbandVastTotaal_9,ADSLVDSLEnSDSLEnDergelijke_10,AndereHoogwaardigeVasteVerbindingen_11,MobielBreedbandTotaal_12,ViaDraagbareComputer_13,ViaMobieleTelefoonSmartphone_14,MinderDan2MbitS_15,k_2Tot10MbitS_16,k_10Tot30MbitS_17,k_30Tot100MbitS_18,k_100MbitSOfMeer_19,TenMinsteEenAlgemeneToepassing_20,FinancieleTransacties_21,TrainingEnOpleiding_22,PresentatieEigenBedrijf_23,OnlineBestellenOfBoeken_24,TenMinsteEenSoortCommunicatie_25,VerkrijgenVanInformatie_26,VerkrijgenVanFormulieren_27,RetournerenIngevuldeFormulieren_28,SocialePremiesVanMedewerkers_29,Vennootschapsbelasting_30,BTW_31,InvoerrechtenAccijnzen_32,VolledigeElekAfhandelingAanvraag_33,BeperkingEContactMetDeOverheid_34,Geheimhouding_35,ProceduresTeIngewikkeld_36,ProceduresVereisenNogPapier_37,NietBekendMetBestaan_38,Anders_39,DocumentenRaadplegenOverAanbesteding_40,ElektronischInschrijvenOpAanbesteding_41,OverheidInNederland_42,OverheidInAnderEULand_43,OverheidBuitenEU_44,VerkoopViaExterneNetwerken_45,Verkoopwaarde1VanDeTotaleOmzet_46,Verkoopwaarde2VanDeTotaleOmzet_47,Verkoopwaarde5VanDeTotaleOmzet_48,Verkoopwaarde10VanDeTotaleOmzet_49,Verkoopwaarde25VanDeTotaleOmzet_50,Verkoopwaarde50VanDeTotaleOmzet_51,VerkoopViaEenWebsite_52,Verkoopwaarde1VanDeTotaleOmzet_53,Verkoopwaarde2VanDeTotaleOmzet_54,Verkoopwaarde5VanDeTotaleOmzet_55,Verkoopwaarde10VanDeTotaleOmzet_56,Verkoopwaarde25VanDeTotaleOmzet_57,Verkoopwaarde50VanDeTotaleOmzet_58,VerkoopViaNietInternetnetwerken_59,Verkoopwaarde1VanDeTotaleOmzet_60,Verkoopwaarde2VanDeTotaleOmzet_61,Verkoopwaarde5VanDeTotaleOmzet_62,Verkoopwaarde10VanDeTotaleOmzet_63,Verkoopwaarde25VanDeTotaleOmzet_64,Verkoopwaarde50VanDeTotaleOmzet_65,InkoopViaExterneNetwerken_66,Inkoopwaarde1VanDeTotaleInkoop_67,Inkoopwaarde2VanDeTotaleInkoop_68,Inkoopwaarde5VanDeTotaleInkoop_69,Inkoopwaarde10VanDeTotaleInkoop_70,Inkoopwaarde25VanDeTotaleInkoop_71,Inkoopwaarde50VanDeTotaleInkoop_72,TotaalOpenSourceSoftware_73,BesturingssystemenServerSoftware_74,Internetbrowsersoftware_75,OfficeSoftware_76,ERPOfCRMToepassingen_77,AndereOpenSourceSoftware_78,TotaalVerkooporderverwerkingssysteem_79,FactureringsEnBoekhoudsystemen_80,Voorraadbeheersystemen_81,Productiesystemen_82,LogistiekeSystemen_83,TotaalInkooporderverwerkingssysteem_84,BetalingsEnBoekhoudsysteem_85,Voorraadbeheersystemen_86,TenMinsteEenSoort_87,Productinformatie_88,Transportdocumenten_89,DataVanNaarOverheden_90,AndereBerichten_91,OrderverwerkingMetDerden_92,GeschiktVoorAutomatischeVerwerking_93,NietGeschiktVoorAutomBewerking_94,GeschiktVoorAutomatischeVerwerking_95,NietGeschiktVoorAutomVerwerking_96,WasZeerBelangrijk_97,WasBelangrijk_98,WasEnigszinsBelangrijk_99,WasOnbelangrijk_100,WasZeerBelangrijk_101,WasBelangrijk_102,WasEnigszinsBelangrijk_103,WasOnbelangrijk_104,WasZeerBelangrijk_105,WasBelangrijk_106,WasEnigszinsBelangrijk_107,WasOnbelangrijk_108,WasZeerBelangrijk_109,WasBelangrijk_110,WasEnigszinsBelangrijk_111,WasOnbelangrijk_112,VerminderenPapierPrintsKopieen_113,VerlagenEnergieverbruikApparaten_114,TelefoonWebVideoconferenceIpvReizen_115,ITToepassingenMinderEnergieverbruik_116
0,000011,14,57012,67,60,21,62,10,100,93,91,78,32,41,29,33,7,30,31,25,7,91,90,19,83,27,92,48,78,90,61,50,83,17,43,4,39,39,54,31,43,16,13,98,18,6,21,19,16,14,10,5,3,19,16,13,11,7,4,2,7,5,4,4,3,2,1,33,28,24,22,17,11,7,54,15,43,26,11,13,50,37,23,14,19,45,29,22,70,46,23,57,37,27,11,28,22,61,34,34,20,12,38,45,14,3,21,40,28,11,29,41,25,5,48,31,41,19
1,000011,11,45350,62,56,18,56,10,100,91,89,78,25,36,25,29,8,30,32,24,5,91,90,15,80,26,91,44,75,89,58,50,84,16,40,4,38,38,53,31,45,14,11,97,18,4,19,18,15,13,9,4,2,19,16,13,11,7,4,2,5,3,3,3,2,1,1,31,27,23,20,16,10,7,53,12,42,26,10,12,47,34,19,10,15,41,25,18,67,45,21,54,34,25,9,26,21,59,34,33,20,13,38,43,16,3,23,37,28,11,32,38,25,4,45,28,37,16
2,000011,12,9401,66,58,20,82,11,100,98,97,78,50,54,42,46,2,31,27,29,11,93,93,27,92,27,98,61,90,96,71,51,85,22,55,4,35,44,57,31,44,21,18,99,19,8,25,23,20,17,13,7,5,20,16,13,10,7,3,2,12,9,9,8,6,4,3,39,33,28,24,18,11,7,58,22,44,26,16,16,62,49,34,26,33,58,41,33,76,47,31,68,46,32,17,34,23,71,32,37,21,11,37,47,13,2,18,47,26,10,24,47,22,7,57,40,51,28
3,000011,13,2261,70,62,22,92,10,100,100,99,79,79,73,62,66,0,24,25,28,22,94,93,52,97,32,98,70,92,96,71,47,70,27,53,6,63,37,65,20,25,28,23,99,20,12,31,27,24,21,17,11,8,24,18,15,13,9,4,2,19,14,13,12,10,7,5,55,45,40,37,28,17,12,60,39,38,16,19,21,61,52,38,30,38,67,53,41,84,54,33,72,56,47,32,41,36,71,39,37,18,5,44,45,9,2,20,44,27,9,23,47,27,4,67,57,64,40
4,307500,14,8882,55,45,13,62,5,100,91,90,75,31,36,25,30,8,34,29,23,5,92,92,14,87,21,94,53,85,92,58,48,87,21,48,3,37,44,50,43,42,12,10,95,19,11,22,20,17,14,10,5,3,17,14,11,8,5,2,1,10,7,7,7,5,4,2,33,28,23,20,13,7,4,51,14,40,25,10,11,72,52,38,37,35,61,39,35,74,51,33,62,39,25,11,30,19,67,17,32,32,18,26,45,23,5,15,40,31,13,17,46,29,8,42,29,43,22
5,307500,11,6467,49,41,10,52,5,100,89,87,75,21,29,19,22,11,33,31,22,4,92,91,8,83,22,92,48,81,90,53,47,88,17,44,3,33,51,50,51,40,11,9,95,12,4,18,16,14,11,6,3,1,17,14,11,8,5,2,1,5,3,3,3,2,1,1,28,24,20,17,11,6,3,51,10,40,26,9,10,66,44,27,27,23,52,29,24,71,50,28,58,36,21,6,27,18,63,16,30,32,21,24,40,31,5,17,37,31,15,18,44,32,7,39,24,36,18
6,307500,12,1985,58,47,12,84,5,100,98,97,74,50,51,36,44,2,39,24,27,8,93,93,23,94,18,98,64,93,98,69,49,89,30,57,3,37,26,48,27,48,13,12,95,34,24,30,26,24,22,18,11,7,15,13,10,8,6,2,1,20,16,15,15,12,9,6,41,35,29,25,16,8,4,51,20,39,22,14,14,87,71,62,60,61,81,60,59,80,52,45,71,46,32,20,38,19,75,17,36,31,16,27,53,16,4,12,46,30,12,15,52,23,10,49,38,58,30
7,307500,13,430,56,45,16,97,4,100,100,100,79,80,73,58,65,0,36,27,24,13,96,94,57,96,24,99,77,95,98,62,43,71,38,53,6,65,33,56,16,43,19,14,96,18,18,39,32,29,26,22,16,11,18,13,9,8,5,3,1,32,23,23,21,17,13,10,59,46,39,34,26,14,10,58,37,37,13,15,19,89,81,73,71,75,90,79,74,82,56,51,72,48,46,36,43,33,76,23,31,36,9,37,48,11,4,17,41,34,7,19,40,34,7,65,56,75,49
8,000012,14,414,80,74,17,68,10,100,93,93,76,46,50,35,43,7,28,34,21,10,90,89,20,94,34,96,66,88,93,46,43,77,17,44,4,47,58,80,21,40,37,23,100,4,0,21,20,12,10,7,2,1,25,20,12,10,6,2,1,3,2,2,2,2,0,0,33,27,19,16,11,6,4,52,18,35,18,11,12,60,45,17,14,20,58,42,21,66,36,23,54,32,22,10,25,17,59,24,49,12,15,36,31,20,12,17,31,39,13,19,45,28,8,57,43,44,32
9,000012,11,258,62,57,16,59,11,100,92,92,78,31,40,25,33,8,29,39,18,6,90,87,8,94,26,96,61,85,93,37,42,82,14,43,2,50,50,100,50,0,30,22,100,4,0,20,20,11,10,6,1,1,21,19,10,9,5,1,1,2,2,2,2,2,0,0,26,21,15,13,9,4,2,48,10,37,24,9,11,57,38,11,9,14,48,29,14,66,35,27,52,28,18,7,21,15,59,29,45,0,25,28,33,16,23,25,18,34,22,21,41,25,13,53,36,37,29
