ID,BedrijfstakkenBranches,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,PersoneelDatWerktMetMobielInternet_3,Telewerkers_4,TelewerkKomtVoor_5,ICTPersoneelAangenomenWillenAannemen_6,ICTVacaturesLastigTeVervullen_7,AanICTSpecialisten_8,AanOverigPersoneel_9,Internet_10,TotaalBreedband_11,BreedbandVastTotaal_12,ADSLVDSLEnSDSLEnDergelijke_13,AndereHoogwaardigeVasteVerbindingen_14,MobielBreedbandTotaal_15,MinderDan2MbitS_16,k_2Tot10MbitS_17,k_10Tot30MbitS_18,k_30Tot100MbitS_19,k_100MbitSOfMeer_20,BedrijvenMetWebsite_21,OnlineBestellenBoekenOfReserveren_22,InfoOverBeveiligingEnPrivacyVdSite_23,ProductcatalogiEnPrijslijsten_24,BestellingOnlineVolgen_25,ProductaanpassingDoorKlant_26,KlantspecifiekeInfoVoorVasteBezoeker_27,PersoneelsadvertentiesVanBedrijfZelf_28,VerkrijgenVanInformatie_29,VerkrijgenVanFormulieren_30,RetournerenIngevuldeFormulieren_31,SocialePremiesVanMedewerkers_32,BTW_33,DocumentenRaadplegenOverAanbesteding_34,ElektronischInschrijvenOpAanbesteding_35,OverheidInNederland_36,OverheidInAnderEULand_37,OverheidBuitenEU_38,Totaal_39,LaptopTablet_40,Smartphone_41,ToegangOpenbareInformatieOpInternet_42,ToegangEMailsysteemVanHetBedrijf_43,ToegangTotBestandenVanHetBedrijf_44,ToegangTotBedrijfssystemenBijvERP_45,MobieleTelefoonnetwerken_46,HogeKosten_47,VeiligheidsrisicoS_48,TechnischeProblemen_49,AndereBelemmeringen_50,MobielInternetNietNodigVoorBedrijf_51,VerkoopViaExterneNetwerken_52,Verkoopwaarde1VanDeTotaleOmzet_53,Verkoopwaarde2VanDeTotaleOmzet_54,Verkoopwaarde5VanDeTotaleOmzet_55,Verkoopwaarde10VanDeTotaleOmzet_56,Verkoopwaarde25VanDeTotaleOmzet_57,Verkoopwaarde50VanDeTotaleOmzet_58,VerkoopViaEenWebsite_59,Verkoopwaarde1VanDeTotaleOmzet_60,Verkoopwaarde2VanDeTotaleOmzet_61,Verkoopwaarde5VanDeTotaleOmzet_62,Verkoopwaarde10VanDeTotaleOmzet_63,Verkoopwaarde25VanDeTotaleOmzet_64,Verkoopwaarde50VanDeTotaleOmzet_65,VerkoopViaNietInternetnetwerken_66,Verkoopwaarde1VanDeTotaleOmzet_67,Verkoopwaarde2VanDeTotaleOmzet_68,Verkoopwaarde5VanDeTotaleOmzet_69,Verkoopwaarde10VanDeTotaleOmzet_70,Verkoopwaarde25VanDeTotaleOmzet_71,Verkoopwaarde50VanDeTotaleOmzet_72,InkoopViaExterneNetwerken_73,InkoopViaEenWebsite_74,InkoopViaEDIBerichten_75,Inkoopwaarde1VanDeTotaleInkoop_76,Inkoopwaarde2VanDeTotaleInkoop_77,Inkoopwaarde5VanDeTotaleInkoop_78,Inkoopwaarde10VanDeTotaleInkoop_79,Inkoopwaarde25VanDeTotaleInkoop_80,Inkoopwaarde50VanDeTotaleInkoop_81,TotaalBedrijvenMetSCM_82,SCMMetLeveranciers_83,SCMMetAfnemers_84,ViaWebsites_85,ViaAndereAutomatischeVerwerking_86,ERPSoftware_87,OpslagKlantgegevens_88,AnalyseKlantgegevens_89,TotaalVerkooporderverwerkingssysteem_90,FactureringsEnBoekhoudsystemen_91,Voorraadbeheersystemen_92,Productiesystemen_93,LogistiekeSystemen_94,TotaalInkooporderverwerkingssysteem_95,BetalingsEnBoekhoudsysteem_96,Voorraadbeheersystemen_97,TenMinsteEenSoort_98,Bankopdrachten_99,Productinformatie_100,Transportdocumenten_101,DataVanNaarOverheden_102,AndereBerichten_103,WasZeerBelangrijk_104,WasBelangrijk_105,WasEnigszinsBelangrijk_106,WasOnbelangrijk_107,WasZeerBelangrijk_108,WasBelangrijk_109,WasEnigszinsBelangrijk_110,WasOnbelangrijk_111,WasZeerBelangrijk_112,WasBelangrijk_113,WasEnigszinsBelangrijk_114,WasOnbelangrijk_115,WasZeerBelangrijk_116,WasBelangrijk_117,WasEnigszinsBelangrijk_118,WasOnbelangrijk_119,ZoekenNaarInformatiebronnen_120,VerrichtenVanOntwerpwerkzaamheden_121,UitwisselenVanKennis_122,ImplementerenVanDeInnovatie_123,Overige_124,SocialeMediaGebruikt_125,SocialeNetwerkenBijvFacebook_126,BlogsOfMicroblogsBijvTwitter_127,SitesDieMultimediaDelenBvYouTube_128,WikiSOmKennisTeDelen_129,MarketingProductenBedrijfsimago_130,MeningenKlantenReagerenOpVragen_131,BetrekkenKlantBijProductontwikkeling_132,SamenwerkenMetZakenrelaties_133,WervenVanPersoneel_134,KennisUitwisselenBinnenHetBedrijf_135,FormeelBeleidGebruikSocialeMedia_136
0,000034,66,60,18,22,59,8,4,13,9,100,97,96,81,38,55,2,30,32,28,8,84,26,30,35,7,3,27,48,70,84,86,66,80,20,12,97,20,8,53,46,46,37,45,34,23,17,27,20,19,15,32,18,17,15,12,10,6,4,16,13,11,9,6,3,2,8,7,6,5,4,3,2,14,13,6,12,11,10,8,6,4,15,12,9,12,10,24,28,19,37,32,18,10,15,31,26,17,35,23,16,12,27,24,41,31,17,11,48,39,10,3,23,44,24,9,33,46,17,5,60,38,51,56,45,41,35,21,19,6,68,44,33,42,44,34,25
1,307610,50,43,9,15,43,4,2,11,8,100,92,92,79,29,39,8,25,34,25,8,79,26,22,37,4,1,21,36,58,84,88,70,78,7,4,100,28,5,38,31,34,28,34,22,14,17,25,21,20,19,37,42,42,35,31,27,22,17,16,16,11,8,5,3,1,30,30,28,26,24,21,15,15,10,8,13,9,9,8,5,3,21,15,17,13,18,35,20,16,52,43,25,25,28,34,28,24,44,31,19,27,32,28,6,22,40,32,48,37,13,2,10,48,13,29,9,61,18,12,62,28,37,40,35,35,25,20,15,3,73,43,32,26,31,24,19
2,312505,55,43,10,12,66,4,1,9,7,100,98,98,77,33,62,2,23,25,45,5,94,33,40,46,10,12,22,34,68,93,92,68,85,17,8,82,53,18,62,58,56,45,52,36,31,19,34,24,25,21,29,24,21,21,15,11,7,5,19,15,13,8,5,2,2,14,10,9,9,8,7,3,9,8,2,9,9,6,6,2,1,12,6,9,5,12,45,33,25,44,43,34,22,24,38,34,32,35,18,19,21,25,24,16,23,27,34,35,45,21,0,10,48,42,0,29,35,20,16,62,35,29,52,44,34,26,14,19,2,54,42,23,33,33,32,26
3,315810,59,41,11,12,69,6,2,13,7,100,98,96,78,42,61,2,32,34,21,11,86,31,24,37,10,13,24,35,70,88,92,69,81,22,14,96,9,0,62,52,52,38,52,37,28,13,22,15,17,11,32,27,27,25,19,13,8,4,23,21,19,14,8,3,2,11,10,10,9,7,4,2,12,11,3,11,9,7,6,3,1,14,9,12,11,11,38,37,26,43,34,29,29,24,34,28,25,34,20,14,13,27,24,46,22,20,12,42,35,15,7,26,41,30,3,29,46,19,6,57,41,44,59,37,41,31,18,22,10,58,33,33,41,25,29,20
4,000035,83,74,23,24,83,9,3,30,17,100,99,98,80,58,69,1,41,22,25,10,86,21,35,44,6,2,22,45,89,97,99,60,84,17,9,80,48,40,67,61,63,59,64,54,45,18,37,37,29,24,21,30,28,24,19,15,8,6,16,12,7,5,4,1,1,21,19,18,16,11,8,5,26,25,7,22,19,18,14,4,2,20,17,13,13,16,69,50,37,46,40,38,36,37,46,39,39,44,38,21,27,36,33,13,20,40,26,45,32,14,9,9,51,34,6,26,29,33,12,72,45,68,61,39,30,25,12,15,5,54,35,22,33,43,20,37
5,323705,54,39,8,13,67,2,1,12,12,100,99,98,82,39,66,1,40,29,26,3,94,22,29,48,5,3,17,35,72,89,96,63,83,15,7,100,12,0,58,46,53,39,48,30,20,20,24,16,23,16,28,15,15,12,10,7,4,2,13,9,6,5,3,1,1,7,7,6,6,5,2,1,12,12,4,12,11,8,3,0,0,9,6,6,6,7,49,44,30,37,34,28,24,24,29,26,24,28,22,13,14,24,18,16,30,28,26,11,65,17,7,13,37,23,27,18,50,30,3,55,56,46,52,30,33,30,12,16,4,62,32,27,41,29,22,29
6,328105,55,46,10,17,53,4,2,13,6,100,98,97,83,26,45,2,36,32,26,4,87,9,22,27,5,1,20,50,70,87,91,65,78,18,11,95,33,13,43,35,35,28,36,26,20,15,22,24,21,19,40,6,6,5,4,3,2,1,5,2,1,1,1,0,0,4,4,4,3,3,1,1,11,11,2,8,7,5,3,1,1,9,7,5,4,7,43,24,18,34,33,18,20,21,29,28,16,20,12,8,10,14,10,11,36,21,32,12,69,12,7,14,49,21,16,9,57,19,15,65,39,36,35,31,23,17,7,14,1,52,27,30,33,30,16,15
7,332910,74,64,26,26,76,13,3,23,14,100,99,98,81,47,72,1,32,26,31,10,92,17,26,44,4,3,20,49,81,93,97,69,88,23,15,92,50,36,69,60,58,55,63,49,41,14,33,23,17,10,25,13,13,11,9,5,2,2,12,10,9,7,3,1,0,4,4,4,3,2,2,1,17,16,7,14,14,13,11,8,7,9,7,4,8,3,58,43,29,39,35,32,21,27,36,30,30,25,16,14,11,21,19,42,28,20,10,42,38,17,3,32,41,20,7,40,31,20,9,61,51,51,45,45,42,35,17,23,9,59,31,21,38,53,25,24
8,336500,69,62,17,27,73,10,4,18,8,100,99,96,79,39,63,1,37,30,27,5,87,13,23,32,6,2,17,56,73,92,95,69,85,14,11,66,27,32,64,56,52,39,54,41,33,14,35,21,12,15,30,8,8,7,6,5,3,2,5,5,4,4,3,2,1,5,4,4,3,2,2,2,10,9,7,8,8,6,4,2,1,9,6,7,8,5,52,36,23,33,32,20,16,20,27,22,20,27,23,14,13,24,19,21,51,14,13,36,45,18,2,12,54,29,4,12,44,31,12,62,67,48,43,33,28,18,7,19,7,56,17,15,25,52,20,28
9,339205,52,46,12,16,54,10,6,15,8,100,97,93,75,35,54,3,31,35,26,4,97,25,29,49,3,3,25,60,79,91,92,58,80,16,12,100,32,15,54,51,42,36,43,33,22,11,24,18,19,17,35,18,17,15,14,12,9,6,18,13,10,8,6,4,3,8,8,8,8,7,5,4,17,16,8,11,9,8,5,2,1,11,7,8,10,7,39,28,18,31,27,22,13,17,26,25,19,29,19,15,15,26,19,13,43,32,12,28,46,19,8,11,67,22,0,28,33,30,9,66,60,41,41,29,44,30,13,26,7,64,26,25,21,30,18,18
