ID,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,PersoneelDatWerktMetMobielInternet_3,Telewerkers_4,TelewerkKomtVoor_5,Internet_6,TotaalBreedband_7,BreedbandVastTotaal_8,ADSLVDSLEnSDSLEnDergelijke_9,AndereHoogwaardigeVasteVerbindingen_10,MobielBreedbandTotaal_11,MinderDan2MegabitPerSeconde_12,k_2Tot10MegabitPerSeconde_13,k_10Tot30MegabitPerSeconde_14,k_30Tot100MegabitPerSeconde_15,k_100MegabitPerSecondeOfMeer_16,AantalBedrijvenMetWebsite_17,OnlineBestellenBoekenOfReserveren_18,InfoOverBeveiligingEnPrivacyVdSite_19,BeschrijvingenVanProductenPrijslijst_20,BestellingOnlineVolgen_21,ProductaanpassingDoorKlant_22,KlantspecifiekeInfoVoorVasteBezoeker_23,PersoneelsadvertentiesVanBedrijfZelf_24,VerkrijgenVanInformatie_25,VerkrijgenVanFormulieren_26,RetournerenIngevuldeFormulieren_27,SocialePremiesVanMedewerkers_28,BTWAangifte_29,DocumentenRaadplegenOverAanbesteding_30,OverheidInNederland_31,OverheidInAnderEULand_32,MobielInternetVerschaftAanWerknemers_33,ERPSoftware_34,OpslagKlantgegevens_35,AnalyseKlantgegevens_36,SocialeMediaGebruikt_37,SocialeNetwerkenBijvFacebook_38,BlogsOfMicroblogsBijvTwitter_39,SitesDieMultimediaDelenBvYouTube_40,WikiSOmKennisTeDelen_41,MarketingProductenBedrijfsimago_42,MeningenKlantenReagerenOpVragen_43,BetrekkenKlantBijProductontwikkeling_44,SamenwerkenMetZakenrelaties_45,WervenVanPersoneel_46,KennisUitwisselenBinnenHetBedrijf_47,FormeelBeleidGebruikSocialeMedia_48,EFactuur_49,ElektronischMaarGeenEFactuur_50,InPapierenVorm_51,EFactuur_52,ElektronischMaarGeenEFactuur_53,InPapierenVorm_54,ElektronischeFacturenVerzonden_55,ElektronischeFacturenOntvangen_56,VerkoopViaExterneNetwerken_57,Verkoopwaarde1VanDeTotaleOmzet_58,Verkoopwaarde1VanDeTotaleOmzet_59,Verkoopwaarde2VanDeTotaleOmzet_60,Verkoopwaarde5VanDeTotaleOmzet_61,Verkoopwaarde10VanDeTotaleOmzet_62,Verkoopwaarde25VanDeTotaleOmzet_63,Verkoopwaarde50VanDeTotaleOmzet_64,VerkoopViaEenWebsite_65,Verkoopwaarde1VanDeTotaleOmzet_66,Verkoopwaarde1VanDeTotaleOmzet_67,Verkoopwaarde2VanDeTotaleOmzet_68,Verkoopwaarde5VanDeTotaleOmzet_69,Verkoopwaarde10VanDeTotaleOmzet_70,Verkoopwaarde25VanDeTotaleOmzet_71,Verkoopwaarde50VanDeTotaleOmzet_72,ProductOngeschikt_73,LogistiekeProblemen_74,ProblemenMetBetalingen_75,ProblemenMetBeveiliging_76,JuridischeProblemen_77,TeHogeKosten_78,NederlandseConsumenten_79,BuitenlandseConsumenten_80,Bedrijven_81,Overheden_82,KlantenInNederland_83,KlantenInAndereEULanden_84,KlantenInLandenBuitenDeEU_85,VerkoopViaEDI_86,Verkoopwaarde1VanDeTotaleOmzet_87,Verkoopwaarde1VanDeTotaleOmzet_88,Verkoopwaarde2VanDeTotaleOmzet_89,Verkoopwaarde5VanDeTotaleOmzet_90,Verkoopwaarde10VanDeTotaleOmzet_91,Verkoopwaarde25VanDeTotaleOmzet_92,Verkoopwaarde50VanDeTotaleOmzet_93,KlantenInNederland_94,KlantenInAndereEULanden_95,KlantenInLandenBuitenDeEU_96,InkoopViaExterneNetwerken_97,Inkoopwaarde1VanDeTotaleInkoop_98,Inkoopwaarde1VanDeTotaleInkoop_99,Inkoopwaarde2VanDeTotaleInkoop_100,Inkoopwaarde5VanDeTotaleInkoop_101,Inkoopwaarde10VanDeTotaleInkoop_102,Inkoopwaarde25VanDeTotaleInkoop_103,Inkoopwaarde50VanDeTotaleInkoop_104,InkoopViaEenWebsite_105,Inkoopwaarde1VanDeTotaleInkoop_106,Inkoopwaarde1VanDeTotaleInkoop_107,Inkoopwaarde2VanDeTotaleInkoop_108,Inkoopwaarde5VanDeTotaleInkoop_109,Inkoopwaarde10VanDeTotaleInkoop_110,Inkoopwaarde25VanDeTotaleInkoop_111,Inkoopwaarde50VanDeTotaleInkoop_112,AanbiedersInNederland_113,AanbiedersInAndereEULanden_114,AanbiedersInLandenBuitenDeEU_115,InkoopViaEDI_116,Inkoopwaarde1VanDeTotaleInkoop_117,Inkoopwaarde1VanDeTotaleInkoop_118,Inkoopwaarde2VanDeTotaleOmzet_119,Inkoopwaarde5VanDeTotaleInkoop_120,Inkoopwaarde10VanDeTotaleInkoop_121,Inkoopwaarde25VanDeTotaleInkoop_122,Inkoopwaarde50VanDeTotaleInkoop_123,AanbiedersInNederland_124,AanbiedersInAndereEULanden_125,AanbiedersInLandenBuitenDeEU_126
0,300025,68,61,21,25,64,100,98,96,77,45,68,2,25,32,31,10,84,28,38,66,9,7,28,51,74,83,84,67,81,20,12,3,64,32,36,21,50,46,28,23,7,76,49,37,44,51,35,36,3,11,85,4,18,78,33,70,21,9,12,11,9,7,5,3,18,8,9,8,6,5,3,2,57,27,20,19,19,21,38,3,53,5,90,7,3,6,2,4,4,3,3,2,1,81,17,2,53,24,29,25,20,17,13,9,52,24,28,24,19,16,11,8,93,5,2,4,2,2,2,2,2,1,1,84,14,2
1,307610,49,42,13,14,46,100,97,96,78,43,58,3,29,31,31,5,82,28,25,60,7,5,21,30,63,78,81,62,75,4,2,0,54,37,27,17,41,35,21,18,4,81,50,39,36,33,28,26,11,8,82,2,17,80,40,75,43,12,30,28,23,20,15,11,19,9,10,8,4,3,3,3,43,36,20,16,17,27,38,4,56,3,98,2,1,28,7,21,21,19,16,12,8,87,12,1,52,32,19,15,15,14,13,11,52,32,19,15,15,14,13,11,98,2,1,1,1,1,0,0,0,0,0,92,7,1
2,312505,55,43,15,17,65,100,99,99,69,53,73,1,13,34,38,12,81,28,33,71,11,7,19,32,83,91,85,57,83,20,10,3,72,51,49,24,34,31,16,18,4,85,46,37,48,30,20,28,3,16,81,2,20,78,43,73,23,9,14,10,7,6,5,1,17,6,11,5,3,2,2,0,52,21,18,18,18,31,30,6,63,1,76,17,6,12,5,7,7,4,3,2,1,39,60,0,45,23,22,18,15,10,6,5,44,24,21,17,14,10,4,4,90,9,1,2,1,1,1,1,1,1,1,43,54,3
3,315810,60,44,10,10,61,99,97,94,74,47,74,2,27,30,26,14,92,38,31,67,15,23,24,39,76,86,87,64,84,22,19,3,70,48,45,32,46,39,24,22,5,66,40,43,41,30,26,28,2,9,90,2,13,85,39,73,31,12,19,15,13,10,5,2,26,12,14,11,9,7,3,1,58,27,22,21,15,28,18,1,77,5,94,5,0,8,2,6,5,5,3,2,1,79,21,0,58,29,29,22,17,11,8,6,58,29,29,22,16,10,8,6,94,5,1,2,1,1,1,1,0,0,0,92,8,0
4,900064,80,71,25,23,80,100,99,98,70,65,83,1,33,24,29,12,89,21,42,71,10,3,19,47,92,93,94,63,89,10,3,0,84,67,47,32,40,32,21,27,11,69,58,23,51,57,46,60,6,16,77,3,27,70,45,80,25,9,16,13,10,7,5,2,17,9,8,4,2,2,1,0,53,27,19,22,22,21,31,9,60,0,64,29,7,14,6,8,8,7,4,4,2,79,17,4,60,37,23,19,17,13,9,8,59,38,21,18,14,13,8,7,87,10,3,5,2,3,3,2,1,1,0,80,15,4
5,323705,54,42,11,12,64,100,99,97,73,47,75,1,34,31,25,8,91,22,30,71,6,5,15,43,77,91,95,59,79,15,7,3,75,52,45,24,36,30,17,17,5,68,43,27,46,44,22,28,3,13,84,2,16,83,36,68,18,7,11,10,6,6,4,1,12,7,6,4,3,3,3,0,67,30,23,20,15,19,26,2,69,3,90,8,2,7,1,5,5,3,3,1,1,66,32,2,43,26,17,15,11,9,7,3,43,26,17,14,10,9,7,3,94,5,1,3,1,2,1,0,0,0,0,92,7,0
6,328105,53,39,12,14,66,100,98,96,72,38,69,2,35,31,28,5,89,16,31,65,4,4,15,51,84,90,92,69,80,13,10,2,69,57,37,21,34,28,13,21,2,70,26,33,44,37,24,31,1,12,88,2,21,77,36,80,17,8,8,7,6,5,3,1,12,6,6,4,4,4,1,0,76,33,24,17,20,25,12,2,84,3,92,7,1,6,2,4,4,3,3,1,1,76,22,3,60,33,27,21,12,10,6,4,60,33,26,20,11,9,5,4,92,6,2,4,1,3,3,2,2,0,0,88,12,0
7,332910,71,62,31,31,87,100,99,99,70,52,78,1,24,31,35,10,92,13,35,74,5,5,26,55,87,92,96,70,90,29,15,10,79,62,53,34,54,45,21,31,9,68,42,26,43,59,30,37,3,18,79,3,25,72,43,81,13,3,10,7,6,5,3,3,10,3,7,5,4,3,1,1,70,27,22,19,20,17,11,4,73,11,59,28,12,5,1,4,3,3,3,1,1,59,23,18,72,27,45,40,30,26,18,12,71,27,44,39,28,24,16,10,75,16,10,6,2,4,3,2,2,2,2,52,27,21
8,336500,71,63,18,26,81,100,97,95,73,49,79,3,33,24,32,8,92,15,30,70,5,8,13,56,75,92,89,72,92,17,9,5,77,65,43,21,44,29,17,29,5,63,19,25,27,53,15,25,2,16,82,2,21,77,44,77,15,9,6,6,5,3,2,2,11,8,3,3,3,2,1,1,66,24,26,19,21,19,12,0,87,0,56,32,11,5,2,3,3,2,1,1,0,45,39,16,60,36,24,22,16,12,9,6,59,36,23,20,14,11,8,6,89,9,2,4,3,2,1,1,1,1,0,74,14,12
9,339205,57,49,15,11,69,100,97,95,71,46,79,3,29,28,28,13,96,20,38,78,11,7,22,58,85,96,96,72,81,21,11,6,76,48,40,21,50,40,23,31,6,70,41,22,29,42,16,24,4,10,86,1,19,80,35,79,17,5,12,9,8,6,6,4,15,5,9,7,6,4,4,2,72,42,23,22,23,27,17,9,73,0,59,30,11,6,2,4,4,3,3,3,2,18,62,20,67,28,39,32,21,18,12,11,66,28,38,31,21,16,12,11,88,9,3,7,5,2,2,2,1,1,0,68,20,12
10,300023,35,31,9,11,64,100,99,97,78,40,67,1,27,35,31,7,83,18,30,62,3,3,20,45,77,87,86,64,81,26,13,3,66,43,38,17,44,35,20,23,6,73,38,30,45,37,21,33,3,13,84,2,18,80,36,72,12,5,8,7,5,3,2,1,11,5,6,6,4,2,1,1,65,29,18,18,17,20,29,1,53,17,95,3,2,3,0,3,2,1,1,1,1,81,16,3,52,22,30,24,20,17,11,8,52,23,29,23,19,16,10,7,91,7,3,3,1,2,2,2,2,1,0,84,16,0
