ID,BedrijfstakkenBranchesSBI2008,Bedrijfsgrootte,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,PersoneelDatWerktMetMobielInternet_3,Telewerkers_4,TelewerkKomtVoor_5,Internet_6,TotaalBreedband_7,BreedbandVastTotaal_8,ADSLVDSLEnSDSLEnDergelijke_9,AndereHoogwaardigeVasteVerbindingen_10,MobielBreedbandTotaal_11,MinderDan2MegabitPerSeconde_12,k_2Tot10MegabitPerSeconde_13,k_10Tot30MegabitPerSeconde_14,k_30Tot100MegabitPerSeconde_15,k_100MegabitPerSecondeOfMeer_16,AantalBedrijvenMetWebsite_17,OnlineBestellenBoekenOfReserveren_18,InfoOverBeveiligingEnPrivacyVdSite_19,BeschrijvingenVanProductenPrijslijst_20,BestellingOnlineVolgen_21,ProductaanpassingDoorKlant_22,KlantspecifiekeInfoVoorVasteBezoeker_23,PersoneelsadvertentiesVanBedrijfZelf_24,VerkrijgenVanInformatie_25,VerkrijgenVanFormulieren_26,RetournerenIngevuldeFormulieren_27,SocialePremiesVanMedewerkers_28,BTWAangifte_29,DocumentenRaadplegenOverAanbesteding_30,OverheidInNederland_31,OverheidInAnderEULand_32,MobielInternetVerschaftAanWerknemers_33,ERPSoftware_34,OpslagKlantgegevens_35,AnalyseKlantgegevens_36,SocialeMediaGebruikt_37,SocialeNetwerkenBijvFacebook_38,BlogsOfMicroblogsBijvTwitter_39,SitesDieMultimediaDelenBvYouTube_40,WikiSOmKennisTeDelen_41,MarketingProductenBedrijfsimago_42,MeningenKlantenReagerenOpVragen_43,BetrekkenKlantBijProductontwikkeling_44,SamenwerkenMetZakenrelaties_45,WervenVanPersoneel_46,KennisUitwisselenBinnenHetBedrijf_47,FormeelBeleidGebruikSocialeMedia_48,EFactuur_49,ElektronischMaarGeenEFactuur_50,InPapierenVorm_51,EFactuur_52,ElektronischMaarGeenEFactuur_53,InPapierenVorm_54,ElektronischeFacturenVerzonden_55,ElektronischeFacturenOntvangen_56,VerkoopViaExterneNetwerken_57,Verkoopwaarde1VanDeTotaleOmzet_58,Verkoopwaarde1VanDeTotaleOmzet_59,Verkoopwaarde2VanDeTotaleOmzet_60,Verkoopwaarde5VanDeTotaleOmzet_61,Verkoopwaarde10VanDeTotaleOmzet_62,Verkoopwaarde25VanDeTotaleOmzet_63,Verkoopwaarde50VanDeTotaleOmzet_64,VerkoopViaEenWebsite_65,Verkoopwaarde1VanDeTotaleOmzet_66,Verkoopwaarde1VanDeTotaleOmzet_67,Verkoopwaarde2VanDeTotaleOmzet_68,Verkoopwaarde5VanDeTotaleOmzet_69,Verkoopwaarde10VanDeTotaleOmzet_70,Verkoopwaarde25VanDeTotaleOmzet_71,Verkoopwaarde50VanDeTotaleOmzet_72,ProductOngeschikt_73,LogistiekeProblemen_74,ProblemenMetBetalingen_75,ProblemenMetBeveiliging_76,JuridischeProblemen_77,TeHogeKosten_78,NederlandseConsumenten_79,BuitenlandseConsumenten_80,Bedrijven_81,Overheden_82,KlantenInNederland_83,KlantenInAndereEULanden_84,KlantenInLandenBuitenDeEU_85,VerkoopViaEDI_86,Verkoopwaarde1VanDeTotaleOmzet_87,Verkoopwaarde1VanDeTotaleOmzet_88,Verkoopwaarde2VanDeTotaleOmzet_89,Verkoopwaarde5VanDeTotaleOmzet_90,Verkoopwaarde10VanDeTotaleOmzet_91,Verkoopwaarde25VanDeTotaleOmzet_92,Verkoopwaarde50VanDeTotaleOmzet_93,KlantenInNederland_94,KlantenInAndereEULanden_95,KlantenInLandenBuitenDeEU_96,InkoopViaExterneNetwerken_97,Inkoopwaarde1VanDeTotaleInkoop_98,Inkoopwaarde1VanDeTotaleInkoop_99,Inkoopwaarde2VanDeTotaleInkoop_100,Inkoopwaarde5VanDeTotaleInkoop_101,Inkoopwaarde10VanDeTotaleInkoop_102,Inkoopwaarde25VanDeTotaleInkoop_103,Inkoopwaarde50VanDeTotaleInkoop_104,InkoopViaEenWebsite_105,Inkoopwaarde1VanDeTotaleInkoop_106,Inkoopwaarde1VanDeTotaleInkoop_107,Inkoopwaarde2VanDeTotaleInkoop_108,Inkoopwaarde5VanDeTotaleInkoop_109,Inkoopwaarde10VanDeTotaleInkoop_110,Inkoopwaarde25VanDeTotaleInkoop_111,Inkoopwaarde50VanDeTotaleInkoop_112,AanbiedersInNederland_113,AanbiedersInAndereEULanden_114,AanbiedersInLandenBuitenDeEU_115,InkoopViaEDI_116,Inkoopwaarde1VanDeTotaleInkoop_117,Inkoopwaarde1VanDeTotaleInkoop_118,Inkoopwaarde2VanDeTotaleOmzet_119,Inkoopwaarde5VanDeTotaleInkoop_120,Inkoopwaarde10VanDeTotaleInkoop_121,Inkoopwaarde25VanDeTotaleInkoop_122,Inkoopwaarde50VanDeTotaleInkoop_123,AanbiedersInNederland_124,AanbiedersInAndereEULanden_125,AanbiedersInLandenBuitenDeEU_126
0,300025,100550,68,61,21,25,64,100,98,96,77,45,68,2,25,32,31,10,84,28,38,66,9,7,28,51,74,83,84,67,81,20,12,3,64,32,36,21,50,46,28,23,7,76,49,37,44,51,35,36,3,11,85,4,18,78,33,70,21,9,12,11,9,7,5,3,18,8,9,8,6,5,3,2,57,27,20,19,19,21,38,3,53,5,90,7,3,6,2,4,4,3,3,2,1,81,17,2,53,24,29,25,20,17,13,9,52,24,28,24,19,16,11,8,93,5,2,4,2,2,2,2,2,1,1,84,14,2
1,300025,100480,61,56,19,19,59,100,97,95,78,38,63,2,27,33,30,8,82,28,35,64,9,6,26,44,71,81,82,63,81,17,10,2,59,26,31,18,47,43,24,21,6,75,47,36,44,46,32,30,3,11,86,3,18,79,31,69,19,8,11,9,7,6,4,2,17,8,9,8,6,5,3,2,57,28,21,19,19,22,40,3,52,5,91,7,3,4,2,2,2,2,1,1,1,84,14,2,51,22,28,25,20,17,12,9,50,22,28,24,19,16,12,9,93,5,2,4,2,2,2,1,1,1,0,86,14,1
2,300025,100800,65,59,20,21,83,100,99,99,74,67,83,1,20,30,33,17,92,31,46,72,11,9,31,73,85,93,93,77,85,30,21,5,83,57,51,33,59,53,36,30,10,79,51,39,44,62,40,51,5,12,82,4,18,78,41,73,28,10,17,16,13,11,8,5,20,10,10,9,7,6,3,2,60,25,19,17,17,18,31,3,60,6,87,10,3,12,3,9,8,7,6,4,3,76,21,3,59,29,30,26,21,17,12,9,57,29,28,24,19,16,11,8,92,6,3,6,3,3,3,2,2,2,1,81,15,4
3,300025,101150,72,64,22,28,93,100,100,100,80,88,93,0,11,20,37,32,97,34,60,76,18,11,43,87,90,96,96,80,80,35,23,6,93,66,57,38,77,72,57,48,24,79,65,42,50,73,54,62,10,11,79,10,15,74,45,72,34,14,20,18,16,13,9,6,24,11,12,11,9,6,3,2,61,23,17,16,17,16,40,5,50,5,86,9,5,18,7,11,10,9,8,6,4,76,18,6,67,32,35,31,27,24,17,11,62,33,30,25,22,19,12,8,91,6,3,13,5,8,7,6,6,4,3,81,15,4
4,307500,100550,55,46,15,16,66,100,98,96,74,45,71,2,30,30,30,8,88,22,31,66,7,7,19,45,78,88,89,66,82,16,10,3,69,51,40,23,41,33,19,23,5,71,38,32,40,41,24,31,4,12,84,2,19,79,39,76,22,8,14,12,9,8,5,3,15,7,8,6,4,3,2,1,63,30,22,19,18,23,23,3,70,5,86,11,3,9,3,7,7,6,5,3,2,76,21,3,57,30,27,22,16,13,10,7,56,30,26,21,15,13,9,7,91,7,2,3,2,2,2,1,1,0,0,80,15,5
5,307500,100480,49,41,13,11,57,100,97,95,75,35,65,2,33,30,28,6,86,22,27,64,6,6,17,36,73,85,86,61,81,14,8,2,62,41,34,17,37,30,17,19,3,70,35,32,41,33,19,20,2,12,86,2,19,80,36,76,18,8,10,8,6,5,2,1,14,7,8,6,4,3,2,1,63,31,22,19,18,24,25,3,68,4,93,6,1,5,2,3,3,2,1,1,1,93,6,0,55,27,27,21,16,13,10,7,55,28,27,21,16,13,10,7,92,6,2,2,1,1,1,1,1,0,0,85,13,1
6,307500,100800,56,47,14,15,87,100,100,99,70,68,84,0,24,32,31,13,94,20,39,72,8,8,20,68,90,96,97,76,85,23,16,7,87,77,53,35,48,37,21,29,6,73,40,31,35,53,29,47,7,13,80,2,21,77,45,76,31,9,22,21,18,15,11,7,15,8,7,6,5,4,2,1,65,30,23,18,17,21,21,3,73,3,70,22,8,20,3,16,16,15,12,9,6,69,27,4,60,37,23,21,16,13,9,6,59,38,21,20,14,12,8,5,88,8,4,4,2,3,2,2,1,1,0,83,10,7
7,307500,101150,57,48,16,19,94,100,100,100,79,92,94,0,18,23,41,17,98,30,54,71,20,11,31,75,92,99,99,77,83,25,15,5,93,89,64,46,66,61,41,43,22,75,56,36,54,65,48,63,13,11,76,7,16,78,54,76,45,17,28,26,24,22,17,11,25,15,10,10,7,5,2,1,61,30,20,19,22,20,10,3,77,11,70,19,10,34,12,22,21,20,18,14,9,60,31,9,67,36,31,26,23,19,9,7,63,37,25,21,17,14,7,5,87,9,4,15,8,7,7,7,5,2,1,68,22,10
8,800036,100550,76,73,30,30,69,100,99,97,76,52,76,1,23,31,27,17,91,28,33,69,5,9,32,56,82,92,93,66,72,43,29,9,74,41,33,21,45,42,22,26,12,71,53,32,37,60,42,54,2,8,91,3,14,83,30,64,18,13,6,5,3,2,2,1,18,13,6,5,3,2,1,1,64,24,12,13,13,20,58,3,38,2,96,4,0,1,0,1,0,0,0,0,0,100,0,0,54,24,30,28,25,22,17,11,52,23,29,27,25,22,17,11,97,2,0,3,1,2,0,0,0,0,0,95,5,0
9,800036,100480,54,51,16,15,58,100,98,95,77,37,67,2,27,35,27,9,88,17,27,66,4,5,24,42,78,91,95,69,76,35,24,6,65,25,16,11,30,27,6,16,4,63,35,33,35,62,38,41,1,7,92,0,13,87,30,62,10,6,4,4,2,0,0,0,10,6,4,4,2,0,0,0,64,20,13,13,13,20,53,7,40,0,93,7,0,0,0,0,0,0,0,0,0,0,0,0,46,18,28,26,25,24,20,14,45,17,28,25,25,24,20,14,99,1,0,2,1,2,0,0,0,0,0,98,2,0
