ID,Perioden,InkomstenTotaal_1,Belastingen_2,WettelijkeSocialeVerzekeringspremies_3,VerkopenVanGoederenEnDiensten_4,Overig_5,UitgavenTotaal_6,BeloningVanWerknemers_7,AankopenGoederenEnDiensten_8,Uitkeringen_9,BrutoInvesteringenInVasteActiva_10,Overig_11,Overheidssaldo_12,OverheidsschuldEMU_13,Overheidsconsumptie_14,Inkomsten_15,Uitgaven_16,Overheidssaldo_17,InkomstenTotaal_18,Belastingen_19,WettelijkeSocialeVerzekeringspremies_20,VerkopenVanGoederenEnDiensten_21,Overig_22,UitgavenTotaal_23,BeloningVanWerknemers_24,AankopenGoederenEnDiensten_25,Uitkeringen_26,BrutoInvesteringenInVasteActiva_27,Overig_28,Overheidssaldo_29,OverheidsschuldEMU_30,Overheidsconsumptie_31,BelastingEnPremiedruk_32,Inkomsten_33,Uitgaven_34,Overheidssaldo_35,VolumegroeiOverheidsconsumptie_36,Arbeidsvolume_37
0,1995JJ00,146760.0,72605.0,48532.0,9290.0,16333.0,174713.0,32391.0,19090.0,65543.0,11956.0,45733.0,-27953.0,239108.0,72790.0,,,,45.1,22.3,14.9,2.9,5.0,53.7,10.0,5.9,20.1,3.7,14.1,-8.6,73.5,22.4,37.2,,,,,972.5
1,1996JJ00,154096.0,78336.0,48822.0,9982.0,16956.0,159985.0,32621.0,19709.0,65238.0,13028.0,29389.0,-5889.0,243795.0,72847.0,,,,45.2,23.0,14.3,2.9,5.0,46.9,9.6,5.8,19.1,3.8,8.6,-1.7,71.5,21.4,37.3,,,,-0.9,966.7
2,1997JJ00,160855.0,82349.0,51750.0,10596.0,16160.0,165501.0,33951.0,20232.0,66711.0,13165.0,31442.0,-4646.0,240118.0,76260.0,,,,44.1,22.6,14.2,2.9,4.4,45.3,9.3,5.5,18.3,3.6,8.6,-1.3,65.8,20.9,36.7,,,,2.9,976.2
3,1998JJ00,168195.0,86958.0,54363.0,11009.0,15865.0,171717.0,35703.0,21674.0,67895.0,13777.0,32668.0,-3522.0,244166.0,80618.0,,,,43.2,22.3,14.0,2.8,4.1,44.1,9.2,5.6,17.4,3.5,8.4,-0.9,62.7,20.7,36.3,,,,3.7,1003.3
4,1999KW01,43038.0,21742.0,14736.0,3120.0,3440.0,43340.0,8402.0,5552.0,17000.0,3468.0,8918.0,-302.0,,20023.0,44977.0,44360.0,617.0,,,,,,,,,,,,,,20.7,,44.5,43.9,0.6,2.1,
5,1999KW02,46186.0,22971.0,16164.0,2668.0,4383.0,47257.0,10461.0,5681.0,18746.0,3808.0,8561.0,-1071.0,,22286.0,44247.0,44769.0,-522.0,,,,,,,,,,,,,,20.6,,43.1,43.7,-0.5,2.0,
6,1999KW03,43607.0,22936.0,13911.0,2743.0,4017.0,42739.0,8439.0,5577.0,16514.0,3896.0,8313.0,868.0,,20055.0,46254.0,45244.0,1010.0,,,,,,,,,,,,,,20.6,,44.3,43.4,1.0,2.0,
7,1999KW04,48835.0,26524.0,15234.0,3327.0,3750.0,46977.0,10300.0,6277.0,17246.0,4480.0,8674.0,1858.0,242472.0,22508.0,46234.0,45899.0,335.0,43.8,22.7,14.5,2.9,3.8,43.5,9.1,5.6,16.8,3.8,8.3,0.3,58.4,20.5,37.2,43.3,43.0,0.3,2.9,
8,1999JJ00,181666.0,94173.0,60045.0,11858.0,15590.0,180313.0,37602.0,23087.0,69506.0,15652.0,34466.0,1353.0,242472.0,84872.0,,,,43.8,22.7,14.5,2.9,3.8,43.5,9.1,5.6,16.8,3.8,8.3,0.3,58.4,20.5,37.2,,,,2.2,1012.2
9,2000KW01,44955.0,22531.0,15310.0,3306.0,3808.0,45476.0,8886.0,6047.0,17796.0,3680.0,9067.0,-521.0,251029.0,21624.0,46970.0,46606.0,364.0,43.4,22.4,14.3,2.8,3.8,43.1,9.0,5.6,16.6,3.7,8.2,0.3,59.3,20.4,36.8,43.1,42.8,0.3,3.0,
10,2000KW02,51290.0,25567.0,17718.0,2910.0,5095.0,49658.0,11066.0,6185.0,19682.0,4011.0,8714.0,1632.0,242615.0,24016.0,49093.0,47023.0,2070.0,43.7,22.6,14.4,2.8,3.9,42.8,9.0,5.6,16.5,3.7,8.1,0.9,56.2,20.4,37.0,44.3,42.4,1.9,3.9,
11,2000KW03,46083.0,23765.0,14777.0,2959.0,4582.0,42115.0,8927.0,6070.0,17349.0,3992.0,5777.0,3968.0,242630.0,21664.0,48941.0,44747.0,4194.0,43.4,22.4,14.3,2.8,3.9,41.9,8.9,5.6,16.4,3.7,7.3,1.6,55.1,20.4,36.7,43.2,39.5,3.7,3.9,
12,2000KW04,53229.0,28845.0,16717.0,3475.0,4192.0,49888.0,10901.0,6849.0,17962.0,5137.0,9039.0,3341.0,231552.0,24268.0,50447.0,48692.0,1755.0,43.6,22.5,14.4,2.8,3.9,41.8,8.9,5.6,16.2,3.8,7.3,1.9,51.7,20.4,36.9,43.8,42.3,1.5,3.4,
13,2000JJ00,195557.0,100708.0,64522.0,12650.0,17677.0,187137.0,39780.0,25151.0,72789.0,16820.0,32597.0,8420.0,231552.0,91572.0,,,,43.6,22.5,14.4,2.8,3.9,41.8,8.9,5.6,16.2,3.8,7.3,1.9,51.7,20.4,36.9,,,,3.5,1021.5
