ID,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,PersoneelDatWerktMetMobielInternet_3,Telewerkers_4,TelewerkKomtVoor_5,ICTPersAangenomenWillenAannemen_6,ICTVacaturesLastigTeVervullen_7,ICTCursusAanICTSpecialisten_8,ICTCursusAanOverigPersoneel_9,VoornUitgDoorEigenPersoneel_10,VoornUitgDoorExterneLeveranciers_11,NietVanToepassing_12,VoornUitgDoorEigenPersoneel_13,VoornUitgDoorExterneLeveranciers_14,NietVanToepassing_15,VoornUitgDoorEigenPersoneel_16,VoornUitgDoorExterneLeveranciers_17,NietVanToepassing_18,VoornUitgDoorEigenPersoneel_19,VoornUitgDoorExterneLeveranciers_20,NietVanToepassing_21,VoornUitgDoorEigenPersoneel_22,VoornUitgDoorExterneLeveranciers_23,NietVanToepassing_24,VoornUitgDoorEigenPersoneel_25,VoornUitgDoorExterneLeveranciers_26,NietVanToepassing_27,VoornUitgDoorEigenPersoneel_28,VoornUitgDoorExterneLeveranciers_29,NietVanToepassing_30,Internet_31,VastBreedband_32,MobielBreedband_33,MinderDan2MegabitPerSeconde_34,k_2Tot10MegabitPerSeconde_35,k_10Tot30MegabitPerSeconde_36,k_30Tot100MegabitPerSeconde_37,k_100MegabitPerSecondeOfMeer_38,AantalBedrijvenMetWebsite_39,OnlineBestellenBoekenOfReserveren_40,InfoOverBeveiligingEnPrivacy_41,BeschrijvingenVanProductenPrijslijst_42,BestellingOnlineVolgen_43,ProductaanpassingDoorKlant_44,KlantspecifiekeInfoVoorVasteBezoeker_45,PersoneelsadvertentiesVanBedrijfZelf_46,VerwijzingNaarSocialeMedia_47,MobielInternetVerschaftAanWerknemers_48,SocialeMediaGebruikt_49,SocialeNetwerkenBijvFacebook_50,BlogsOfMicroblogsBijvTwitter_51,MultimediaDelenBijvYouTube_52,WikiSOmKennisTeDelen_53,MarketingProductenBedrijfsimago_54,MeningenKlantenReagerenOpVragen_55,BetrekkenKlantBijProductontwikkeling_56,SamenwerkenMetZakenrelaties_57,WervenVanPersoneel_58,KennisUitwisselenBinnenHetBedrijf_59,ERPSoftware_60,OpslagKlantgegevens_61,AnalyseKlantgegevens_62,BedrijvenMetSCM_63,ViaWebsites_64,ViaAutomatischeVerwerking_65,BedrijvenMetICTBeveiligingsbeleid_66,VernietigingOfVerminkingGegevens_67,OnthullingVanVertrouwelijkeGegevens_68,UitvalVanICTDiensten_69,k_12MaandenOfKorterGeleden_70,k_13TM24MaandenGeleden_71,LangerDan24MaandenGeleden_72,EFactuur_73,ElektronischMaarGeenEFactuur_74,InPapierenVorm_75,EFactuur_76,ElektronischMaarGeenEFactuur_77,InPapierenVorm_78,ElektronischeFacturenVerzonden_79,ElektronischeFacturenOntvangen_80,VerkoopViaECommerce_81,Verkoopwaarde1VanDeTotaleOmzet_82,Verkoopwaarde1VanDeTotaleOmzet_83,Verkoopwaarde2VanDeTotaleOmzet_84,Verkoopwaarde5VanDeTotaleOmzet_85,Verkoopwaarde10VanDeTotaleOmzet_86,Verkoopwaarde25VanDeTotaleOmzet_87,Verkoopwaarde50VanDeTotaleOmzet_88,VerkoopViaEenWebsiteApp_89,Verkoopwaarde1VanDeTotaleOmzet_90,Verkoopwaarde1VanDeTotaleOmzet_91,Verkoopwaarde2VanDeTotaleOmzet_92,Verkoopwaarde5VanDeTotaleOmzet_93,Verkoopwaarde10VanDeTotaleOmzet_94,Verkoopwaarde25VanDeTotaleOmzet_95,Verkoopwaarde50VanDeTotaleOmzet_96,NederlandseConsumenten_97,BuitenlandseConsumenten_98,Bedrijven_99,Overheden_100,KlantenInNederland_101,KlantenInAndereEULanden_102,KlantenInLandenBuitenDeEU_103,VerkoopViaEDI_104,Verkoopwaarde1VanDeTotaleOmzet_105,Verkoopwaarde1VanDeTotaleOmzet_106,Verkoopwaarde2VanDeTotaleOmzet_107,Verkoopwaarde5VanDeTotaleOmzet_108,Verkoopwaarde10VanDeTotaleOmzet_109,Verkoopwaarde25VanDeTotaleOmzet_110,Verkoopwaarde50VanDeTotaleOmzet_111,KlantenInNederland_112,KlantenInAndereEULanden_113,KlantenInLandenBuitenDeEU_114,InkoopViaECommerce_115,Inkoopwaarde1VanDeTotaleInkoop_116,Inkoopwaarde1VanDeTotaleInkoop_117,Inkoopwaarde2VanDeTotaleInkoop_118,Inkoopwaarde5VanDeTotaleInkoop_119,Inkoopwaarde10VanDeTotaleInkoop_120,Inkoopwaarde25VanDeTotaleInkoop_121,Inkoopwaarde50VanDeTotaleInkoop_122,InkoopViaEenWebsiteApp_123,Inkoopwaarde1VanDeTotaleInkoop_124,Inkoopwaarde1VanDeTotaleInkoop_125,Inkoopwaarde2VanDeTotaleInkoop_126,Inkoopwaarde5VanDeTotaleInkoop_127,Inkoopwaarde10VanDeTotaleInkoop_128,Inkoopwaarde25VanDeTotaleInkoop_129,Inkoopwaarde50VanDeTotaleInkoop_130,AanbiedersInNederland_131,AanbiedersInAndereEULanden_132,AanbiedersInLandenBuitenDeEU_133,InkoopViaEDI_134,Inkoopwaarde1VanDeTotaleInkoop_135,Inkoopwaarde1VanDeTotaleInkoop_136,Inkoopwaarde2VanDeTotaleInkoop_137,Inkoopwaarde5VanDeTotaleInkoop_138,Inkoopwaarde10VanDeTotaleInkoop_139,Inkoopwaarde25VanDeTotaleInkoop_140,Inkoopwaarde50VanDeTotaleInkoop_141,AanbiedersInNederland_142,AanbiedersInAndereEULanden_143,AanbiedersInLandenBuitenDeEU_144
0,399907,71,66,28,26,74,9,4,14,10,29,63,8,42,43,14,17,53,31,22,54,24,16,58,26,20,54,26,23,65,12,100,99,74,0,21,31,29,20,90,35,37,78,11,8,29,55,55,72,63,61,30,27,6,84,47,33,40,60,32,43,45,28,21,15,16,31,80,80,77,67,17,16,5,24,70,5,29,66,54,79,24,8,16,14,12,10,7,4,20,7,13,11,9,7,5,3,40,4,51,4,89,9,3,7,2,4,4,3,3,2,1,78.0,18.0,4.0,47,22,25,22,18,15,11,8,46,22,24,20,16,13,10,7,91,7,2,5,2,3,2,2,2,1,1,84,13,3
1,307610,51,45,13,15,61,3,1,13,9,24,63,13,33,47,20,11,59,30,18,58,23,8,61,31,13,51,35,19,69,12,100,98,66,0,16,32,34,17,88,38,27,74,7,4,20,43,47,62,55,54,20,22,2,90,59,48,35,50,27,52,34,24,32,13,30,27,82,76,73,64,27,9,17,22,62,3,27,70,62,76,44,14,30,29,27,24,21,14,20,11,9,8,7,7,5,4,35,0,61,3,96,4,0,29,5,23,23,22,19,15,10,92.0,8.0,1.0,38,22,17,15,13,12,10,9,38,22,16,14,12,11,10,8,95,5,1,3,2,1,1,1,0,0,0,98,2,0
2,312505,58,49,19,18,76,6,1,16,16,23,67,11,35,40,25,11,65,24,16,60,24,9,65,26,15,63,23,19,66,16,100,100,74,0,19,39,21,21,94,33,32,82,12,7,19,26,47,71,46,45,19,26,6,87,48,24,36,37,21,55,48,34,25,17,24,20,93,78,78,78,20,4,10,24,66,5,28,66,59,83,26,11,15,12,12,11,6,4,19,8,10,10,9,8,3,3,20,4,73,3,87,11,2,15,7,9,6,5,4,2,1,52.0,46.0,2.0,40,20,20,19,11,10,5,5,40,22,19,16,9,8,4,4,90,9,1,4,1,3,1,1,1,1,1,33,44,24
3,315810,61,47,14,15,82,4,3,15,8,35,59,5,53,35,12,16,49,34,23,54,23,24,50,26,24,46,30,27,63,10,100,99,76,0,21,31,27,22,91,44,30,76,21,21,28,45,47,74,53,50,26,23,7,86,38,28,46,45,27,53,56,39,24,20,17,33,76,80,73,68,19,13,3,26,70,3,27,70,68,86,38,8,29,25,22,17,9,6,33,8,25,19,18,15,7,4,10,0,86,4,97,3,0,11,2,8,8,6,4,2,1,86.0,12.0,2.0,50,28,22,18,15,13,8,4,50,29,21,17,14,12,8,3,88,10,2,6,3,2,2,2,2,0,0,83,16,1
4,900064,80,74,26,28,91,12,4,26,19,40,56,4,62,31,7,31,50,18,37,53,10,18,58,24,21,54,25,38,56,6,100,100,89,0,20,31,29,20,93,23,46,80,8,4,19,52,38,87,46,40,15,26,4,74,31,24,40,58,35,76,58,40,30,18,24,57,83,80,79,65,21,15,8,20,72,5,28,67,57,85,26,8,18,15,14,8,7,4,13,7,6,4,4,2,1,1,37,2,59,1,83,12,4,18,6,12,10,10,7,6,3,52.0,43.0,5.0,39,22,17,13,11,9,7,4,37,21,16,12,10,9,7,4,83,13,4,3,3,0,0,0,0,0,0,83,15,2
5,323705,55,44,14,13,77,3,1,12,9,29,69,3,49,42,9,20,58,22,31,54,15,18,59,23,20,54,26,29,65,5,100,98,76,0,21,39,28,13,99,23,28,86,5,10,22,48,51,76,60,56,20,29,4,73,37,23,34,42,20,69,59,39,13,8,9,31,85,86,78,63,27,9,2,27,71,3,27,70,64,85,22,9,13,12,9,9,5,2,14,6,8,8,5,5,2,1,55,0,41,3,90,7,2,9,4,5,4,4,4,2,1,67.0,31.0,2.0,48,21,27,24,19,15,6,4,47,21,26,22,18,13,5,4,93,6,1,5,4,1,1,1,1,1,0,70,30,0
6,328105,54,44,14,15,77,2,1,11,9,19,75,6,39,48,13,14,61,25,17,68,15,10,62,28,14,57,29,18,72,10,100,99,76,0,26,34,25,16,92,16,27,78,5,4,16,56,37,75,53,47,14,26,1,71,19,19,32,48,22,60,48,24,13,7,9,24,75,75,71,65,13,21,6,29,65,6,31,63,60,84,15,6,9,7,6,6,4,2,11,6,5,4,3,3,2,1,20,1,72,7,86,11,2,4,1,4,4,3,3,2,1,61.0,31.0,8.0,47,25,22,17,12,10,7,5,46,25,21,15,11,9,6,5,94,5,0,3,1,2,1,1,1,1,0,76,15,8
7,332910,81,76,33,34,87,9,5,24,13,34,60,6,54,35,11,26,51,23,29,55,16,22,56,22,24,51,24,31,63,6,100,98,84,0,22,28,34,17,96,20,34,82,8,9,25,60,54,84,62,55,26,41,13,80,39,33,46,64,35,78,62,45,26,20,18,50,79,82,77,60,19,23,4,33,63,4,39,57,61,84,25,7,17,15,13,11,7,4,18,6,12,10,7,7,2,1,22,10,65,3,59,23,18,8,2,6,6,6,5,5,3,58.0,20.0,22.0,60,25,35,30,25,23,19,12,57,25,31,27,22,19,15,9,76,11,13,7,2,5,5,5,4,4,3,57,30,12
8,336500,70,65,20,26,86,7,4,18,12,42,54,4,58,35,7,19,63,18,31,57,12,19,58,23,24,52,24,35,60,5,100,100,84,0,27,29,28,16,97,22,28,86,2,2,16,64,49,82,63,55,25,39,3,79,31,28,30,50,25,70,61,36,15,10,8,31,80,66,70,61,16,23,4,29,67,4,31,65,65,84,16,8,9,8,7,4,3,2,13,7,6,6,4,2,1,1,10,1,86,3,60,24,16,4,2,3,3,3,2,2,1,35.0,60.0,5.0,55,26,29,24,16,13,11,7,53,26,27,21,15,13,11,7,88,10,2,5,2,3,2,1,1,0,0,72,25,4
9,339205,51,44,12,10,82,6,2,13,12,26,67,6,48,41,11,23,49,28,31,48,21,18,59,23,23,56,21,25,66,9,100,99,84,0,32,24,28,15,96,27,33,81,8,7,21,60,45,83,67,56,25,47,8,79,37,23,24,47,9,61,45,24,15,11,10,30,79,84,81,70,15,13,3,23,74,5,34,62,49,83,21,10,11,9,8,8,7,4,17,10,7,6,5,4,4,1,21,11,65,3,67,24,9,4,1,4,3,3,3,3,3,36.0,55.0,9.0,46,25,21,17,16,13,9,8,40,24,16,13,11,11,8,6,88,8,3,9,1,8,7,7,2,2,2,75,18,7
