ID,Perioden,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,PersoneelDatWerktMetMobielInternet_3,Telewerkers_4,TelewerkKomtVoor_5,Internetverbinding_6,TotaalBreedband_7,VastBreedband_8,MobielBreedband_9
0,2002JJ00,52.0,34,,6,,86,,,
1,2003JJ00,55.0,35,,7,24.0,93,62.0,62.0,
2,2004JJ00,56.0,40,,8,26.0,95,78.0,78.0,
3,2005JJ00,59.0,41,,9,36.0,97,84.0,84.0,
4,2006JJ00,60.0,49,,13,45.0,99,87.0,87.0,
5,2007JJ00,63.0,53,,16,49.0,99,85.0,85.0,
6,2008JJ00,66.0,57,,18,56.0,96,86.0,86.0,
7,2009JJ00,66.0,61,,19,56.0,98,91.0,90.0,28.0
8,2010JJ00,67.0,60,10.0,21,62.0,100,93.0,91.0,41.0
9,2012JJ00,66.0,60,18.0,22,59.0,100,97.0,96.0,55.0
10,2013JJ00,68.0,61,21.0,25,64.0,100,98.0,96.0,68.0
11,2014JJ00,70.0,65,24.0,27,69.0,100,100.0,99.0,66.0
12,2015JJ00,71.0,66,28.0,26,74.0,100,100.0,99.0,74.0
13,2016JJ00,72.0,68,30.0,27,73.0,100,100.0,97.0,72.0
14,2017JJ00,75.0,72,35.0,33,78.0,100,100.0,98.0,79.0
15,2018JJ00,76.0,73,34.0,34,79.0,100,100.0,99.0,
16,2019JJ00,76.0,72,33.0,33,80.0,100,100.0,97.0,
17,2020JJ00,78.0,75,36.0,38,77.0,100,100.0,95.0,
18,2021JJ00,79.0,77,36.0,50,83.0,100,100.0,97.0,
19,2022JJ00,,81,44.0,61,80.0,100,100.0,97.0,
20,2023JJ00,,82,,63,79.0,100,100.0,99.0,
21,2024JJ00,,82,47.0,61,80.0,100,100.0,98.0,
22,2025JJ00,,82,,61,80.0,100,100.0,99.0,
