ID,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,PersoneelDatWerktMetMobielInternet_3,Telewerkers_4,TelewerkKomtVoor_5,ICTPersAangenomenWillenAannemen_6,ICTVacaturesLastigTeVervullen_7,ICTCursusAanICTSpecialisten_8,ICTCursusAanOverigPersoneel_9,VoornUitgDoorEigenPersoneel_10,VoornUitgDoorExterneLeveranciers_11,NietVanToepassing_12,VoornUitgDoorEigenPersoneel_13,VoornUitgDoorExterneLeveranciers_14,NietVanToepassing_15,VoornUitgDoorEigenPersoneel_16,VoornUitgDoorExterneLeveranciers_17,NietVanToepassing_18,VoornUitgDoorEigenPersoneel_19,VoornUitgDoorExterneLeveranciers_20,NietVanToepassing_21,VoornUitgDoorEigenPersoneel_22,VoornUitgDoorExterneLeveranciers_23,NietVanToepassing_24,VoornUitgDoorEigenPersoneel_25,VoornUitgDoorExterneLeveranciers_26,NietVanToepassing_27,VoornUitgDoorEigenPersoneel_28,VoornUitgDoorExterneLeveranciers_29,NietVanToepassing_30,Internet_31,VastBreedband_32,MobielBreedband_33,MinderDan2MegabitPerSeconde_34,k_2Tot10MegabitPerSeconde_35,k_10Tot30MegabitPerSeconde_36,k_30Tot100MegabitPerSeconde_37,k_100MegabitPerSecondeOfMeer_38,LaptopTablet_39,Smartphone_40,MobielInternetVerschaftAanWerknemers_41,ToegangEMailsysteemVanHetBedrijf_42,ToegangTotBestandenVanHetBedrijf_43,ToegangTotBedrijfssystemenBijvERP_44,BedrijvenMetWebsite_45,OnlineBestellenBoekenOfReserveren_46,BeschrijvingenVanProductenPrijslijst_47,BestellingOnlineVolgen_48,ProductaanpassingDoorKlant_49,KlantspecifiekeInfoVoorDeBezoeker_50,PersoneelsadvertentiesVanBedrijfZelf_51,VerwijzingNaarSocialeMedia_52,AdverterenOpInternet_53,InhoudVanDeWebsite_54,EerdereActiviteitenVanDeGebruiker_55,GeografischeLocaties_56,AndereGerichteMethoden_57,SocialeMediaGebruikt_58,SocialeNetwerkenBijvFacebook_59,BlogsOfMicroblogsBijvTwitter_60,MultimediaDelenBijvYouTube_61,WikiSOmKennisTeDelen_62,CloudDienstenGebruikt_63,EMailAlsCloudDienst_64,OfficeSoftware_65,DatabaseHosting_66,BestandenOpslaanAlsCloudDienst_67,SoftwareVoorBoekhouding_68,SoftwareKlantinformatiebeheer_69,RekenkrachtVoorSoftwareBedrijf_70,GedeeldeServers_71,ServersUitsluitendVoorHetBedrijf_72,Uitgevoerd_73,DataVanBedrijfZelf_74,DataOverGeografischeLocaties_75,DataVanSocialeMedia_76,AndereBronnen_77,MedewerkersEigenBedrijf_78,AnderBedrijf_79,EFactuur_80,ElektronischMaarGeenEFactuur_81,InPapierenVorm_82,EFactuur_83,GeenEFactuur_84,EFacturenVerzonden_85,EFacturenOntvangen_86,VerkoopViaECommerce_87,Verkoopwaarde1VanDeTotaleOmzet_88,Verkoopwaarde1VanDeTotaleOmzet_89,Verkoopwaarde2VanDeTotaleOmzet_90,Verkoopwaarde5VanDeTotaleOmzet_91,Verkoopwaarde10VanDeTotaleOmzet_92,Verkoopwaarde25VanDeTotaleOmzet_93,Verkoopwaarde50VanDeTotaleOmzet_94,VerkoopViaEenWebsiteApp_95,Verkoopwaarde1VanDeTotaleOmzet_96,Verkoopwaarde1VanDeTotaleOmzet_97,Verkoopwaarde2VanDeTotaleOmzet_98,Verkoopwaarde5VanDeTotaleOmzet_99,Verkoopwaarde10VanDeTotaleOmzet_100,Verkoopwaarde25VanDeTotaleOmzet_101,Verkoopwaarde50VanDeTotaleOmzet_102,NederlandseConsumenten_103,BuitenlandseConsumenten_104,Bedrijven_105,Overheden_106,KlantenInNederland_107,KlantenInAndereEULanden_108,KlantenInLandenBuitenDeEU_109,OnlineBetalingen_110,OfflineBetalingen_111,GoederenOfDienstenOngeschikt_112,LogistiekeProblemen_113,ProblemenMetBetalingen_114,ProblemenMetBeveiliging_115,JuridischeProblemen_116,TeHogeKosten_117,VerkoopViaEDI_118,Verkoopwaarde1VanDeTotaleOmzet_119,Verkoopwaarde1VanDeTotaleOmzet_120,Verkoopwaarde2VanDeTotaleOmzet_121,Verkoopwaarde5VanDeTotaleOmzet_122,Verkoopwaarde10VanDeTotaleOmzet_123,Verkoopwaarde25VanDeTotaleOmzet_124,Verkoopwaarde50VanDeTotaleOmzet_125,KlantenInNederland_126,KlantenInAndereEULanden_127,KlantenInLandenBuitenDeEU_128,InkoopViaECommerce_129,Inkoopwaarde1VanDeTotaleInkoop_130,Inkoopwaarde1VanDeTotaleInkoop_131,Inkoopwaarde2VanDeTotaleInkoop_132,Inkoopwaarde5VanDeTotaleInkoop_133,Inkoopwaarde10VanDeTotaleInkoop_134,Inkoopwaarde25VanDeTotaleInkoop_135,Inkoopwaarde50VanDeTotaleInkoop_136,InkoopViaEenWebsiteApp_137,Inkoopwaarde1VanDeTotaleInkoop_138,Inkoopwaarde1VanDeTotaleInkoop_139,Inkoopwaarde2VanDeTotaleInkoop_140,Inkoopwaarde5VanDeTotaleInkoop_141,Inkoopwaarde10VanDeTotaleInkoop_142,Inkoopwaarde25VanDeTotaleInkoop_143,Inkoopwaarde50VanDeTotaleInkoop_144,AanbiedersInNederland_145,AanbiedersInAndereEULanden_146,AanbiedersInLandenBuitenDeEU_147,InkoopViaEDI_148,Inkoopwaarde1VanDeTotaleInkoop_149,Inkoopwaarde1VanDeTotaleInkoop_150,Inkoopwaarde2VanDeTotaleOmzet_151,Inkoopwaarde5VanDeTotaleInkoop_152,Inkoopwaarde10VanDeTotaleInkoop_153,Inkoopwaarde25VanDeTotaleInkoop_154,Inkoopwaarde50VanDeTotaleInkoop_155,AanbiedersInNederland_156,AanbiedersInAndereEULanden_157,AanbiedersInLandenBuitenDeEU_158
0,300025,72,68,30,27,73,9,5,15,15,28,60,11,41,41,18,17,51,32,22,52,26,17,55,28,20,52,28,22,63,15,100,97,72,0,19,29,30,22,50,69,69,61,45,40,89,35,76,11,7,28,58,57,29,24,12,12,14,65,62,31,27,6,35,21,17,23,23,20,15,7,26,17,19,9,7,10,4,17,10,8,38,54,14,86,19,41,24,9,16,14,11,9,6,4,20,8,13,11,8,7,5,3,40,5,51,4,88,9,3,11,11,52,26,19,19,19,22,7,2,4,4,3,3,2,1,79,17,3,53,22,31,26,21,17,12,8,52,23,29,24,19,15,10,6,92,6,2,6,2,4,3,3,3,2,1,85,11,4
1,307610,54,48,16,17,57,5,3,13,13,27,61,12,36,46,18,8,53,39,19,47,35,6,65,29,8,61,31,18,67,15,100,96,67,0,29,26,30,14,42,64,62,55,35,40,88,39,74,8,6,16,47,48,13,9,3,5,5,62,59,24,22,4,31,20,12,17,14,14,5,3,25,14,14,10,4,3,1,12,9,18,35,47,11,89,38,35,51,18,33,26,23,19,15,12,27,12,15,8,6,5,3,2,44,1,54,1,95,4,1,12,18,40,39,20,18,13,35,31,10,21,21,18,15,13,9,90,9,1,53,27,26,25,23,23,21,14,52,26,26,24,23,22,20,14,95,4,1,4,3,1,1,1,1,0,0,94,5,1
2,312505,59,51,19,17,70,7,2,8,6,22,71,8,37,48,16,14,64,22,16,60,23,10,66,24,11,65,24,14,73,12,100,93,77,0,17,34,36,13,53,72,75,65,46,48,93,32,76,7,11,17,25,35,20,13,7,5,15,39,34,14,24,5,26,21,17,19,20,10,6,1,21,8,22,12,3,6,6,19,10,9,36,55,18,82,20,37,33,17,16,13,12,9,3,2,25,16,9,6,6,4,1,0,29,5,65,1,76,17,7,15,11,48,37,24,21,20,28,13,4,8,8,6,6,2,1,46,49,5,54,33,21,20,17,15,10,7,53,33,20,19,16,14,9,6,78,18,3,2,1,2,2,2,1,1,1,41,41,19
3,315810,59,48,14,14,79,5,3,13,9,34,57,9,48,35,17,14,54,31,25,49,26,24,49,27,22,45,32,23,61,16,100,96,78,0,19,36,28,17,50,76,75,67,48,42,90,37,78,15,17,29,44,54,28,26,9,6,9,62,60,24,23,4,29,12,12,13,14,16,9,4,23,11,17,9,4,7,3,13,8,3,39,57,8,92,13,29,29,8,21,19,14,11,6,2,26,7,19,16,13,9,5,2,9,0,83,8,94,6,1,9,14,54,22,17,14,10,19,7,3,5,4,3,1,1,0,80,17,3,59,28,30,17,14,12,8,2,58,28,30,16,13,10,6,2,92,6,1,3,2,1,1,1,1,1,0,87,12,0
4,900064,80,76,33,33,88,8,3,24,22,39,52,10,48,41,12,23,57,20,31,57,13,16,59,26,25,53,23,39,55,6,100,97,92,0,20,30,30,20,62,89,90,87,64,59,97,21,83,6,3,14,61,41,18,15,6,4,4,54,46,23,29,6,35,23,17,17,24,15,14,6,22,22,20,14,2,6,4,20,7,9,37,54,16,84,28,39,24,9,15,14,11,9,8,5,14,8,7,6,5,4,2,0,24,1,75,0,84,15,1,4,7,51,26,26,19,22,21,16,5,11,10,9,6,5,4,56,39,5,51,32,19,17,12,9,6,2,49,32,17,16,10,8,5,1,89,9,3,8,4,3,3,2,1,1,1,55,36,9
5,323705,57,47,18,17,78,7,2,12,15,31,59,10,44,39,18,21,53,26,25,58,16,15,56,29,16,57,27,26,62,12,100,97,82,0,23,32,27,18,51,79,77,72,53,44,97,25,85,4,9,19,55,57,23,21,6,7,10,61,58,20,32,3,28,15,10,16,19,12,10,3,21,11,20,13,6,7,1,16,9,4,49,47,11,89,15,34,23,10,13,11,8,7,2,1,13,9,4,3,3,2,0,0,36,1,62,1,86,12,2,7,7,61,32,25,22,20,22,11,3,8,8,6,5,2,1,69,29,2,54,28,26,19,16,12,9,5,52,27,24,16,13,9,6,5,87,11,2,7,2,5,5,5,4,2,1,65,31,4
6,328105,56,48,16,13,71,2,1,11,14,20,68,12,39,42,19,17,52,31,21,57,22,14,49,37,19,43,38,16,68,17,100,98,71,0,24,32,24,20,43,65,67,61,37,37,91,11,76,4,2,14,59,45,14,12,3,6,4,51,46,15,24,2,17,11,8,8,8,9,4,2,13,6,11,8,2,3,1,11,4,7,43,50,12,88,16,35,12,5,7,6,5,4,3,2,8,5,3,3,1,1,1,0,26,4,70,1,79,9,12,2,3,68,32,21,21,21,26,5,1,4,4,3,3,2,2,70,24,6,47,31,17,14,11,7,3,2,46,31,15,12,9,6,2,2,90,6,3,3,1,2,2,2,1,1,0,64,27,9
7,332910,81,76,36,37,85,8,3,22,15,37,59,4,54,38,8,22,59,19,32,54,14,23,49,28,24,50,26,33,59,8,100,98,77,0,18,28,36,18,54,71,77,73,58,55,96,22,84,11,9,24,64,56,22,20,7,6,8,65,60,29,41,6,33,16,13,16,21,14,10,5,28,14,18,12,10,6,2,16,12,7,47,47,13,87,18,39,20,5,15,14,10,8,7,4,16,6,10,8,5,3,2,1,21,12,64,2,52,34,14,9,10,65,27,20,19,21,22,8,1,7,6,5,5,4,2,59,26,14,67,32,34,30,22,17,12,8,65,33,32,27,20,14,9,6,80,11,9,5,1,4,4,4,3,3,2,65,19,15
8,336500,76,71,32,27,85,6,3,16,13,41,55,4,59,34,7,25,54,21,33,56,11,23,56,21,26,55,20,33,60,7,100,96,84,0,19,32,30,19,57,82,81,74,56,52,97,18,80,4,3,19,67,60,22,18,5,5,5,65,57,24,42,4,20,11,11,10,12,8,9,4,15,10,18,12,5,7,3,17,7,5,48,47,11,89,13,31,15,6,9,9,7,5,4,2,13,5,8,8,5,4,2,1,12,3,84,1,73,20,7,5,10,71,31,25,15,22,22,4,1,3,3,3,3,2,1,41,36,24,59,35,24,20,16,10,6,3,57,34,23,18,14,8,5,2,90,8,2,4,2,2,2,2,2,2,1,61,17,22
9,339205,60,58,20,14,79,5,1,13,13,30,60,10,46,39,14,24,43,34,25,50,25,21,50,29,23,48,29,28,60,12,100,95,79,0,30,31,18,20,58,76,78,73,55,50,94,20,77,8,3,11,58,53,27,23,8,5,14,59,52,19,38,4,20,10,5,13,12,10,7,3,14,10,11,8,3,7,0,9,5,7,34,59,13,87,12,39,19,8,11,9,8,4,4,3,16,7,9,7,6,3,3,2,22,3,74,1,81,15,5,7,7,65,31,24,20,20,27,4,1,3,3,3,1,1,1,34,53,13,45,22,22,21,16,13,10,7,43,22,21,20,15,11,9,6,87,9,4,2,1,2,2,2,1,1,1,62,22,15
