ID,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,PersoneelDatWerktMetMobielInternet_3,Telewerkers_4,TelewerkKomtVoor_5,ICTPersAangenomenWillenAannemen_6,ICTVacaturesLastigTeVervullen_7,ICTCursusAanICTSpecialisten_8,ICTCursusAanOverigPersoneel_9,Internet_10,VastBreedband_11,MobielBreedband_12,MinderDan2MegabitPerSeconde_13,k_2Tot10MegabitPerSeconde_14,k_10Tot30MegabitPerSeconde_15,k_30Tot100MegabitPerSeconde_16,k_100MegabitPerSecondeOfMeer_17,SnelheidVasteVerbindingVoldoende_18,MobielInternetVerschaftAanWerknemers_19,BedrijvenMetWebsite_20,OnlineBestellenBoekenOfReserveren_21,BeschrijvingenVanProductenPrijslijst_22,BestellingOnlineVolgen_23,ProductaanpassingDoorKlant_24,KlantspecifiekeInfoVoorDeBezoeker_25,VerwijzingNaarSocialeMedia_26,SocialeMediaGebruikt_27,SocialeNetwerkenBijvFacebook_28,BlogsOfMicroblogsBijvTwitter_29,MultimediaDelenBijvYouTube_30,WikiSOmKennisTeDelen_31,MarketingProductenBedrijfsimago_32,MeningenKlantReagerenOpVragen_33,BetrekkingKlantBijProductontwikkeling_34,SamenwerkenMetZakenrelaties_35,WervenVanPersoneel_36,KennisUitwisselenBinnenHetBedrijf_37,Uitgevoerd_38,DataVanBedrijfZelf_39,DataOverGeografischeLocaties_40,DataVanSocialeMedia_41,AndereBronnen_42,MedewerkersEigenBedrijf_43,AnderBedrijf_44,ERPSoftware_45,OpslagKlantgegevens_46,AnalyseKlantgegevens_47,BedrijvenMetSCM_48,ViaWebsites_49,ViaAutomatischeVerwerking_50,PersoonsherkenningOfToegangscontrole_51,ProductieEnDienstverlening_52,ProductherkenningNaDeProductie_53,NieuweProdOntwOfSterkVerbeterd_54,Onbelangrijk_55,EnigszinsBelangrijk_56,Belangrijk_57,ZeerBelangrijk_58,NieuweProcOntwOfSterkVerbeterd_59,Onbelangrijk_60,EnigszinsBelangrijk_61,Belangrijk_62,ZeerBelangrijk_63,Antivirussoftware_64,BeleidVoorSterkeWachtwoorden_65,AuthenticatieViaSoftOfHardwareToken_66,EncryptieVoorHetOpslaanVanData_67,EncryptieVoorHetVersturenVanData_68,GegevensOpAndereFysiekeLocatie_69,NetworkAccessControl_70,VPNBijInternetgebruikBuitenHetEigen_71,LogbestandenVoorAnalyseIncidenten_72,MethodesVoorBeoordelenITCVeiligheid_73,Risicoanalyses_74,AndereMaatregelen_75,IncidentOpgetreden_76,KostenGehadAanICTIncident_77,IncidentDoorAanvalVanBuiten_78,KostenIncidentAanvalBuitenaf_79,UitvalICTDienstDoorVeiligheidsinc_80,UitvalICTDienstDoorAanvalBuitenaf_81,VernietigingDataDoorVeiligheidsinc_82,VernietigingDataAanvalVanBuitenaf_83,OnthullingGegevensDoorIctInbraak_84,OnthullingGegevensDoorInternIncident_85,UitvalICTDienstDoorVeiligheidsinc_86,UitvalICTDienstDoorAanvalBuitenaf_87,VernietigingDataDoorVeiligheidsinc_88,VernietigingDataAanvalVanBuitenaf_89,OnthullingGegevensDoorIctInbraak_90,OnthullingGegevensDoorInternIncident_91,DePolitieAangifte_92,DeAutoriteitPersoonsgegevens_93,SectoraleNatOfAndereSecurityteams_94,EenBank_95,DoorEigenPersoneel_96,DoorExterneLeveranciers_97,NietVanToepassing_98,ICTVeiligheidsdienstenVerleend_99,MeestalVolledigAutomatisch_100,MeestalDeelsHandmatig_101,NietVanToepassing_102,AndereBedrijven_103,Overheden_104,Consumenten_105,EFactuur_106,ElektronischMaarGeenEFactuur_107,InPapierenVorm_108,EFactuur_109,GeenEFactuur_110,EFacturenVerzonden_111,EFacturenOntvangen_112,VerkoopViaECommerce_113,ViaWebsiteOfAppsVanEigenBedrijf_114,ViaWebsiteOfAppsVanAndereBedrijven_115,HogeKostenBezorgenOfRetourneren_116,OplossenKlachtenEnGeschillen_117,LabelsEtikettenAanpassen_118,OnvoldoendeKennisVanAndereTalen_119,BeperkingenOpgelegdDoorZakenpartner_120,Verkoopwaarde1VanDeTotaleOmzet_121,Verkoopwaarde1VanDeTotaleOmzet_122,Verkoopwaarde2VanDeTotaleOmzet_123,Verkoopwaarde5VanDeTotaleOmzet_124,Verkoopwaarde10VanDeTotaleOmzet_125,Verkoopwaarde25VanDeTotaleOmzet_126,Verkoopwaarde50VanDeTotaleOmzet_127,VerkoopViaEenWebsiteApp_128,Verkoopwaarde1VanDeTotaleOmzet_129,Verkoopwaarde1VanDeTotaleOmzet_130,Verkoopwaarde2VanDeTotaleOmzet_131,Verkoopwaarde5VanDeTotaleOmzet_132,Verkoopwaarde10VanDeTotaleOmzet_133,Verkoopwaarde25VanDeTotaleOmzet_134,Verkoopwaarde50VanDeTotaleOmzet_135,NederlandseConsumenten_136,BuitenlandseConsumenten_137,Bedrijven_138,Overheden_139,KlantenInNederland_140,KlantenInAndereEULanden_141,KlantenInLandenBuitenDeEU_142,VerkoopViaEDI_143,Verkoopwaarde1VanDeTotaleOmzet_144,Verkoopwaarde1VanDeTotaleOmzet_145,Verkoopwaarde2VanDeTotaleOmzet_146,Verkoopwaarde5VanDeTotaleOmzet_147,Verkoopwaarde10VanDeTotaleOmzet_148,Verkoopwaarde25VanDeTotaleOmzet_149,Verkoopwaarde50VanDeTotaleOmzet_150,KlantenInNederland_151,KlantenInAndereEULanden_152,KlantenInLandenBuitenDeEU_153,InkoopViaECommerce_154,Inkoopwaarde1VanDeTotaleInkoop_155,Inkoopwaarde1VanDeTotaleInkoop_156,Inkoopwaarde2VanDeTotaleInkoop_157,Inkoopwaarde5VanDeTotaleInkoop_158,Inkoopwaarde10VanDeTotaleInkoop_159,Inkoopwaarde25VanDeTotaleInkoop_160,Inkoopwaarde50VanDeTotaleInkoop_161,InkoopViaEenWebsiteApp_162,Inkoopwaarde1VanDeTotaleInkoop_163,Inkoopwaarde1VanDeTotaleInkoop_164,Inkoopwaarde2VanDeTotaleInkoop_165,Inkoopwaarde5VanDeTotaleInkoop_166,Inkoopwaarde10VanDeTotaleInkoop_167,Inkoopwaarde25VanDeTotaleInkoop_168,Inkoopwaarde50VanDeTotaleInkoop_169,AanbiedersInNederland_170,AanbiedersInAndereEULanden_171,AanbiedersInLandenBuitenDeEU_172,InkoopViaEDI_173,Inkoopwaarde1VanDeTotaleInkoop_174,Inkoopwaarde1VanDeTotaleInkoop_175,Inkoopwaarde2VanDeTotaleInkoop_176,Inkoopwaarde5VanDeTotaleInkoop_177,Inkoopwaarde10VanDeTotaleInkoop_178,Inkoopwaarde25VanDeTotaleInkoop_179,Inkoopwaarde50VanDeTotaleInkoop_180,AanbiedersInNederland_181,AanbiedersInAndereEULanden_182,AanbiedersInLandenBuitenDeEU_183
0,399907,75,72,35,33,78,12,7,16,18,100,98,79,0,13,19,39,27,89,76,86,33,76,10,7,30,57,69,67,29,29,7,83,46,32,38,72,30,23,11,8,11,9,20,7,47,46,27,20,15,15,16,4,2,22,9,18,32,41,29,3,14,45,41,94,68,34,29,28,82,47,54,55,40,40,23,50,25,21,11,43,13,8,13,3,4,19,7,4,6,2,1,2,2,1,2,28,58,14,4,51,33,17,87,36,47,9,47,44,16,84,20,42,24,85,15,2,1,1,1,1,9,15,13,11,9,6,4,21,9,12,10,8,6,4,3,43,6,46,4,86,11,3,7,3,4,4,4,3,2,1,78,17,4,58,27,31,26,20,16,10,6,57,27,29,24,18,14,8,5,92,6,2,6,2,4,3,3,2,2,1,83,13,4
1,307610,54,49,23,21,59,10,3,14,19,100,100,66,0,23,18,39,20,87,64,90,45,74,10,7,22,50,66,65,16,21,7,91,55,41,26,62,27,22,14,10,7,8,19,11,53,36,27,29,17,27,27,7,3,22,27,32,18,23,32,6,19,50,28,97,60,29,23,26,77,45,56,51,37,31,24,54,32,27,15,40,16,11,17,5,4,23,9,8,7,3,2,4,2,3,4,28,56,16,2,45,35,20,93,22,39,20,41,39,18,82,36,41,57,85,15,0,0,1,1,0,23,34,32,25,22,21,14,33,17,16,14,8,7,6,3,35,0,64,0,95,4,1,33,12,20,20,18,16,16,10,87,11,2,60,32,28,24,20,17,14,10,56,31,25,22,18,15,14,9,93,5,1,10,6,3,3,2,2,0,0,92,7,1
2,312505,56,49,19,15,66,8,5,11,9,100,100,81,0,14,34,38,14,90,81,90,33,85,14,7,25,46,59,56,23,38,7,92,36,39,31,54,10,21,10,4,8,6,19,6,64,54,32,19,15,14,21,9,3,32,28,28,22,22,29,3,10,34,45,97,61,21,17,16,84,57,53,55,39,34,20,56,29,27,13,48,18,10,13,0,1,22,7,2,8,0,0,1,0,2,0,25,67,7,0,66,25,9,91,24,36,10,49,41,16,84,19,34,35,81,19,7,1,0,2,0,14,21,19,17,13,6,4,25,9,17,14,13,9,4,3,35,7,57,1,77,21,2,16,9,7,7,6,4,2,0,49,45,6,63,34,29,21,12,10,4,2,62,34,28,21,12,10,4,2,92,6,2,1,0,1,0,0,0,0,0,0,100,0
3,315810,60,50,17,17,79,6,4,14,16,100,100,79,0,15,21,41,23,92,79,88,37,77,17,14,25,50,61,58,23,25,6,77,30,26,38,57,25,21,13,3,6,7,18,6,58,46,31,16,10,13,17,3,2,22,23,23,18,36,25,4,16,40,40,96,64,27,21,24,83,48,52,54,39,38,19,45,20,17,12,42,12,8,10,1,1,16,9,4,6,0,0,2,2,2,1,32,59,10,1,48,38,14,92,31,40,6,50,45,11,89,16,34,27,91,9,2,1,1,0,2,9,18,14,10,6,5,3,24,9,15,11,7,4,4,3,13,1,80,6,94,6,0,6,2,4,4,4,2,1,0,60,25,14,59,31,28,23,12,7,2,1,57,32,25,19,8,4,2,0,92,6,2,6,1,5,4,4,3,1,1,96,4,0
4,900064,82,80,35,36,94,15,5,27,32,100,100,94,0,12,18,39,31,90,91,94,22,79,5,4,18,52,61,56,22,33,8,67,34,28,25,66,34,39,25,8,9,15,36,11,79,52,38,28,18,23,39,8,4,41,20,41,34,5,54,2,28,43,26,98,77,51,44,46,93,61,88,80,61,67,34,65,30,21,14,57,12,12,17,1,4,23,7,3,10,0,2,3,0,1,0,36,57,6,3,65,31,4,90,15,22,8,47,45,16,84,29,40,24,88,12,1,0,2,1,0,8,15,14,12,9,6,4,14,4,10,9,8,4,2,0,32,13,54,1,59,30,11,14,6,9,9,7,6,4,2,56,34,10,58,43,15,13,9,9,6,3,57,43,13,11,7,7,3,1,86,9,5,7,4,3,3,3,3,2,2,54,29,17
5,323705,56,50,20,17,87,8,4,18,17,100,100,89,0,14,28,37,21,86,86,96,26,89,6,10,18,57,70,64,25,38,4,81,33,21,29,59,20,16,10,4,4,3,14,3,78,60,35,11,8,10,27,6,4,41,22,37,32,10,41,5,22,49,27,100,73,42,25,23,92,49,68,66,47,45,26,51,25,24,15,45,16,8,18,1,1,17,12,5,8,0,0,0,0,0,0,31,63,6,1,57,34,9,96,32,34,10,55,35,11,89,23,33,25,100,0,1,1,0,1,0,11,14,11,9,8,5,2,14,8,6,4,2,2,0,0,35,6,59,0,81,16,3,11,3,8,7,7,7,5,2,79,18,2,61,38,23,19,13,8,4,3,59,39,21,16,11,7,4,1,90,8,2,6,2,4,3,2,2,1,0,68,30,1
6,328105,60,51,18,17,74,8,5,15,11,100,98,79,0,21,20,35,22,88,76,85,14,71,4,3,11,45,54,50,15,20,2,70,20,19,31,65,24,15,12,3,5,3,13,4,65,42,21,15,10,12,14,6,1,21,5,33,33,29,30,0,20,47,33,97,66,30,19,18,86,47,54,53,44,41,19,46,27,15,9,40,10,5,7,1,2,23,6,2,4,1,1,1,0,0,2,23,70,7,1,40,47,13,95,31,31,5,58,37,14,86,14,36,11,96,4,0,0,0,1,0,6,5,4,4,4,2,1,8,6,2,2,1,1,1,0,29,4,60,7,87,9,4,4,1,3,3,3,3,1,1,62,34,4,54,36,18,13,11,9,7,3,53,37,16,12,10,8,6,2,92,5,3,5,2,3,3,3,2,1,0,83,8,9
7,332910,84,79,43,41,86,17,12,25,22,100,100,83,0,10,20,42,28,92,83,91,17,82,9,8,24,55,69,66,29,39,11,75,30,22,38,65,32,25,19,8,8,6,22,5,79,67,41,23,16,17,31,5,5,48,6,23,33,38,36,0,11,47,42,97,75,37,37,35,90,55,70,69,50,49,28,57,28,26,15,50,15,14,20,4,5,23,10,5,8,3,2,3,2,3,2,43,52,5,4,52,40,8,92,32,18,8,60,32,12,88,18,37,19,74,26,2,1,2,1,0,6,13,12,10,6,4,3,14,5,9,8,7,3,2,1,15,6,79,0,62,28,10,9,3,6,6,5,5,3,2,54,31,14,74,33,41,35,24,21,15,4,72,33,38,32,21,18,12,3,78,14,8,7,2,6,5,5,5,3,1,70,22,9
8,336500,75,72,29,31,89,17,10,23,20,100,100,85,0,11,27,36,26,90,82,94,20,82,6,5,22,61,75,69,25,39,4,73,27,20,33,73,31,17,13,4,4,3,14,5,78,63,36,18,14,15,18,5,2,38,13,18,34,32,37,0,5,62,32,98,69,36,29,28,92,57,70,76,56,48,27,60,32,28,15,50,19,13,17,1,2,27,10,6,8,1,2,3,0,0,2,39,57,4,2,47,46,8,96,33,29,8,61,31,14,86,17,32,19,92,8,1,1,1,1,1,7,11,11,8,7,6,4,17,7,9,8,6,4,4,2,9,2,89,1,81,13,6,5,1,4,4,3,2,2,1,76,11,13,58,32,26,21,16,13,7,5,58,33,25,20,15,12,7,4,85,9,6,2,1,1,1,1,1,1,1,74,24,3
9,339205,68,65,21,17,85,14,9,22,13,100,99,86,0,11,26,35,26,83,83,97,24,90,9,4,20,59,71,71,21,41,6,83,38,34,32,70,24,20,8,8,9,7,18,6,68,49,26,22,16,18,18,7,2,30,3,40,30,27,38,0,13,55,32,100,75,38,28,29,93,53,63,68,48,45,33,55,28,18,10,48,12,9,13,2,5,26,8,6,6,0,1,2,0,0,0,30,62,7,2,51,38,11,91,34,42,7,50,43,16,84,17,38,21,89,11,3,3,3,2,3,9,10,9,8,6,6,3,16,9,8,6,6,4,4,2,26,7,63,4,65,28,7,5,2,4,3,3,2,2,0,38,56,6,57,34,22,19,15,12,7,4,53,33,20,15,12,9,6,2,85,13,3,8,4,4,4,4,4,2,1,46,33,21
