ID,BedrijfstakkenBranchesSBI2008,Perioden,PrijsindexArbeid_1,JaarmutatiePrijsVanArbeid_2,LoonkostenPerGewerktUur_3,JaarmutatieLoonkostenPerGewerktUur_4,Structuureffect_5
0,T001081,2001JJ00,77.3,,71.6,,
1,T001081,2002JJ00,80.7,4.4,75.3,5.1,0.7
2,T001081,2003JJ00,83.1,2.9,78.2,3.8,0.9
3,T001081,2004JJ00,83.8,0.8,79.4,1.5,0.6
4,T001081,2005JJ00,85.5,2.0,81.6,2.8,0.8
5,T001081,2006JJ00,86.7,1.5,83.3,2.1,0.6
6,T001081,2007JJ00,89.3,3.0,85.9,3.1,0.1
7,T001081,2008JJ00,92.7,3.7,89.2,3.9,0.1
8,T001081,2009JJ00,94.2,1.6,91.7,2.8,1.2
9,T001081,2010JJ00,94.4,0.3,92.6,1.0,0.7
10,T001081,2011JJ00,96.0,1.7,94.4,2.0,0.2
11,T001081,2012JJ00,98.1,2.1,97.1,2.8,0.7
12,T001081,2013JJ00,99.1,1.0,98.9,1.8,0.8
13,T001081,2014JJ00,99.8,0.8,100.0,1.1,0.4
14,T001081,2015JJ00,100.0,0.2,100.0,0.0,-0.1
15,T001081,2016JJ00,101.0,1.0,100.7,0.7,-0.3
16,T001081,2017JJ00,102.6,1.6,101.7,1.0,-0.5
17,T001081,2018JJ00,104.8,2.2,103.7,1.9,-0.3
18,T001081,2019JJ00,107.3,2.4,106.3,2.5,0.1
19,T001081,2020JJ00,110.3,2.8,110.9,4.3,1.5
20,T001081,2021JJ00,111.3,0.9,111.7,0.8,-0.1
21,T001081,2022JJ00,118.7,6.7,118.5,6.1,-0.5
22,T001081,2023JJ00,126.3,6.4,126.6,6.8,0.4
23,T001081,2006VJ12,86.7,1.5,83.3,2.1,0.6
24,T001081,2007VJ03,87.5,,84.1,,
25,T001081,2007VJ06,88.1,,84.7,,
26,T001081,2007VJ09,88.6,,85.2,,
27,T001081,2007VJ12,89.3,3.0,85.9,3.1,0.1
28,T001081,2008VJ03,90.5,3.3,87.0,3.4,0.1
29,T001081,2008VJ06,91.4,3.7,87.9,3.8,0.1
30,T001081,2008VJ09,91.9,3.7,88.4,3.8,0.1
31,T001081,2008VJ12,92.7,3.7,89.2,3.9,0.1
32,T001081,2009VJ03,93.0,2.9,89.7,3.2,0.3
33,T001081,2009VJ06,93.9,2.8,90.9,3.4,0.6
34,T001081,2009VJ09,94.1,2.4,91.4,3.3,0.9
35,T001081,2009VJ12,94.2,1.6,91.7,2.8,1.2
36,T001081,2010VJ03,94.5,1.6,92.3,2.9,1.3
37,T001081,2010VJ06,94.8,0.9,92.8,2.1,1.2
38,T001081,2010VJ09,94.4,0.3,92.5,1.3,0.9
39,T001081,2010VJ12,94.4,0.3,92.6,1.0,0.7
40,T001081,2011VJ03,94.5,0.0,92.7,0.4,0.4
41,T001081,2011VJ06,94.5,-0.3,92.8,0.0,0.2
42,T001081,2011VJ09,94.8,0.5,93.2,0.7,0.3
43,T001081,2011VJ12,96.0,1.7,94.4,2.0,0.2
44,T001081,2012VJ03,96.0,1.6,94.5,1.9,0.3
45,T001081,2012VJ06,96.3,1.9,95.0,2.3,0.4
46,T001081,2012VJ09,97.2,2.5,96.0,3.0,0.5
47,T001081,2012VJ12,98.1,2.1,97.1,2.8,0.7
48,T001081,2013VJ03,99.3,3.4,98.5,4.2,0.7
49,T001081,2013VJ06,99.3,3.1,98.7,3.9,0.8
50,T001081,2013VJ09,99.3,2.1,98.9,3.0,0.9
51,T001081,2013VJ12,99.1,1.0,98.9,1.8,0.8
52,T001081,2014VJ03,99.0,-0.3,98.9,0.4,0.7
53,T001081,2014VJ06,99.2,-0.1,99.2,0.6,0.6
54,T001081,2014VJ09,99.1,-0.2,99.2,0.3,0.5
55,T001081,2014VJ12,99.8,0.8,100.0,1.1,0.4
56,T001081,2015VJ03,100.0,1.1,100.1,1.3,0.2
57,T001081,2015VJ06,100.3,1.1,100.4,1.2,0.1
58,T001081,2015VJ09,100.7,1.5,100.7,1.5,0.0
59,T001081,2015VJ12,100.0,0.2,100.0,0.0,-0.1
60,T001081,2016VJ03,100.4,0.4,100.4,0.2,-0.2
61,T001081,2016VJ06,99.8,-0.5,99.7,-0.7,-0.2
62,T001081,2016VJ09,100.2,-0.4,100.1,-0.6,-0.2
63,T001081,2016VJ12,101.0,1.0,100.7,0.7,-0.3
64,T001081,2017VJ03,100.4,0.0,100.1,-0.3,-0.3
65,T001081,2017VJ06,101.1,1.3,100.7,1.0,-0.3
66,T001081,2017VJ09,101.5,1.3,100.9,0.8,-0.5
67,T001081,2017VJ12,102.6,1.6,101.7,1.0,-0.5
68,T001081,2018VJ03,103.5,3.0,102.5,2.4,-0.6
69,T001081,2018VJ06,104.1,2.9,103.0,2.3,-0.6
70,T001081,2018VJ09,104.7,3.2,103.6,2.7,-0.5
71,T001081,2018VJ12,104.8,2.2,103.7,1.9,-0.3
72,T001081,2019VJ03,105.7,2.2,104.5,1.9,-0.2
73,T001081,2019VJ06,106.3,2.1,105.1,2.0,-0.1
74,T001081,2019VJ09,106.3,1.5,105.3,1.6,0.1
75,T001081,2019VJ12,107.3,2.4,106.3,2.5,0.1
76,T001081,2020VJ03,109.1,3.3,108.3,3.6,0.3
77,T001081,2020VJ06,108.5,2.1,108.2,2.9,0.8
78,T001081,2020VJ09,110.4,3.8,110.4,4.9,1.1
79,T001081,2020VJ12,110.3,2.8,110.9,4.3,1.5
80,T001081,2021VJ03,108.6,-0.5,109.6,1.2,1.7
81,T001081,2021VJ06,109.8,1.2,110.6,2.2,1.0
82,T001081,2021VJ09,110.7,0.3,111.3,0.8,0.5
83,T001081,2021VJ12,111.3,0.9,111.7,0.8,-0.1
84,T001081,2022VJ03,112.4,3.5,112.4,2.5,-0.9
85,T001081,2022VJ06,114.7,4.4,114.5,3.5,-0.9
86,T001081,2022VJ09,116.1,4.9,116.0,4.2,-0.7
87,T001081,2022VJ12,118.7,6.7,118.5,6.1,-0.5
88,T001081,2023VJ03,120.1,6.8,120.0,6.7,-0.1
89,T001081,2023VJ06,122.0,6.4,122.0,6.6,0.2
90,T001081,2023VJ09,123.8,6.6,124.0,6.9,0.3
91,T001081,2023VJ12,126.3,6.4,126.6,6.8,0.4
92,301000 ,2001JJ00,78.5,,72.5,,
93,301000 ,2002JJ00,82.7,5.3,76.7,5.9,0.5
94,301000 ,2003JJ00,85.4,3.3,79.7,3.9,0.6
95,301000 ,2004JJ00,84.3,-1.3,79.5,-0.3,1.0
96,301000 ,2005JJ00,85.9,1.9,79.6,0.1,-1.7
97,301000 ,2006JJ00,86.4,0.6,80.8,1.6,0.9
98,301000 ,2007JJ00,89.1,3.1,83.8,3.6,0.6
99,301000 ,2008JJ00,92.4,3.7,87.5,4.5,0.7
100,301000 ,2009JJ00,92.0,-0.4,87.3,-0.3,0.1
101,301000 ,2010JJ00,94.1,2.3,91.0,4.3,2.0
102,301000 ,2011JJ00,96.2,2.2,93.5,2.7,0.6
103,301000 ,2012JJ00,99.2,3.1,97.0,3.7,0.6
104,301000 ,2013JJ00,98.7,-0.5,97.4,0.4,0.9
105,301000 ,2014JJ00,99.0,0.3,98.6,1.3,1.0
106,301000 ,2015JJ00,100.0,1.0,100.0,1.4,0.4
107,301000 ,2016JJ00,98.7,-1.3,99.3,-0.7,0.6
