ID,Bedrijfsgrootte,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,Telewerkers_3,TelewerkKomtVoor_4,ICTPersAangenomenWillenAannemen_5,ICTVacaturesLastigTeVullen_6,ICTSpecialistenInLoondienst_7,AandeelICTSpecialisten_8,ICTSpecOntwEnOnderhoudSoftware_9,InternetVast_10,MinderDan2MbitS_11,k_2Tot10MbitS_12,k_10Tot30MbitS_13,k_30Tot100MbitS_14,k_100MbitSOfMeer_15,VoiceOfVideoAppsGebruikt_16,MobielInternetVerstrekt_17,PersoneelDatWerktMetMobielInternet_18,BedrijvenMetWebsite_19,BeschrijvingenVanProductenPrijslijst_20,OnlineBestellenBoekenOfReserveren_21,ProductaanpassingDoorKlant_22,BestellingOnlineVolgen_23,KlantspecifiekeInfoVoorDeBezoeker_24,VerwijzingNaarSocialeMedia_25,GegevensBezoekersOpWebsiteGebruikt_26,SocialeMediaGebruikt_27,SocialeNetwerkenBijvFacebook_28,BlogsOfMicroblogsBijvTwitter_29,MultimediaDelenBijvYouTube_30,WikiSOmKennisTeDelen_31,MarketingProductenBedrijfsimago_32,MeningenKlantReagerenOpVragen_33,BetrekkingKlantBijProductontwikkeling_34,SamenwerkenMetZakenrelaties_35,WervenVanPersoneel_36,KennisUitwisselingBinnenHetBedrijf_37,ERPSoftware_38,OpslagKlantgegevens_39,AnalyseKlantgegevens_40,NietGedigitaliseerd_41,NauwelijksGedigitaliseerd_42,GemiddeldGedigitaliseerd_43,VeelGedigitaliseerd_44,BijnaVolledigGedigitaliseerd_45,AntiVirussoftware_46,BeleidVoorSterkeWachtwoorden_47,UpdatenSoftwareBesturingssysteem_48,AuthenticatieViaSoftOfHardwaretoken_49,EncryptieVanData_50,GegevensOpAndereFysiekeLocatie_51,NetworkAccessControl_52,VPNInternetgebruikBuitenHetBedrijf_53,LogbestandenVoorAnalyseIncidenten_54,MethodesVoorBeoordelenICTVeiligheid_55,Risicoanalyses_56,VrijwilligeTraining_57,VerplichteTraining_58,MetContract_59,ExterneLeverancier_60,EigenPersoneel_61,EigenPersoneelEnExterneLeverancier_62,ICTVeiligheidsdocumentenAanwezig_63,BeheerToegangsrechten_64,OmgangData_65,PreventieVanVeiligheidsincidenten_66,RegelsVoorPersoneel_67,OpleidenPersoneel_68,MinderDan12MaandenGeleden_69,TussenDe12En24MaandenGeleden_70,MeerDan24MaandenGeleden_71,IncidentDoorInterneOorzaak_72,IncidentDoorAanvalVanBuiten_73,UitvalICTDienstDoorVeiligheidsinc_74,VernietigingDataDoorVeiligheidsinc_75,OnthullingDoorInternIncident_76,UitvalICTDienstDoorAanvalBuitenaf_77,VernietigingDataAanvalVanBuitenaf_78,OnthullingGegevensDoorICTInbraak_79,KostenIncidentAanvalBuitenaf_80,KostenIncidentIntern_81,UitvalICTDienstDoorVeiligheidsinc_82,VernietigingDataDoorVeiligheidsinc_83,OnthullingDoorInternIncident_84,UitvalICTDienstDoorAanvalBuitenaf_85,VernietigingDataAanvalBuitenaf_86,OnthullingDoorICTInbraak_87,VerzekeringICTVeiligheidsincidenten_88,GezochtNaarMeldingenCyberdreigingen_89,BekendMetDTC_90,DTCWebsiteAlsBronGebruikt_91,AndereBedrijven_92,Overheid_93,Consumenten_94,EFactuur_95,ElektronischMaarGeenEFactuur_96,PapierenVorm_97,EFactuur_98,AndersElektronischOfPapier_99,EFacturenVerzonden_100,EFacturenOntvangen_101,VerkoopViaECommerce_102,ViaWebsiteOfAppsVanEigenBedrijf_103,PercentageOmzetViaOnlinePlatforms_104,Verkoopwaarde1VanDeTotaleOmzet_105,Verkoopwaarde1VanDeTotaleOmzet_106,Verkoopwaarde2VanDeTotaleOmzet_107,Verkoopwaarde5VanDeTotaleOmzet_108,Verkoopwaarde10VanDeTotaleOmzet_109,Verkoopwaarde25VanDeTotaleOmzet_110,Verkoopwaarde50VanDeTotaleOmzet_111,VerkoopViaWebsiteOfApp_112,Verkoopwaarde1VanDeTotaleOmzet_113,Verkoopwaarde1VanDeTotaleOmzet_114,Verkoopwaarde2VanDeTotaleOmzet_115,Verkoopwaarde5VanDeTotaleOmzet_116,Verkoopwaarde10VanDeTotaleOmzet_117,Verkoopwaarde25VanDeTotaleOmzet_118,Verkoopwaarde50VanDeTotaleOmzet_119,NederlandseConsumenten_120,BuitenlandseConsumenten_121,Bedrijven_122,Overheden_123,KlantenInNederland_124,KlantenInAndereEULanden_125,KlantenInLandenBuitenDeEU_126,HogeKostenBezorgenRetournerenEU_127,ProbleemOplossenKlachtenEnGeschillen_128,LabelsEtikettenAanpassen_129,OnvoldoendeKennisVanAndereTalen_130,BeperkingenOpgelegdDoorZakenpartners_131,LageKosten_132,Gemak_133,GrotereMarkt_134,BereikenInternationaleMarkt_135,MartkaandeelBehoudenVergroten_136,PlatformDomineertDeMarkt_137,FeedbackReviewsRatings_138,Anders_139,NegatiefOmzetDaalt_140,NeutraalOmzetBlijftGelijk_141,PositiefOmzetStijgt_142,NietBekendMetPlatformsBinnenBranche_143,NegatiefOmzetDaalt_144,NeutraalOmzetBlijftGelijk_145,PositiefOmzetStijgt_146,NietBekendMetPlatformsBinnenBranche_147,VerkoopViaEDI_148,Verkoopwaarde1VanDeTotaleOmzet_149,Verkoopwaarde1VanDeTotaleOmzet_150,Verkoopwaarde2VanDeTotaleOmzet_151,Verkoopwaarde5VanDeTotaleOmzet_152,Verkoopwaarde10VanDeTotaleOmzet_153,Verkoopwaarde25VanDeTotaleOmzet_154,Verkoopwaarde50VanDeTotaleOmzet_155,KlantenInNederland_156,KlantenInAndereEULanden_157,KlantenInLandenBuitenDeEU_158,InkoopViaECommerce_159,Inkoopwaarde1VanDeTotaleInkoop_160,Inkoopwaarde1VanDeTotaleInkoop_161,Inkoopwaarde2VanDeTotaleInkoop_162,Inkoopwaarde5VanDeTotaleInkoop_163,Inkoopwaarde10VanDeTotaleInkoop_164,Inkoopwaarde25VanDeTotaleInkoop_165,Inkoopwaarde50VanDeTotaleInkoop_166,InkoopViaWebsiteOfApp_167,Inkoopwaarde1VanDeTotaleInkoop_168,Inkoopwaarde1VanDeTotaleInkoop_169,Inkoopwaarde2VanDeTotaleInkoop_170,Inkoopwaarde5VanDeTotaleInkoop_171,Inkoopwaarde10VanDeTotaleInkoop_172,Inkoopwaarde25VanDeTotaleInkoop_173,Inkoopwaarde50VanDeTotaleInkoop_174,AanbiedersInNederland_175,AanbiedersInAndereEULanden_176,AanbiedersInLandenBuitenDeEU_177,InkoopViaEDI_178,Inkoopwaarde1VanDeTotaleInkoop_179,Inkoopwaarde1VanDeTotaleInkoop_180,Inkoopwaarde2VanDeTotaleInkoop_181,Inkoopwaarde5VanDeTotaleInkoop_182,Inkoopwaarde10VanDeTotaleInkoop_183,Inkoopwaarde25VanDeTotaleInkoop_184,Inkoopwaarde50VanDeTotaleInkoop_185,AanbiedersInNederland_186,AanbiedersInAndereEULanden_187,AanbiedersInAndereLandenBuitenEU_188
0,WP19090,399907,72,68,27,76,8,5,18,4,2,97,0,11,16,40,30,44,58,24,92,80,34,6,9,25,55,21,72,70,21,25,5,82,40,29,34,77,26,38,51,20,10,12,38,25,15,96,74,92,49,44,85,50,54,59,48,47,31,15,38,47,25,27,38,36,36,29,28,20,28,8,2,40,11,39,5,3,8,4,2,5,17,16,2,1,4,2,1,25,10,11,4,91,40,56,15,64,22,20,80,25,48,25,83,17,6,19,17,15,12,10,7,21,4,16,14,12,10,7,5,46,8,43,3,85,12,3,3,1,1,1,1,45,72,87,51,73,57,40,18,2,8,7,5,4,37,14,45,6,1,4,4,4,3,2,1,83,14,3,69,25,43,37,29,24,17,12,68,26,42,35,27,22,15,10,63,4,1,5,1,4,4,4,3,3,1,88,9,3
1,WP19090,307500,57,51,16,74,3,2,12,1,1,97,0,14,18,39,25,39,59,16,94,81,27,9,5,15,46,15,64,62,11,23,3,80,29,25,34,69,17,55,54,19,7,14,46,23,10,98,67,93,41,34,83,47,56,57,48,43,21,10,32,54,20,26,30,28,28,22,21,13,22,5,2,42,10,41,5,2,7,4,2,5,17,17,2,0,4,2,0,18,5,8,2,97,32,39,14,66,20,20,80,24,47,23,91,9,7,16,13,11,9,6,4,20,5,13,10,7,6,3,2,35,4,59,2,86,11,3,2,1,0,0,0,44,69,74,51,73,47,40,21,1,7,6,6,4,35,11,50,6,1,5,5,4,4,3,2,84,14,2,73,34,39,31,22,18,12,8,73,34,38,30,21,17,11,7,67,5,1,3,1,2,2,2,2,1,0,92,8,0
2,WP19090,800036,65,62,20,67,5,2,11,1,1,99,0,19,25,31,25,41,76,28,90,76,12,3,4,15,42,7,55,55,10,15,1,59,18,16,25,77,25,29,37,20,15,11,52,13,8,99,67,92,39,29,85,41,59,58,53,33,19,13,39,65,22,13,33,33,31,23,21,11,23,7,3,53,8,46,11,0,4,3,2,3,21,20,2,0,3,0,0,24,11,8,1,95,68,53,11,68,21,14,86,21,36,10,74,26,5,5,3,3,2,2,0,9,3,4,3,2,2,2,0,29,0,71,1,91,9,0,0,0,0,0,0,44,88,56,0,56,100,0,0,3,2,5,1,5,30,6,59,3,2,1,1,1,0,0,0,100,0,0,47,28,19,13,10,6,5,1,47,28,19,13,10,6,5,1,42,4,1,2,2,0,0,0,0,0,0,100,0,0
3,WP19090,350000,65,62,24,73,1,1,4,0,0,98,0,13,20,41,24,37,69,34,92,73,12,2,1,18,45,6,61,59,11,16,1,78,21,24,36,70,21,36,38,8,9,16,48,21,6,97,65,94,45,38,88,47,51,53,48,44,20,12,22,66,18,16,26,24,25,19,17,13,21,5,1,40,15,38,6,1,11,7,3,7,21,20,5,1,6,4,1,15,7,9,3,96,59,79,13,65,22,22,78,21,48,10,71,29,3,7,6,5,4,3,2,9,2,7,6,4,3,2,2,42,1,55,3,99,1,0,0,0,0,0,0,62,87,54,30,65,52,43,26,0,5,1,2,2,36,4,58,1,0,1,1,1,1,1,0,100,0,0,67,29,39,33,26,22,18,13,66,29,37,32,25,20,16,11,65,1,0,5,0,5,5,5,5,4,3,99,1,0
4,WP19090,354200,73,70,22,77,8,6,20,3,1,98,0,11,17,38,32,47,62,21,92,82,53,8,21,32,61,30,75,73,22,30,3,85,50,31,32,72,24,50,60,30,8,11,41,25,14,97,76,96,49,43,88,57,58,67,53,49,32,16,40,48,22,30,38,36,36,30,30,23,26,10,1,43,13,42,5,3,10,4,1,7,18,17,3,1,6,3,1,27,11,12,4,92,33,55,15,61,24,21,79,29,47,45,88,12,10,35,32,28,25,20,15,40,6,30,27,23,20,16,12,48,8,42,2,83,15,3,11,4,5,3,3,37,67,92,55,78,59,31,17,4,14,13,9,8,38,21,33,11,3,8,8,7,6,5,3,81,17,2,65,27,38,33,27,23,17,13,64,29,35,29,23,19,13,10,55,7,2,9,1,8,8,7,7,6,3,83,14,3
5,WP19090,383100,68,62,24,67,2,1,9,0,0,94,0,14,20,39,22,40,60,30,83,71,20,4,6,18,31,9,52,51,7,14,4,68,28,26,28,75,17,25,37,13,17,16,39,18,10,95,74,89,45,34,82,41,44,51,41,43,23,14,32,47,28,26,32,29,30,26,21,14,23,8,1,39,10,38,6,1,7,4,3,5,14,14,2,0,4,2,0,21,8,11,2,94,25,36,12,67,22,18,82,21,44,19,83,17,2,16,16,15,12,8,5,10,1,9,8,7,6,3,1,27,5,63,5,89,10,1,0,0,0,1,0,60,65,29,33,38,57,28,31,0,6,2,2,3,38,8,51,10,1,9,9,8,7,5,3,76,17,7,56,32,23,19,13,9,6,4,56,34,22,19,12,9,6,4,54,1,0,3,2,2,1,1,1,1,1,82,8,10
6,WP19090,389100,40,36,6,43,0,0,2,0,0,95,0,15,26,39,16,23,20,4,89,82,59,3,6,23,57,13,79,79,14,16,3,89,65,34,20,77,26,10,16,9,28,23,33,11,4,88,56,72,29,24,63,26,23,24,23,22,8,4,16,37,45,18,12,9,9,8,8,6,9,0,2,23,6,23,4,0,5,3,1,2,11,11,1,0,1,1,0,11,3,6,2,83,46,75,9,57,34,19,81,17,47,26,54,46,4,22,21,18,14,9,5,25,3,22,20,17,14,9,5,66,14,16,3,82,15,3,0,0,0,0,0,42,79,96,56,72,65,52,19,2,13,10,1,3,48,22,26,1,0,1,1,0,0,0,0,66,34,0,65,14,52,44,37,32,25,19,65,15,51,43,37,32,24,17,63,2,0,3,0,3,3,3,3,2,1,99,1,0
7,WP19090,391600,99,98,61,96,50,41,73,33,14,98,0,3,4,33,58,79,76,45,95,85,26,9,8,24,76,44,91,88,54,48,25,91,38,36,52,87,46,53,75,42,3,3,22,36,36,95,90,96,69,78,94,66,78,82,62,69,61,29,65,12,48,40,68,66,67,56,63,48,56,11,2,41,13,37,5,5,10,4,2,6,17,15,2,2,5,2,1,50,24,22,7,96,51,29,15,77,7,19,81,26,51,21,83,17,5,15,15,13,11,9,7,19,3,14,13,12,10,8,6,27,13,55,4,73,15,12,1,1,1,1,0,66,86,85,61,80,66,64,6,1,5,8,5,2,31,23,44,3,1,2,2,1,1,1,0,60,30,10,80,14,66,60,50,41,25,17,80,15,65,59,50,40,25,16,65,10,5,4,1,3,3,2,2,1,1,70,14,16
8,WP19090,396300,97,97,48,92,23,11,38,7,5,95,0,4,6,40,45,67,74,45,88,73,30,11,9,30,54,34,68,66,22,16,5,70,34,23,33,70,24,42,68,27,2,2,37,36,22,98,95,98,85,83,93,74,81,83,69,74,71,40,59,38,30,32,76,74,74,68,58,50,65,7,4,52,18,48,4,12,13,3,6,7,19,19,1,2,7,0,0,44,32,27,9,84,26,44,16,63,22,21,79,25,55,12,83,17,4,9,8,8,7,5,4,12,4,9,8,8,7,5,4,52,1,46,2,96,3,1,0,0,0,0,1,59,100,100,0,100,41,59,0,1,5,6,1,4,32,16,48,0,0,0,0,0,0,0,0,0,0,0,67,23,44,34,20,15,10,7,67,23,44,34,20,15,10,7,63,3,1,1,1,1,1,1,1,1,0,70,30,0
9,WP19090,402000,89,89,38,95,4,0,16,1,1,100,0,4,7,42,47,34,83,35,91,68,26,8,3,28,62,21,77,74,29,28,3,82,54,38,37,83,30,51,75,23,4,1,37,44,14,98,90,95,53,56,96,49,72,76,54,53,38,20,46,68,5,27,55,55,55,36,34,22,34,14,7,52,15,48,5,5,10,7,2,6,15,15,4,0,5,3,2,26,3,12,5,89,30,79,8,66,26,22,78,16,56,9,50,50,3,5,5,3,3,3,3,9,3,5,5,3,3,3,3,65,8,11,16,92,6,2,0,0,0,0,0,71,71,100,29,58,71,29,0,0,5,1,2,2,33,9,56,2,0,2,2,2,0,0,0,100,0,0,73,38,35,31,25,22,12,9,73,38,35,31,25,22,12,7,71,1,0,2,0,2,2,2,2,2,0,100,0,0
