ID,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,Telewerkers_3,TelewerkKomtVoor_4,ICTPersAangenomenWillenAannemen_5,ICTVacaturesLastigTeVullen_6,ICTSpecialistenInLoondienst_7,AandeelICTSpecialisten_8,ICTSpecOntwEnOnderhoudSoftware_9,InternetVast_10,MinderDan2MbitS_11,k_2Tot10MbitS_12,k_10Tot30MbitS_13,k_30Tot100MbitS_14,k_100MbitSOfMeer_15,VoiceOfVideoAppsGebruikt_16,MobielInternetVerstrekt_17,PersoneelDatWerktMetMobielInternet_18,BedrijvenMetWebsite_19,BeschrijvingenVanProductenPrijslijst_20,OnlineBestellenBoekenOfReserveren_21,ProductaanpassingDoorKlant_22,BestellingOnlineVolgen_23,KlantspecifiekeInfoVoorDeBezoeker_24,VerwijzingNaarSocialeMedia_25,GegevensBezoekersOpWebsiteGebruikt_26,SocialeMediaGebruikt_27,SocialeNetwerkenBijvFacebook_28,BlogsOfMicroblogsBijvTwitter_29,MultimediaDelenBijvYouTube_30,WikiSOmKennisTeDelen_31,MarketingProductenBedrijfsimago_32,MeningenKlantReagerenOpVragen_33,BetrekkingKlantBijProductontwikkeling_34,SamenwerkenMetZakenrelaties_35,WervenVanPersoneel_36,KennisUitwisselingBinnenHetBedrijf_37,ERPSoftware_38,OpslagKlantgegevens_39,AnalyseKlantgegevens_40,NietGedigitaliseerd_41,NauwelijksGedigitaliseerd_42,GemiddeldGedigitaliseerd_43,VeelGedigitaliseerd_44,BijnaVolledigGedigitaliseerd_45,AntiVirussoftware_46,BeleidVoorSterkeWachtwoorden_47,UpdatenSoftwareBesturingssysteem_48,AuthenticatieViaSoftOfHardwaretoken_49,EncryptieVanData_50,GegevensOpAndereFysiekeLocatie_51,NetworkAccessControl_52,VPNInternetgebruikBuitenHetBedrijf_53,LogbestandenVoorAnalyseIncidenten_54,MethodesVoorBeoordelenICTVeiligheid_55,Risicoanalyses_56,VrijwilligeTraining_57,VerplichteTraining_58,MetContract_59,ExterneLeverancier_60,EigenPersoneel_61,EigenPersoneelEnExterneLeverancier_62,ICTVeiligheidsdocumentenAanwezig_63,BeheerToegangsrechten_64,OmgangData_65,PreventieVanVeiligheidsincidenten_66,RegelsVoorPersoneel_67,OpleidenPersoneel_68,MinderDan12MaandenGeleden_69,TussenDe12En24MaandenGeleden_70,MeerDan24MaandenGeleden_71,IncidentDoorInterneOorzaak_72,IncidentDoorAanvalVanBuiten_73,UitvalICTDienstDoorVeiligheidsinc_74,VernietigingDataDoorVeiligheidsinc_75,OnthullingDoorInternIncident_76,UitvalICTDienstDoorAanvalBuitenaf_77,VernietigingDataAanvalVanBuitenaf_78,OnthullingGegevensDoorICTInbraak_79,KostenIncidentAanvalBuitenaf_80,KostenIncidentIntern_81,UitvalICTDienstDoorVeiligheidsinc_82,VernietigingDataDoorVeiligheidsinc_83,OnthullingDoorInternIncident_84,UitvalICTDienstDoorAanvalBuitenaf_85,VernietigingDataAanvalBuitenaf_86,OnthullingDoorICTInbraak_87,VerzekeringICTVeiligheidsincidenten_88,GezochtNaarMeldingenCyberdreigingen_89,BekendMetDTC_90,DTCWebsiteAlsBronGebruikt_91,AndereBedrijven_92,Overheid_93,Consumenten_94,EFactuur_95,ElektronischMaarGeenEFactuur_96,PapierenVorm_97,EFactuur_98,AndersElektronischOfPapier_99,EFacturenVerzonden_100,EFacturenOntvangen_101,VerkoopViaECommerce_102,ViaWebsiteOfAppsVanEigenBedrijf_103,PercentageOmzetViaOnlinePlatforms_104,Verkoopwaarde1VanDeTotaleOmzet_105,Verkoopwaarde1VanDeTotaleOmzet_106,Verkoopwaarde2VanDeTotaleOmzet_107,Verkoopwaarde5VanDeTotaleOmzet_108,Verkoopwaarde10VanDeTotaleOmzet_109,Verkoopwaarde25VanDeTotaleOmzet_110,Verkoopwaarde50VanDeTotaleOmzet_111,VerkoopViaWebsiteOfApp_112,Verkoopwaarde1VanDeTotaleOmzet_113,Verkoopwaarde1VanDeTotaleOmzet_114,Verkoopwaarde2VanDeTotaleOmzet_115,Verkoopwaarde5VanDeTotaleOmzet_116,Verkoopwaarde10VanDeTotaleOmzet_117,Verkoopwaarde25VanDeTotaleOmzet_118,Verkoopwaarde50VanDeTotaleOmzet_119,NederlandseConsumenten_120,BuitenlandseConsumenten_121,Bedrijven_122,Overheden_123,KlantenInNederland_124,KlantenInAndereEULanden_125,KlantenInLandenBuitenDeEU_126,HogeKostenBezorgenRetournerenEU_127,ProbleemOplossenKlachtenEnGeschillen_128,LabelsEtikettenAanpassen_129,OnvoldoendeKennisVanAndereTalen_130,BeperkingenOpgelegdDoorZakenpartners_131,LageKosten_132,Gemak_133,GrotereMarkt_134,BereikenInternationaleMarkt_135,MartkaandeelBehoudenVergroten_136,PlatformDomineertDeMarkt_137,FeedbackReviewsRatings_138,Anders_139,NegatiefOmzetDaalt_140,NeutraalOmzetBlijftGelijk_141,PositiefOmzetStijgt_142,NietBekendMetPlatformsBinnenBranche_143,NegatiefOmzetDaalt_144,NeutraalOmzetBlijftGelijk_145,PositiefOmzetStijgt_146,NietBekendMetPlatformsBinnenBranche_147,VerkoopViaEDI_148,Verkoopwaarde1VanDeTotaleOmzet_149,Verkoopwaarde1VanDeTotaleOmzet_150,Verkoopwaarde2VanDeTotaleOmzet_151,Verkoopwaarde5VanDeTotaleOmzet_152,Verkoopwaarde10VanDeTotaleOmzet_153,Verkoopwaarde25VanDeTotaleOmzet_154,Verkoopwaarde50VanDeTotaleOmzet_155,KlantenInNederland_156,KlantenInAndereEULanden_157,KlantenInLandenBuitenDeEU_158,InkoopViaECommerce_159,Inkoopwaarde1VanDeTotaleInkoop_160,Inkoopwaarde1VanDeTotaleInkoop_161,Inkoopwaarde2VanDeTotaleInkoop_162,Inkoopwaarde5VanDeTotaleInkoop_163,Inkoopwaarde10VanDeTotaleInkoop_164,Inkoopwaarde25VanDeTotaleInkoop_165,Inkoopwaarde50VanDeTotaleInkoop_166,InkoopViaWebsiteOfApp_167,Inkoopwaarde1VanDeTotaleInkoop_168,Inkoopwaarde1VanDeTotaleInkoop_169,Inkoopwaarde2VanDeTotaleInkoop_170,Inkoopwaarde5VanDeTotaleInkoop_171,Inkoopwaarde10VanDeTotaleInkoop_172,Inkoopwaarde25VanDeTotaleInkoop_173,Inkoopwaarde50VanDeTotaleInkoop_174,AanbiedersInNederland_175,AanbiedersInAndereEULanden_176,AanbiedersInLandenBuitenDeEU_177,InkoopViaEDI_178,Inkoopwaarde1VanDeTotaleInkoop_179,Inkoopwaarde1VanDeTotaleInkoop_180,Inkoopwaarde2VanDeTotaleInkoop_181,Inkoopwaarde5VanDeTotaleInkoop_182,Inkoopwaarde10VanDeTotaleInkoop_183,Inkoopwaarde25VanDeTotaleInkoop_184,Inkoopwaarde50VanDeTotaleInkoop_185,AanbiedersInNederland_186,AanbiedersInAndereEULanden_187,AanbiedersInAndereLandenBuitenEU_188
0,399907,76,72,33,80,12,8,26,3,1,97,0,9,15,38,35,48,63,33,92,81,34,7,10,26,59,24,74,73,24,29,6,82,41,30,36,80,29,46,54,24,8,11,38,27,16,96,77,93,52,49,87,53,59,64,52,51,36,18,42,44,24,32,44,42,42,34,34,25,33,9,2,44,11,42,6,5,8,4,2,6,19,18,3,1,4,2,1,26,13,13,5,92,42,54,15,63,21,20,80,27,49,26,83,17,6,20,18,16,14,10,7,22,4,16,14,12,10,7,5,44,7,46,3,84,12,3,3,1,1,1,1,48,73,87,52,75,58,41,18,2,8,7,5,4,37,15,45,8,2,6,6,5,4,3,2,79,18,3,69,27,42,36,28,23,16,12,68,28,40,34,26,21,14,10,63,4,1,6,1,5,5,4,4,3,2,85,11,4
1,307500,62,57,22,80,8,5,25,1,1,98,0,12,16,38,32,46,66,21,94,82,25,9,6,16,52,19,68,66,16,29,5,81,30,27,35,75,21,65,58,25,6,12,46,27,10,98,73,94,46,41,85,52,64,66,55,49,30,15,38,47,21,32,40,38,37,31,30,21,28,8,3,46,11,44,6,3,7,5,2,6,20,19,3,0,4,3,1,20,11,10,3,97,32,36,15,65,20,20,80,28,47,26,90,10,7,19,16,14,11,8,5,19,5,12,9,7,6,3,2,31,4,63,3,84,12,4,2,1,1,0,0,50,74,76,49,75,46,40,22,1,8,5,6,3,37,11,49,11,2,9,8,7,6,5,3,73,23,4,72,36,36,29,21,17,12,8,71,36,35,28,20,16,11,7,65,5,1,5,1,3,3,3,2,2,1,78,18,5
2,800036,86,83,48,79,22,15,30,3,3,100,0,15,19,30,35,51,83,53,93,78,24,6,8,26,54,20,68,65,25,33,9,67,39,30,38,80,41,50,51,28,11,11,49,19,10,99,78,95,55,47,89,57,71,72,65,51,39,28,49,51,16,32,50,49,47,37,38,28,36,10,4,58,10,51,11,7,7,4,3,4,23,22,3,1,4,1,1,30,19,18,7,96,73,55,12,67,22,15,85,28,42,17,72,28,7,10,7,6,5,4,3,16,4,9,7,5,5,4,3,52,0,44,4,93,7,0,0,0,0,0,0,77,96,85,17,81,86,59,9,3,5,6,2,4,34,9,52,3,2,1,1,1,1,0,0,99,1,0,54,33,21,15,12,8,6,3,53,33,20,14,11,8,6,3,49,4,1,3,2,1,1,1,1,0,0,100,0,0
3,350000,75,73,37,77,4,2,10,1,0,98,0,11,18,39,30,41,73,47,93,73,12,3,1,19,50,10,66,64,15,20,2,80,23,24,38,75,25,44,43,10,8,14,46,24,8,98,69,95,48,41,89,50,55,58,51,46,24,14,27,62,17,21,32,30,30,23,22,15,24,6,1,42,14,41,7,2,10,6,3,7,22,21,5,1,5,3,1,15,9,11,4,97,62,79,13,65,22,22,78,24,49,10,72,28,3,7,6,5,4,3,2,8,2,6,5,4,3,2,1,43,1,54,3,99,1,0,0,0,0,0,0,66,88,54,27,64,48,44,24,0,5,1,2,2,36,4,58,2,1,1,1,1,1,1,0,100,0,0,69,30,39,34,27,23,19,13,68,31,37,32,25,21,17,10,66,2,0,6,0,6,6,6,6,5,3,99,1,0
4,354200,65,60,20,80,11,7,26,2,1,98,0,10,15,38,35,49,65,19,92,83,54,9,22,33,63,33,76,75,24,33,4,86,52,32,34,76,27,56,62,34,7,10,41,27,15,97,78,96,51,46,89,59,62,70,55,52,36,18,43,44,23,34,43,41,41,34,35,26,30,11,1,45,14,44,5,4,10,5,2,7,19,18,3,1,6,3,1,28,13,13,4,93,34,55,15,60,24,21,79,31,48,48,88,12,11,37,34,30,26,21,15,42,7,31,27,23,20,15,11,47,8,44,2,83,14,3,11,4,4,3,3,41,66,92,55,79,59,31,16,4,15,15,9,7,38,22,32,14,3,11,10,9,7,6,3,79,18,2,66,28,38,33,27,23,18,13,63,30,33,27,22,18,13,9,55,7,2,11,2,9,9,9,8,7,4,80,16,4
5,383100,72,65,28,73,8,4,20,2,1,95,0,11,18,39,26,44,66,34,85,75,26,6,11,21,39,12,58,57,11,19,4,72,29,25,28,81,21,35,44,16,13,14,40,21,11,96,77,91,50,39,85,46,52,59,49,49,28,16,36,44,26,31,39,36,37,32,27,20,28,9,1,42,11,41,6,2,8,5,3,6,18,17,2,1,5,2,0,22,12,12,3,94,28,36,12,67,21,19,81,25,47,29,78,22,4,24,23,21,19,13,9,16,2,12,11,10,8,5,3,24,4,68,3,85,13,2,1,0,0,1,0,58,70,44,39,51,50,24,29,0,9,4,3,3,39,10,48,18,3,15,15,14,13,9,5,74,21,5,59,36,23,20,13,10,7,4,59,37,22,19,12,10,6,4,56,2,1,4,2,2,2,1,1,1,1,82,11,7
6,389100,41,36,7,46,1,0,4,0,0,96,0,14,25,39,18,25,24,6,89,82,59,5,8,24,59,15,80,80,15,17,3,90,66,35,23,79,27,13,19,12,27,22,34,13,5,89,58,75,32,27,65,28,27,28,26,25,11,6,19,38,42,20,15,13,13,11,11,8,11,2,2,26,7,25,4,0,5,4,1,3,12,12,1,0,2,1,0,13,3,6,2,84,48,75,9,58,33,20,80,17,48,28,53,47,4,24,23,20,16,11,6,27,3,24,22,19,15,10,6,63,15,18,4,80,16,4,0,0,0,0,0,42,78,97,61,75,68,56,17,2,13,12,1,3,47,24,26,1,0,1,1,1,1,1,0,73,24,3,67,14,52,45,38,33,26,20,66,15,51,43,37,32,25,18,64,2,0,4,0,4,3,3,3,2,1,99,1,0
7,391600,97,96,59,96,53,43,77,23,8,98,0,3,4,31,61,82,78,58,95,85,28,9,10,26,77,47,92,90,57,51,27,91,42,38,53,89,48,58,76,45,2,3,21,36,37,96,91,97,72,79,94,68,80,84,66,72,65,33,67,11,46,43,73,71,71,61,67,52,59,12,2,42,14,38,5,7,10,4,2,6,17,16,2,2,5,2,1,51,29,25,10,96,54,30,16,75,9,19,81,28,51,22,84,16,6,16,15,13,12,9,7,20,4,15,14,12,10,8,6,29,11,55,5,77,13,10,1,1,1,1,0,66,87,87,61,78,64,59,12,1,6,8,5,2,31,23,44,4,1,3,3,2,2,1,1,64,27,9,79,17,62,57,47,38,24,16,79,17,62,56,46,37,23,15,64,9,5,5,1,4,4,3,2,2,1,73,15,12
8,396300,96,95,54,95,38,25,56,7,4,95,0,3,5,38,49,72,78,47,89,77,36,22,15,36,58,42,71,69,33,28,10,77,46,33,39,77,29,52,73,37,2,2,29,37,29,98,95,98,86,87,95,78,85,88,78,82,79,51,67,28,24,48,83,81,81,75,70,61,70,9,3,55,20,49,5,18,14,4,6,7,24,23,2,3,7,1,0,42,43,31,13,83,26,50,15,63,23,20,80,24,52,20,89,11,7,13,13,11,10,9,7,20,4,12,12,11,9,8,5,57,1,41,1,94,4,1,1,0,0,0,1,72,100,100,13,100,56,50,5,2,8,8,2,4,32,18,46,4,2,2,2,2,2,1,1,97,2,1,67,25,42,33,22,16,9,6,67,25,42,33,22,16,9,6,62,4,2,3,1,2,1,1,1,1,0,86,14,0
9,402000,96,95,44,96,10,4,32,2,1,100,0,4,6,40,50,41,86,61,93,73,29,7,4,32,67,27,81,79,36,35,6,80,59,42,36,85,31,60,78,21,3,1,38,42,16,98,92,96,62,55,97,52,75,79,61,58,48,24,51,59,4,38,61,61,61,43,43,26,37,18,6,56,13,51,7,10,9,6,2,6,18,17,4,1,5,3,2,25,10,12,6,89,34,83,7,61,32,20,80,14,53,11,65,35,4,7,7,5,5,5,5,10,3,7,7,5,5,5,5,69,9,12,11,90,8,2,0,0,0,0,0,53,60,100,28,68,78,22,0,0,6,2,2,2,36,9,53,2,1,2,2,2,0,0,0,100,0,0,73,43,30,27,21,18,10,7,73,43,30,27,21,18,9,5,72,1,0,2,0,2,2,2,2,2,0,100,0,0
