ID,Bedrijfsgrootte,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,Telewerkers_3,TelewerkKomtVoor_4,ICTPersAangenomenWillenAannemen_5,ICTVacaturesLastigTeVullen_6,ICTSpecialistenInLoondienst_7,ExterneLeverancier_8,EigenPersoneel_9,EigenPersoneelEnExterneLeverancier_10,ICTCursusAanICTSpecialisten_11,ICTCursusAanOverigPersoneel_12,InternetVast_13,MinderDan30MbitS_14,k_30Tot100MbitS_15,k_100Tot500MbitS_16,k_500MbitSTot1GbitS_17,TenMinste1GbitS_18,SnelheidVasteVerbindingVoldoende_19,MobielInternetVerstrekt_20,PersoneelDatWerktMetMobielInternet_21,BedrijvenMetWebsite_22,BeschrijvingenVanProductenPrijslijst_23,OnlineBestellenBoekenOfReserveren_24,ProductaanpassingDoorKlant_25,BestellingOnlineVolgen_26,KlantspecifiekeInfoVoorDeBezoeker_27,VerwijzingNaarSocialeMedia_28,ChatserviceMetPersoon_29,ChatserviceMetVirtueleMedewerker_30,ClouddienstenGebruikt_31,EMail_32,OfficeSoftware_33,OpslagDatabases_34,BestandenOpslaan_35,BoekhoudingSoftware_36,KlantbeheerSoftware_37,Rekenkracht_38,GedeeldeServers_39,ServerUitsluitendVoorBedrijf_40,BigDataAnalysesGebruikt_41,ZelfUitgevoerd_42,GeanalyseerdDoorDerden_43,GegevensVanApparatenOfSensoren_44,DataOverGeografischeLocaties_45,DataVanSocialeMedia_46,AndereBronnen_47,TechniekMachineLearning_48,TechniekSpraakverwerking_49,AndereTechnieken_50,BigDataAnalyseOverwogen_51,KostenHogerDanBaten_52,OnvoldoendeKennis_53,OnvoldoendeBigDataBronnen_54,GebrekkigeICTInfrastructuur_55,PrivacyWetgeving_56,GeenBedrijfsprioriteit_57,KwaliteitBronnen_58,NietZinvolVoorBedrijf_59,AndereRedenen_60,BigDataVerkochtAanDerden_61,BigDataGekochtVanDerden_62,AntiVirussoftware_63,BeleidVoorSterkeWachtwoorden_64,UpdatenSoftwareBesturingssysteem_65,AuthenticatieViaSoftOfHardwaretoken_66,EncryptieVanData_67,GegevensOpAndereFysiekeLocatie_68,NetworkAccessControl_69,VPNInternetgebruikBuitenHetBedrijf_70,LogbestandenVoorAnalyseIncidenten_71,MethodesVoorBeoordelenICTVeiligheid_72,Risicoanalyses_73,UitbesteedAanExternBedrijf_74,EigenPersoneel_75,EigenPersoneelEnExternBedrijf_76,IncidentDoorInterneOorzaak_77,IncidentDoorAanvalVanBuiten_78,UitvalICTDienstDoorVeiligheidsinc_79,VernietigingDataDoorVeiligheidsinc_80,OnthullingDoorInternIncident_81,UitvalICTDienstDoorAanvalBuitenaf_82,VernietigingDataAanvalVanBuitenaf_83,OnthullingGegevensDoorICTInbraak_84,KostenIncidentIntern_85,KostenIncidentAanvalBuitenaf_86,UitvalICTDienstDoorVeiligheidsinc_87,VernietigingDataDoorVeiligheidsinc_88,OnthullingDoorInternIncident_89,UitvalICTDienstDoorAanvalBuitenaf_90,VernietigingDataAanvalBuitenaf_91,OnthullingDoorICTInbraak_92,GezochtNaarMeldingenCyberdreigingen_93,BekendMetDTC_94,DTCWebsiteAlsBronGebruikt_95,AndereBedrijven_96,Overheid_97,Consumenten_98,EFactuur_99,ElektronischMaarGeenEFactuur_100,PapierenVorm_101,VerkoopViaECommerce_102,ViaWebsiteOfAppsVanEigenBedrijf_103,PercentageOmzetViaOnlinePlatforms_104,Verkoopwaarde1VanDeTotaleOmzet_105,Verkoopwaarde1VanDeTotaleOmzet_106,Verkoopwaarde2VanDeTotaleOmzet_107,Verkoopwaarde5VanDeTotaleOmzet_108,Verkoopwaarde10VanDeTotaleOmzet_109,Verkoopwaarde25VanDeTotaleOmzet_110,Verkoopwaarde50VanDeTotaleOmzet_111,ViaEen_112,ViaTwee_113,ViaDrieOfMeer_114,MeerDanDeHelftOmzetUitEenPlatform_115,VerkoopViaWebsiteOfApp_116,Verkoopwaarde1VanDeTotaleOmzet_117,Verkoopwaarde1VanDeTotaleOmzet_118,Verkoopwaarde2VanDeTotaleOmzet_119,Verkoopwaarde5VanDeTotaleOmzet_120,Verkoopwaarde10VanDeTotaleOmzet_121,Verkoopwaarde25VanDeTotaleOmzet_122,Verkoopwaarde50VanDeTotaleOmzet_123,VerkoopViaEDI_124,Verkoopwaarde1VanDeTotaleOmzet_125,Verkoopwaarde1VanDeTotaleOmzet_126,Verkoopwaarde2VanDeTotaleOmzet_127,Verkoopwaarde5VanDeTotaleOmzet_128,Verkoopwaarde10VanDeTotaleOmzet_129,Verkoopwaarde25VanDeTotaleOmzet_130,Verkoopwaarde50VanDeTotaleOmzet_131
0,WP19115,399907,79,76,37,58,5,3,11,45,42,14,6,8,93,13,28,30,15,7,84,47,35,71,59,27,5,8,22,39,2,0,40,30,26,30,32,28,18,10,31,15,20,18,3,5,7,12,5,2,1,17,2,1,1,1,1,1,1,1,1,0,0,1,89,68,84,46,38,71,37,35,37,28,29,45,46,9,29,7,27,3,2,5,2,2,10,3,10,1,1,2,1,0,7,8,2,83,26,55,14,63,22,20,76,24,5,15,13,11,10,7,6,4,2,2,3,18,2,13,12,10,8,6,5,3,1,2,2,2,1,1,1
1,WP19115,307500,65,61,26,57,4,2,13,51,32,17,7,11,95,13,31,31,13,7,88,50,27,79,65,23,6,6,17,41,2,0,39,29,22,26,27,25,13,7,30,14,16,15,2,6,6,9,3,2,0,14,3,1,2,1,1,1,2,1,1,0,0,1,91,67,86,43,35,77,40,42,42,32,31,52,36,12,33,9,32,5,3,7,4,2,13,4,12,2,1,3,2,1,7,8,2,92,27,46,13,68,19,24,86,14,6,18,16,13,11,8,6,4,1,1,2,20,3,14,12,10,8,6,4,6,1,5,5,4,3,3,2
2,WP19115,800036,78,76,48,65,11,8,17,48,32,19,11,12,93,18,24,24,16,10,82,58,54,61,51,18,5,4,19,37,5,2,40,31,29,31,34,25,16,14,31,19,22,21,2,11,11,10,6,5,1,17,2,0,2,1,1,0,2,1,1,0,0,1,88,71,85,46,38,70,51,50,51,35,37,51,31,18,35,5,31,7,3,4,1,2,14,2,13,2,1,1,0,1,10,11,4,87,43,34,10,70,20,8,89,11,4,4,3,3,2,1,1,0,0,1,1,7,3,3,3,2,1,1,1,1,0,1,0,0,0,0,0
3,WP19115,350000,76,73,36,50,1,0,4,50,42,8,2,5,92,16,30,30,13,4,82,51,48,57,39,9,2,1,14,21,0,0,27,18,17,18,21,16,8,4,20,9,13,12,3,4,8,4,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,89,64,81,33,23,66,31,26,29,22,21,50,44,6,23,7,21,4,1,5,3,1,11,3,11,1,0,2,1,0,4,6,1,93,24,71,11,65,25,10,66,34,3,7,6,4,3,2,1,2,2,1,2,9,1,6,5,4,3,2,1,1,0,1,1,1,0,0,0
4,WP19115,354200,71,66,25,54,3,2,11,41,45,14,5,7,95,13,31,29,15,7,86,42,24,73,61,37,6,14,23,42,3,1,37,28,24,29,29,26,18,9,29,14,22,20,4,5,5,16,5,2,1,19,2,1,1,1,1,1,1,1,1,0,0,1,89,67,83,43,33,72,37,34,35,27,26,44,48,8,29,7,28,3,2,5,2,2,9,2,9,1,1,2,1,0,6,6,2,82,23,57,11,60,29,31,80,20,8,24,21,18,16,12,10,6,3,3,5,30,4,22,19,16,13,10,9,4,1,4,3,3,2,2,1
5,WP19115,383100,71,67,32,50,3,1,7,44,45,11,3,6,86,16,23,30,11,7,74,55,35,54,42,19,5,5,13,22,1,0,28,23,17,21,21,18,9,6,22,10,23,22,2,5,19,9,5,2,1,21,1,1,0,0,0,0,1,0,1,0,0,1,87,65,81,45,30,65,30,26,31,23,24,44,49,8,23,7,23,3,2,5,2,2,10,3,9,2,1,2,1,1,5,7,2,90,23,35,12,68,20,17,71,29,5,12,11,11,9,7,4,3,1,2,2,14,2,9,9,8,7,5,3,5,1,3,3,3,3,2,1
6,WP19115,389100,51,47,10,28,0,0,2,41,52,7,1,2,88,19,28,30,8,3,81,26,12,69,63,46,12,12,23,42,1,0,22,15,11,17,18,14,6,4,17,7,21,21,3,5,9,17,6,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,76,53,65,29,22,43,20,12,15,12,13,37,59,4,22,5,20,2,0,4,1,0,4,2,4,1,0,2,0,0,1,4,1,63,28,58,6,58,36,23,53,47,4,18,18,17,14,11,7,6,4,6,8,22,1,18,18,16,14,11,7,1,0,1,1,1,0,0,0
7,WP19115,391600,98,98,65,83,34,26,58,13,66,21,38,26,96,4,21,36,21,13,88,64,60,80,69,26,8,10,23,57,5,1,67,57,50,55,58,49,38,30,54,37,32,31,3,10,13,20,17,10,2,28,6,2,2,2,1,2,4,2,2,1,2,3,90,82,94,60,65,84,51,55,63,43,48,13,66,21,34,10,32,3,4,8,2,2,9,3,8,1,1,2,1,0,24,20,7,93,37,30,15,78,7,18,92,8,3,15,14,12,11,8,7,1,1,1,2,18,2,14,13,11,10,8,6,1,0,1,1,1,0,0,0
8,WP19115,396300,97,96,60,77,9,6,16,54,26,20,13,15,92,11,22,24,23,13,84,63,58,62,57,20,8,8,20,40,5,2,46,39,32,40,42,33,30,18,34,23,25,21,7,5,5,14,13,6,1,19,4,1,3,2,1,2,2,0,1,1,0,4,92,80,93,64,56,76,55,55,59,55,51,49,36,15,36,11,34,4,5,7,3,3,15,4,15,2,1,4,1,1,17,19,4,76,8,43,7,72,20,10,91,9,1,9,7,7,7,6,5,1,0,1,0,9,0,7,6,5,5,4,4,3,0,2,2,2,2,2,2
9,WP19115,402000,94,94,56,68,1,1,5,55,36,9,3,7,87,15,21,32,15,5,81,52,59,51,37,13,2,2,19,29,2,1,40,32,23,33,34,29,24,11,33,15,19,17,6,2,3,11,7,0,0,17,3,2,3,2,3,1,3,3,1,0,0,1,82,59,75,39,37,64,33,31,33,28,24,52,40,7,24,6,22,3,4,4,3,2,10,3,10,1,2,1,2,1,7,7,2,75,19,53,12,64,24,11,57,43,3,8,8,6,6,5,5,5,1,1,2,11,1,8,8,6,6,4,4,2,1,1,1,1,1,1,1
