ID,Bedrijfsgrootte,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,Telewerkers_3,TelewerkKomtVoor_4,ICTPersAangenomenWillenAannemen_5,ICTVacaturesLastigTeVullen_6,ICTSpecialistenInLoondienst_7,ExterneLeverancier_8,EigenPersoneel_9,EigenPersoneelEnExterneLeverancier_10,ICTCursusAanICTSpecialisten_11,ICTCursusAanOverigPersoneel_12,InternetVast_13,MinderDan30MbitS_14,k_30Tot100MbitS_15,k_100Tot500MbitS_16,k_500MbitSTot1GbitS_17,TenMinste1GbitS_18,SnelheidVasteVerbindingVoldoende_19,MobielInternetVerstrekt_20,PersoneelDatWerktMetMobielInternet_21,BedrijvenMetWebsite_22,BeschrijvingenVanProductenPrijslijst_23,OnlineBestellenBoekenOfReserveren_24,ProductaanpassingDoorKlant_25,BestellingOnlineVolgen_26,KlantspecifiekeInfoVoorDeBezoeker_27,VerwijzingNaarSocialeMedia_28,ChatserviceMetPersoon_29,ChatserviceMetVirtueleMedewerker_30,ClouddienstenGebruikt_31,EMail_32,OfficeSoftware_33,OpslagDatabases_34,BestandenOpslaan_35,BoekhoudingSoftware_36,KlantbeheerSoftware_37,Rekenkracht_38,GedeeldeServers_39,ServerUitsluitendVoorBedrijf_40,BigDataAnalysesGebruikt_41,ZelfUitgevoerd_42,GeanalyseerdDoorDerden_43,GegevensVanApparatenOfSensoren_44,DataOverGeografischeLocaties_45,DataVanSocialeMedia_46,AndereBronnen_47,TechniekMachineLearning_48,TechniekSpraakverwerking_49,AndereTechnieken_50,BigDataAnalyseOverwogen_51,KostenHogerDanBaten_52,OnvoldoendeKennis_53,OnvoldoendeBigDataBronnen_54,GebrekkigeICTInfrastructuur_55,PrivacyWetgeving_56,GeenBedrijfsprioriteit_57,KwaliteitBronnen_58,NietZinvolVoorBedrijf_59,AndereRedenen_60,BigDataVerkochtAanDerden_61,BigDataGekochtVanDerden_62,AntiVirussoftware_63,BeleidVoorSterkeWachtwoorden_64,UpdatenSoftwareBesturingssysteem_65,AuthenticatieViaSoftOfHardwaretoken_66,EncryptieVanData_67,GegevensOpAndereFysiekeLocatie_68,NetworkAccessControl_69,VPNInternetgebruikBuitenHetBedrijf_70,LogbestandenVoorAnalyseIncidenten_71,MethodesVoorBeoordelenICTVeiligheid_72,Risicoanalyses_73,UitbesteedAanExternBedrijf_74,EigenPersoneel_75,EigenPersoneelEnExternBedrijf_76,IncidentDoorInterneOorzaak_77,IncidentDoorAanvalVanBuiten_78,UitvalICTDienstDoorVeiligheidsinc_79,VernietigingDataDoorVeiligheidsinc_80,OnthullingDoorInternIncident_81,UitvalICTDienstDoorAanvalBuitenaf_82,VernietigingDataAanvalVanBuitenaf_83,OnthullingGegevensDoorICTInbraak_84,KostenIncidentIntern_85,KostenIncidentAanvalBuitenaf_86,UitvalICTDienstDoorVeiligheidsinc_87,VernietigingDataDoorVeiligheidsinc_88,OnthullingDoorInternIncident_89,UitvalICTDienstDoorAanvalBuitenaf_90,VernietigingDataAanvalBuitenaf_91,OnthullingDoorICTInbraak_92,GezochtNaarMeldingenCyberdreigingen_93,BekendMetDTC_94,DTCWebsiteAlsBronGebruikt_95,AndereBedrijven_96,Overheid_97,Consumenten_98,EFactuur_99,ElektronischMaarGeenEFactuur_100,PapierenVorm_101,VerkoopViaECommerce_102,ViaWebsiteOfAppsVanEigenBedrijf_103,PercentageOmzetViaOnlinePlatforms_104,Verkoopwaarde1VanDeTotaleOmzet_105,Verkoopwaarde1VanDeTotaleOmzet_106,Verkoopwaarde2VanDeTotaleOmzet_107,Verkoopwaarde5VanDeTotaleOmzet_108,Verkoopwaarde10VanDeTotaleOmzet_109,Verkoopwaarde25VanDeTotaleOmzet_110,Verkoopwaarde50VanDeTotaleOmzet_111,ViaEen_112,ViaTwee_113,ViaDrieOfMeer_114,MeerDanDeHelftOmzetUitEenPlatform_115,VerkoopViaWebsiteOfApp_116,Verkoopwaarde1VanDeTotaleOmzet_117,Verkoopwaarde1VanDeTotaleOmzet_118,Verkoopwaarde2VanDeTotaleOmzet_119,Verkoopwaarde5VanDeTotaleOmzet_120,Verkoopwaarde10VanDeTotaleOmzet_121,Verkoopwaarde25VanDeTotaleOmzet_122,Verkoopwaarde50VanDeTotaleOmzet_123,VerkoopViaEDI_124,Verkoopwaarde1VanDeTotaleOmzet_125,Verkoopwaarde1VanDeTotaleOmzet_126,Verkoopwaarde2VanDeTotaleOmzet_127,Verkoopwaarde5VanDeTotaleOmzet_128,Verkoopwaarde10VanDeTotaleOmzet_129,Verkoopwaarde25VanDeTotaleOmzet_130,Verkoopwaarde50VanDeTotaleOmzet_131
0,WP19115,79,76,37,58,5,3,12,45,42,14,6,8,93,13,28,30,15,7,84,47,35,71,59,27,5,8,22,39,2,0,40,30,26,30,32,28,19,10,31,15,20,18,3,5,7,12,5,2,1,17,2,1,1,1,1,1,1,1,1,0,0,1,89,68,84,46,38,71,37,35,37,28,29,45,46,9,29,7,27,3,2,5,2,2,10,3,10,1,1,2,1,0,7,8,2,83,26,55,14,63,22,20,76,24,5,15,13,11,10,7,6,4,2,2,3,19,2,13,12,10,8,6,5,3,1,2,2,2,1,1,1
1,WP19116,77,74,33,58,4,3,11,45,42,13,5,8,93,13,28,30,15,7,84,47,32,71,58,27,5,8,21,39,2,0,40,30,25,30,31,27,18,9,31,15,19,18,3,5,7,12,5,2,1,17,2,1,1,1,1,1,1,1,1,0,0,1,89,68,83,45,38,71,36,35,37,27,28,45,46,9,28,7,27,3,2,5,2,2,10,3,9,1,1,2,1,0,7,8,2,83,26,55,14,64,23,20,76,24,5,15,13,11,10,7,6,4,2,2,3,18,2,13,12,10,8,6,5,3,1,2,2,2,1,1,1
2,WP19082,85,83,33,48,1,1,6,36,57,7,2,3,91,17,27,29,14,4,82,41,32,62,48,21,4,6,16,29,0,0,30,22,18,21,24,19,11,4,26,8,15,14,2,3,6,9,4,1,0,14,1,1,1,1,0,0,1,1,0,0,0,0,85,62,79,36,29,63,26,22,24,17,17,35,61,4,19,5,18,3,1,4,2,2,5,2,4,1,1,1,1,0,5,5,1,78,18,53,13,64,24,16,73,27,4,11,10,9,7,6,4,3,2,1,3,15,1,11,10,8,7,6,4,1,0,1,1,0,0,0,0
3,WP19083,79,77,29,53,3,2,9,45,43,11,3,6,92,14,31,27,13,7,83,40,26,70,56,27,6,7,22,36,0,0,38,28,24,30,31,28,18,9,29,15,19,18,3,4,7,13,4,2,1,17,1,1,1,1,1,1,1,1,1,0,0,1,89,66,81,45,38,69,35,31,32,22,26,45,47,8,28,6,26,4,2,5,2,1,8,2,8,1,1,1,1,0,6,8,1,81,23,58,15,58,27,21,74,26,5,16,14,11,9,6,6,6,1,2,3,20,2,15,13,10,8,6,5,2,1,2,1,1,1,1,1
4,WP19085,77,75,30,61,4,3,11,51,34,15,5,9,94,11,30,29,17,7,85,46,26,75,65,31,6,9,25,43,0,0,44,34,29,35,36,33,22,11,35,17,21,19,4,6,7,14,6,3,1,18,2,1,1,1,1,1,1,1,1,0,0,1,90,70,87,49,42,75,40,39,42,33,33,51,39,9,33,7,32,3,2,6,2,1,13,2,13,1,0,2,1,0,5,8,2,85,29,57,14,63,23,22,76,24,6,16,14,13,11,8,6,4,2,3,4,21,3,15,13,11,10,7,5,2,0,2,2,1,1,1,1
5,WP19089,76,74,30,68,5,4,12,58,26,16,6,11,94,9,29,32,17,8,86,56,28,81,69,31,6,8,25,49,7,1,46,36,31,36,37,33,24,13,35,20,22,20,4,4,7,14,5,2,1,19,3,1,2,1,1,1,1,1,1,0,0,1,91,71,89,51,42,80,45,47,49,37,38,60,29,12,36,8,35,4,3,7,3,2,15,4,14,2,1,4,2,1,9,10,2,88,37,56,14,69,17,21,81,19,6,15,14,13,11,9,6,3,2,3,3,19,3,13,12,11,9,7,5,4,1,3,3,2,2,1,1
6,WP19092,74,71,32,80,10,7,23,53,21,26,14,19,95,6,26,34,17,11,88,71,32,86,74,31,8,10,25,60,10,2,56,44,40,42,44,37,30,19,41,27,26,25,5,7,11,15,7,4,1,23,5,2,3,2,2,2,3,1,1,1,1,2,95,78,93,58,49,85,53,61,64,49,49,57,24,19,44,10,42,5,4,7,3,2,18,5,17,2,1,3,1,1,12,13,5,94,41,50,14,71,15,25,83,17,5,20,18,16,14,12,9,3,1,3,3,21,4,16,14,12,11,9,7,6,1,5,5,5,4,3,2
7,WP19096,75,72,34,90,16,11,41,44,21,35,27,33,97,4,22,36,19,16,91,82,35,90,76,32,9,11,28,67,11,2,58,44,39,45,45,36,29,21,41,32,33,31,6,10,13,18,11,6,1,28,6,1,4,3,2,1,3,3,1,1,1,3,96,86,96,65,60,90,62,76,77,60,59,47,23,30,52,11,49,6,6,7,4,3,21,5,20,2,1,3,2,1,20,18,7,95,47,47,16,69,15,27,83,17,5,21,20,18,16,12,9,2,1,4,3,21,4,15,14,12,11,8,6,10,1,9,8,8,7,5,3
8,WP19100,77,74,36,94,28,17,62,27,22,51,44,43,98,3,21,38,18,18,92,89,38,92,78,35,10,14,34,74,14,4,69,51,50,51,55,38,36,25,49,42,42,40,9,18,16,21,16,8,2,35,9,2,5,3,3,2,5,3,1,2,1,4,98,91,97,74,70,93,67,82,83,68,69,33,27,41,55,13,51,6,11,8,3,5,23,5,22,3,2,3,1,2,30,24,11,95,48,45,18,66,17,34,85,15,7,27,26,23,20,16,13,2,1,4,3,23,4,17,15,13,11,8,6,17,2,15,14,12,11,9,6
9,WP19108,77,74,39,97,49,31,75,19,18,63,61,58,98,2,16,37,21,23,95,93,38,95,80,36,12,17,39,77,19,6,77,55,56,56,61,41,43,31,56,51,50,48,12,21,18,27,22,13,5,40,12,3,7,4,3,3,7,4,2,3,1,6,99,95,98,84,80,94,71,85,89,78,77,22,25,53,61,16,55,8,17,10,5,6,27,7,25,3,4,5,3,2,43,33,17,95,54,45,23,60,17,38,86,14,9,29,28,26,24,19,14,2,2,4,4,26,4,18,16,15,13,9,7,20,4,16,15,15,13,9,7
