ID,Perioden,TypeEffectEmissie_1,Emittent_2,TypeUitgifte_3,Inschrijvingsdatum_4,Stortingsdatum_5,GemiddeldeLooptijdObligaties_6,RentevergoedingObligaties_7,KoersVanUitgifteObligaties_8,KoersVanUitgifteAandelen_9,NominaalBedragEmissie_10,ValutaEmissie_11,EmissieRendementObligaties_12,EmissieBedrag_13
0,2001X001,Obligatie; Euro Obligaties                             ,Staat der Nederlanden                   ,emissie             ,9 januari           ,12 januari          ,2.9,4.75,100.81,,2070.0,EUR  ,4.33,2087
1,2001X002,Obligatie; Reverse Convertible Bonds                   ,Rabo Securities                         ,emissie             ,12 januari          ,16 januari          ,1.6,9.0,100.0,,25.0,EUR  ,,25
2,2001X003,Obligatie; Euro Obligaties                             ,Rabobank Nederland                      ,emissie             ,16 januari          ,17 januari          ,3.7,4.5,101.99,,100.0,EUR  ,4.08,102
3,2001X004,Obligatie; Euro Obligaties                             ,WUH                                     ,emissie             ,17 januari          ,17 januari          ,10.0,5.55,100.0,,25.0,EUR  ,5.55,25
4,2001X005,Aandelen                                               ,ASN Obligatiefonds                      ,emissie             ,18 januari          ,18 januari          ,,,,25.0,,     ,,30
5,2001X006,Obligatie; Euro Obligaties                             ,Nederlandse Gasunie                     ,emissie             ,16 januari          ,19 januari          ,3.0,5.5,101.99,,70.0,EUR  ,4.78,71
6,2001X007,Obligatie; Reverse Convertible Bonds                   ,ABN AMRO Bank                           ,emissie             ,22 januari          ,23 januari          ,1.0,10.75,93.25,,25.0,EUR  ,,23
7,2001X008,Obligatie; Euro Obligaties                             ,BNG                                     ,emissie             ,22 januari          ,24 januari          ,10.5,5.25,99.46,,1000.0,EUR  ,5.32,995
8,2001X009,Obligatie; Reverse Convertible Bonds                   ,ING Bank                                ,emissie             ,8 januari           ,29 januari          ,2.0,14.25,102.0,,25.0,EUR  ,,26
9,2001X010,Obligatie; Reverse Convertible Bonds                   ,Fortis Bank Nederland                   ,emissie             ,15 januari          ,31 januari          ,2.0,10.5,102.0,,50.0,EUR  ,,51
10,2001X011,Obligatie; Reverse Convertible Bonds                   ,Fortis Bank Nederland                   ,emissie             ,15 januari          ,31 januari          ,2.0,10.5,102.0,,100.0,EUR  ,,102
11,2001X012,Obligatie; Reverse Convertible Bonds                   ,Rabo Securities                         ,emissie             ,23 januari          ,31 januari          ,2.0,16.25,101.0,,25.0,EUR  ,,25
12,2001X013,Obligatie; Reverse Convertible Bonds                   ,Rabo Securities                         ,emissie             ,23 januari          ,31 januari          ,2.0,14.0,101.0,,25.0,EUR  ,,25
13,2001X014,Obligatie; Reverse Convertible Bonds                   ,Rabo Securities                         ,emissie             ,23 januari          ,31 januari          ,2.0,15.5,101.0,,25.0,EUR  ,,25
