ID,Voertuigcategorie,Bouwjaar,COBebouwdeKom_1,COLandelijkeWegen_2,COAutosnelwegen_3,VOSBebouwdeKom_4,VOSLandelijkeWegen_5,VOSAutosnelwegen_6,NOxBebouwdeKom_7,NOxLandelijkeWegen_8,NOxAutosnelwegen_9,PM10BebouwdeKom_10,PM10LandelijkeWegen_11,PM10Autosnelwegen_12
0,Totot,-1995,10.4,2.8,3.5,1.69,0.44,0.42,1.3,1.1,2.1,0.079,0.042,0.061
1,Totot,1996 ,4.9,1.4,1.7,0.72,0.09,0.09,1.0,0.5,1.1,0.078,0.028,0.052
2,Totot,1997 ,4.5,1.4,1.7,0.63,0.08,0.08,1.0,0.5,1.1,0.068,0.025,0.048
3,Totot,1998 ,4.0,1.2,1.5,0.6,0.09,0.09,1.2,0.7,1.5,0.081,0.032,0.059
4,Totot,1999 ,3.5,1.2,1.3,0.57,0.08,0.08,1.4,0.7,1.3,0.083,0.031,0.056
5,Totot,2000 ,2.3,0.8,0.9,0.49,0.07,0.07,1.4,0.8,1.4,0.077,0.029,0.053
6,Totot,2001 ,1.2,0.3,0.4,0.38,0.05,0.05,1.4,0.7,1.3,0.07,0.026,0.046
7,Totot,2002 ,1.2,0.4,0.4,0.41,0.08,0.04,1.3,0.9,0.9,0.072,0.033,0.039
8,Totot,2003 ,1.3,0.4,0.3,0.42,0.08,0.04,1.3,0.8,0.9,0.071,0.031,0.039
9,Totot,2004 ,1.3,0.5,0.4,0.39,0.08,0.05,1.4,1.0,1.0,0.077,0.036,0.042
10,Paben,-1995,12.0,3.0,3.8,1.86,0.44,0.42,0.9,0.8,1.7,0.019,0.009,0.018
11,Paben,1996 ,6.0,1.7,2.2,0.71,0.06,0.06,0.3,0.1,0.2,0.011,0.002,0.015
12,Paben,1997 ,5.8,1.8,2.5,0.64,0.05,0.06,0.2,0.1,0.1,0.011,0.002,0.015
13,Paben,1998 ,5.7,1.8,2.5,0.63,0.05,0.05,0.2,0.1,0.1,0.011,0.002,0.015
14,Paben,1999 ,5.5,1.8,2.4,0.61,0.05,0.05,0.2,0.1,0.1,0.011,0.002,0.015
15,Paben,2000 ,3.0,1.0,1.4,0.39,0.03,0.03,0.2,0.1,0.1,0.011,0.002,0.015
16,Paben,2001 ,0.6,0.2,0.4,0.18,0.01,0.01,0.1,0.0,0.0,0.011,0.002,0.015
17,Paben,2002 ,0.6,0.2,0.4,0.18,0.01,0.01,0.1,0.0,0.0,0.011,0.002,0.015
18,Paben,2003 ,0.8,0.3,0.3,0.18,0.01,0.01,0.1,0.0,0.0,0.011,0.002,0.015
19,Paben,2004 ,0.9,0.3,0.3,0.18,0.01,0.01,0.1,0.0,0.0,0.011,0.002,0.015
20,Padie,-1995,0.9,0.3,0.2,0.14,0.07,0.06,0.6,0.4,0.5,0.159,0.081,0.1
21,Padie,1996 ,2.1,0.2,0.1,0.18,0.04,0.03,0.9,0.5,0.5,0.123,0.059,0.077
22,Padie,1997 ,2.4,0.2,0.1,0.22,0.04,0.03,0.9,0.5,0.5,0.1,0.05,0.066
23,Padie,1998 ,2.1,0.1,0.0,0.24,0.04,0.03,0.9,0.5,0.5,0.1,0.05,0.067
24,Padie,1999 ,1.7,0.1,0.0,0.28,0.05,0.04,0.9,0.5,0.5,0.099,0.049,0.067
25,Padie,2000 ,1.1,0.1,0.0,0.17,0.03,0.02,0.8,0.5,0.5,0.08,0.039,0.055
26,Padie,2001 ,0.5,0.0,0.0,0.06,0.01,0.01,0.7,0.4,0.5,0.062,0.03,0.043
27,Padie,2002 ,0.5,0.0,0.0,0.06,0.01,0.01,0.7,0.4,0.5,0.062,0.03,0.043
28,Padie,2003 ,0.5,0.0,0.0,0.06,0.01,0.01,0.7,0.4,0.5,0.062,0.03,0.043
29,Padie,2004 ,0.5,0.0,0.0,0.06,0.01,0.01,0.7,0.4,0.5,0.062,0.03,0.043
30,PaLPG,-1995,3.6,1.1,0.7,0.93,0.39,0.6,1.1,0.8,1.4,0.014,0.009,0.01
31,PaLPG,1996 ,3.2,0.7,0.4,0.49,0.05,0.02,0.6,0.4,0.6,0.008,0.002,0.009
32,PaLPG,1997 ,3.5,0.8,0.5,0.32,0.04,0.02,0.4,0.3,0.5,0.008,0.002,0.009
33,PaLPG,1998 ,3.4,0.8,0.4,0.32,0.04,0.02,0.4,0.3,0.5,0.008,0.002,0.009
34,PaLPG,1999 ,3.3,0.8,0.4,0.31,0.04,0.02,0.4,0.3,0.5,0.008,0.002,0.009
35,PaLPG,2000 ,2.0,0.5,0.3,0.21,0.02,0.01,0.3,0.2,0.3,0.008,0.002,0.009
36,PaLPG,2001 ,0.8,0.2,0.2,0.12,0.01,0.01,0.3,0.1,0.1,0.008,0.002,0.009
37,PaLPG,2002 ,0.7,0.2,0.2,0.12,0.01,0.01,0.3,0.1,0.1,0.008,0.002,0.009
38,PaLPG,2003 ,1.1,0.3,0.2,0.14,0.02,0.01,0.3,0.2,0.2,0.008,0.002,0.009
39,PaLPG,2004 ,1.3,0.3,0.2,0.16,0.02,0.01,0.3,0.2,0.3,0.008,0.002,0.009
40,Mtben,-1995,26.1,15.7,25.3,3.65,1.53,1.33,0.1,0.1,0.4,0.015,0.015,0.015
41,Mtben,1996 ,29.1,17.4,28.0,4.0,1.63,1.35,0.1,0.2,0.4,0.017,0.017,0.017
42,Mtben,1997 ,29.1,17.4,28.0,4.0,1.63,1.35,0.1,0.2,0.4,0.017,0.017,0.017
43,Mtben,1998 ,29.1,17.4,28.0,4.0,1.63,1.35,0.1,0.2,0.4,0.017,0.017,0.017
44,Mtben,1999 ,11.9,6.1,18.6,1.44,0.66,0.42,0.1,0.2,0.5,0.015,0.015,0.015
45,Mtben,2000 ,11.9,6.1,18.6,1.44,0.66,0.42,0.1,0.2,0.5,0.015,0.015,0.015
46,Mtben,2001 ,11.9,6.1,18.6,1.44,0.66,0.42,0.1,0.2,0.5,0.015,0.015,0.015
47,Mtben,2002 ,11.9,6.1,18.6,1.44,0.66,0.42,0.1,0.2,0.5,0.015,0.015,0.015
48,Mtben,2003 ,11.9,6.1,18.6,1.44,0.66,0.42,0.1,0.2,0.5,0.015,0.015,0.015
49,Mtben,2004 ,11.9,6.1,18.6,1.44,0.66,0.42,0.1,0.2,0.5,0.015,0.015,0.015
50,Bfben,-1995,8.9,8.9,0.0,5.32,5.32,0.0,0.0,0.0,0.0,0.035,0.035,0.0
51,Bfben,1996 ,10.0,10.0,0.0,6.0,6.0,0.0,0.1,0.1,0.0,0.04,0.04,0.0
52,Bfben,1997 ,10.0,10.0,0.0,6.0,6.0,0.0,0.1,0.1,0.0,0.04,0.04,0.0
53,Bfben,1998 ,10.0,10.0,0.0,6.0,6.0,0.0,0.1,0.1,0.0,0.04,0.04,0.0
54,Bfben,1999 ,10.0,10.0,0.0,6.0,6.0,0.0,0.1,0.1,0.0,0.04,0.04,0.0
55,Bfben,2000 ,10.0,10.0,0.0,6.0,6.0,0.0,0.1,0.1,0.0,0.04,0.04,0.0
56,Bfben,2001 ,10.0,10.0,0.0,6.0,6.0,0.0,0.1,0.1,0.0,0.04,0.04,0.0
57,Bfben,2002 ,10.0,10.0,0.0,6.0,6.0,0.0,0.1,0.1,0.0,0.04,0.04,0.0
58,Bfben,2003 ,10.0,10.0,0.0,6.0,6.0,0.0,0.1,0.1,0.0,0.04,0.04,0.0
59,Bfben,2004 ,10.0,10.0,0.0,6.0,6.0,0.0,0.1,0.1,0.0,0.04,0.04,0.0
60,Baben,-1995,18.7,8.4,7.3,3.32,1.23,0.79,2.3,2.1,3.7,0.036,0.021,0.029
61,Baben,1996 ,6.2,2.8,2.1,0.65,0.12,0.04,0.3,0.2,0.5,0.008,0.002,0.015
62,Baben,1997 ,5.5,2.6,1.9,0.52,0.1,0.04,0.3,0.1,0.4,0.008,0.002,0.015
63,Baben,1998 ,5.4,2.5,1.9,0.51,0.1,0.03,0.3,0.1,0.4,0.008,0.002,0.015
64,Baben,1999 ,5.3,2.5,1.8,0.5,0.1,0.03,0.3,0.1,0.4,0.008,0.002,0.015
65,Baben,2000 ,5.0,2.4,1.8,0.51,0.09,0.03,0.1,0.1,0.2,0.008,0.002,0.015
66,Baben,2001 ,4.8,2.4,1.7,0.51,0.09,0.03,0.0,0.0,0.0,0.008,0.002,0.015
67,Baben,2002 ,4.8,2.4,1.7,0.5,0.09,0.03,0.0,0.0,0.0,0.008,0.002,0.015
68,Baben,2003 ,4.4,2.2,1.6,0.46,0.08,0.03,0.0,0.0,0.0,0.008,0.002,0.015
