ID,Bronnen,Perioden,NMVOS_1,SO2_2,CO_3,NOx_4,NH3_5,PM10_6,PM25_7
0,T001176  ,1990JJ00,509.82,198.1,1188.7,629.0,344.49,80.16,57.12
1,T001176  ,1995JJ00,370.45,137.1,953.0,532.2,218.35,62.39,45.14
2,T001176  ,2000JJ00,267.69,79.0,772.0,454.2,173.43,49.81,34.77
3,T001176  ,2001JJ00,241.86,79.7,773.6,443.3,167.26,48.0,33.43
4,T001176  ,2002JJ00,227.45,72.0,758.3,428.3,159.97,46.58,31.62
5,T001176  ,2003JJ00,213.83,67.3,757.1,424.8,156.91,44.74,31.07
6,T001176  ,2004JJ00,202.26,69.8,763.1,413.5,156.51,43.75,30.05
7,T001176  ,2005JJ00,207.68,68.2,747.3,404.7,154.11,42.55,28.75
8,T001176  ,2006JJ00,202.75,68.5,757.7,397.2,157.09,41.66,28.24
9,T001176  ,2007JJ00,202.63,64.5,744.0,382.6,153.35,40.44,26.49
10,T001176  ,2008JJ00,197.38,53.5,741.6,372.5,140.67,38.95,25.06
11,T001176  ,2009JJ00,187.57,39.8,680.3,334.4,136.53,36.59,23.16
12,T001176  ,2010JJ00,198.03,35.9,709.0,327.4,134.08,36.49,23.02
13,T001176  ,2011JJ00,190.13,34.5,670.3,314.9,132.15,34.71,21.12
14,T001176  ,2012JJ00,181.98,34.6,641.2,295.6,126.37,33.56,19.87
15,T001176  ,2013JJ00,177.47,30.5,611.0,279.1,123.75,33.32,19.63
16,T001176  ,2014JJ00,167.24,30.3,566.8,252.0,127.27,31.86,18.04
17,T001176  ,2015JJ00,163.02,31.0,572.2,248.0,128.74,31.8,18.08
18,T001176  ,2016JJ00,154.23,28.8,555.5,233.1,129.97,31.36,17.61
19,T001176  ,2017JJ00,155.75,27.2,547.9,223.5,132.01,30.87,17.2
20,T001176  ,2018JJ00,152.46,25.2,534.7,218.8,129.87,30.58,16.95
21,T001176  ,2019JJ00,150.09,22.9,517.0,204.9,124.58,29.51,16.16
22,T001176  ,2020JJ00,182.51,19.7,449.5,181.9,123.35,27.65,14.91
23,T001176  ,2021JJ00,190.32,20.9,437.8,177.8,121.93,26.13,14.2
24,A025447  ,1990JJ00,297.07,170.7,369.5,230.0,343.56,52.55,31.64
25,A025447  ,1995JJ00,222.98,109.7,323.8,188.8,215.97,39.52,24.48
26,A025447  ,2000JJ00,174.04,63.1,267.4,143.1,169.09,30.48,17.77
27,A025447  ,2001JJ00,154.58,67.1,268.0,142.1,162.5,29.46,17.22
28,A025447  ,2002JJ00,147.67,60.6,252.9,138.6,154.9,29.2,16.58
29,A025447  ,2003JJ00,139.35,56.5,252.2,139.2,151.72,28.1,16.77
30,A025447  ,2004JJ00,132.49,59.1,273.8,131.6,151.34,27.71,16.33
31,A025447  ,2005JJ00,142.47,57.9,260.6,128.3,149.0,27.15,15.76
32,A025447  ,2006JJ00,139.29,58.3,267.3,121.3,152.0,27.07,16.05
33,A025447  ,2007JJ00,142.24,55.3,252.9,111.3,148.39,26.51,15.0
34,A025447  ,2008JJ00,138.48,47.8,264.0,110.4,136.12,26.35,14.86
35,A025447  ,2009JJ00,132.38,35.4,213.1,99.0,132.21,25.34,14.28
36,A025447  ,2010JJ00,145.98,32.9,251.9,101.6,129.99,26.08,14.97
37,A025447  ,2011JJ00,140.34,33.3,217.5,91.1,128.27,24.93,13.69
38,A025447  ,2012JJ00,136.53,33.6,216.7,88.6,122.87,24.64,13.28
39,A025447  ,2013JJ00,135.12,29.3,206.1,86.8,120.36,25.0,13.61
40,A025447  ,2014JJ00,128.68,28.8,183.7,77.3,124.09,24.02,12.5
41,A025447  ,2015JJ00,125.97,30.0,196.5,79.0,125.51,24.28,12.89
42,A025447  ,2016JJ00,118.11,27.9,191.8,74.0,126.72,24.14,12.81
43,A025447  ,2017JJ00,119.81,26.3,180.3,67.7,128.45,23.87,12.66
44,A025447  ,2018JJ00,117.55,24.4,181.0,65.9,126.33,23.76,12.62
45,A025447  ,2019JJ00,116.08,22.1,180.5,62.4,120.99,23.07,12.22
46,A025447  ,2020JJ00,152.76,19.0,164.3,56.8,120.29,21.83,11.32
47,A025447  ,2021JJ00,161.25,20.2,166.8,58.3,118.77,20.48,10.84
48,800044   ,1990JJ00,33.03,112.7,11.3,103.9,0.01,7.94,6.03
49,800044   ,1995JJ00,27.82,78.3,11.1,83.2,0.01,5.35,4.17
50,800044   ,2000JJ00,28.04,48.2,18.0,64.9,0.02,3.65,2.57
51,800044   ,2001JJ00,20.21,50.6,15.9,62.7,0.03,3.3,2.51
52,800044   ,2002JJ00,18.56,44.4,19.7,62.9,0.02,2.94,2.06
53,800044   ,2003JJ00,17.05,43.7,19.8,63.8,0.07,3.29,2.36
54,800044   ,2004JJ00,15.32,43.1,12.9,56.6,0.08,2.41,1.69
55,800044   ,2005JJ00,19.68,42.1,13.7,55.2,0.19,2.15,1.65
56,800044   ,2006JJ00,17.75,42.2,11.9,52.0,0.0,2.08,1.87
57,800044   ,2007JJ00,16.88,38.7,8.8,43.4,0.01,1.76,1.26
58,800044   ,2008JJ00,16.4,32.1,10.6,38.1,0.05,1.67,1.22
59,800044   ,2009JJ00,14.45,24.2,9.8,32.3,0.02,0.87,0.58
60,800044   ,2010JJ00,15.22,19.4,10.6,32.6,0.02,0.55,0.42
61,800044   ,2011JJ00,15.97,19.2,11.1,29.1,0.02,0.43,0.3
62,800044   ,2012JJ00,15.38,22.1,11.0,28.3,0.03,0.32,0.18
63,800044   ,2013JJ00,15.54,19.5,9.7,29.5,0.03,0.46,0.3
64,800044   ,2014JJ00,13.97,18.3,8.6,26.8,0.02,0.53,0.41
65,800044   ,2015JJ00,13.13,19.7,9.4,27.6,0.02,0.63,0.49
66,800044   ,2016JJ00,11.65,17.1,8.4,23.4,0.03,0.47,0.37
67,800044   ,2017JJ00,10.83,15.3,5.4,21.5,0.03,0.45,0.32
68,800044   ,2018JJ00,8.49,13.6,6.1,20.7,0.04,0.37,0.3
69,800044   ,2019JJ00,7.49,11.3,5.9,19.4,0.05,0.33,0.27
70,800044   ,2020JJ00,6.86,8.8,5.9,17.0,0.06,0.27,0.22
71,800044   ,2021JJ00,5.87,10.4,6.6,17.7,0.04,0.29,0.24
72,305800   ,1990JJ00,15.52,1.5,0.5,7.2,0.0,0.02,0.02
73,305800   ,1995JJ00,13.43,0.8,1.5,6.5,0.0,0.0,0.0
74,305800   ,2000JJ00,10.76,0.3,0.4,5.7,0.0,0.0,0.0
75,305800   ,2001JJ00,9.8,0.4,0.4,6.0,0.0,0.0,0.0
76,305800   ,2002JJ00,8.86,0.4,0.4,6.1,0.0,0.0,0.0
77,305800   ,2003JJ00,7.13,0.2,0.0,5.4,0.0,0.0,0.0
78,305800   ,2004JJ00,5.68,0.2,0.0,4.4,0.0,0.0,0.0
79,305800   ,2005JJ00,6.13,0.2,0.0,4.4,0.0,0.0,0.0
80,305800   ,2006JJ00,5.98,0.2,0.0,4.5,0.0,0.0,0.0
81,305800   ,2007JJ00,7.31,0.2,0.0,4.5,0.0,0.0,0.0
82,305800   ,2008JJ00,7.22,0.2,0.0,4.3,0.0,0.0,0.0
83,305800   ,2009JJ00,6.49,0.2,0.6,2.8,0.0,0.0,0.0
84,305800   ,2010JJ00,6.62,0.3,0.0,4.4,0.0,0.0,0.0
85,305800   ,2011JJ00,8.56,0.4,0.0,4.5,0.0,0.0,0.0
86,305800   ,2012JJ00,7.2,0.3,0.0,4.9,0.0,0.0,0.0
87,305800   ,2013JJ00,6.56,0.4,0.0,5.2,0.0,0.0,0.0
88,305800   ,2014JJ00,6.0,0.3,0.0,5.7,0.0,0.0,0.0
89,305800   ,2015JJ00,6.23,0.2,0.0,5.5,0.0,0.0,0.0
90,305800   ,2016JJ00,5.27,0.1,0.0,4.0,0.0,0.0,0.0
91,305800   ,2017JJ00,4.68,0.1,0.0,3.7,0.0,0.0,0.0
92,305800   ,2018JJ00,2.91,0.0,0.0,3.4,0.0,0.0,0.0
93,305800   ,2019JJ00,2.55,0.1,0.0,2.4,0.0,0.0,0.0
94,305800   ,2020JJ00,2.51,0.1,0.0,2.4,0.0,0.0,0.0
95,305800   ,2021JJ00,1.9,0.1,0.0,2.4,0.0,0.0,0.0
96,320300   ,1990JJ00,16.58,67.1,4.9,18.8,0.01,6.46,4.92
97,320300   ,1995JJ00,13.54,61.2,2.2,17.0,0.01,4.78,3.85
98,320300   ,2000JJ00,15.73,33.1,2.8,10.3,0.01,3.34,2.34
99,320300   ,2001JJ00,10.1,34.7,2.1,10.2,0.03,2.93,2.24
100,320300   ,2002JJ00,9.22,30.3,4.4,9.9,0.01,2.42,1.7
101,320300   ,2003JJ00,9.1,29.5,3.9,9.8,0.0,2.83,2.06
102,320300   ,2004JJ00,8.7,32.3,3.6,9.3,0.0,1.99,1.4
103,320300   ,2005JJ00,12.82,32.2,4.8,9.1,0.0,1.65,1.28
104,320300   ,2006JJ00,10.72,32.4,5.2,10.1,0.0,1.71,1.6
105,320300   ,2007JJ00,9.04,29.9,4.0,9.3,0.0,1.46,1.04
106,320300   ,2008JJ00,8.64,25.7,5.3,8.5,0.0,1.36,1.01
107,320300   ,2009JJ00,7.65,17.9,5.7,6.2,0.0,0.55,0.34
108,320300   ,2010JJ00,8.01,12.7,6.3,5.6,0.0,0.29,0.23
