ID,TypeLozing,IndustrieVolgensSBI93,Perioden,FosforverbindingenAlsP_1,StikstofverbindingenAlsN_2,AntimoonverbindingenAlsSb_3,ArseenverbindingenAlsAs_4,CadmiumverbindingenAlsCd_5,ChroomverbindingenAlsCr_6,KobaltverbindingenAlsCo_7,KoperverbindingenAlsCu_8,KwikverbindingenAlsHg_9,LoodverbindingenAlsPb_10,NikkelverbindingenAlsNi_11,ZinkverbindingenAlsZn_12,Benzeen_13,Ethylbenzeen_14,Isopropylbenzeen_15,SomPAK6VanBorneff_16,Tolueen_17,XyleenTotaal_18,Dichloorethaan12_19,Hexachloorbutadieen_20,TetrachlooretheenPer_21,TetrachloormethaanTetra_22,DrinsAldrinDieldrinEnz_23,Hexachloorbenzenen_24,Pentachloorfenol_25,ChloorverbAnorgChloridenAlsCl_26,Fluoriden_27,CyanidenAnorganischAlsCN_28,CZV_29
0,T         ,D         ,1990JJ00  ,12337.0,20955.0,982.794,4888.0,4007.84,45988.9,,53712.0,723.205,25570.0,42940.0,175794.0,29509.0,3378.6,167.5,1586.5,45103.7,19293.2,5583.4,1.088,106.167,396.954,8.92,23.952,1.4,946438.0,37473.0,22924.0,165262.0
1,T         ,D         ,1995JJ00  ,5247.0,14560.0,560.863,1832.6,816.821,38682.5,,36655.0,299.344,11957.0,33295.0,84221.0,7575.4,7288.4,48.5,313.0,7472.3,13362.6,1362.7,0.185,135.857,115.082,2.817,1.545,15.062,439502.0,1808.0,37739.0,142793.0
2,T         ,D         ,2000JJ00  ,3127.0,11388.0,298.968,1799.4,321.484,24188.8,,28336.0,31.941,6320.0,17843.0,55281.0,1393.6,3104.2,5.7,85.3,2554.2,4509.9,2917.3,0.01,33.001,6.9,0.0,0.05,0.009,1131533.0,2716.0,15975.0,147619.0
3,T         ,D         ,2003JJ00  ,1696.0,11468.0,323.313,1099.4,245.871,21974.9,284.3,23192.0,36.608,4466.0,17146.0,55436.0,1290.8,3262.5,2.0,25.1,1354.0,5222.7,1478.7,0.025,28.327,2.267,0.001,0.058,0.0,829582.0,2296.0,12524.0,150537.0
4,T         ,D         ,2004JJ00  ,1678.0,11229.0,245.081,1253.8,242.792,23197.8,208.5,24012.0,40.81,4619.0,17405.0,59728.0,2073.0,3191.7,5.7,24.4,1009.5,5250.1,1110.0,0.013,4.381,4.799,0.0,0.01,0.0,694722.0,2311.0,16569.0,166118.0
5,T         ,D         ,2005JJ00  ,1806.0,11759.0,478.563,1058.7,183.997,23279.7,416.0,20623.0,45.484,3212.0,16210.0,44915.0,959.1,2121.9,50.6,88.7,462.9,5148.7,1290.0,0.01,1.836,1.149,0.0,0.01,0.089,663660.0,1173.0,15206.0,151062.0
6,T         ,D         ,2006JJ00  ,1578.0,10848.0,255.387,843.2,179.445,23952.8,495.6,17532.0,37.682,2911.0,16714.0,35462.0,2746.8,2938.8,64.9,84.9,951.0,2487.8,564.4,0.021,1.042,1.209,0.0,0.011,0.0,622064.0,1611.0,15808.0,134390.0
7,T         ,D         ,2007JJ00  ,1471.0,10461.0,177.358,1081.7,344.598,21488.2,486.5,15847.0,28.725,2480.0,15792.0,27678.0,1822.2,2640.1,58.1,61.2,1000.4,2376.2,650.6,0.036,0.73,1.452,0.0,0.005,0.0,725244.0,1640.0,12212.0,99299.0
8,T         ,D         ,2008JJ00  ,1610.0,9551.0,193.588,1059.7,351.976,20955.0,404.0,14085.0,22.287,2612.0,14813.0,31305.0,4859.2,2290.9,108.1,63.9,2067.9,1364.3,1217.2,0.009,0.081,2.091,0.0,0.005,0.0,953271.0,913.0,18715.0,95462.0
9,T         ,DA        ,1990JJ00  ,1243.0,8457.0,0.0,35.4,9.139,440.0,,3873.0,16.802,516.0,1094.0,16965.0,101.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39820.0,0.0,0.0,87290.0
