ID,VehicleCategory,YearOfConstructionOfVehicle,RoadType,CO_1,VOC_2,NOx_3,PM10_4
0,Totot,-1999,1,8.22,1.04,1.1,0.089
1,Totot,-1999,2,3.82,0.39,0.79,0.051
2,Totot,-1999,3,3.6,0.27,1.22,0.06
3,Totot,2000 ,1,3.52,0.5,1.03,0.049
4,Totot,2000 ,2,2.29,0.16,0.54,0.023
5,Totot,2000 ,3,1.44,0.05,1.06,0.05
6,Totot,2001 ,1,2.7,0.5,1.04,0.04
7,Totot,2001 ,2,1.96,0.15,0.59,0.018
8,Totot,2001 ,3,1.09,0.05,1.23,0.042
9,Totot,2002 ,1,2.69,0.53,1.05,0.04
10,Totot,2002 ,2,1.89,0.15,0.59,0.018
11,Totot,2002 ,3,1.06,0.05,1.18,0.04
12,Totot,2003 ,1,2.57,0.61,1.23,0.045
13,Totot,2003 ,2,1.81,0.15,0.62,0.018
14,Totot,2003 ,3,0.91,0.04,1.12,0.041
15,Totot,2004 ,1,2.39,0.61,1.29,0.049
16,Totot,2004 ,2,1.62,0.14,0.68,0.02
17,Totot,2004 ,3,0.82,0.04,1.21,0.045
18,Totot,2005 ,1,2.13,0.58,1.09,0.031
19,Totot,2005 ,2,1.51,0.13,0.56,0.014
20,Totot,2005 ,3,0.75,0.03,0.98,0.031
21,Totot,2006 ,1,2.26,0.57,1.15,0.027
22,Totot,2006 ,2,1.65,0.14,0.72,0.015
23,Totot,2006 ,3,0.71,0.02,0.74,0.025
24,Totot,2007 ,1,2.11,0.54,0.96,0.027
25,Totot,2007 ,2,1.53,0.13,0.56,0.015
26,Totot,2007 ,3,0.65,0.01,0.53,0.026
27,Totot,2008 ,1,2.08,0.49,0.99,0.027
28,Totot,2008 ,2,1.57,0.13,0.58,0.015
29,Totot,2008 ,3,0.69,0.01,0.55,0.025
30,Paben,-1999,1,9.06,0.99,0.65,0.015
31,Paben,-1999,2,4.48,0.4,0.49,0.008
32,Paben,-1999,3,3.73,0.24,0.8,0.008
33,Paben,2000 ,1,4.53,0.43,0.23,0.008
34,Paben,2000 ,2,3.6,0.21,0.1,0.002
35,Paben,2000 ,3,2.24,0.02,0.08,0.002
36,Paben,2001 ,1,3.33,0.43,0.12,0.006
37,Paben,2001 ,2,3.17,0.21,0.06,0.002
38,Paben,2001 ,3,1.57,0.01,0.03,0.002
39,Paben,2002 ,1,3.33,0.43,0.12,0.006
40,Paben,2002 ,2,3.17,0.21,0.06,0.002
41,Paben,2002 ,3,1.57,0.01,0.03,0.002
42,Paben,2003 ,1,2.89,0.41,0.1,0.006
43,Paben,2003 ,2,2.92,0.2,0.04,0.002
44,Paben,2003 ,3,1.44,0.01,0.02,0.002
45,Paben,2004 ,1,2.67,0.41,0.09,0.007
