ID,HerkomstBestemming,Perioden,TotaalZwareMetalenInEquivalenten_1,ArseenverbindingenAlsAs_2,CadmiumverbindingenAlsCd_3,ChroomverbindingenAlsCr_4,KoperverbindingenAlsCu_5,KwikverbindingenAlsHg_6,LoodverbindingenAlsPb_7,NikkelverbindingenAlsNi_8,ZinkverbindingenAlsZn_9,TotaalNutrientenInEquivalenten_10,FosforverbindingenAlsP_11,StikstofverbindingenAlsN_12
0,999933,1995JJ00,775.6,221227.0,16853.0,620086.0,911263.0,5584.0,658461.0,505548.0,3846168.0,119089.0,48788870.0,703005847.0
1,999933,1996JJ00,541.5,114269.0,11461.0,250924.0,711598.0,3431.0,430833.0,298319.0,2819787.0,85431.0,38589579.0,468416348.0
2,999933,1997JJ00,580.2,123183.0,13180.0,293939.0,712260.0,3692.0,426308.0,317698.0,3380493.0,88057.0,40601118.0,474561940.0
3,999933,1998JJ00,749.3,182205.0,19507.0,528862.0,949616.0,4248.0,678216.0,528551.0,3815251.0,118729.0,53683341.0,650458635.0
4,999933,1999JJ00,776.9,262687.0,19638.0,390073.0,1001304.0,4290.0,720909.0,576846.0,3936257.0,110558.0,50843774.0,597141276.0
5,999933,2000JJ00,548.0,156639.0,13055.0,164275.0,751922.0,3057.0,457244.0,357135.0,2690113.0,98890.0,42641413.0,562484315.0
6,999933,2001JJ00,690.1,152754.0,16055.0,435388.0,896769.0,4247.0,535146.0,423056.0,3455654.0,96148.0,36451883.0,596960993.0
7,999933,2002JJ00,674.2,172552.0,16537.0,464663.0,868880.0,3313.0,612736.0,453532.0,3933869.0,108586.0,50384698.0,582010524.0
8,999933,2003JJ00,639.8,98120.0,14129.0,480427.0,775225.0,4185.0,582797.0,436378.0,3566715.0,80127.0,37922723.0,422042317.0
9,999933,2004JJ00,521.9,144470.0,14358.0,239066.0,704761.0,2473.0,354531.0,290768.0,2835520.0,84171.0,38271836.0,458995341.0
10,999933,2005JJ00,453.1,134113.0,12910.0,223374.0,580104.0,2354.0,289650.0,305691.0,2483288.0,74409.0,30873804.0,435350807.0
11,999933,2006JJ00,469.8,147185.0,20901.0,231398.0,541567.0,2109.0,285992.0,298818.0,2372741.0,75577.0,30658249.0,449186178.0
12,999933,2007JJ00,482.5,162278.0,13083.0,245397.0,615381.0,2429.0,323111.0,312495.0,2760198.0,85900.0,34624174.0,512756748.0
13,999933,2008JJ00,377.0,143217.0,8902.0,186632.0,518112.0,1635.0,247558.0,252907.0,2208595.0,78003.0,34474127.0,435291071.0
