ID,HerkomstBestemming,Perioden,TotaalZwareMetalenInEquivalenten_1,ArseenverbindingenAlsAs_2,CadmiumverbindingenAlsCd_3,ChroomverbindingenAlsCr_4,KoperverbindingenAlsCu_5,KwikverbindingenAlsHg_6,LoodverbindingenAlsPb_7,NikkelverbindingenAlsNi_8,ZinkverbindingenAlsZn_9,TotaalNutrientenInEquivalenten_10,FosforverbindingenAlsP_11,StikstofverbindingenAlsN_12
0,999933,1995JJ00,776.1,221225.0,16853.0,620153.0,909903.0,5584.0,680949.0,501038.0,3846551.0,119579.0,49169807.0,704096790.0
1,999933,2000JJ00,548.5,156638.0,13055.0,164342.0,750566.0,3057.0,479727.0,357147.0,2690785.0,99479.0,43095898.0,563834853.0
2,999933,2005JJ00,453.6,134112.0,12910.0,223444.0,578745.0,2354.0,312111.0,305705.0,2484055.0,74885.0,31243615.0,436414433.0
3,999933,2010JJ00,423.4,137961.0,9424.0,236369.0,588208.0,1829.0,272987.0,319369.0,2551691.0,75932.0,31783785.0,441479909.0
4,999933,2011JJ00,415.8,129095.0,9277.0,214695.0,526081.0,2502.0,276687.0,298856.0,2344596.0,68538.0,28060289.0,404780918.0
5,999933,2012JJ00,384.7,121772.0,8242.0,219051.0,558239.0,1444.0,251082.0,294842.0,2350005.0,74390.0,29838546.0,445515440.0
6,999931,1995JJ00,238.0,17431.0,4756.0,54021.0,343785.0,1723.0,162554.0,97934.0,954808.0,48817.0,25808569.0,230083626.0
7,999931,2000JJ00,192.2,16376.0,3589.0,33432.0,313978.0,927.0,133424.0,92680.0,912779.0,46047.0,23691109.0,223557187.0
8,999931,2005JJ00,155.7,15046.0,2948.0,25745.0,241407.0,800.0,100597.0,70398.0,818767.0,39049.0,21388186.0,176604905.0
9,999931,2010JJ00,136.7,14680.0,2027.0,22103.0,218318.0,652.0,76954.0,72503.0,797755.0,38021.0,20450729.0,175707458.0
10,999931,2011JJ00,132.5,13919.0,1878.0,19717.0,214520.0,622.0,79995.0,72397.0,763226.0,37950.0,20359223.0,175909250.0
