ID,Bronnen,Emissies,Perioden,EmissiesNederlandsGrondgebied_1
0,A025421,A044109,1990JJ00,34600.0
1,A025421,A044109,1991JJ00,34500.0
2,A025421,A044109,1992JJ00,35700.0
3,A025421,A044109,1993JJ00,35800.0
4,A025421,A044109,1994JJ00,36400.0
5,A025421,A044109,1995JJ00,36600.0
6,A025421,A044109,1996JJ00,37000.0
7,A025421,A044109,1997JJ00,38100.0
8,A025421,A044109,1998JJ00,38700.0
9,A025421,A044109,1999JJ00,40400.0
10,A025421,A044109,2000JJ00,40700.0
11,A025421,A044109,2001JJ00,41200.0
12,A025421,A044109,2002JJ00,41400.0
13,A025421,A044109,2003JJ00,41900.0
14,A025421,A044109,2004JJ00,42600.0
15,A025421,A044109,2005JJ00,42100.0
16,A025421,A044109,2006JJ00,42200.0
17,A025421,A044109,2007JJ00,41800.0
18,A025421,A044109,2008JJ00,41500.0
19,A025421,A044109,2009JJ00,40500.0
20,A025421,A044109,2010JJ00,40500.0
21,A025421,A044109,2011JJ00,40700.0
22,A025421,A044109,2012JJ00,39800.0
23,A025421,A044109,2013JJ00,38700.0
24,A025421,A044109,2014JJ00,39000.0
25,A025421,A044109,2015JJ00,39800.0
26,A025421,A044109,2016JJ00,40300.0
27,A025421,A044109,2017JJ00,40400.0
28,A025421,A044109,2018JJ00,41200.0
29,A025421,A044109,2019JJ00,41100.0
30,A025421,A044109,2020JJ00,37600.0
31,A025421,A044109,2021JJ00,38100.0
32,A025421,A044108,1990JJ00,833.0
33,A025421,A044108,1991JJ00,735.33
34,A025421,A044108,1992JJ00,708.84
35,A025421,A044108,1993JJ00,660.73
36,A025421,A044108,1994JJ00,626.4
37,A025421,A044108,1995JJ00,604.13
38,A025421,A044108,1996JJ00,587.16
39,A025421,A044108,1997JJ00,561.25
40,A025421,A044108,1998JJ00,538.76
41,A025421,A044108,1999JJ00,529.83
42,A025421,A044108,2000JJ00,509.66
43,A025421,A044108,2001JJ00,505.48
44,A025421,A044108,2002JJ00,505.37
45,A025421,A044108,2003JJ00,505.73
46,A025421,A044108,2004JJ00,505.26
47,A025421,A044108,2005JJ00,487.39
48,A025421,A044108,2006JJ00,477.35
49,A025421,A044108,2007JJ00,472.97
50,A025421,A044108,2008JJ00,460.63
51,A025421,A044108,2009JJ00,449.73
52,A025421,A044108,2010JJ00,439.97
53,A025421,A044108,2011JJ00,430.67
54,A025421,A044108,2012JJ00,413.85
55,A025421,A044108,2013JJ00,401.54
56,A025421,A044108,2014JJ00,388.15
57,A025421,A044108,2015JJ00,382.81
58,A025421,A044108,2016JJ00,371.59
59,A025421,A044108,2017JJ00,369.33
60,A025421,A044108,2018JJ00,353.1
61,A025421,A044108,2019JJ00,334.08
62,A025421,A044108,2020JJ00,295.83
63,A025421,A044108,2021JJ00,285.63
64,A025421,A044116,1990JJ00,183.26
65,A025421,A044116,1991JJ00,157.73
66,A025421,A044116,1992JJ00,149.33
67,A025421,A044116,1993JJ00,137.45
68,A025421,A044116,1994JJ00,128.92
69,A025421,A044116,1995JJ00,121.45
70,A025421,A044116,1996JJ00,114.97
71,A025421,A044116,1997JJ00,107.44
72,A025421,A044116,1998JJ00,101.27
73,A025421,A044116,1999JJ00,96.845
74,A025421,A044116,2000JJ00,86.559
75,A025421,A044116,2001JJ00,80.936
76,A025421,A044116,2002JJ00,75.956
77,A025421,A044116,2003JJ00,71.986
78,A025421,A044116,2004JJ00,68.722
79,A025421,A044116,2005JJ00,65.307
80,A025421,A044116,2006JJ00,62.538
81,A025421,A044116,2007JJ00,60.036
82,A025421,A044116,2008JJ00,58.475
83,A025421,A044116,2009JJ00,55.144
84,A025421,A044116,2010JJ00,51.363
85,A025421,A044116,2011JJ00,48.897
86,A025421,A044116,2012JJ00,45.568
87,A025421,A044116,2013JJ00,43.975
88,A025421,A044116,2014JJ00,42.965
89,A025421,A044116,2015JJ00,42.418
90,A025421,A044116,2016JJ00,41.824
91,A025421,A044116,2017JJ00,41.601
92,A025421,A044116,2018JJ00,40.574
93,A025421,A044116,2019JJ00,39.926
94,A025421,A044116,2020JJ00,37.088
95,A025421,A044116,2021JJ00,36.289
96,A025421,A044117,1990JJ00,39.193
97,A025421,A044117,1991JJ00,35.546
98,A025421,A044117,1992JJ00,33.048
99,A025421,A044117,1993JJ00,31.581
100,A025421,A044117,1994JJ00,29.759
101,A025421,A044117,1995JJ00,25.802
102,A025421,A044117,1996JJ00,22.402
103,A025421,A044117,1997JJ00,20.191
104,A025421,A044117,1998JJ00,17.692
105,A025421,A044117,1999JJ00,15.577
106,A025421,A044117,2000JJ00,12.6
107,A025421,A044117,2001JJ00,11.11
108,A025421,A044117,2002JJ00,8.795
109,A025421,A044117,2003JJ00,7.511
110,A025421,A044117,2004JJ00,6.436
111,A025421,A044117,2005JJ00,5.353
112,A025421,A044117,2006JJ00,5.242
113,A025421,A044117,2007JJ00,4.742
114,A025421,A044117,2008JJ00,4.522
115,A025421,A044117,2009JJ00,4.277
116,A025421,A044117,2010JJ00,4.298
117,A025421,A044117,2011JJ00,4.208
118,A025421,A044117,2012JJ00,4.216
119,A025421,A044117,2013JJ00,4.196
120,A025421,A044117,2014JJ00,3.344
121,A025421,A044117,2015JJ00,3.385
122,A025421,A044117,2016JJ00,3.637
123,A025421,A044117,2017JJ00,3.742
124,A025421,A044117,2018JJ00,3.636
125,A025421,A044117,2019JJ00,3.389
126,A025421,A044117,2020JJ00,3.123
127,A025421,A044117,2021JJ00,3.221
128,A025421,A044115,1990JJ00,222.46
129,A025421,A044115,1991JJ00,193.28
130,A025421,A044115,1992JJ00,182.38
131,A025421,A044115,1993JJ00,169.03
132,A025421,A044115,1994JJ00,158.68
133,A025421,A044115,1995JJ00,147.25
134,A025421,A044115,1996JJ00,137.37
135,A025421,A044115,1997JJ00,127.63
136,A025421,A044115,1998JJ00,118.97
137,A025421,A044115,1999JJ00,112.42
138,A025421,A044115,2000JJ00,99.159
139,A025421,A044115,2001JJ00,92.046
140,A025421,A044115,2002JJ00,84.752
141,A025421,A044115,2003JJ00,79.497
142,A025421,A044115,2004JJ00,75.158
143,A025421,A044115,2005JJ00,70.659
144,A025421,A044115,2006JJ00,67.78
145,A025421,A044115,2007JJ00,64.778
146,A025421,A044115,2008JJ00,62.998
147,A025421,A044115,2009JJ00,59.422
148,A025421,A044115,2010JJ00,55.661
149,A025421,A044115,2011JJ00,53.105
150,A025421,A044115,2012JJ00,49.784
151,A025421,A044115,2013JJ00,48.171
152,A025421,A044115,2014JJ00,46.309
153,A025421,A044115,2015JJ00,45.803
154,A025421,A044115,2016JJ00,45.461
155,A025421,A044115,2017JJ00,45.342
156,A025421,A044115,2018JJ00,44.21
157,A025421,A044115,2019JJ00,43.314
158,A025421,A044115,2020JJ00,40.21
159,A025421,A044115,2021JJ00,39.51
160,A025421,A044107,1990JJ00,8.53
161,A025421,A044107,1991JJ00,7.357
162,A025421,A044107,1992JJ00,7.023
163,A025421,A044107,1993JJ00,6.475
164,A025421,A044107,1994JJ00,6.133
165,A025421,A044107,1995JJ00,5.843
166,A025421,A044107,1996JJ00,5.587
167,A025421,A044107,1997JJ00,5.29
168,A025421,A044107,1998JJ00,5.025
169,A025421,A044107,1999JJ00,4.853
170,A025421,A044107,2000JJ00,4.478
171,A025421,A044107,2001JJ00,4.331
172,A025421,A044107,2002JJ00,4.209
173,A025421,A044107,2003JJ00,4.11
174,A025421,A044107,2004JJ00,4.02
175,A025421,A044107,2005JJ00,3.889
176,A025421,A044107,2006JJ00,3.801
177,A025421,A044107,2007JJ00,3.751
178,A025421,A044107,2008JJ00,3.705
179,A025421,A044107,2009JJ00,3.531
180,A025421,A044107,2010JJ00,3.381
181,A025421,A044107,2011JJ00,3.265
182,A025421,A044107,2012JJ00,3.145
183,A025421,A044107,2013JJ00,3.144
184,A025421,A044107,2014JJ00,3.148
185,A025421,A044107,2015JJ00,3.206
186,A025421,A044107,2016JJ00,3.239
187,A025421,A044107,2017JJ00,3.288
188,A025421,A044107,2018JJ00,3.735
189,A025421,A044107,2019JJ00,3.948
190,A025421,A044107,2020JJ00,3.892
191,A025421,A044107,2021JJ00,3.793
192,A025421,A044118,1990JJ00,213.9
193,A025421,A044118,1991JJ00,185.89
194,A025421,A044118,1992JJ00,175.33
195,A025421,A044118,1993JJ00,162.53
196,A025421,A044118,1994JJ00,152.52
197,A025421,A044118,1995JJ00,141.38
198,A025421,A044118,1996JJ00,131.76
199,A025421,A044118,1997JJ00,122.31
200,A025421,A044118,1998JJ00,113.91
201,A025421,A044118,1999JJ00,107.53
202,A025421,A044118,2000JJ00,94.648
203,A025421,A044118,2001JJ00,87.682
204,A025421,A044118,2002JJ00,80.509
205,A025421,A044118,2003JJ00,75.354
206,A025421,A044118,2004JJ00,71.105
207,A025421,A044118,2005JJ00,66.738
208,A025421,A044118,2006JJ00,63.945
209,A025421,A044118,2007JJ00,60.993
210,A025421,A044118,2008JJ00,59.258
211,A025421,A044118,2009JJ00,55.856
212,A025421,A044118,2010JJ00,52.247
213,A025421,A044118,2011JJ00,49.806
214,A025421,A044118,2012JJ00,46.606
215,A025421,A044118,2013JJ00,44.994
216,A025421,A044118,2014JJ00,43.143
217,A025421,A044118,2015JJ00,42.576
218,A025421,A044118,2016JJ00,42.203
219,A025421,A044118,2017JJ00,42.019
220,A025421,A044118,2018JJ00,40.438
221,A025421,A044118,2019JJ00,39.328
222,A025421,A044118,2020JJ00,36.278
223,A025421,A044118,2021JJ00,35.676
224,A025421,A044112,1990JJ00,439.78
225,A025421,A044112,1991JJ00,424.2
226,A025421,A044112,1992JJ00,419.0
227,A025421,A044112,1993JJ00,402.82
228,A025421,A044112,1994JJ00,391.05
229,A025421,A044112,1995JJ00,382.21
230,A025421,A044112,1996JJ00,375.45
231,A025421,A044112,1997JJ00,374.53
232,A025421,A044112,1998JJ00,367.61
233,A025421,A044112,1999JJ00,375.77
234,A025421,A044112,2000JJ00,371.53
235,A025421,A044112,2001JJ00,366.84
236,A025421,A044112,2002JJ00,357.52
237,A025421,A044112,2003JJ00,353.31
238,A025421,A044112,2004JJ00,350.25
239,A025421,A044112,2005JJ00,344.65
240,A025421,A044112,2006JJ00,344.78
241,A025421,A044112,2007JJ00,332.79
242,A025421,A044112,2008JJ00,313.72
243,A025421,A044112,2009JJ00,293.77
244,A025421,A044112,2010JJ00,285.47
245,A025421,A044112,2011JJ00,283.83
246,A025421,A044112,2012JJ00,267.84
247,A025421,A044112,2013JJ00,251.51
248,A025421,A044112,2014JJ00,253.21
249,A025421,A044112,2015JJ00,257.49
250,A025421,A044112,2016JJ00,252.53
251,A025421,A044112,2017JJ00,245.12
252,A025421,A044112,2018JJ00,243.72
253,A025421,A044112,2019JJ00,239.45
254,A025421,A044112,2020JJ00,225.62
255,A025421,A044112,2021JJ00,217.23
256,A025421,A044110,1990JJ00,0.501
257,A025421,A044110,1991JJ00,0.591
258,A025421,A044110,1992JJ00,0.713
259,A025421,A044110,1993JJ00,0.796
260,A025421,A044110,1994JJ00,0.892
261,A025421,A044110,1995JJ00,0.961
262,A025421,A044110,1996JJ00,0.993
263,A025421,A044110,1997JJ00,1.028
264,A025421,A044110,1998JJ00,1.034
265,A025421,A044110,1999JJ00,1.059
266,A025421,A044110,2000JJ00,1.1
267,A025421,A044110,2001JJ00,1.094
268,A025421,A044110,2002JJ00,1.078
269,A025421,A044110,2003JJ00,1.062
270,A025421,A044110,2004JJ00,1.051
271,A025421,A044110,2005JJ00,1.025
272,A025421,A044110,2006JJ00,1.022
273,A025421,A044110,2007JJ00,1.041
274,A025421,A044110,2008JJ00,1.062
275,A025421,A044110,2009JJ00,1.074
276,A025421,A044110,2010JJ00,1.112
277,A025421,A044110,2011JJ00,1.167
278,A025421,A044110,2012JJ00,1.232
279,A025421,A044110,2013JJ00,1.259
280,A025421,A044110,2014JJ00,1.254
281,A025421,A044110,2015JJ00,1.339
282,A025421,A044110,2016JJ00,1.368
283,A025421,A044110,2017JJ00,1.481
284,A025421,A044110,2018JJ00,1.465
285,A025421,A044110,2019JJ00,1.491
286,A025421,A044110,2020JJ00,1.388
