ID,BiologicalControl,Crops,Periods,CompaniesWithBiologicalControlAgents_1,CompaniesWithBiologicalControlAgents_2,AreaSizeWithDeploymentOfMacrobials_3,AreaSizeWithDeploymentOfMacrobials_4,DeployedMacrobiologicalControlAgents_5,CropArea_6,AreaWithBiologicalControlAgents_7
0,T001225,A048737,2012JJ00,,,4926.0,77.6,,,
1,T001225,A048737,2016JJ00,,,5579.0,92.0,,,
2,T001225,A048737,2020JJ00,,,6356.0,94.4,,,
3,T001225,A048737,2024JJ00,,,6628.0,94.4,,,
4,T001225,A042276,2012JJ00,152.0,54.0,197.0,68.3,,,
5,T001225,A042276,2016JJ00,127.0,50.2,193.0,57.5,,,
6,T001225,A042276,2020JJ00,208.0,86.5,493.0,97.8,,,
7,T001225,A042276,2024JJ00,192.0,89.0,583.0,96.8,,,
8,T001225,A042256,2012JJ00,105.0,33.1,246.0,50.7,,,
9,T001225,A042256,2016JJ00,178.0,73.8,337.0,86.0,,,
10,T001225,A042256,2020JJ00,173.0,71.1,372.0,80.8,,,
11,T001225,A042256,2024JJ00,190.0,70.4,502.0,83.9,,,
12,T001225,A042246,2012JJ00,84.0,43.4,305.0,60.5,,,
13,T001225,A042246,2016JJ00,74.0,65.1,308.0,80.5,,,
14,T001225,A042246,2020JJ00,93.0,81.2,415.0,93.2,,,
15,T001225,A042246,2024JJ00,105.0,83.0,469.0,96.2,,,
16,T001225,A042249,2012JJ00,55.0,80.8,150.0,88.0,,,
17,T001225,A042249,2016JJ00,47.0,84.5,138.0,73.1,,,
18,T001225,A042249,2020JJ00,43.0,92.6,160.0,97.5,,,
19,T001225,A042249,2024JJ00,38.0,100.0,163.0,100.0,,,
20,T001225,A042285,2012JJ00,198.0,78.4,540.0,86.8,,,
21,T001225,A042285,2016JJ00,209.0,99.7,554.0,99.9,,,
22,T001225,A042285,2020JJ00,190.0,88.9,594.0,100.0,,,
23,T001225,A042285,2024JJ00,179.0,94.7,626.0,100.0,,,
24,T001225,A042286,2012JJ00,250.0,86.6,1180.0,89.9,,,
25,T001225,A042286,2016JJ00,252.0,99.5,1314.0,99.7,,,
26,T001225,A042286,2020JJ00,248.0,98.1,1532.0,100.0,,,
27,T001225,A042286,2024JJ00,190.0,96.1,1525.0,99.7,,,
28,T001225,A042257,2012JJ00,183.0,39.5,411.0,47.4,,,
29,T001225,A042257,2016JJ00,303.0,77.2,815.0,87.1,,,
30,T001225,A042257,2020JJ00,242.0,59.6,714.0,74.5,,,
31,T001225,A042257,2024JJ00,274.0,59.6,888.0,77.8,,,
32,T001225,A042252,2012JJ00,112.0,60.8,271.0,66.5,,,
33,T001225,A042252,2016JJ00,78.0,76.8,221.0,86.2,,,
34,T001225,A042252,2020JJ00,60.0,100.0,204.0,100.0,,,
35,T001225,A042252,2024JJ00,44.0,93.7,147.0,98.5,,,
36,T001225,A042291,2012JJ00,318.0,96.0,1626.0,96.2,,,
37,T001225,A042291,2016JJ00,266.0,97.0,1700.0,99.7,,,
38,T001225,A042291,2020JJ00,235.0,89.5,1872.0,100.0,,,
39,T001225,A042291,2024JJ00,201.0,92.2,1725.0,100.0,,,
40,A050909,A048737,2012JJ00,,,3255.0,51.3,16383247.0,2581.0,5034.0
41,A050909,A048737,2016JJ00,,,3989.0,65.8,10605321.0,1748.0,2659.0
42,A050909,A048737,2020JJ00,,,4668.0,69.3,52344193.0,7772.0,11213.0
43,A050909,A048737,2024JJ00,,,5872.0,83.6,74287591.0,10575.0,12651.0
44,A050909,A042276,2012JJ00,147.0,52.3,189.0,65.5,952103.0,3304.0,5047.0
45,A050909,A042276,2016JJ00,124.0,49.0,180.0,53.8,329383.0,981.0,1825.0
46,A050909,A042276,2020JJ00,202.0,83.9,493.0,97.7,3614875.0,7169.0,7335.0
47,A050909,A042276,2024JJ00,189.0,87.3,579.0,96.1,4542372.0,7542.0,7847.0
48,A050909,A042256,2012JJ00,80.0,25.2,196.0,40.6,514935.0,1063.0,2621.0
49,A050909,A042256,2016JJ00,162.0,67.4,309.0,79.0,710575.0,1814.0,2296.0
50,A050909,A042256,2020JJ00,139.0,57.2,309.0,67.2,4558508.0,9914.0,14762.0
51,A050909,A042256,2024JJ00,161.0,59.7,457.0,76.2,7650704.0,12775.0,16759.0
52,A050909,A042246,2012JJ00,84.0,43.4,305.0,60.5,2819521.0,5592.0,9240.0
53,A050909,A042246,2016JJ00,68.0,60.2,296.0,77.3,1590762.0,4155.0,5376.0
54,A050909,A042246,2020JJ00,93.0,81.2,415.0,93.2,22365278.0,50241.0,53932.0
55,A050909,A042246,2024JJ00,105.0,83.0,469.0,96.2,27526703.0,56503.0,58748.0
56,A050909,A042249,2012JJ00,48.0,71.3,131.0,76.8,727048.0,4270.0,5557.0
57,A050909,A042249,2016JJ00,43.0,76.9,128.0,67.9,475086.0,2526.0,3720.0
58,A050909,A042249,2020JJ00,43.0,92.6,160.0,97.5,1958927.0,11920.0,12221.0
59,A050909,A042249,2024JJ00,38.0,100.0,163.0,100.0,6660420.0,40975.0,40975.0
60,A050909,A042285,2012JJ00,195.0,77.2,539.0,86.7,2710291.0,4358.0,5027.0
61,A050909,A042285,2016JJ00,204.0,96.9,543.0,98.0,1666436.0,3007.0,3067.0
62,A050909,A042285,2020JJ00,182.0,84.9,592.0,99.5,4230455.0,7113.0,7151.0
63,A050909,A042285,2024JJ00,175.0,92.6,626.0,100.0,5684383.0,9078.0,9082.0
64,A050909,A042286,2012JJ00,242.0,84.1,1140.0,86.8,1570616.0,1196.0,1378.0
65,A050909,A042286,2016JJ00,232.0,91.6,1249.0,94.8,656085.0,498.0,525.0
66,A050909,A042286,2020JJ00,245.0,97.0,1525.0,99.5,2381047.0,1554.0,1561.0
67,A050909,A042286,2024JJ00,185.0,93.3,1515.0,99.0,3464481.0,2264.0,2286.0
68,A050909,A042257,2012JJ00,170.0,36.6,367.0,42.3,1448746.0,1671.0,3948.0
69,A050909,A042257,2016JJ00,258.0,65.6,746.0,79.7,3399651.0,3634.0,4558.0
70,A050909,A042257,2020JJ00,206.0,50.8,641.0,66.9,8489278.0,8859.0,13236.0
71,A050909,A042257,2024JJ00,239.0,52.2,777.0,68.0,9434345.0,8258.0,12136.0
72,A050909,A042252,2012JJ00,107.0,58.0,268.0,65.8,5624459.0,13804.0,20963.0
73,A050909,A042252,2016JJ00,75.0,73.1,210.0,82.0,1729214.0,6741.0,8220.0
74,A050909,A042252,2020JJ00,60.0,100.0,204.0,100.0,4711647.0,23066.0,23066.0
75,A050909,A042252,2024JJ00,44.0,93.7,147.0,98.5,9272028.0,62137.0,63109.0
76,A050909,A042291,2012JJ00,44.0,13.4,120.0,7.1,15529.0,9.0,130.0
77,A050909,A042291,2016JJ00,52.0,18.9,327.0,19.2,48129.0,28.0,147.0
78,A050909,A042291,2020JJ00,38.0,14.4,329.0,17.6,34178.0,18.0,104.0
79,A050909,A042291,2024JJ00,111.0,51.0,1140.0,66.1,52155.0,30.0,46.0
80,A028595,A048737,2012JJ00,,,329.0,5.2,471080.0,74.0,1430.0
81,A028595,A048737,2016JJ00,,,327.0,5.4,257438.0,42.0,788.0
82,A028595,A048737,2020JJ00,,,470.0,7.0,281417.0,42.0,599.0
83,A028595,A048737,2024JJ00,,,443.0,6.3,274861.0,39.0,621.0
84,A028595,A042276,2012JJ00,,,,,,,
85,A028595,A042276,2016JJ00,20.0,7.8,30.0,9.1,17016.0,51.0,559.0
86,A028595,A042276,2020JJ00,72.0,29.9,269.0,53.4,87179.0,173.0,324.0
87,A028595,A042276,2024JJ00,83.0,38.3,313.0,52.0,140621.0,233.0,449.0
88,A028595,A042256,2012JJ00,,,,,,,
89,A028595,A042256,2016JJ00,,,,,,,
90,A028595,A042256,2020JJ00,4.0,1.5,4.0,0.8,2861.0,6.0,765.0
91,A028595,A042256,2024JJ00,,,,,,,
92,A028595,A042246,2012JJ00,0.0,0.0,0.0,0.0,0.0,0.0,
93,A028595,A042246,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,
94,A028595,A042246,2020JJ00,0.0,0.0,0.0,0.0,0.0,0.0,
95,A028595,A042246,2024JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,A028595,A042249,2012JJ00,10.0,14.4,32.0,18.9,5331.0,31.0,165.0
97,A028595,A042249,2016JJ00,,,,,,,
98,A028595,A042249,2020JJ00,3.0,6.8,13.0,7.8,8823.0,54.0,686.0
99,A028595,A042249,2024JJ00,,,,,,,
100,A028595,A042285,2012JJ00,29.0,11.5,119.0,19.1,2698.0,4.0,23.0
101,A028595,A042285,2016JJ00,13.0,6.2,38.0,6.8,4082.0,7.0,108.0
102,A028595,A042285,2020JJ00,6.0,2.7,28.0,4.7,185.0,0.0,7.0
103,A028595,A042285,2024JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,A028595,A042286,2012JJ00,,,,,,,
105,A028595,A042286,2016JJ00,,,,,,,
106,A028595,A042286,2020JJ00,4.0,1.8,43.0,2.8,2458.0,2.0,58.0
107,A028595,A042286,2024JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,A028595,A042257,2012JJ00,,,,,,,
109,A028595,A042257,2016JJ00,,,,,,,
110,A028595,A042257,2020JJ00,2.0,0.6,15.0,1.6,705.0,1.0,47.0
111,A028595,A042257,2024JJ00,,,,,,,
112,A028595,A042252,2012JJ00,51.0,27.3,134.0,32.8,459699.0,1128.0,3438.0
