ID,Voertuigtype,Perioden,KooldioxideCO2_1,DistikstofoxideN2O_2,MethaanCH4_3,KoolmonoxideCO_4,NMVOS_5,StikstofoxidenNOx_6,RoetElementalCarbon_7,PM10TotaalFijnStof_8,PM10VerbrandingFijnStof_9,PM10SlijtageFijnStof_10,PM25TotaalFijnStof_11,PM25VerbrandingFijnStof_12,PM25SlijtageFijnStof_13,AmmoniakNH3_14,ZwaveldioxideSO2_15,KooldioxideCO2_16,DistikstofoxideN2O_17,MethaanCH4_18,KoolmonoxideCO_19,NMVOS_20,StikstofoxidenNOx_21,RoetElementalCarbon_22,PM10TotaalFijnStof_23,PM10VerbrandingFijnStof_24,PM10SlijtageFijnStof_25,PM25TotaalFijnStof_26,PM25VerbrandingFijnStof_27,PM25SlijtageFijnStof_28,AmmoniakNH3_29,ZwaveldioxideSO2_30
0,A018928,1990JJ00,23986.0,0.31,7.02,698.45,174.81,257.17,7.43,17.24,15.17,2.07,15.52,15.17,0.34,0.92,13.3,,,,,,,,,,,,,,,
1,A018928,1991JJ00,24171.0,0.41,6.14,609.06,153.03,248.42,7.17,16.59,14.55,2.05,14.89,14.55,0.34,1.2,13.55,,,,,,,,,,,,,,,
2,A018928,1992JJ00,25336.0,0.53,5.83,584.89,142.9,241.63,7.02,16.21,14.07,2.14,14.43,14.07,0.36,1.5,14.1,,,,,,,,,,,,,,,
3,A018928,1993JJ00,25305.0,0.61,5.29,537.18,128.24,223.85,6.56,15.06,12.94,2.13,13.29,12.94,0.35,1.67,13.93,,,,,,,,,,,,,,,
4,A018928,1994JJ00,25637.0,0.7,4.92,504.72,117.51,208.72,6.2,14.15,12.0,2.15,12.36,12.0,0.36,1.86,13.47,,,,,,,,,,,,,,,
5,A018928,1995JJ00,25625.0,0.76,4.64,481.68,107.05,195.64,5.83,13.21,11.04,2.17,11.4,11.04,0.36,2.18,12.42,,,,,,,,,,,,,,,
6,A018928,1996JJ00,25885.0,0.79,4.38,464.19,98.07,184.52,5.47,12.29,10.12,2.18,10.48,10.12,0.36,2.59,9.28,,,,,,,,,,,,,,,
7,A018928,1997JJ00,26414.0,0.81,4.06,438.64,88.48,174.19,5.2,11.56,9.35,2.21,9.72,9.35,0.37,3.0,4.33,,,,,,,,,,,,,,,
8,A018928,1998JJ00,27081.0,0.82,3.79,417.1,80.28,166.36,5.09,11.08,8.83,2.25,9.21,8.83,0.37,3.31,4.52,,,,,,,,,,,,,,,
9,A018928,1999JJ00,28394.0,0.84,3.59,406.08,73.48,165.91,5.21,11.08,8.74,2.34,9.13,8.74,0.39,3.74,4.88,,,,,,,,,,,,,,,
10,A018928,2000JJ00,28405.0,0.87,3.25,387.48,61.63,157.23,5.05,10.53,8.19,2.35,8.58,8.19,0.39,4.42,3.07,,,,,,,,,,,,,,,
11,A018928,2001JJ00,28708.0,0.86,3.13,384.0,54.73,150.04,4.85,10.05,7.69,2.36,8.08,7.69,0.39,4.78,0.76,,,,,,,,,,,,,,,
12,A018928,2002JJ00,29134.0,0.84,3.05,386.08,49.21,144.11,4.59,9.52,7.12,2.4,7.52,7.12,0.4,5.08,0.78,,,,,,,,,,,,,,,
13,A018928,2003JJ00,29403.0,0.82,2.97,386.35,44.51,139.07,4.36,9.05,6.63,2.42,7.03,6.63,0.4,5.22,0.52,,,,,,,,,,,,,,,
14,A018928,2004JJ00,30056.0,0.81,2.88,385.65,40.42,136.53,4.23,8.79,6.31,2.48,6.72,6.31,0.41,5.39,0.57,237.0,0.006,0.023,3.04,0.32,1.08,0.033,0.069,0.05,0.02,0.053,0.05,0.003,0.042,0.004
15,A018928,2005JJ00,29266.0,0.86,2.6,371.76,35.95,129.43,3.84,8.16,5.7,2.46,6.11,5.7,0.41,5.11,0.24,231.0,0.007,0.02,2.93,0.28,1.02,0.03,0.064,0.045,0.019,0.048,0.045,0.003,0.04,0.002
16,A018928,2006JJ00,29030.0,0.89,2.38,350.94,32.55,122.41,3.39,7.51,5.03,2.48,5.45,5.03,0.41,4.73,0.27,228.0,0.007,0.019,2.75,0.26,0.96,0.027,0.059,0.039,0.019,0.043,0.039,0.003,0.037,0.002
17,A018928,2007JJ00,29203.0,0.94,2.19,335.32,29.92,116.79,3.0,6.98,4.44,2.54,4.87,4.44,0.42,4.42,0.27,225.0,0.007,0.017,2.58,0.23,0.9,0.023,0.054,0.034,0.02,0.037,0.034,0.003,0.034,0.002
18,A018928,2008JJ00,28867.0,0.97,1.98,313.73,27.25,109.7,2.55,6.33,3.77,2.56,4.2,3.77,0.43,4.02,0.18,223.0,0.007,0.015,2.42,0.21,0.85,0.02,0.049,0.029,0.02,0.032,0.029,0.003,0.031,0.001
19,A018928,2009JJ00,28374.0,1.0,1.76,299.02,24.29,99.85,2.03,5.56,3.0,2.56,3.43,3.0,0.43,3.72,0.18,219.0,0.008,0.014,2.31,0.19,0.77,0.016,0.043,0.023,0.02,0.026,0.023,0.003,0.029,0.001
20,A018928,2010JJ00,28199.0,1.02,1.82,285.19,23.15,96.04,1.78,5.23,2.66,2.56,3.09,2.66,0.43,3.63,0.17,217.0,0.008,0.014,2.19,0.18,0.74,0.014,0.04,0.02,0.02,0.024,0.02,0.003,0.028,0.001
21,A018928,2011JJ00,27912.0,1.03,1.95,269.93,23.13,92.65,1.5,4.85,2.29,2.56,2.72,2.29,0.43,3.53,0.17,214.0,0.008,0.015,2.07,0.18,0.71,0.011,0.037,0.018,0.02,0.021,0.018,0.003,0.027,0.001
22,A018928,2012JJ00,27524.0,1.03,2.03,256.37,22.8,89.53,1.29,4.56,2.01,2.54,2.44,2.01,0.42,3.43,0.17,211.0,0.008,0.016,1.97,0.18,0.69,0.01,0.035,0.015,0.02,0.019,0.015,0.003,0.026,0.001
23,A018928,2013JJ00,26956.0,1.01,2.1,246.54,22.53,84.13,1.13,4.3,1.79,2.51,2.21,1.79,0.42,3.41,0.17,208.0,0.008,0.016,1.9,0.17,0.65,0.009,0.033,0.014,0.019,0.017,0.014,0.003,0.026,0.001
24,A018928,2014JJ00,26857.0,1.01,2.15,240.96,22.31,80.87,1.0,4.14,1.62,2.52,2.04,1.62,0.42,3.44,0.17,207.0,0.008,0.017,1.85,0.17,0.62,0.008,0.032,0.012,0.019,0.016,0.012,0.003,0.026,0.001
25,A018928,2015JJ00,27241.0,1.03,2.2,233.78,22.2,79.41,0.89,4.06,1.48,2.58,1.91,1.48,0.43,3.48,0.17,207.0,0.008,0.017,1.77,0.17,0.6,0.007,0.031,0.011,0.02,0.014,0.011,0.003,0.026,0.001
26,A018928,2016JJ00,28032.0,1.07,2.25,232.48,22.44,79.17,0.82,4.06,1.39,2.67,1.83,1.39,0.45,3.59,0.17,207.0,0.008,0.017,1.72,0.17,0.58,0.006,0.03,0.01,0.02,0.014,0.01,0.003,0.026,0.001
27,A018928,2017JJ00,28384.0,1.08,2.29,228.86,22.44,76.94,0.76,4.03,1.3,2.72,1.76,1.3,0.45,3.64,0.18,207.0,0.008,0.017,1.67,0.16,0.56,0.006,0.029,0.009,0.02,0.013,0.009,0.003,0.026,0.001
28,A018928,2018JJ00,28677.0,1.09,2.29,231.43,22.15,77.38,0.74,4.03,1.27,2.76,1.73,1.27,0.46,3.66,0.18,206.0,0.008,0.016,1.66,0.16,0.56,0.005,0.029,0.009,0.02,0.012,0.009,0.003,0.026,0.001
29,A018928,2019JJ00,28542.0,1.1,2.25,215.31,21.73,71.97,0.63,3.89,1.1,2.79,1.57,1.1,0.47,3.61,0.18,204.0,0.008,0.016,1.54,0.16,0.52,0.004,0.028,0.008,0.02,0.011,0.008,0.003,0.026,0.001
30,A018928,2020JJ00,25381.0,1.02,1.95,182.41,19.5,58.91,0.49,3.38,0.89,2.49,1.31,0.89,0.42,3.27,0.16,209.0,0.008,0.016,1.5,0.16,0.48,0.004,0.028,0.007,0.02,0.011,0.007,0.003,0.027,0.001
31,A018928,2021JJ00,26205.0,1.05,1.97,177.17,19.78,57.46,0.44,3.47,0.84,2.62,1.28,0.84,0.44,3.46,0.16,205.0,0.008,0.015,1.39,0.15,0.45,0.003,0.027,0.007,0.021,0.01,0.007,0.003,0.027,0.001
32,A018928,2022JJ00,26957.0,1.08,1.96,169.46,19.56,56.55,0.41,3.56,0.79,2.77,1.25,0.79,0.46,3.59,0.17,201.0,0.008,0.015,1.26,0.15,0.42,0.003,0.027,0.006,0.021,0.009,0.006,0.003,0.027,0.001
33,A018928,2023JJ00,27048.0,1.08,1.92,162.28,19.25,53.45,0.37,3.58,0.73,2.85,1.21,0.73,0.48,3.7,0.17,196.0,0.008,0.014,1.18,0.14,0.39,0.003,0.026,0.005,0.021,0.009,0.005,0.003,0.027,0.001
34,A018928,2024JJ00,27078.0,1.08,1.87,154.0,18.87,51.06,0.33,3.61,0.68,2.93,1.17,0.68,0.49,3.76,0.17,192.0,0.008,0.013,1.09,0.13,0.36,0.002,0.026,0.005,0.021,0.008,0.005,0.003,0.027,0.001
35,A018943,1990JJ00,15516.0,0.24,5.24,592.79,134.62,142.67,2.49,6.89,5.5,1.39,5.73,5.5,0.23,0.88,4.61,,,,,,,,,,,,,,,
36,A018943,1991JJ00,15405.0,0.32,4.38,502.57,113.36,130.44,2.24,6.22,4.88,1.34,5.11,4.88,0.22,1.15,4.44,,,,,,,,,,,,,,,
37,A018943,1992JJ00,16091.0,0.43,4.1,475.36,104.63,121.93,2.15,6.03,4.63,1.39,4.86,4.63,0.23,1.44,4.48,,,,,,,,,,,,,,,
38,A018943,1993JJ00,15915.0,0.49,3.65,427.0,92.04,109.3,1.96,5.51,4.15,1.36,4.37,4.15,0.23,1.61,4.18,,,,,,,,,,,,,,,
39,A018943,1994JJ00,16260.0,0.57,3.38,398.22,83.41,100.63,1.89,5.3,3.91,1.39,4.14,3.91,0.23,1.79,3.99,,,,,,,,,,,,,,,
40,A018943,1995JJ00,16068.0,0.63,3.18,379.45,75.01,91.19,1.8,5.01,3.62,1.4,3.85,3.62,0.23,2.1,3.53,,,,,,,,,,,,,,,
41,A018943,1996JJ00,16321.0,0.65,3.01,364.52,68.02,86.17,1.74,4.82,3.41,1.41,3.65,3.41,0.23,2.5,2.66,,,,,,,,,,,,,,,
42,A018943,1997JJ00,16659.0,0.66,2.76,342.42,59.98,79.47,1.7,4.62,3.19,1.43,3.43,3.19,0.24,2.9,1.46,,,,,,,,,,,,,,,
43,A018943,1998JJ00,17026.0,0.66,2.54,323.81,53.08,73.76,1.71,4.52,3.07,1.45,3.31,3.07,0.24,3.21,1.55,,,,,,,,,,,,,,,
44,A018943,1999JJ00,17659.0,0.66,2.4,316.09,47.4,70.11,1.79,4.54,3.05,1.49,3.3,3.05,0.25,3.63,1.7,,,,,,,,,,,,,,,
45,A018943,2000JJ00,17777.0,0.69,2.17,303.42,38.24,62.96,1.75,4.36,2.87,1.49,3.12,2.87,0.25,4.3,1.23,,,,,,,,,,,,,,,
46,A018943,2001JJ00,17979.0,0.68,2.12,304.61,33.17,57.53,1.68,4.17,2.66,1.51,2.91,2.66,0.25,4.67,0.48,,,,,,,,,,,,,,,
