ID,Emissiebronnen,EmissiesNaarLucht,Perioden,EmissiesNaarLucht_1
0,T001176  ,A044109,1990JJ00,170900.0
1,T001176  ,A044109,1995JJ00,180800.0
2,T001176  ,A044109,2000JJ00,182400.0
3,T001176  ,A044109,2001JJ00,188000.0
4,T001176  ,A044109,2002JJ00,187700.0
5,T001176  ,A044109,2003JJ00,190800.0
6,T001176  ,A044109,2004JJ00,193900.0
7,T001176  ,A044109,2005JJ00,190400.0
8,T001176  ,A044109,2006JJ00,184800.0
9,T001176  ,A044109,2007JJ00,184800.0
10,T001176  ,A044109,2008JJ00,188700.0
11,T001176  ,A044109,2009JJ00,185100.0
12,T001176  ,A044109,2010JJ00,197400.0
13,T001176  ,A044109,2011JJ00,184100.0
14,T001176  ,A044109,2012JJ00,181900.0
15,T001176  ,A044109,2013JJ00,180800.0
16,T001176  ,A044109,2014JJ00,175200.0
17,T001176  ,A044109,2015JJ00,182900.0
18,T001176  ,A044109,2016JJ00,184500.0
19,T001176  ,A044109,2017JJ00,181600.0
20,T001176  ,A044109,2018JJ00,178300.0
21,T001176  ,A044109,2019JJ00,174900.0
22,T001176  ,A044109,2020JJ00,163200.0
23,T001176  ,A044109,2021JJ00,169300.0
24,T001176  ,A044109,2022JJ00,156000.0
25,T001176  ,A044109,2023JJ00,141900.0
26,T001176  ,A044109,2024JJ00,140400.0
27,T001176  ,A044107,1990JJ00,1283.9
28,T001176  ,A044107,1995JJ00,1193.7
29,T001176  ,A044107,2000JJ00,975.2
30,T001176  ,A044107,2001JJ00,949.0
31,T001176  ,A044107,2002JJ00,903.4
32,T001176  ,A044107,2003JJ00,872.3
33,T001176  ,A044107,2004JJ00,856.4
34,T001176  ,A044107,2005JJ00,797.8
35,T001176  ,A044107,2006JJ00,779.1
36,T001176  ,A044107,2007JJ00,780.2
37,T001176  ,A044107,2008JJ00,788.3
38,T001176  ,A044107,2009JJ00,780.6
39,T001176  ,A044107,2010JJ00,777.5
40,T001176  ,A044107,2011JJ00,755.6
41,T001176  ,A044107,2012JJ00,738.8
42,T001176  ,A044107,2013JJ00,738.1
43,T001176  ,A044107,2014JJ00,721.1
44,T001176  ,A044107,2015JJ00,730.5
45,T001176  ,A044107,2016JJ00,734.8
46,T001176  ,A044107,2017JJ00,721.6
47,T001176  ,A044107,2018JJ00,698.0
48,T001176  ,A044107,2019JJ00,693.5
49,T001176  ,A044107,2020JJ00,683.3
50,T001176  ,A044107,2021JJ00,673.0
