ID,Klimaatsectoren,EmissiesNaarLucht,Perioden,EmissieBroeikasgassen_1
0,T001616  ,T001372  ,1990JJ00,226.6
1,T001616  ,T001372  ,1991JJ00,234.5
2,T001616  ,T001372  ,1992JJ00,234.9
3,T001616  ,T001372  ,1993JJ00,235.0
4,T001616  ,T001372  ,1994JJ00,236.0
5,T001616  ,T001372  ,1995JJ00,235.6
6,T001616  ,T001372  ,1996JJ00,245.8
7,T001616  ,T001372  ,1997JJ00,236.9
8,T001616  ,T001372  ,1998JJ00,237.6
9,T001616  ,T001372  ,1999JJ00,224.8
10,T001616  ,T001372  ,2000JJ00,223.3
11,T001616  ,T001372  ,2001JJ00,225.2
12,T001616  ,T001372  ,2002JJ00,223.2
13,T001616  ,T001372  ,2003JJ00,223.2
14,T001616  ,T001372  ,2004JJ00,224.7
15,T001616  ,T001372  ,2005JJ00,218.7
16,T001616  ,T001372  ,2006JJ00,213.4
17,T001616  ,T001372  ,2007JJ00,212.4
18,T001616  ,T001372  ,2008JJ00,212.5
19,T001616  ,T001372  ,2009JJ00,206.9
20,T001616  ,T001372  ,2010JJ00,219.0
21,T001616  ,T001372  ,2011JJ00,205.1
22,T001616  ,T001372  ,2012JJ00,200.4
23,T001616  ,T001372  ,2013JJ00,199.8
24,T001616  ,T001372  ,2014JJ00,192.4
25,T001616  ,T001372  ,2015JJ00,199.3
26,T001616  ,T001372  ,2016JJ00,199.5
27,T001616  ,T001372  ,2017JJ00,196.1
28,T001616  ,T001372  ,2018JJ00,190.7
29,T001616  ,T001372  ,2019JJ00,184.7
30,T001616  ,T001372  ,2020JJ00,167.8
31,T001616  ,T001372  ,2021JJ00,170.8
32,T001616  ,T001372  ,2022JJ00,155.9
33,T001616  ,T001372  ,2023JJ00,146.1
34,T001616  ,T001372  ,2024JJ00,144.4
35,T001616  ,A044109  ,1990JJ00,166.7
36,T001616  ,A044109  ,1991JJ00,175.1
37,T001616  ,A044109  ,1992JJ00,174.8
38,T001616  ,A044109  ,1993JJ00,174.6
39,T001616  ,A044109  ,1994JJ00,175.6
40,T001616  ,A044109  ,1995JJ00,176.7
41,T001616  ,A044109  ,1996JJ00,185.6
42,T001616  ,A044109  ,1997JJ00,178.1
43,T001616  ,A044109  ,1998JJ00,179.5
44,T001616  ,A044109  ,1999JJ00,173.8
45,T001616  ,A044109  ,2000JJ00,175.1
46,T001616  ,A044109  ,2001JJ00,180.9
47,T001616  ,A044109  ,2002JJ00,180.6
48,T001616  ,A044109  ,2003JJ00,183.3
49,T001616  ,A044109  ,2004JJ00,185.2
50,T001616  ,A044109  ,2005JJ00,181.1
51,T001616  ,A044109  ,2006JJ00,176.1
52,T001616  ,A044109  ,2007JJ00,176.2
53,T001616  ,A044109  ,2008JJ00,179.4
54,T001616  ,A044109  ,2009JJ00,174.1
55,T001616  ,A044109  ,2010JJ00,186.3
56,T001616  ,A044109  ,2011JJ00,173.4
57,T001616  ,A044109  ,2012JJ00,169.5
58,T001616  ,A044109  ,2013JJ00,168.5
59,T001616  ,A044109  ,2014JJ00,161.9
60,T001616  ,A044109  ,2015JJ00,168.2
61,T001616  ,A044109  ,2016JJ00,168.6
62,T001616  ,A044109  ,2017JJ00,165.5
63,T001616  ,A044109  ,2018JJ00,161.2
64,T001616  ,A044109  ,2019JJ00,155.5
65,T001616  ,A044109  ,2020JJ00,139.4
66,T001616  ,A044109  ,2021JJ00,142.8
67,T001616  ,A044109  ,2022JJ00,129.2
68,T001616  ,A044109  ,2023JJ00,119.8
69,T001616  ,A044109  ,2024JJ00,118.5
70,T001616  ,A044110  ,1990JJ00,16.1
71,T001616  ,A044110  ,1991JJ00,16.3
72,T001616  ,A044110  ,1992JJ00,16.5
73,T001616  ,A044110  ,1993JJ00,16.8
74,T001616  ,A044110  ,1994JJ00,16.4
75,T001616  ,A044110  ,1995JJ00,16.2
76,T001616  ,A044110  ,1996JJ00,16.3
77,T001616  ,A044110  ,1997JJ00,16.0
78,T001616  ,A044110  ,1998JJ00,15.5
79,T001616  ,A044110  ,1999JJ00,14.9
80,T001616  ,A044110  ,2000JJ00,14.3
81,T001616  ,A044110  ,2001JJ00,13.5
82,T001616  ,A044110  ,2002JJ00,12.8
83,T001616  ,A044110  ,2003JJ00,12.6
84,T001616  ,A044110  ,2004JJ00,13.0
85,T001616  ,A044110  ,2005JJ00,12.9
86,T001616  ,A044110  ,2006JJ00,13.0
87,T001616  ,A044110  ,2007JJ00,11.6
88,T001616  ,A044110  ,2008JJ00,8.3
89,T001616  ,A044110  ,2009JJ00,8.2
90,T001616  ,A044110  ,2010JJ00,7.9
91,T001616  ,A044110  ,2011JJ00,7.8
92,T001616  ,A044110  ,2012JJ00,7.6
93,T001616  ,A044110  ,2013JJ00,7.8
94,T001616  ,A044110  ,2014JJ00,7.9
95,T001616  ,A044110  ,2015JJ00,8.1
96,T001616  ,A044110  ,2016JJ00,7.8
97,T001616  ,A044110  ,2017JJ00,8.0
98,T001616  ,A044110  ,2018JJ00,7.8
99,T001616  ,A044110  ,2019JJ00,7.7
100,T001616  ,A044110  ,2020JJ00,7.5
101,T001616  ,A044110  ,2021JJ00,7.2
102,T001616  ,A044110  ,2022JJ00,6.7
103,T001616  ,A044110  ,2023JJ00,6.6
104,T001616  ,A044110  ,2024JJ00,6.6
105,T001616  ,A044107  ,1990JJ00,36.5
106,T001616  ,A044107  ,1991JJ00,37.0
107,T001616  ,A044107  ,1992JJ00,36.5
108,T001616  ,A044107  ,1993JJ00,36.0
109,T001616  ,A044107  ,1994JJ00,34.9
110,T001616  ,A044107  ,1995JJ00,34.0
111,T001616  ,A044107  ,1996JJ00,33.3
112,T001616  ,A044107  ,1997JJ00,31.4
113,T001616  ,A044107  ,1998JJ00,30.6
114,T001616  ,A044107  ,1999JJ00,29.2
115,T001616  ,A044107  ,2000JJ00,27.9
116,T001616  ,A044107  ,2001JJ00,27.2
117,T001616  ,A044107  ,2002JJ00,25.9
118,T001616  ,A044107  ,2003JJ00,25.0
119,T001616  ,A044107  ,2004JJ00,24.6
120,T001616  ,A044107  ,2005JJ00,23.0
121,T001616  ,A044107  ,2006JJ00,22.4
122,T001616  ,A044107  ,2007JJ00,22.5
123,T001616  ,A044107  ,2008JJ00,22.7
124,T001616  ,A044107  ,2009JJ00,22.5
125,T001616  ,A044107  ,2010JJ00,22.4
126,T001616  ,A044107  ,2011JJ00,21.8
127,T001616  ,A044107  ,2012JJ00,21.3
128,T001616  ,A044107  ,2013JJ00,21.3
129,T001616  ,A044107  ,2014JJ00,20.8
130,T001616  ,A044107  ,2015JJ00,21.1
131,T001616  ,A044107  ,2016JJ00,21.2
132,T001616  ,A044107  ,2017JJ00,20.8
133,T001616  ,A044107  ,2018JJ00,20.1
134,T001616  ,A044107  ,2019JJ00,20.0
135,T001616  ,A044107  ,2020JJ00,19.7
136,T001616  ,A044107  ,2021JJ00,19.4
137,T001616  ,A044107  ,2022JJ00,18.8
138,T001616  ,A044107  ,2023JJ00,18.6
139,T001616  ,A044107  ,2024JJ00,18.3
140,T001616  ,A052484  ,1990JJ00,7.3
141,T001616  ,A052484  ,1991JJ00,6.2
142,T001616  ,A052484  ,1992JJ00,7.0
143,T001616  ,A052484  ,1993JJ00,7.6
144,T001616  ,A052484  ,1994JJ00,9.1
145,T001616  ,A052484  ,1995JJ00,8.7
146,T001616  ,A052484  ,1996JJ00,10.6
147,T001616  ,A052484  ,1997JJ00,11.4
148,T001616  ,A052484  ,1998JJ00,12.0
149,T001616  ,A052484  ,1999JJ00,6.9
150,T001616  ,A052484  ,2000JJ00,6.0
151,T001616  ,A052484  ,2001JJ00,3.5
152,T001616  ,A052484  ,2002JJ00,4.0
153,T001616  ,A052484  ,2003JJ00,2.2
154,T001616  ,A052484  ,2004JJ00,2.0
155,T001616  ,A052484  ,2005JJ00,1.8
156,T001616  ,A052484  ,2006JJ00,1.9
157,T001616  ,A052484  ,2007JJ00,2.1
158,T001616  ,A052484  ,2008JJ00,2.1
159,T001616  ,A052484  ,2009JJ00,2.1
160,T001616  ,A052484  ,2010JJ00,2.4
161,T001616  ,A052484  ,2011JJ00,2.1
162,T001616  ,A052484  ,2012JJ00,2.1
163,T001616  ,A052484  ,2013JJ00,2.2
164,T001616  ,A052484  ,2014JJ00,1.7
165,T001616  ,A052484  ,2015JJ00,1.9
166,T001616  ,A052484  ,2016JJ00,1.8
167,T001616  ,A052484  ,2017JJ00,1.8
168,T001616  ,A052484  ,2018JJ00,1.5
169,T001616  ,A052484  ,2019JJ00,1.5
170,T001616  ,A052484  ,2020JJ00,1.2
171,T001616  ,A052484  ,2021JJ00,1.4
172,T001616  ,A052484  ,2022JJ00,1.2
173,T001616  ,A052484  ,2023JJ00,1.0
174,T001616  ,A052484  ,2024JJ00,1.0
175,A025447  ,T001372  ,1990JJ00,193.4
176,A025447  ,T001372  ,1991JJ00,200.9
177,A025447  ,T001372  ,1992JJ00,199.8
178,A025447  ,T001372  ,1993JJ00,199.1
179,A025447  ,T001372  ,1994JJ00,200.5
180,A025447  ,T001372  ,1995JJ00,199.6
181,A025447  ,T001372  ,1996JJ00,208.4
182,A025447  ,T001372  ,1997JJ00,199.7
183,A025447  ,T001372  ,1998JJ00,199.6
184,A025447  ,T001372  ,1999JJ00,186.0
185,A025447  ,T001372  ,2000JJ00,184.6
186,A025447  ,T001372  ,2001JJ00,186.2
187,A025447  ,T001372  ,2002JJ00,183.8
188,A025447  ,T001372  ,2003JJ00,183.4
189,A025447  ,T001372  ,2004JJ00,184.5
190,A025447  ,T001372  ,2005JJ00,178.1
191,A025447  ,T001372  ,2006JJ00,171.9
192,A025447  ,T001372  ,2007JJ00,171.9
193,A025447  ,T001372  ,2008JJ00,171.7
194,A025447  ,T001372  ,2009JJ00,167.6
195,A025447  ,T001372  ,2010JJ00,179.0
196,A025447  ,T001372  ,2011JJ00,165.0
197,A025447  ,T001372  ,2012JJ00,162.2
198,A025447  ,T001372  ,2013JJ00,163.0
199,A025447  ,T001372  ,2014JJ00,158.0
200,A025447  ,T001372  ,2015JJ00,165.2
201,A025447  ,T001372  ,2016JJ00,165.3
202,A025447  ,T001372  ,2017JJ00,161.4
203,A025447  ,T001372  ,2018JJ00,155.8
204,A025447  ,T001372  ,2019JJ00,150.4
205,A025447  ,T001372  ,2020JJ00,137.9
206,A025447  ,T001372  ,2021JJ00,141.0
207,A025447  ,T001372  ,2022JJ00,126.3
208,A025447  ,T001372  ,2023JJ00,115.4
209,A025447  ,T001372  ,2024JJ00,115.2
210,A025447  ,A044109  ,1990JJ00,133.8
211,A025447  ,A044109  ,1991JJ00,141.8
212,A025447  ,A044109  ,1992JJ00,140.1
213,A025447  ,A044109  ,1993JJ00,139.0
214,A025447  ,A044109  ,1994JJ00,140.5
215,A025447  ,A044109  ,1995JJ00,141.1
216,A025447  ,A044109  ,1996JJ00,148.7
217,A025447  ,A044109  ,1997JJ00,141.3
218,A025447  ,A044109  ,1998JJ00,142.0
219,A025447  ,A044109  ,1999JJ00,135.5
220,A025447  ,A044109  ,2000JJ00,136.9
221,A025447  ,A044109  ,2001JJ00,142.5
222,A025447  ,A044109  ,2002JJ00,141.7
223,A025447  ,A044109  ,2003JJ00,144.1
224,A025447  ,A044109  ,2004JJ00,145.6
225,A025447  ,A044109  ,2005JJ00,141.0
226,A025447  ,A044109  ,2006JJ00,135.2
227,A025447  ,A044109  ,2007JJ00,136.4
228,A025447  ,A044109  ,2008JJ00,139.4
229,A025447  ,A044109  ,2009JJ00,135.6
