ID,NECSectoren,EmissiesNaarLucht,Perioden,EmissiesNaarLucht_1
0,T001176  ,A044111,1990JJ00,346.6
1,T001176  ,A044111,1995JJ00,219.9
2,T001176  ,A044111,2000JJ00,175.0
3,T001176  ,A044111,2001JJ00,168.7
4,T001176  ,A044111,2002JJ00,161.3
5,T001176  ,A044111,2003JJ00,158.2
6,T001176  ,A044111,2004JJ00,157.9
7,T001176  ,A044111,2005JJ00,155.3
8,T001176  ,A044111,2006JJ00,158.1
9,T001176  ,A044111,2007JJ00,154.3
10,T001176  ,A044111,2008JJ00,141.8
11,T001176  ,A044111,2009JJ00,137.6
12,T001176  ,A044111,2010JJ00,134.7
13,T001176  ,A044111,2011JJ00,132.1
14,T001176  ,A044111,2012JJ00,128.1
15,T001176  ,A044111,2013JJ00,124.8
16,T001176  ,A044111,2014JJ00,128.5
17,T001176  ,A044111,2015JJ00,130.0
18,T001176  ,A044111,2016JJ00,131.3
19,T001176  ,A044111,2017JJ00,133.8
20,T001176  ,A044111,2018JJ00,132.4
21,T001176  ,A044111,2019JJ00,126.1
22,T001176  ,A044111,2020JJ00,125.4
23,T001176  ,A044111,2021JJ00,123.8
24,T001176  ,A044111,2022JJ00,121.2
25,T001176  ,A044111,2023JJ00,117.2
26,T001176  ,A044111,2024JJ00,112.6
27,T001176  ,A044112,1990JJ00,624.4
28,T001176  ,A044112,1995JJ00,523.0
29,T001176  ,A044112,2000JJ00,441.8
30,T001176  ,A044112,2001JJ00,429.2
31,T001176  ,A044112,2002JJ00,415.0
32,T001176  ,A044112,2003JJ00,410.9
33,T001176  ,A044112,2004JJ00,401.7
34,T001176  ,A044112,2005JJ00,391.3
35,T001176  ,A044112,2006JJ00,379.9
36,T001176  ,A044112,2007JJ00,358.9
37,T001176  ,A044112,2008JJ00,347.0
38,T001176  ,A044112,2009JJ00,308.7
39,T001176  ,A044112,2010JJ00,312.1
40,T001176  ,A044112,2011JJ00,300.1
41,T001176  ,A044112,2012JJ00,283.2
42,T001176  ,A044112,2013JJ00,266.7
43,T001176  ,A044112,2014JJ00,243.5
44,T001176  ,A044112,2015JJ00,236.0
45,T001176  ,A044112,2016JJ00,223.4
46,T001176  ,A044112,2017JJ00,216.2
47,T001176  ,A044112,2018JJ00,216.1
48,T001176  ,A044112,2019JJ00,205.3
49,T001176  ,A044112,2020JJ00,178.1
50,T001176  ,A044112,2021JJ00,174.1
51,T001176  ,A044112,2022JJ00,162.7
52,T001176  ,A044112,2023JJ00,153.6
53,T001176  ,A044112,2024JJ00,148.7
54,T001176  ,A044114,1990JJ00,197.6
55,T001176  ,A044114,1995JJ00,136.4
56,T001176  ,A044114,2000JJ00,78.1
57,T001176  ,A044114,2001JJ00,78.8
58,T001176  ,A044114,2002JJ00,71.1
59,T001176  ,A044114,2003JJ00,66.4
60,T001176  ,A044114,2004JJ00,69.1
61,T001176  ,A044114,2005JJ00,67.6
62,T001176  ,A044114,2006JJ00,67.9
63,T001176  ,A044114,2007JJ00,64.1
64,T001176  ,A044114,2008JJ00,53.2
65,T001176  ,A044114,2009JJ00,39.6
66,T001176  ,A044114,2010JJ00,36.1
67,T001176  ,A044114,2011JJ00,35.0
68,T001176  ,A044114,2012JJ00,35.4
69,T001176  ,A044114,2013JJ00,31.1
70,T001176  ,A044114,2014JJ00,30.9
71,T001176  ,A044114,2015JJ00,31.0
72,T001176  ,A044114,2016JJ00,28.7
73,T001176  ,A044114,2017JJ00,27.1
74,T001176  ,A044114,2018JJ00,25.1
75,T001176  ,A044114,2019JJ00,22.9
76,T001176  ,A044114,2020JJ00,19.7
77,T001176  ,A044114,2021JJ00,20.9
