ID,Bedrijfsgroep,Perioden,TotaalEnergiedragers_1,Aardgas_2,Elektriciteit_3,LichteStookolieEnHbo_4,OverigeGasolie_5,AndereEnergiedragers_6,TotaalEnergiedragers_7,Aardgas_8,Elektriciteit_9,LichteStookolieEnHbo_10,OverigeGasolie_11,AndereEnergiedragers_12
0,bouwtot,1990JJ00,11.69,124,455,16.0,100,1.17,94,20,33,4.5,29.0,7.7
1,bouwtot,1991JJ00,11.93,122,489,15.0,104,1.22,100,21,34,4.5,31.3,8.6
2,bouwtot,1992JJ00,11.77,129,485,14.0,110,0.61,95,22,35,4.1,30.4,4.1
3,bouwtot,1993JJ00,12.39,122,545,10.0,129,0.63,95,21,37,2.7,35.4,4.1
4,bouwtot,1994JJ00,14.09,78,499,10.0,153,2.88,116,15,43,2.3,38.6,17.2
5,bouwtot,1995JJ00,13.07,128,448,11.0,124,1.62,108,25,40,2.7,31.3,9.5
6,bouwtot,1996JJ00,12.06,135,401,7.0,108,1.43,108,26,38,2.3,32.2,9.5
7,bouwtot,1997JJ00,11.63,124,432,6.0,108,1.29,113,25,42,1.8,34.5,9.5
8,bouwtot,1998JJ00,11.65,126,464,5.0,108,1.19,117,25,46,1.4,34.9,9.1
9,bouwtot,1999JJ00,11.4,119,482,4.0,108,1.13,118,25,47,1.4,35.8,9.1
10,bouwnij,1990JJ00,10.23,102,349,14.0,95,1.08,80,16,25,4.1,27.7,6.8
11,bouwnij,1991JJ00,10.29,100,375,11.0,100,1.05,83,16,26,3.2,29.9,7.3
12,bouwnij,1992JJ00,10.02,101,365,10.0,106,0.55,78,16,26,2.7,29.0,3.6
13,bouwnij,1993JJ00,10.65,88,413,9.0,126,0.59,84,15,28,2.3,34.9,3.6
14,bouwnij,1994JJ00,12.4,61,366,9.0,150,2.37,98,12,32,2.3,37.7,14.1
15,bouwnij,1995JJ00,11.25,97,308,10.0,122,1.45,88,19,28,2.7,30.4,8.6
16,bouwnij,1996JJ00,10.66,106,303,6.0,107,1.36,92,20,29,1.8,31.8,9.1
17,bouwnij,1997JJ00,10.38,99,333,6.0,107,1.24,97,19,33,1.8,34.0,9.5
18,bouwnij,1998JJ00,10.36,100,353,5.0,108,1.13,99,19,35,1.4,34.9,8.6
19,bouwnij,1999JJ00,10.15,96,372,3.0,107,1.03,100,19,36,1.4,35.8,8.2
20,bouwins,1990JJ00,1.47,22,105,2.2,5,0.09,15,5,8,0.6,1.4,0.5
21,bouwins,1991JJ00,1.64,22,114,3.7,5,0.17,17,5,8,1.1,1.4,1.2
22,bouwins,1992JJ00,1.75,28,121,3.7,5,0.07,17,6,9,1.0,1.3,0.5
23,bouwins,1993JJ00,1.74,33,132,1.0,3,0.04,11,6,9,0.3,0.8,0.3
24,bouwins,1994JJ00,1.69,17,133,0.9,3,0.5,18,3,11,0.2,0.8,3.0
25,bouwins,1995JJ00,1.82,31,140,0.9,3,0.2,20,6,12,0.2,0.7,1.0
26,bouwins,1996JJ00,1.4,29,98,0.6,1,0.06,16,6,10,0.2,0.2,0.4
27,bouwins,1997JJ00,1.25,25,99,0.3,1,0.06,16,6,10,0.1,0.2,0.4
28,bouwins,1998JJ00,1.29,26,112,0.3,0,0.06,18,6,11,0.1,0.0,0.5
29,bouwins,1999JJ00,1.25,23,110,0.2,0,0.1,18,6,11,0.1,0.0,0.8
