ID,Energie,Perioden,Invoerwaarde_1,Uitvoerwaarde_2
0,11,1996MM01,903503.0,1099602.0
1,11,1996MM02,811467.0,1061133.0
2,11,1996MM03,867150.0,1165039.0
3,11,1996MM04,964179.0,980238.0
4,11,1996MM05,921469.0,933000.0
5,11,1996MM06,818394.0,871592.0
6,11,1996MM07,946131.0,917466.0
7,11,1996MM08,956910.0,829509.0
8,11,1996MM09,961854.0,993086.0
9,11,1996MM10,1183195.0,1043720.0
10,11,1996MM11,1243199.0,1163253.0
11,11,1996MM12,1244352.0,1443279.0
12,11,1996JJ00,11821803.0,12500917.0
13,11,1997MM01,1263841.0,1483249.0
14,11,1997MM02,1126234.0,1125071.0
15,11,1997MM03,1040008.0,1118335.0
16,11,1997MM04,1110823.0,1093773.0
17,11,1997MM05,1066906.0,1049745.0
18,11,1997MM06,1027142.0,977179.0
19,11,1997MM07,1162268.0,999311.0
20,11,1997MM08,1229567.0,1029595.0
21,11,1997MM09,1030812.0,997239.0
22,11,1997MM10,1137364.0,1106575.0
23,11,1997MM11,1035745.0,1165709.0
24,11,1997MM12,950523.0,1201012.0
25,11,1997JJ00,13181233.0,13346793.0
26,11,1998MM01,1008859.0,1176331.0
27,11,1998MM02,923307.0,987442.0
28,11,1998MM03,934229.0,1101516.0
29,11,1998MM04,919552.0,959305.0
30,11,1998MM05,860100.0,834851.0
31,11,1998MM06,811871.0,801711.0
32,11,1998MM07,831350.0,845805.0
33,11,1998MM08,845890.0,793236.0
34,11,1998MM09,836797.0,787705.0
35,11,1998MM10,795463.0,846103.0
36,11,1998MM11,659308.0,920790.0
37,11,1998MM12,683001.0,945665.0
38,11,1998JJ00,10109727.0,11000460.0
39,11,1999MM01,782082.0,868630.0
40,11,1999MM02,662335.0,829362.0
41,11,1999MM03,863192.0,940820.0
42,11,1999MM04,904446.0,864601.0
43,11,1999MM05,941917.0,784177.0
44,11,1999MM06,946044.0,801347.0
45,11,1999MM07,1166749.0,867311.0
46,11,1999MM08,1067870.0,969127.0
47,11,1999MM09,1245918.0,1022887.0
48,11,1999MM10,1210834.0,1153668.0
49,11,1999MM11,1368458.0,1363257.0
50,11,1999MM12,1498540.0,1572161.0
51,11,1999JJ00,12658385.0,12037348.0
52,11,2000MM01,1676335.0,1635747.0
53,11,2000MM02,1779022.0,1695071.0
54,11,2000MM03,1633954.0,1736994.0
55,11,2000MM04,1624734.0,1554095.0
56,11,2000MM05,1726188.0,1651107.0
57,11,2000MM06,2030601.0,1661442.0
58,11,2000MM07,2011803.0,1751460.0
59,11,2000MM08,1837650.0,1718696.0
60,11,2000MM09,2294625.0,1834642.0
61,11,2000MM10,2122927.0,1991927.0
62,11,2000MM11,2163550.0,2184815.0
63,11,2000MM12,2023990.0,2026988.0
64,11,2000JJ00,22925379.0,21442984.0
65,11,2001MM01,2061056.0,2316325.0
66,11,2001MM02,1791399.0,2057360.0
67,11,2001MM03,2028620.0,2131895.0
68,11,2001MM04,1928278.0,2216432.0
69,11,2001MM05,2234956.0,2216017.0
70,11,2001MM06,2043682.0,1864355.0
71,11,2001MM07,2067987.0,1806194.0
72,11,2001MM08,1975651.0,1767091.0
73,11,2001MM09,1794104.0,1888455.0
74,11,2001MM10,1578711.0,1778113.0
75,11,2001MM11,1676300.0,1772509.0
76,11,2001MM12,1597022.0,1831337.0
77,11,2001JJ00,22777766.0,23646083.0
78,11,2002MM01,1588485.0,1802156.0
79,11,2002MM02,1688543.0,1630870.0
80,11,2002MM03,1964577.0,1847180.0
81,11,2002MM04,1815000.0,1765670.0
82,11,2002MM05,1942141.0,1684053.0
83,11,2002MM06,1846152.0,1691290.0
84,11,2002MM07,1544338.0,1542671.0
85,11,2002MM08,1785750.0,1513088.0
86,11,2002MM09,1828098.0,1764082.0
87,11,2002MM10,1946125.0,1854750.0
88,11,2002MM11,1741686.0,1635558.0
89,11,2002MM12,2039320.0,2173731.0
90,11,2002JJ00,21730215.0,20905099.0
91,11,2003MM01,1939184.0,2185080.0
92,11,2003MM02,1940689.0,2136917.0
93,11,2003MM03,2175570.0,2121789.0
94,11,2003MM04,1941544.0,1588809.0
95,11,2003MM05,1761422.0,1524219.0
96,11,2003MM06,1790178.0,1532435.0
97,11,2003MM07,1788330.0,1527532.0
98,11,2003MM08,2029570.0,1486054.0
99,11,2003MM09,1731192.0,1483832.0
100,11,2003MM10,1801022.0,1950319.0
101,11,2003MM11,1709818.0,1813506.0
102,11,2003MM12,1876421.0,1964054.0
103,11,2003JJ00,22484940.0,21314546.0
104,11,2004MM01,1921389.0,2010577.0
105,11,2004MM02,1868096.0,1874054.0
106,11,2004MM03,2130672.0,2078311.0
107,11,2004MM04,2052718.0,1824085.0
108,11,2004MM05,2283554.0,1928987.0
109,11,2004MM06,2377168.0,1782864.0
110,11,2004MM07,2452264.0,2013819.0
111,11,2004MM08,2768416.0,2056934.0
112,11,2004MM09,2609345.0,2135515.0
113,11,2004MM10,2694922.0,2379893.0
114,11,2004MM11,2531748.0,2391715.0
115,11,2004MM12,2427331.0,2435514.0
116,11,2004JJ00,28117623.0,24912268.0
117,11,2005MM01,2548585.0,2613809.0
118,11,2005MM02,2478658.0,2441823.0
119,11,2005MM03,3067190.0,2520903.0
120,11,2005MM04,2884094.0,2628895.0
121,11,2005MM05,2919182.0,2535766.0
122,11,2005MM06,3012669.0,2380371.0
123,11,2005MM07,3370679.0,2515873.0
124,11,2005MM08,3426580.0,2721101.0
125,11,2005MM09,3541570.0,2998720.0
126,11,2005MM10,3639614.0,3101015.0
127,11,2005MM11,3668338.0,3505450.0
128,11,2005MM12,3701985.0,3623138.0
129,11,2005JJ00,38259144.0,33586864.0
130,11,2006MM01,4024177.0,3932760.0
131,11,2006MM02,3523597.0,3785515.0
132,11,2006MM03,4122623.0,4434634.0
133,11,2006MM04,3883684.0,3756251.0
134,11,2006MM05,4407970.0,3563252.0
135,11,2006MM06,4338637.0,3585101.0
136,11,2006MM07,4478830.0,3426354.0
137,11,2006MM08,4698177.0,3813223.0
138,11,2006MM09,4165039.0,3196458.0
139,11,2006MM10,4227432.0,3670283.0
140,11,2006MM11,3770741.0,3730721.0
141,11,2006MM12,3678331.0,3974107.0
142,11,2006JJ00,49319238.0,44868659.0
143,11,2007MM01,3651605.0,3521142.0
144,11,2007MM02,3603218.0,3326239.0
145,11,2007MM03,3978032.0,3513457.0
146,11,2007MM04,4063375.0,3582759.0
147,11,2007MM05,4645687.0,3498197.0
148,11,2007MM06,4183116.0,3559222.0
149,11,2007MM07,4333949.0,3707030.0
150,11,2007MM08,4406154.0,3639606.0
151,11,2007MM09,4390434.0,3793288.0
152,11,2007MM10,4217665.0,4313129.0
153,11,2007MM11,5091177.0,4844425.0
154,11,2007MM12,4857710.0,5034958.0
155,11,2007JJ00,51422122.0,46333452.0
156,11,2008MM01,5119676.0,4903668.0
157,11,2008MM02,4737614.0,5027883.0
158,11,2008MM03,5425255.0,5145502.0
159,11,2008MM04,5195396.0,5370230.0
160,11,2008MM05,5779583.0,4767547.0
161,11,2008MM06,6298652.0,5455023.0
162,11,2008MM07,6175944.0,5237924.0
163,11,2008MM08,6217653.0,5357557.0
164,11,2008MM09,6086619.0,5403917.0
165,11,2008MM10,5060250.0,5437243.0
166,11,2008MM11,3950207.0,4408174.0
167,11,2008MM12,3096398.0,3867326.0
168,11,2008JJ00,63143247.0,60381994.0
169,11,2009MM01,3287215.0,4120723.0
170,11,2009MM02,2970037.0,3651816.0
171,11,2009MM03,3436547.0,3345040.0
172,11,2009MM04,3339099.0,3002763.0
173,11,2009MM05,3661160.0,3090877.0
174,11,2009MM06,3675026.0,2821673.0
175,11,2009MM07,3917675.0,3212056.0
176,11,2009MM08,3942501.0,3352410.0
177,11,2009MM09,3848079.0,3206144.0
178,11,2009MM10,3993974.0,3464947.0
179,11,2009MM11,3977059.0,3820635.0
180,11,2009MM12,4406890.0,3959591.0
181,11,2009JJ00,44455262.0,41048675.0
182,11,2010MM01,4827736.0,4183320.0
183,11,2010MM02,4507189.0,4285128.0
184,11,2010MM03,5249062.0,4874043.0
185,11,2010MM04,5009908.0,4317950.0
186,11,2010MM05,5195771.0,4374064.0
187,11,2010MM06,5079423.0,4178154.0
188,11,2010MM07,5531062.0,4417888.0
189,11,2010MM08,5109363.0,4458840.0
190,11,2010MM09,4773753.0,4419393.0
191,11,2010MM10,5347125.0,4625557.0
192,11,2010MM11,5379543.0,5126943.0
193,11,2010MM12,6114549.0,5842767.0
194,11,2010JJ00,62124484.0,55104047.0
195,11,2011MM01,6346091.0,6002001.0
196,11,2011MM02,5900935.0,6050704.0
