ID,Perioden,k_500M3_1,k_2000M3_2,k_50000M3_3,k_150000M3_4,k_250000M3_5,k_500000M3_6,k_1000000M3_7,k_5000000M3_8,k_10000000M3_9,k_25000000M3_10,k_1000000M3_11,k_10000000M3_12,k_25000000M3_13,k_1000000M3_14,k_10000000M3_15,k_25000000M3_16,k_2000KWhEnkeltarief_17,k_2000KWhDubbeltarief_18,k_3000KWhEnkeltarief_19,k_3000KWhDubbeltarief_20,k_50000KWh_21,k_150000KWh_22,k_1500000KWh_23,k_3000000KWh_24,k_500000KWh_25,k_5000000KWh_26,k_10000000KWh_27
0,1996JJ00,276,218,208,207,177.0,149.0,134.0,116.0,109.0,98.0,,,,,,,105,100,103,94,96.0,87.0,83.0,82.0,54.0,53.0,52.0
1,1997KW01,295,244,239,239,202.0,166.0,147.0,126.0,118.0,108.0,,,,,,,107,101,104,95,97.0,92.0,84.0,83.0,57.0,54.0,53.0
2,1997KW02,295,244,239,239,203.0,167.0,150.0,128.0,122.0,111.0,,,,,,,107,101,104,95,97.0,92.0,84.0,83.0,57.0,54.0,53.0
3,1997KW03,304,254,248,248,207.0,166.0,145.0,122.0,114.0,103.0,,,,,,,107,102,105,96,97.0,93.0,84.0,83.0,57.0,54.0,54.0
4,1997KW04,304,254,248,248,207.0,166.0,145.0,122.0,115.0,103.0,,,,,,,107,102,105,96,97.0,93.0,84.0,83.0,57.0,54.0,54.0
5,1997JJ00,299,248,243,243,203.0,164.0,146.0,124.0,117.0,106.0,,,,,,,107,102,104,96,97.0,92.0,84.0,83.0,57.0,54.0,53.0
6,1998KW01,301,258,257,257,215.0,173.0,152.0,128.0,121.0,110.0,,,,,,,108,103,105,97,98.0,93.0,84.0,83.0,57.0,54.0,54.0
7,1998KW02,301,258,257,257,213.0,170.0,147.0,123.0,116.0,104.0,,,,,,,108,103,105,97,98.0,93.0,84.0,84.0,57.0,54.0,54.0
8,1998KW03,289,245,245,245,202.0,160.0,138.0,115.0,108.0,96.0,,,,,,,108,103,105,97,98.0,93.0,84.0,83.0,57.0,54.0,54.0
9,1998KW04,289,245,245,245,201.0,157.0,135.0,111.0,103.0,92.0,,,,,,,108,103,105,97,98.0,93.0,84.0,83.0,57.0,54.0,54.0
10,1998JJ00,296,253,252,252,205.0,166.0,147.0,124.0,118.0,106.0,,,,,,,108,103,105,97,98.0,93.0,84.0,83.0,57.0,54.0,54.0
11,1999KW01,273,253,239,238,194.0,152.0,132.0,106.0,98.0,87.0,,,,,,,114,109,113,103,100.0,94.0,85.0,85.0,58.0,54.0,54.0
12,1999KW02,273,253,239,238,193.0,151.0,130.0,103.0,96.0,84.0,,,,,,,114,109,113,103,100.0,94.0,85.0,85.0,58.0,54.0,54.0
13,1999KW03,263,243,229,228,188.0,152.0,133.0,109.0,102.0,90.0,,,,,,,114,109,113,104,100.0,94.0,85.0,85.0,58.0,54.0,54.0
14,1999KW04,263,243,229,228,194.0,163.0,147.0,126.0,118.0,108.0,,,,,,,114,109,113,104,100.0,94.0,85.0,85.0,58.0,54.0,54.0
15,1999JJ00,269,249,236,234,192.0,154.0,135.0,111.0,103.0,92.0,,,,,,,114,109,113,104,100.0,94.0,85.0,85.0,58.0,54.0,54.0
16,2000KW01,284,275,250,247,214.0,184.0,169.0,145.0,137.0,126.0,,136.0,133.0,,116.0,113.0,127,121,126,118,102.0,100.0,87.0,,64.0,60.0,
17,2000KW02,284,275,250,247,219.0,194.0,182.0,159.0,152.0,141.0,,151.0,148.0,,131.0,128.0,127,121,126,118,102.0,100.0,87.0,,64.0,60.0,
18,2000KW03,298,283,257,255,231.0,205.0,192.0,169.0,162.0,151.0,,161.0,158.0,,140.0,137.0,133,127,131,123,106.0,104.0,92.0,,69.0,64.0,
19,2000KW04,298,283,257,255,235.0,212.0,201.0,179.0,172.0,161.0,,171.0,168.0,,150.0,147.0,133,127,131,123,106.0,104.0,92.0,,69.0,64.0,
20,2000JJ00,290,278,253,250,225.0,199.0,186.0,163.0,156.0,145.0,,155.0,152.0,,134.0,131.0,130,124,128,120,104.0,102.0,89.0,,66.0,62.0,
21,2001KW01,436,358,275,270,254.0,232.0,221.0,197.0,190.0,178.0,,188.0,185.0,,167.0,164.0,170,166,162,155,112.0,109.0,92.0,,74.0,67.0,
22,2001KW02,426,357,278,273,251.0,226.0,214.0,189.0,182.0,170.0,,164.0,160.0,,143.0,140.0,160,156,152,145,112.0,109.0,92.0,,74.0,67.0,
23,2001KW03,440,371,292,287,255.0,221.0,203.0,174.0,166.0,154.0,,165.0,162.0,,144.0,141.0,166,162,159,151,108.0,105.0,88.0,,71.0,64.0,
24,2001KW04,429,361,281,276,254.0,218.0,200.0,170.0,162.0,150.0,,155.0,152.0,,135.0,131.0,164,160,156,149,108.0,105.0,88.0,,71.0,64.0,
