ID,Aardoliegrondstoffen,Perioden,Beginvoorraad_1,Winning_2,RechtstreekseInvoer_3,EntrepotuitslagNaarHetBinnenland_4,RechstreekseUitvoer_5,EntrepotopslagHerkomstNederland_6,Verwerking_7,StatistischVerschil_8,Eindvoorraad_9,Beginvoorraad_10,EntrepotopslagHerkomstBuitenland_11,EntrepotopslagHerkomstNederland_12,Entrepotuitvoer_13,EntrepotuitslagNaarHetBinnenland_14,VerbruikVoorBlending_15,StatistischVerschil_16,Eindvoorraad_17
0,a,1944JJ00,,2000.0,,,,,,,,,,,,,,,
1,a,1945JJ00,,6000.0,,,,,,,,,,,,,,,
2,a,1946JJ00,,63000.0,,,,,437000.0,,,,,,,,,,
3,a,1947JJ00,,213000.0,,,,,1198000.0,,,,,,,,,,
4,a,1948JJ00,,496000.0,,,,,1663000.0,,,,,,,,,,
5,a,1949JJ00,,621000.0,,,,,3093000.0,,,,,,,,,,
6,a,1950JJ00,,705000.0,5132000.0,,,,5778000.0,,,,,,,,,,
7,a,1951JJ00,,714000.0,6419000.0,,,,7174000.0,,,,,,,,,,
8,a,1952JJ00,,715000.0,7468000.0,,,,8039000.0,,,,,,,,,,
9,a,1953JJ00,,820000.0,8690000.0,,,,9364000.0,,,,,,,,,,
10,a,1954JJ00,,939000.0,10321000.0,,,,11378000.0,,,,,,,,,,
11,a,1955JJ00,,1024000.0,11779000.0,,,,12884000.0,,,,,,,,,,
12,a,1956JJ00,,1097000.0,13672000.0,,,,14562000.0,,,,,,,,,,
13,a,1957JJ00,,1523000.0,14007000.0,,,,15334000.0,,,,,,,,,,
14,a,1958JJ00,,1621000.0,14272000.0,,,,16107000.0,,,,,,,,,,
15,a,1959JJ00,,1773000.0,14874000.0,,,,16621000.0,,,,,,,,,,
16,a,1960JJ00,,1918000.0,18873000.0,,54000.0,,20499000.0,,,,,,,,,,
17,a,1961JJ00,,2047000.0,19162000.0,,18000.0,,21492000.0,,,,,,,,,,
18,a,1962JJ00,,2157000.0,22256000.0,,,,24237000.0,,,,,,,,,,
19,a,1963JJ00,,2215000.0,22986000.0,,336000.0,,24955000.0,,,,,,,,,,
20,a,1964JJ00,,2269000.0,26471000.0,,12000.0,,28489000.0,,,,,,,,,,
21,a,1965JJ00,,2395000.0,28723000.0,,148000.0,,31210000.0,,,,,,,,,,
22,a,1966JJ00,,2366000.0,31760000.0,,1000.0,,33962000.0,,,,,,,,,,
23,a,1967JJ00,,2265000.0,33787000.0,,18000.0,,35225000.0,,,,,,,,,,
24,a,1968JJ00,,2147000.0,38188000.0,,58000.0,,39647000.0,,,,,,,,,,
25,a,1969JJ00,,2020000.0,50775000.0,,495000.0,,51918000.0,,,,,,,,,,
26,a,1970JJ00,,1919000.0,60130000.0,,14000.0,,62205000.0,,,,,,,,,,
27,a,1971JJ00,,1714000.0,60732000.0,,1000.0,,61278000.0,,,,,,,,,,
