ID,Bedrijfsgroepen,WarmtekrachtkoppelingWKK,TypenInstallatie,Perioden,InzetTotaal_1,InzetVanAardgas_2,InzetVanStookolie_3,InzetVanSteenkool_4,InzetVanOverigeBrandstoffen_5,InzetTotaal_6,InzetVanAardgas_7,InzetVanStookolie_8,InzetVanSteenkool_9,InzetVanOverigeBrandstoffen_10,ProductieTotaal_11,ProductieVanElektriciteit_12,ProductieVanWarmte_13,ProductieTotaal_14,ProductieVanElektriciteit_15,ProductieVanWarmte_16,ElektrischVermogen_17,ThermischVermogen_18,Installaties_19
0,E007022,E007102,E007102,1998JJ00,917304.0,15955966.0,411338.0,9279196.0,169784.0,917304.0,505006.0,16875.0,225639.0,169784.0,543666.0,92006273.0,212443.0,543666.0,331223.0,212443.0,20043.0,59842535.0,5140.0
1,E007022,E007102,E007102,1999JJ00,873424.0,15927464.0,373432.0,7480738.0,167459.0,873424.0,504104.0,15316.0,186545.0,167459.0,523993.0,87617304.0,208570.0,523993.0,315422.0,208570.0,20420.0,59267556.0,5274.0
2,E007022,E007102,E007102,2000JJ00,898064.0,15887395.0,360033.0,8650888.0,169703.0,898064.0,502836.0,14765.0,210759.0,169703.0,544265.0,90180577.0,219615.0,544265.0,324650.0,219615.0,20782.0,60423880.0,5322.0
3,E007022,E007102,E007102,2001JJ00,941190.0,16696246.0,361313.0,9189188.0,173194.0,941190.0,528436.0,14820.0,224740.0,173194.0,552063.0,94072426.0,213402.0,552063.0,338661.0,213402.0,20465.0,59507711.0,5265.0
4,E007022,E007102,E007102,2002JJ00,946736.0,16746385.0,368503.0,9180651.0,174020.0,946736.0,530023.0,15110.0,227583.0,174020.0,555856.0,95082892.0,213558.0,555856.0,342298.0,213558.0,20592.0,59123994.0,5273.0
5,E007022,E007102,E007102,2003JJ00,969785.0,17269681.0,385744.0,9211691.0,176773.0,969785.0,546585.0,15847.0,230580.0,176773.0,566507.0,98140305.0,213202.0,566507.0,353305.0,213202.0,20908.0,59602550.0,5236.0
6,E007022,E007102,E007102,2004JJ00,988034.0,18213580.0,372856.0,8821853.0,175030.0,988034.0,576460.0,15306.0,221237.0,175030.0,583869.0,102144798.0,216147.0,583869.0,367721.0,216147.0,21505.0,60497754.0,5329.0
7,E007022,E007102,E007102,2005JJ00,983898.0,17715753.0,285894.0,8247598.0,204387.0,983898.0,560704.0,11744.0,207063.0,204387.0,583571.0,100768710.0,220804.0,583571.0,362767.0,220804.0,21978.0,61748556.0,5490.0
8,E007022,E007102,E007102,2006JJ00,951468.0,17135108.0,270911.0,8236830.0,193224.0,951468.0,542326.0,11123.0,204795.0,193224.0,576359.0,98834621.0,220554.0,576359.0,355805.0,220554.0,22982.0,65007096.0,5955.0
9,E007022,E007102,E007102,2007JJ00,1001336.0,18263811.0,278865.0,8669089.0,197372.0,1001336.0,578050.0,11444.0,214470.0,197372.0,606168.0,105644720.0,225847.0,606168.0,380321.0,225847.0,23818.0,67226560.0,6370.0
10,E007022,E007102,E007102,2008JJ00,1033459.0,19293735.0,282817.0,8223912.0,208692.0,1033459.0,610647.0,11252.0,202868.0,208692.0,632699.0,108215070.0,243124.0,632699.0,389574.0,243124.0,24885.0,69994272.0,6756.0
11,E007022,E007102,E007102,2009JJ00,1031680.0,19613917.0,13512.0,8405034.0,201842.0,1031680.0,620780.0,577.0,208481.0,201842.0,625171.0,113502836.0,216560.0,625171.0,408610.0,216560.0,25314.0,70829897.0,6583.0
12,E007022,E007102,E007102,2010JJ00,1076104.0,20987038.0,12220.0,7874980.0,215902.0,1076104.0,664240.0,522.0,195440.0,215902.0,656960.0,118139044.0,231660.0,656960.0,425301.0,231660.0,26608.0,68001611.0,6454.0
13,E007022,E007102,E007102,2011JJ00,1006840.0,18979953.0,9557.0,7398919.0,223588.0,1006840.0,600716.0,408.0,182128.0,223588.0,631248.0,112965935.0,224571.0,631248.0,406677.0,224571.0,28048.0,68601060.0,6461.0
14,E007022,E007102,E007102,2012JJ00,952860.0,16139031.0,10127.0,8567717.0,230206.0,952860.0,510800.0,432.0,211422.0,230206.0,594340.0,102505556.0,225320.0,594340.0,369020.0,225320.0,29930.0,69038853.0,6453.0
15,E007022,E007102,E007102,2013JJ00,927909.0,15695009.0,22316.0,8834289.0,209499.0,927909.0,496747.0,953.0,220710.0,209499.0,582833.0,100875336.0,219682.0,582833.0,363151.0,219682.0,31540.0,66744225.0,6501.0
16,E007022,E007102,E007102,2014JJ00,931573.0,14379027.0,78420.0,10194188.0,218029.0,931573.0,455096.0,3341.0,255106.0,218029.0,570396.0,103417851.0,198092.0,570396.0,372304.0,198092.0,33314.0,66583199.0,6494.0
17,E007022,E007102,E007102,2015JJ00,965161.0,13248407.0,18553.0,13476002.0,208420.0,965161.0,419312.0,798.0,336632.0,208420.0,583961.0,110213427.0,187193.0,583961.0,396768.0,187193.0,31661.0,61114236.0,5282.0
18,E007022,E007102,E007102,2016JJ00,964518.0,14313721.0,12780.0,12084748.0,206277.0,964518.0,453029.0,550.0,304662.0,206277.0,593377.0,115158408.0,178807.0,593377.0,414570.0,178807.0,33246.0,61234021.0,5298.0
19,E007022,E007102,E007102,2017JJ00,944761.0,15350684.0,11547.0,10239549.0,201920.0,944761.0,485849.0,497.0,256496.0,201920.0,602765.0,117167739.0,180961.0,602765.0,421804.0,180961.0,32898.0,58425393.0,5128.0
20,E007022,E007102,E007102,2018JJ00,890064.0,15038024.0,11775.0,8741438.0,192140.0,890064.0,475953.0,506.0,221465.0,192140.0,582633.0,114379713.0,170866.0,582633.0,411767.0,170866.0,34805.0,58503315.0,5176.0
21,E007022,E007102,E007102,2019JJ00,905719.0,17406382.0,18558.0,5876467.0,207381.0,905719.0,550912.0,794.0,146631.0,207381.0,611909.0,121408002.0,174840.0,611909.0,437069.0,174840.0,36845.0,59290536.0,5116.0
22,E007022,E007102,E007102,2020JJ00,860412.0,17771852.0,8958.0,2546388.0,233688.0,860412.0,562479.0,383.0,63862.0,233688.0,615363.0,123278130.0,171561.0,615363.0,443801.0,171561.0,42975.0,63099921.0,5502.0
23,E007022,E007102,E007102,2021JJ00,837171.0,14637323.0,11954.0,4750766.0,254924.0,837171.0,463271.0,512.0,118464.0,254924.0,613255.0,122170454.0,173441.0,613255.0,439814.0,173441.0,47731.0,62860174.0,1735964.0
24,E007022,E007102,E007102,2022JJ00,764547.0,12392329.0,9581.0,4855978.0,251477.0,764547.0,392217.0,411.0,120442.0,251477.0,592636.0,121574890.0,154966.0,592636.0,437670.0,154966.0,51531.0,62774900.0,2304788.0
25,E007022,E007102,E007102,2023JJ00,669029.0,12011870.0,8567.0,2893188.0,217156.0,669029.0,380176.0,368.0,71330.0,217156.0,582801.0,121640671.0,144895.0,582801.0,437906.0,144895.0,58298.0,63543190.0,2824823.0
26,E007022,E007102,E007102,2024JJ00,627807.0,11458632.0,12262.0,2487863.0,204192.0,627807.0,362666.0,526.0,60422.0,204192.0,590252.0,123843937.0,144414.0,590252.0,445838.0,144414.0,62184.0,63416778.0,3173533.0
27,E007022,E007102,E007114,1998JJ00,56322.0,1717849.0,814.0,,1918.0,56322.0,54370.0,35.0,,1918.0,46179.0,5206390.0,27436.0,46179.0,18743.0,27436.0,1487.0,8016984.0,3680.0
28,E007022,E007102,E007114,1999JJ00,59048.0,1802698.0,951.0,,1952.0,59048.0,57055.0,41.0,,1952.0,48008.0,5429222.0,28463.0,48008.0,19545.0,28463.0,1550.0,8342053.0,3761.0
29,E007022,E007102,E007114,2000JJ00,59494.0,1821318.0,674.0,,1821.0,59494.0,57645.0,29.0,,1821.0,48206.0,5525016.0,28316.0,48206.0,19890.0,28316.0,1582.0,8495428.0,3770.0
30,E007022,E007102,E007114,2001JJ00,56599.0,1728111.0,111.0,,1900.0,56599.0,54695.0,5.0,,1900.0,45494.0,5216054.0,26716.0,45494.0,18778.0,26716.0,1556.0,8321714.0,3667.0
31,E007022,E007102,E007114,2002JJ00,55918.0,1703259.0,,,2010.0,55918.0,53908.0,,,2010.0,44984.0,5161799.0,26401.0,44984.0,18582.0,26401.0,1539.0,8194697.0,3571.0
32,E007022,E007102,E007114,2003JJ00,55082.0,1674521.0,,,2083.0,55082.0,52999.0,,,2083.0,44858.0,5145373.0,26334.0,44858.0,18523.0,26334.0,1513.0,8007429.0,3387.0
33,E007022,E007102,E007114,2004JJ00,52914.0,1602287.0,,,2202.0,52914.0,50712.0,,,2202.0,43644.0,4940602.0,25858.0,43644.0,17786.0,25858.0,1592.0,8426657.0,3433.0
34,E007022,E007102,E007114,2005JJ00,56548.0,1723803.0,,,1990.0,56548.0,54558.0,,,1990.0,47286.0,5298078.0,28213.0,47286.0,19073.0,28213.0,1795.0,9467811.0,3540.0
35,E007022,E007102,E007114,2006JJ00,65693.0,2007680.0,,,2150.0,65693.0,63543.0,,,2150.0,55988.0,6259237.0,33455.0,55988.0,22533.0,33455.0,2396.0,12530002.0,3887.0
36,E007022,E007102,E007114,2007JJ00,100270.0,3038950.0,,,4087.0,100270.0,96183.0,,,4087.0,81312.0,9476024.0,47199.0,81312.0,34114.0,47199.0,3037.0,15241770.0,4241.0
37,E007022,E007102,E007114,2008JJ00,131992.0,3990768.0,,,5685.0,131992.0,126308.0,,,5685.0,108057.0,12999742.0,61258.0,108057.0,46799.0,61258.0,3492.0,17253778.0,4484.0
38,E007022,E007102,E007114,2009JJ00,135226.0,4041242.0,,,7321.0,135226.0,127905.0,,,7321.0,110241.0,13718691.0,60854.0,110241.0,49387.0,60854.0,3618.0,17608857.0,4384.0
39,E007022,E007102,E007114,2010JJ00,138951.0,4100653.0,,,9165.0,138951.0,129786.0,,,9165.0,112601.0,14065979.0,61964.0,112601.0,50638.0,61964.0,3605.0,17533549.0,4254.0
40,E007022,E007102,E007114,2011JJ00,131640.0,3873271.0,,,9051.0,131640.0,122589.0,,,9051.0,106562.0,13575474.0,57690.0,106562.0,48872.0,57690.0,3609.0,17521998.0,4256.0
41,E007022,E007102,E007114,2012JJ00,123702.0,3534998.0,,,11819.0,123702.0,111883.0,,,11819.0,103217.0,12657040.0,57652.0,103217.0,45565.0,57652.0,3611.0,17546791.0,4253.0
42,E007022,E007102,E007114,2013JJ00,120833.0,3450407.0,,,11628.0,120833.0,109205.0,,,11628.0,99635.0,12293834.0,55377.0,99635.0,44258.0,55377.0,3527.0,17140786.0,4217.0
43,E007022,E007102,E007114,2014JJ00,105433.0,2985736.0,13.0,,10934.0,105433.0,94499.0,1.0,,10934.0,90188.0,11333922.0,49386.0,90188.0,40802.0,49386.0,3517.0,17080560.0,4199.0
44,E007022,E007102,E007114,2015JJ00,104879.0,2945737.0,2.0,,11646.0,104879.0,93233.0,0.0,,11646.0,89200.0,11295583.0,48535.0,89200.0,40664.0,48535.0,3128.0,14549139.0,2914.0
45,E007022,E007102,E007114,2016JJ00,95774.0,2675951.0,3.0,,11080.0,95774.0,84694.0,0.0,,11080.0,81884.0,10395855.0,44459.0,81884.0,37425.0,44459.0,3263.0,14642415.0,2767.0
46,E007022,E007102,E007114,2017JJ00,101578.0,2888700.0,8.0,,10151.0,101578.0,91427.0,0.0,,10151.0,87695.0,11035148.0,47969.0,87695.0,39727.0,47969.0,3207.0,14380803.0,2653.0
47,E007022,E007102,E007114,2018JJ00,103980.0,2970880.0,8.0,,9951.0,103980.0,94028.0,0.0,,9951.0,90146.0,11313545.0,49418.0,90146.0,40729.0,49418.0,3198.0,14377059.0,2656.0
48,E007022,E007102,E007114,2019JJ00,110254.0,3176402.0,8.0,,9720.0,110254.0,100533.0,0.0,,9720.0,96317.0,12127190.0,52659.0,96317.0,43658.0,52659.0,3135.0,14158080.0,2583.0
49,E007022,E007102,E007114,2020JJ00,107301.0,3085832.0,,,9635.0,107301.0,97667.0,,,9635.0,94298.0,11792555.0,51845.0,94298.0,42453.0,51845.0,3158.0,14440038.0,2678.0
50,E007022,E007102,E007114,2021JJ00,115149.0,3308944.0,13.0,,10421.0,115149.0,104728.0,1.0,,10421.0,101350.0,12588264.0,56032.0,101350.0,45318.0,56032.0,3212.0,14794374.0,2692.0
51,E007022,E007102,E007114,2022JJ00,85561.0,2387530.0,,,9995.0,85561.0,75565.0,,,9995.0,74682.0,9294521.0,41222.0,74682.0,33460.0,41222.0,3284.0,15118888.0,2772.0
52,E007022,E007102,E007114,2023JJ00,94371.0,2721078.0,,,8249.0,94371.0,86122.0,,,8249.0,82191.0,10295848.0,45126.0,82191.0,37065.0,45126.0,3300.0,15505467.0,2751.0
53,E007022,E007102,E007114,2024JJ00,97224.0,2857800.0,,,6774.0,97224.0,90449.0,,,6774.0,85031.0,10576340.0,46956.0,85031.0,38075.0,46956.0,3330.0,15865423.0,2762.0
54,E007022,E007102,E007111,1998JJ00,419441.0,3019220.0,358339.0,9279196.0,83552.0,419441.0,95558.0,14692.0,225639.0,83552.0,189651.0,41034927.0,41926.0,189651.0,147726.0,41926.0,10491.0,14276157.0,86.0
55,E007022,E007102,E007111,1999JJ00,354775.0,2100162.0,350860.0,7480738.0,87375.0,354775.0,66470.0,14386.0,186545.0,87375.0,163712.0,33284363.0,43888.0,163712.0,119824.0,43888.0,10503.0,15407197.0,84.0
56,E007022,E007102,E007111,2000JJ00,368181.0,1791199.0,342383.0,8650888.0,86692.0,368181.0,56691.0,14038.0,210759.0,86692.0,168792.0,34549428.0,44414.0,168792.0,124378.0,44414.0,10521.0,15184197.0,83.0
57,E007022,E007102,E007111,2001JJ00,426552.0,3040777.0,342395.0,9189188.0,91533.0,426552.0,96241.0,14038.0,224740.0,91533.0,191285.0,41375437.0,42333.0,191285.0,148952.0,42333.0,10209.0,14601207.0,78.0
58,E007022,E007102,E007111,2002JJ00,435716.0,3148654.0,356472.0,9180651.0,93863.0,435716.0,99655.0,14615.0,227583.0,93863.0,194376.0,42082605.0,42879.0,194376.0,151497.0,42879.0,10209.0,14601207.0,78.0
59,E007022,E007102,E007111,2003JJ00,452409.0,3610409.0,367501.0,9211691.0,92491.0,452409.0,114269.0,15068.0,230580.0,92491.0,201195.0,44448062.0,41182.0,201195.0,160013.0,41182.0,10215.0,14601207.0,79.0
60,E007022,E007102,E007111,2004JJ00,439348.0,3403009.0,361480.0,8821853.0,95585.0,439348.0,107705.0,14821.0,221237.0,95585.0,196005.0,43554227.0,39210.0,196005.0,156795.0,39210.0,9712.0,14237526.0,76.0
61,E007022,E007102,E007111,2005JJ00,415741.0,2851680.0,273389.0,7871633.0,116631.0,415741.0,90256.0,11230.0,197624.0,116631.0,182456.0,40434493.0,36891.0,182456.0,145564.0,36891.0,9470.0,14343526.0,72.0
62,E007022,E007102,E007111,2006JJ00,404461.0,2692047.0,258447.0,7789571.0,114972.0,404461.0,85203.0,10612.0,193674.0,114972.0,178488.0,39045534.0,37924.0,178488.0,140564.0,37924.0,9470.0,14343526.0,72.0
63,E007022,E007102,E007111,2007JJ00,420640.0,3134329.0,270027.0,8195249.0,107611.0,420640.0,99202.0,11080.0,202748.0,107611.0,186722.0,41589279.0,37001.0,186722.0,149721.0,37001.0,9553.0,14647026.0,73.0
64,E007022,E007102,E007111,2008JJ00,420030.0,3050075.0,274347.0,7723831.0,121717.0,420030.0,96535.0,11247.0,190532.0,121717.0,181093.0,40100258.0,36732.0,181093.0,144361.0,36732.0,9539.0,13268026.0,67.0
