ID,SBI93,Perioden,Winning_1,EnergieAanvoer_2,EnergieAflevering_3,AanvoerMinusAflevering_4,Voorraadmutatie_5,Verbruikssaldo_6,TotaalInzet_7,InzetElektriciteitWKKOmzetting_8,InzetAndereOmzetting_9,TotaalProductie_10,ProductieElektriciteitWKKOmzetting_11,ProductieAndereOmzetting_12,TotaalSaldoEnergieomzetting_13,SaldoElektriciteitWKKOmzetting_14,SaldoAndereOmzetting_15,TotaalFinaalVerbruik_16,FinaalEnergieverbruik_17,NietEnergetischGebruik_18
0,1     ,2000KW01,887.4,3869.6,3908.3,-38.7,15.7,864.4,1190.7,236.6,954.2,1074.5,140.0,934.5,116.2,96.6,19.7,748.2,631.8,116.4
1,1     ,2000KW02,463.1,3569.9,3286.7,283.1,-71.0,675.2,1101.4,210.4,891.0,991.7,119.9,871.8,109.7,90.5,19.2,565.5,439.5,126.0
2,1     ,2000KW03,346.1,3630.3,3299.4,330.9,-28.8,648.2,1197.4,214.9,982.6,1074.4,119.9,954.5,123.0,95.0,28.0,525.2,395.5,129.6
3,1     ,2000KW04,704.4,4064.0,3891.3,172.7,-14.3,862.8,1309.6,234.1,1075.5,1183.5,139.4,1044.1,126.1,94.7,31.4,736.7,612.7,124.0
4,1     ,2000JJ00,2401.0,15133.8,14385.7,748.0,-98.4,3050.6,4799.1,896.0,3903.3,4324.1,519.2,3804.9,475.0,376.8,98.3,2575.6,2079.5,496.0
5,1     ,2001KW01,894.3,4172.6,4105.1,67.5,-35.6,926.2,1244.7,248.3,996.4,1112.1,145.3,966.9,132.6,103.0,29.6,793.7,667.1,126.5
6,1     ,2001KW02,515.1,3767.5,3609.0,158.4,26.5,700.1,1213.5,223.7,989.7,1088.8,125.2,963.6,124.6,98.5,26.2,575.4,453.2,122.2
7,1     ,2001KW03,380.4,3733.2,3407.0,326.2,-44.1,662.4,1200.7,222.2,978.5,1074.1,121.3,952.8,126.6,100.9,25.7,535.9,406.4,129.5
8,1     ,2001KW04,772.8,3899.9,3859.1,40.8,41.8,855.5,1251.9,246.2,1005.7,1121.1,141.0,980.1,130.7,105.2,25.5,724.8,599.3,125.4
9,1     ,2001JJ00,2562.6,15573.2,14980.2,592.9,-11.4,3144.2,4910.8,940.4,3970.3,4396.1,532.8,3863.4,514.5,407.6,107.0,2629.8,2126.0,503.6
10,1     ,2002KW01,845.2,4148.6,4083.1,65.5,-16.8,893.8,1273.5,248.7,1024.8,1144.6,145.7,998.9,128.9,103.1,25.8,764.9,638.7,126.2
11,1     ,2002KW02,489.4,3743.7,3554.8,188.9,15.4,693.8,1173.7,225.2,948.6,1045.8,124.9,920.9,127.9,100.3,27.7,565.9,443.5,122.3
12,1     ,2002KW03,405.7,3623.8,3431.9,191.9,60.1,657.8,1210.0,224.6,985.5,1082.8,123.4,959.5,127.2,101.2,26.0,530.8,406.0,124.8
13,1     ,2002KW04,777.9,4241.4,4124.6,116.8,3.9,898.7,1250.0,253.5,996.5,1114.8,145.7,969.2,135.1,107.8,27.3,763.5,628.5,135.0
14,1     ,2002JJ00,2518.2,15757.5,15194.4,563.1,62.6,3144.1,4907.2,952.0,3955.4,4388.0,539.7,3848.5,519.1,412.4,106.8,2625.1,2116.7,508.3
15,1     ,2003KW01,918.8,4112.3,4144.2,-31.9,47.4,934.3,1253.4,254.4,999.0,1122.1,148.0,974.0,131.3,106.4,25.0,802.7,674.6,128.1
16,1     ,2003KW02,390.0,3850.4,3467.2,383.2,-57.6,715.7,1270.5,226.2,1044.3,1145.5,125.5,1020.0,124.9,100.7,24.3,590.9,451.8,139.0
