ID,EnergieafnemersSBI93,AantalBedrijven_1,GeenAardgasverbruik_2,k_05000_3,k_5000170000_4,k_1700001mln_5,k_1Mln10Mln_6,k_10Mln15Mln_7,k_15MlnEnMeer_8,TotaalAardgasverbruik_9,k_05000_10,k_5000170000_11,k_1700001mln_12,k_1Mln10Mln_13,k_10Mln15Mln_14,k_15MlnEnMeer_15,AantalBedrijven_16,GeenElektriciteitsverbruik_17,k_010000_18,k_1000050000_19,k_500001Mln_20,k_1Mln10Mln_21,k_10Mln20Mln_22,k_20Mln50Mln_23,k_50Mln100Mln_24,k_100MlnEnMeer_25,TotaalElektriciteitsverbruik_26,GeenElektriciteitsverbruik_27,k_010000_28,k_1000050000_29,k_500001Mln_30,k_1Mln10Mln_31,k_10Mln20Mln_32,k_20Mln50Mln_33,k_50Mln100Mln_34,k_100MlnEnMeer_35
0,100000,45400.0,4820.0,19685.0,19080.0,1215.0,475.0,40.0,85.0,9449.4,47.8,519.1,494.0,1439.4,479.8,6469.0,45400.0,1775.0,13940.0,16165.0,11580.0,1575.0,245.0,45.0,40.0,40.0,33499.0,-1387.7,98.2,386.1,2340.5,4926.6,4107.4,1625.8,2542.9,18858.7
1,991500,5070.0,160.0,415.0,4010.0,310.0,140.0,10.0,20.0,1910.6,1.3,114.1,140.1,448.9,150.7,1055.4,5070.0,85.0,150.0,2230.0,2150.0,360.0,65.0,5.0,10.0,5.0,4715.1,-126.3,0.6,67.1,376.0,1278.2,1132.6,248.7,810.7,927.5
2,991700,3430.0,580.0,1875.0,870.0,70.0,30.0,0.0,0.0,143.4,3.4,20.0,27.8,77.8,14.5,0.0,3430.0,310.0,1430.0,1185.0,430.0,75.0,5.0,0.0,0.0,0.0,494.2,0.0,4.4,24.3,89.2,248.5,67.4,60.4,0.0,0.0
3,992000,1915.0,235.0,825.0,835.0,20.0,0.0,0.0,0.0,42.4,1.8,20.6,5.9,0.0,14.0,0.0,1915.0,80.0,745.0,510.0,545.0,35.0,0.0,0.0,0.0,0.0,216.6,-6.7,5.4,13.0,114.0,74.8,16.0,0.0,0.0,0.0
4,992100,385.0,40.0,5.0,265.0,40.0,20.0,5.0,10.0,843.8,0.0,10.9,16.0,72.4,46.5,697.9,385.0,30.0,0.0,70.0,185.0,75.0,20.0,5.0,0.0,5.0,1331.2,-125.3,0.0,2.4,49.0,246.7,401.9,113.7,74.3,568.6
5,992200,7030.0,715.0,3745.0,2510.0,50.0,10.0,0.0,0.0,110.8,8.8,52.6,21.9,27.4,0.0,0.0,7030.0,185.0,2995.0,2170.0,1570.0,95.0,10.0,0.0,0.0,0.0,841.3,0.0,23.6,57.0,272.0,272.2,183.6,32.9,0.0,0.0
6,992300,35.0,15.0,0.0,10.0,5.0,5.0,0.0,5.0,629.6,0.0,0.4,1.4,17.4,0.0,610.4,35.0,15.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,5.0,-225.8,-839.2,0.0,0.1,3.7,12.6,15.0,48.0,0.0,534.0
7,992400,760.0,195.0,40.0,320.0,95.0,80.0,5.0,25.0,3444.0,0.1,14.8,39.8,273.7,82.4,3033.1,760.0,75.0,110.0,130.0,240.0,120.0,45.0,10.0,15.0,20.0,9817.9,-289.8,0.1,3.7,74.5,462.7,742.7,479.6,958.0,7386.4
8,992500,1190.0,185.0,290.0,610.0,85.0,20.0,0.0,0.0,144.9,1.0,22.3,33.1,64.4,24.1,0.0,1190.0,75.0,55.0,400.0,455.0,170.0,30.0,5.0,0.0,0.0,1468.2,0.0,0.4,14.8,118.0,642.2,442.7,188.6,61.5,0.0
9,992600,1865.0,235.0,785.0,680.0,75.0,70.0,5.0,15.0,879.6,2.3,20.4,34.5,238.5,73.9,509.9,1865.0,105.0,145.0,980.0,480.0,125.0,25.0,0.0,5.0,5.0,1865.2,0.0,1.0,15.3,123.1,353.4,334.9,82.1,332.7,622.7
10,992700,245.0,45.0,55.0,95.0,20.0,25.0,5.0,5.0,589.8,0.1,4.5,7.4,71.2,62.0,444.5,245.0,30.0,50.0,40.0,65.0,35.0,15.0,5.0,5.0,5.0,8637.2,0.0,0.2,1.1,20.8,118.0,243.7,101.2,180.6,7971.4
11,992800,6840.0,560.0,2990.0,3100.0,165.0,30.0,0.0,0.0,216.2,5.9,84.5,64.4,61.4,0.0,0.0,6840.0,105.0,2480.0,1900.0,2180.0,170.0,5.0,0.0,0.0,0.0,1123.2,0.0,17.8,51.8,433.7,424.4,121.5,73.9,0.0,0.0
12,992900,4390.0,520.0,1880.0,1870.0,110.0,10.0,0.0,0.0,125.7,5.2,60.2,37.1,23.2,0.0,0.0,4390.0,260.0,855.0,1830.0,1340.0,100.0,5.0,0.0,0.0,0.0,647.0,0.0,5.8,36.2,279.0,245.5,80.6,0.0,0.0,0.0
13,993000,3610.0,490.0,1785.0,1275.0,40.0,15.0,0.0,0.0,173.2,3.8,29.8,14.4,25.7,0.0,99.5,3610.0,210.0,1410.0,1305.0,610.0,55.0,10.0,5.0,0.0,0.0,1386.9,-0.4,8.2,29.7,117.5,142.0,153.8,154.2,61.8,720.0
