ID,KnelpuntenInkoop,SBI93Bedrijfsgrootte,BedrijvenZonderElektronischeInkoop_1,BedrijvenMetElektronischeInkoop_2
0,1,  1,7,10
1,1,  2,7,10
2,1,  3,9,8
3,1,  4,6,9
4,1,  5,2,12
5,1,  6,21,24
6,1, 11,0,0
7,1,  7,10,9
8,1,  8,11,7
9,1,  9,8,10
10,1, 10,6,9
11,1, 12,13,6
12,1, 13,14,4
13,1, 14,10,10
14,1, 15,14,5
15,1, 16,9,14
16,1, 17,7,16
17,1, 18,13,10
18,1, 19,4,8
19,1, 20,9,3
20,1, 21,9,1
21,1, 22,9,2
22,1, 23,11,15
23,1, 24,4,6
24,1, 25,3,6
25,1, 26,5,5
26,1, 27,7,5
27,1, 28,3,10
28,1, 29,2,12
29,1, 30,4,5
30,1, 31,4,12
31,1, 32,8,11
32,1, 33,5,9
33,1, 34,8,8
34,1, 35,9,9
35,1, 36,5,10
36,1, 37,8,7
37,1, 38,6,12
38,2,  1,3,5
39,2,  2,4,6
40,2,  3,3,4
41,2,  4,2,2
42,2,  5,1,6
43,2,  6,4,0
44,2, 11,0,0
45,2,  7,5,6
46,2,  8,7,5
47,2,  9,3,10
48,2, 10,2,3
49,2, 12,9,5
50,2, 13,9,6
51,2, 14,7,3
52,2, 15,3,2
53,2, 16,2,7
54,2, 17,2,8
55,2, 18,2,3
56,2, 19,5,1
57,2, 20,5,4
58,2, 21,6,6
59,2, 22,3,1
60,2, 23,0,0
61,2, 24,2,3
62,2, 25,2,4
63,2, 26,1,2
64,2, 27,2,2
65,2, 28,1,3
66,2, 29,1,3
67,2, 30,2,2
68,2, 31,2,2
69,2, 32,4,6
70,2, 33,3,6
71,2, 34,3,4
72,2, 35,4,2
73,2, 36,2,1
74,2, 37,3,2
75,2, 38,2,2
76,3,  1,5,12
77,3,  2,5,14
78,3,  3,5,9
79,3,  4,4,9
80,3,  5,4,10
81,3,  6,8,0
82,3, 11,0,12
83,3,  7,8,12
84,3,  8,11,11
85,3,  9,5,13
86,3, 10,4,11
87,3, 12,9,20
88,3, 13,9,25
89,3, 14,8,8
90,3, 15,5,16
91,3, 16,3,12
92,3, 17,2,14
93,3, 18,4,8
94,3, 19,5,5
95,3, 20,6,7
96,3, 21,6,8
97,3, 22,7,3
98,3, 23,7,12
99,3, 24,4,12
100,3, 25,4,13
101,3, 26,5,8
102,3, 27,2,9
103,3, 28,3,12
104,3, 29,2,14
105,3, 30,0,11
106,3, 31,4,7
107,3, 32,6,14
108,3, 33,4,13
109,3, 34,5,10
110,3, 35,5,9
111,3, 36,4,9
112,3, 37,6,9
113,3, 38,2,8
114,4,  1,5,6
115,4,  2,5,7
116,4,  3,5,6
117,4,  4,4,6
118,4,  5,2,14
119,4,  6,4,0
120,4, 11,0,12
121,4,  7,8,10
122,4,  8,9,10
123,4,  9,6,10
124,4, 10,5,6
125,4, 12,6,9
126,4, 13,6,10
127,4, 14,6,6
128,4, 15,9,12
129,4, 16,6,7
130,4, 17,6,7
131,4, 18,7,6
132,4, 19,5,5
133,4, 20,2,6
134,4, 21,0,8
135,4, 22,6,0
136,4, 23,1,12
137,4, 24,3,4
138,4, 25,3,3
139,4, 26,1,5
140,4, 27,3,8
141,4, 28,3,4
142,4, 29,3,6
143,4, 30,2,3
144,4, 31,2,1
145,4, 32,5,6
146,4, 33,4,7
147,4, 34,4,6
148,4, 35,7,5
149,4, 36,4,6
150,4, 37,5,6
151,4, 38,4,4
152,5,  1,4,9
153,5,  2,4,10
154,5,  3,5,8
155,5,  4,4,6
156,5,  5,4,9
157,5,  6,4,0
158,5, 11,0,9
159,5,  7,8,8
160,5,  8,11,7
161,5,  9,4,11
162,5, 10,4,5
163,5, 12,8,11
164,5, 13,8,12
165,5, 14,9,7
166,5, 15,7,12
167,5, 16,1,10
168,5, 17,1,12
169,5, 18,2,7
170,5, 19,7,4
171,5, 20,6,8
172,5, 21,4,7
173,5, 22,10,10
174,5, 23,3,7
175,5, 24,4,9
176,5, 25,4,10
177,5, 26,5,8
178,5, 27,3,7
179,5, 28,3,9
180,5, 29,1,12
181,5, 30,5,5
182,5, 31,3,5
183,5, 32,4,11
184,5, 33,5,10
185,5, 34,5,7
186,5, 35,6,10
187,5, 36,4,6
188,5, 37,5,4
189,5, 38,3,6
190,6,  1,12,13
191,6,  2,12,13
192,6,  3,13,14
193,6,  4,11,14
194,6,  5,10,18
195,6,  6,23,31
196,6, 11,12,6
197,6,  7,17,13
198,6,  8,17,10
199,6,  9,18,14
200,6, 10,12,20
201,6, 12,15,15
202,6, 13,15,15
203,6, 14,15,16
204,6, 15,22,20
205,6, 16,12,12
206,6, 17,12,12
207,6, 18,14,15
208,6, 19,9,10
209,6, 20,15,15
210,6, 21,18,15
211,6, 22,9,13
212,6, 23,5,17
213,6, 24,10,12
214,6, 25,10,13
215,6, 26,10,8
216,6, 27,9,10
217,6, 28,5,15
218,6, 29,5,16
219,6, 30,5,15
220,6, 31,8,11
221,6, 32,13,15
222,6, 33,11,10
223,6, 34,13,12
224,6, 35,12,17
225,6, 36,11,14
226,6, 37,12,16
227,6, 38,7,10
