ID,Logiesvormen,Toeristengebieden,Perioden,AlleLanden_1,Nederland_2,Buitenland_3,AlleLanden_4,Nederland_5,Buitenland_6
0,TOT,NL01  ,1998JJ00,23688.0,14377.2,9310.8,76796.3,51828.1,24968.2
1,TOT,NL01  ,1999JJ00,25569.3,15688.3,9881.0,83297.9,55822.2,27475.7
2,TOT,NL01  ,2000JJ00,25876.4,15873.3,10003.1,82571.4,55310.3,27261.1
3,TOT,NL01  ,2001JJ00,25185.6,15685.7,9499.9,80474.7,54973.0,25501.7
4,TOT,NL01  ,2002JJ00,25164.3,15569.0,9595.3,82371.4,56003.7,26367.7
5,TOT,NL01  ,2003JJ00,24942.3,15761.6,9180.6,81205.9,55864.3,25341.5
6,TOT,NL01  ,2004JJ00,25667.4,16021.2,9646.2,80902.9,55518.4,25384.6
7,TOT,NL01  ,2005JJ00,26194.0,16182.1,10011.8,80160.7,54950.7,25210.0
8,TOT,NL01  ,2006JJ00,28503.3,17764.7,10738.6,83943.4,57056.8,26886.6
9,TOT,NL01  ,2007JJ00,30260.2,19252.3,11008.0,88267.0,60314.8,27952.2
10,TOT,NL01  ,2008JJ00,29102.1,18997.8,10104.3,84452.3,59184.7,25267.5
11,TOT,NL01  ,2009JJ00,28959.7,19039.0,9920.7,84516.1,59502.4,25013.7
12,TOT,NL01  ,2010JJ00,30008.3,19125.3,10883.1,84873.1,58073.3,26799.8
13,TOT,NL01  ,2011JJ00,30666.9,19367.4,11299.5,85368.5,57629.4,27739.1
14,TOT,NL01  ,2012JJ00,31312.9,19633.3,11679.6,84163.6,56265.2,27898.4
15,TOT,TR01  ,1998JJ00,953.1,738.1,215.0,5302.8,3701.6,1601.1
16,TOT,TR01  ,1999JJ00,1160.6,896.1,264.5,6229.5,4237.7,1991.8
17,TOT,TR01  ,2000JJ00,1088.1,877.7,210.4,5395.0,3954.9,1440.1
18,TOT,TR01  ,2001JJ00,1141.3,885.8,255.5,5548.2,4049.1,1499.1
19,TOT,TR01  ,2002JJ00,1118.3,879.8,238.5,5664.5,4055.2,1609.3
20,TOT,TR01  ,2003JJ00,1082.8,891.9,190.9,5528.0,4189.5,1338.6
21,TOT,TR01  ,2004JJ00,1063.6,860.0,203.6,5324.4,3907.2,1417.2
22,TOT,TR01  ,2005JJ00,1063.8,881.2,182.6,4900.4,3681.1,1219.3
23,TOT,TR01  ,2006JJ00,1203.9,973.7,230.2,5146.4,3796.2,1350.1
24,TOT,TR01  ,2007JJ00,1170.4,966.4,204.1,5255.1,3974.3,1280.7
25,TOT,TR01  ,2008JJ00,1137.3,938.4,198.9,4980.9,3845.7,1135.2
26,TOT,TR01  ,2009JJ00,1209.5,1001.7,207.9,5096.5,3962.3,1134.2
