ID,RegioS,VerblijfsrecreatieveLogiesvormen,Perioden,AlleLanden_1,Nederland_2,Buitenland_3,AlleLanden_4,Nederland_5,Buitenland_6
0,NL01  ,100,1998JJ00,9194.9,7315.7,1879.2,49178.7,38904.5,10274.1
1,NL01  ,100,1999JJ00,10396.9,8072.6,2324.4,53978.2,41762.7,12215.5
2,NL01  ,100,2000JJ00,10337.5,8072.8,2264.7,52849.1,41283.1,11566.0
3,NL01  ,100,2001JJ00,10139.9,8085.1,2054.9,51911.5,41364.6,10546.9
4,NL01  ,100,2002JJ00,10216.4,8053.9,2162.5,53856.9,42410.7,11446.2
5,NL01  ,100,2003JJ00,10632.4,8382.3,2250.1,54023.7,42480.5,11543.2
6,NL01  ,100,2004JJ00,10155.4,8110.3,2045.1,52525.9,41757.8,10768.1
7,NL01  ,100,2005JJ00,9812.4,7881.3,1931.1,50642.2,40575.4,10066.8
8,NL01  ,100,2006JJ00,10473.1,8301.6,2171.4,52184.1,41273.7,10910.4
9,NL01  ,100,2007JJ00,11031.3,8736.5,2294.8,54108.5,42484.0,11624.5
10,NL01  ,100,2008JJ00,10606.3,8536.7,2069.6,51833.7,41527.6,10306.1
11,NL01  ,100,2009JJ00,11113.3,8946.8,2166.5,53035.1,42450.0,10585.1
12,NL01  ,100,2010JJ00,10783.1,8626.6,2156.5,51165.7,40540.8,10624.9
13,NL01  ,100,2011JJ00,10791.1,8518.3,2272.7,50792.8,39738.9,11053.9
14,NL01  ,100,2012JJ00,10842.7,8520.0,2322.7,48745.9,37913.0,10832.9
15,NL01  ,110,1998JJ00,3176.7,2449.8,726.8,20507.1,17010.5,3496.6
16,NL01  ,110,1999JJ00,3825.7,2824.5,1001.2,22839.0,18187.2,4651.8
17,NL01  ,110,2000JJ00,3518.0,2593.2,924.9,20933.8,16877.5,4056.3
18,NL01  ,110,2001JJ00,3369.5,2561.5,808.0,20418.8,16748.1,3670.7
19,NL01  ,110,2002JJ00,3482.0,2583.2,898.7,21468.2,17377.8,4090.3
20,NL01  ,110,2003JJ00,4007.1,2966.6,1040.4,23146.3,18367.0,4779.3
21,NL01  ,110,2004JJ00,3538.9,2714.8,824.1,22508.8,18505.9,4002.8
22,NL01  ,110,2005JJ00,3472.7,2700.8,771.9,22116.9,18375.5,3741.4
23,NL01  ,110,2006JJ00,3521.1,2715.1,806.0,21250.7,17397.4,3853.3
24,NL01  ,110,2007JJ00,3603.2,2735.8,867.4,20823.5,16847.3,3976.2
25,NL01  ,110,2008JJ00,3197.5,2515.8,681.7,18810.9,15709.0,3101.9
26,NL01  ,110,2009JJ00,3548.7,2793.1,755.6,20084.7,16631.3,3453.3
27,NL01  ,110,2010JJ00,3482.9,2749.3,733.6,19297.4,16043.7,3253.7
28,NL01  ,110,2011JJ00,3422.0,2676.4,745.5,18817.0,15487.2,3329.8
29,NL01  ,110,2012JJ00,3440.0,2711.0,729.0,17413.8,14323.1,3090.7
30,NL01  ,120,1998JJ00,4800.6,3750.7,1049.9,24709.4,18563.0,6146.4
31,NL01  ,120,1999JJ00,5290.3,4063.8,1226.5,27305.2,20355.2,6950.0
32,NL01  ,120,2000JJ00,5604.1,4347.6,1256.5,28204.1,21224.4,6979.7
33,NL01  ,120,2001JJ00,5538.8,4374.0,1164.8,27865.9,21457.7,6408.1
34,NL01  ,120,2002JJ00,5409.5,4265.7,1143.8,28171.4,21550.1,6621.4
35,NL01  ,120,2003JJ00,5249.0,4118.9,1130.1,26796.3,20526.0,6270.3
36,NL01  ,120,2004JJ00,5178.1,4062.3,1115.8,25934.1,19743.6,6190.5
37,NL01  ,120,2005JJ00,4937.3,3882.3,1054.9,24468.1,18710.7,5757.4
38,NL01  ,120,2006JJ00,5523.9,4283.3,1240.6,26813.3,20375.5,6437.8
39,NL01  ,120,2007JJ00,5989.3,4643.4,1345.9,29283.1,22102.3,7180.8
40,NL01  ,120,2008JJ00,5997.4,4715.5,1281.9,29174.4,22445.0,6729.4
41,NL01  ,120,2009JJ00,6118.8,4828.8,1290.1,29051.1,22426.1,6625.0
42,NL01  ,120,2010JJ00,5906.9,4583.5,1323.4,27994.3,21176.9,6817.3
43,NL01  ,120,2011JJ00,6132.9,4696.4,1436.5,28601.1,21282.5,7318.6
44,NL01  ,120,2012JJ00,6140.3,4639.2,1501.1,27979.9,20648.9,7331.0
45,NL01  ,130,1998JJ00,1217.6,1115.1,102.5,3962.1,3331.0,631.2
46,NL01  ,130,1999JJ00,1281.0,1184.3,96.7,3834.0,3220.3,613.7
47,NL01  ,130,2000JJ00,1215.4,1132.1,83.3,3711.1,3181.1,530.0
48,NL01  ,130,2001JJ00,1231.7,1149.6,82.1,3626.8,3158.7,468.1
