ID,Huishoudkenmerken,Perioden,TotaleBestedingenPerHuishouden_1,TotaleBestedingenAanEnergie_2,Aardgas_3,Elektriciteit_4,Motorbrandstoffen_5,TotaalEnergie_6,Aardgas_7,Elektriciteit_8,Motorbrandstoffen_9,VerbruikGasM3_10,VerbruikElektriciteitKWh_11
0,01,1992JJ00,18610,1230,435,230,505,66,23,12,27,1800,2805
1,01,1993JJ00,19395,1245,415,240,535,64,21,12,28,1890,2835
2,01,1994JJ00,19630,1255,395,245,555,64,20,12,28,1750,2830
3,01,1995JJ00,19990,1255,395,255,550,63,20,13,28,1790,2870
4,01,1996JJ00,20570,1410,470,290,600,69,23,14,29,2050,2940
5,01,1997JJ00,21285,1535,450,290,740,72,21,14,35,1715,2925
6,01,1998JJ00,22205,1500,435,290,720,68,20,13,32,1650,2975
7,01,1999JJ00,23175,1515,410,315,740,65,18,14,32,1620,2970
8,01,2000JJ00,24745,1795,440,370,925,73,18,15,37,1595,3085
9,02,1992JJ00,11215,760,280,140,230,68,25,13,21,1160,1685
10,02,1993JJ00,11655,775,275,160,265,66,24,14,23,1265,1855
11,02,1994JJ00,12040,785,270,155,270,65,22,13,22,1190,1745
12,02,1995JJ00,12420,780,285,165,250,63,23,13,20,1290,1820
13,02,1996JJ00,13070,905,350,185,295,69,27,14,23,1530,1865
14,02,1997JJ00,13355,965,335,190,350,72,25,14,26,1290,1855
15,02,1998JJ00,13955,930,320,180,355,66,23,13,25,1235,1830
16,02,1999JJ00,14845,980,340,210,370,66,23,14,25,1360,1975
17,02,2000JJ00,14925,1060,315,220,455,71,21,15,30,1170,1855
18,03,1992JJ00,19755,1325,465,220,590,67,24,11,30,1920,2650
19,03,1993JJ00,20325,1330,440,235,605,66,22,11,30,2020,2745
20,03,1994JJ00,20950,1360,425,240,625,65,20,11,30,1895,2790
21,03,1995JJ00,21165,1350,420,250,625,64,20,12,30,1895,2810
22,03,1996JJ00,21985,1510,490,285,690,69,22,13,31,2135,2895
23,03,1997JJ00,22630,1645,475,290,835,73,21,13,37,1810,2900
24,03,1998JJ00,24090,1680,470,290,875,70,20,12,36,1775,2965
25,03,1999JJ00,25070,1680,415,310,895,67,17,12,36,1655,2920
26,03,2000JJ00,27375,2000,480,385,1085,73,18,14,40,1725,3170
27,04,1992JJ00,21750,1450,495,285,625,67,23,13,29,2040,3520
28,04,1993JJ00,23260,1465,465,280,660,63,20,12,28,2140,3315
29,04,1994JJ00,23930,1555,475,305,740,65,20,13,31,2100,3485
30,04,1995JJ00,25125,1620,465,320,800,65,18,13,32,2100,3665
31,04,1996JJ00,25005,1715,555,350,755,69,22,14,30,2420,3625
32,04,1997JJ00,26300,1935,530,355,1005,73,20,13,38,2025,3590
33,04,1998JJ00,26870,1790,490,370,875,67,18,14,33,1855,3830
34,04,1999JJ00,28200,1810,450,385,930,64,16,14,33,1775,3625
35,04,2000JJ00,29185,2170,510,455,1170,74,17,16,40,1810,3740
36,05,1992JJ00,23875,1605,550,325,700,67,23,14,29,2280,3940
37,05,1993JJ00,25600,1585,510,325,720,62,20,13,28,2340,3900
