ID,BronTechniek,Perioden,Elektriciteitsproductie_1,AandeelInTotaalElektriciteitsverbruik_2,Elektriciteitsproductie_3,AandeelInTotaalElektriciteitsverbruik_4,Elektriciteitsproductie_5,AandeelInTotaalElektriciteitsverbruik_6,Elektriciteit_7,AandeelInTotaalElektriciteitsverbruik_8,Elektriciteit_9,AandeelInTotaalElektriciteitsverbruik_10
0,10000,1990JJ00,811.0,1.0,811.0,1.0,720.0,0.92,,,,
1,10000,1991JJ00,933.0,1.12,943.0,1.13,846.0,1.05,,,,
2,10000,1992JJ00,992.0,1.15,1019.0,1.19,893.0,1.07,,,,
3,10000,1993JJ00,1138.0,1.3,1130.0,1.29,952.0,1.13,,,,
4,10000,1994JJ00,1260.0,1.4,1278.0,1.42,1087.0,1.25,,,,
5,10000,1995JJ00,1431.0,1.55,1423.0,1.54,1214.0,1.36,,,,
6,10000,1996JJ00,1849.0,1.93,1835.0,1.91,1576.0,1.71,,,,
7,10000,1997JJ00,2049.0,2.06,2032.0,2.05,1725.0,1.8,,,,
8,10000,1998JJ00,2264.0,2.2,2347.0,2.28,2018.0,2.03,,,,
9,10000,1999JJ00,2534.0,2.41,2531.0,2.41,2187.0,2.15,,,,
10,10000,2000JJ00,2873.0,2.65,3000.0,2.76,2650.0,2.53,,,,
11,10000,2001JJ00,3310.0,2.98,3330.0,3.0,2979.0,2.78,,,,
12,10000,2002KW01,,,1036.0,3.6,938.0,3.38,137.0,0.49,,
13,10000,2002KW02,,,872.0,3.25,790.0,3.05,2003.0,7.74,,
14,10000,2002KW03,,,950.0,3.48,860.0,3.26,2638.0,10.01,,
15,10000,2002KW04,,,1140.0,3.88,1033.0,3.63,3371.0,11.86,,
16,10000,2002JJ00,4064.0,3.62,3999.0,3.56,3621.0,3.34,8149.0,7.51,,
17,10000,2003KW01,,,976.0,3.31,891.0,3.12,2281.0,8.0,,
18,10000,2003KW02,,,906.0,3.36,827.0,3.17,2426.0,9.32,,
19,10000,2003KW03,,,948.0,3.47,866.0,3.29,1800.0,6.83,,
20,10000,2003KW04,,,1157.0,3.86,1056.0,3.64,3206.0,11.04,,
21,10000,2003JJ00,4054.0,3.56,3987.0,3.5,3640.0,3.31,9713.0,8.83,,
22,10000,2004KW01,,,1267.0,4.14,1175.0,3.95,2385.0,8.01,,
23,10000,2004KW02,,,1062.0,3.77,986.0,3.63,2501.0,9.21,,
24,10000,2004KW03,,,1313.0,4.58,1218.0,4.44,1988.0,7.24,,
25,10000,2004KW04,,,1689.0,5.41,1567.0,5.18,3588.0,11.86,,
26,10000,2004JJ00,5228.0,4.41,5331.0,4.49,4946.0,4.31,10462.0,9.13,3.0,0.0
27,10000,2005KW01,,,2192.0,7.06,2054.0,6.87,2003.0,6.7,,
28,10000,2005KW02,,,1761.0,6.24,1650.0,6.05,1492.0,5.47,,
29,10000,2005KW03,,,1613.0,5.71,1511.0,5.5,2267.0,8.26,,
30,10000,2005KW04,,,1902.0,6.11,1782.0,5.97,4037.0,13.52,,
31,10000,2005JJ00,7448.0,6.27,7468.0,6.29,6996.0,6.11,9799.0,8.56,26.0,0.02
32,10000,2006KW01,,,2246.0,7.03,2106.0,6.9,1430.0,4.68,,
33,10000,2006KW02,,,2311.0,8.16,2168.0,7.78,1971.0,7.07,,
34,10000,2006KW03,,,1371.0,4.77,1286.0,4.69,1151.0,4.2,,
35,10000,2006KW04,,,2139.0,6.84,2006.0,6.63,4559.0,15.05,,
36,10000,2006JJ00,7866.0,6.54,8065.0,6.7,7566.0,6.52,9110.0,7.85,186.0,0.16
37,10000,2007KW01,,,2157.0,6.66,2021.0,6.47,1857.0,5.95,,
38,10000,2007KW02,,,1543.0,5.33,1446.0,5.16,1757.0,6.27,,
39,10000,2007KW03,,,1878.0,6.46,1759.0,6.25,2334.0,8.3,,
40,10000,2007KW04,,,2021.0,6.25,1893.0,6.09,6324.0,20.36,,
41,10000,2007JJ00,7320.0,5.96,7600.0,6.19,7118.0,6.01,12271.0,10.36,233.0,0.2
42,10000,2008KW01,,,2877.0,8.67,2691.0,8.39,5223.0,16.29,360.0,1.12
43,10000,2008KW02,,,1743.0,5.97,1630.0,5.79,3917.0,13.91,261.0,0.93
44,10000,2008KW03,,,2149.0,7.37,2010.0,7.15,3405.0,12.1,213.0,0.76
45,10000,2008KW04,,,2780.0,8.54,2600.0,8.29,6379.0,20.35,642.0,2.05
46,10000,2008JJ00,9212.0,7.43,9549.0,7.7,8931.0,7.46,18924.0,15.81,1476.0,1.23
47,10000,2009KW01,,,2797.0,8.85,2614.0,8.63,4616.0,15.24,82.0,0.27
