ID,Perioden,TotaleInvoerwaarde_1,TotaalAfrika_2,TotaalAmerika_3,VerenigdeStaten_4,TotaalEuropa_5,Frankrijk_6,BelgieEnLuxemburg_7,Duitsland_8,Italie_9,VerenigdKoninkrijk_10,RussischeFederatie_11,OverigeIntraHandel_12,TotaalAzie_13,China_14,Indonesie_15,Japan_16,SaoediArabie_17,TotaalAustralieEnOceanie_18,OverigeExtraHandel_19,TotaleUitvoerwaarde_20,TotaalAfrika_21,TotaalAmerika_22,VerenigdeStaten_23,TotaalEuropa_24,Frankrijk_25,BelgieEnLuxemburg_26,Duitsland_27,Italie_28,VerenigdKoninkrijk_29,RussischeFederatie_30,OverigeIntraHandel_31,TotaalAzie_32,China_33,Indonesie_34,Japan_35,SaoediArabie_36,TotaalAustralieEnOceanie_37,OverigeExtraHandel_38,TotaleInvoerwaarde_39,VoedingDrankenEnTabak_40,GrondstoffenOlienEnVetten_41,MineraleBrandstoffen_42,ChemischeProducten_43,Fabricaten_44,Machines_45,TotaleUitvoerwaarde_46,VoedingDrankenEnTabak_47,GrondstoffenOlienEnVetten_48,MineraleBrandstoffen_49,ChemischeProducten_50,Fabricaten_51,Machines_52,Invoerwaarde_53,Uitvoerwaarde_54
0,1917JJ00,440.0,5.0,123.0,90.0,261.0,1.0,10.0,112.0,1.0,87.0,,,,1.0,46.0,,,,,373.0,5.0,22.0,17.0,323.0,10.0,29.0,144.0,,93.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,
1,1918JJ00,280.0,1.0,14.0,11.0,261.0,1.0,6.0,146.0,,24.0,2.0,,,,2.0,,,,,175.0,3.0,10.0,6.0,156.0,5.0,9.0,70.0,1.0,34.0,2.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
2,1919JJ00,1286.0,13.0,381.0,249.0,696.0,19.0,100.0,406.0,3.0,269.0,10.0,,,11.0,149.0,8.0,,,,647.0,4.0,33.0,26.0,539.0,22.0,84.0,262.0,5.0,220.0,13.0,,,1.0,21.0,,,,,,,,,,,,,,,,,,,,
3,1920JJ00,1518.0,40.0,394.0,239.0,933.0,36.0,146.0,410.0,4.0,252.0,2.0,,150.0,8.0,109.0,13.0,,2.0,,781.0,25.0,60.0,35.0,560.0,28.0,82.0,191.0,5.0,149.0,1.0,,134.0,3.0,21.0,1.0,,3.0,,1518.0,292.0,346.0,152.0,72.0,526.0,129.0,781.0,322.0,143.0,10.0,45.0,222.0,38.0,,
4,1921JJ00,1029.0,10.0,275.0,178.0,647.0,29.0,104.0,285.0,4.0,142.0,1.0,,96.0,5.0,59.0,9.0,,1.0,,628.0,9.0,34.0,21.0,480.0,39.0,78.0,115.0,5.0,160.0,2.0,,103.0,1.0,90.0,3.0,,2.0,,,,,,,,,,,,,,,,,
5,1922JJ00,922.0,11.0,209.0,123.0,622.0,26.0,87.0,276.0,5.0,147.0,3.0,,77.0,4.0,47.0,7.0,,3.0,,558.0,10.0,43.0,28.0,428.0,52.0,80.0,76.0,7.0,137.0,2.0,,74.0,1.0,60.0,1.0,,3.0,,,,,,,,,,,,,,,,,
6,1923JJ00,915.0,18.0,216.0,116.0,586.0,31.0,100.0,225.0,4.0,140.0,10.0,,92.0,6.0,52.0,7.0,,3.0,,595.0,14.0,52.0,31.0,460.0,57.0,64.0,85.0,6.0,163.0,1.0,,66.0,2.0,50.0,2.0,,3.0,,,,,,,,,,,,,,,,,
7,1924JJ00,1074.0,22.0,255.0,123.0,687.0,45.0,116.0,262.0,6.0,139.0,21.0,,105.0,6.0,61.0,7.0,,5.0,,766.0,18.0,47.0,26.0,631.0,51.0,69.0,213.0,8.0,188.0,5.0,,67.0,2.0,49.0,3.0,,3.0,,,,,,,,,,,,,,,,,
8,1925JJ00,1114.0,23.0,244.0,125.0,742.0,49.0,125.0,270.0,8.0,179.0,16.0,,100.0,5.0,62.0,9.0,,4.0,,821.0,21.0,60.0,32.0,652.0,39.0,75.0,213.0,10.0,212.0,8.0,,84.0,3.0,61.0,2.0,,4.0,,1114.0,325.0,280.0,78.0,53.0,312.0,66.0,821.0,405.0,123.0,32.0,46.0,176.0,39.0,,
9,1926JJ00,1109.0,25.0,255.0,117.0,707.0,51.0,124.0,303.0,8.0,105.0,18.0,,118.0,6.0,66.0,11.0,,4.0,,794.0,21.0,67.0,36.0,609.0,38.0,66.0,173.0,10.0,219.0,1.0,,93.0,3.0,58.0,3.0,,5.0,,,,,,,,,,,,,,,,,
10,1927JJ00,1157.0,29.0,299.0,122.0,717.0,56.0,123.0,297.0,9.0,112.0,14.0,,106.0,6.0,53.0,15.0,,6.0,,862.0,25.0,64.0,29.0,671.0,59.0,72.0,211.0,12.0,206.0,2.0,,98.0,3.0,62.0,2.0,,5.0,,,,,,,,,,,,,,,,,
11,1928JJ00,1220.0,34.0,302.0,121.0,766.0,55.0,137.0,331.0,8.0,114.0,10.0,,113.0,6.0,64.0,9.0,,5.0,,903.0,29.0,71.0,31.0,680.0,56.0,79.0,212.0,17.0,196.0,2.0,,118.0,3.0,79.0,2.0,,5.0,,,,,,,,,,,,,,,,,
12,1929JJ00,1255.0,30.0,275.0,123.0,825.0,51.0,129.0,382.0,10.0,117.0,19.0,,123.0,6.0,66.0,9.0,,3.0,,910.0,27.0,81.0,32.0,663.0,53.0,94.0,207.0,14.0,185.0,1.0,,133.0,4.0,85.0,3.0,,6.0,,,,,,,,,,,,,,,,,
13,1930JJ00,1101.0,28.0,191.0,96.0,783.0,49.0,118.0,349.0,10.0,104.0,28.0,,97.0,4.0,44.0,11.0,,4.0,,784.0,22.0,60.0,22.0,593.0,62.0,88.0,163.0,9.0,172.0,2.0,,105.0,3.0,65.0,2.0,,5.0,,1101.0,236.0,250.0,89.0,54.0,361.0,112.0,784.0,315.0,117.0,50.0,41.0,180.0,82.0,,
14,1931JJ00,860.0,19.0,156.0,67.0,610.0,34.0,90.0,281.0,9.0,73.0,33.0,,72.0,4.0,34.0,9.0,,3.0,,597.0,15.0,37.0,15.0,472.0,53.0,79.0,114.0,6.0,144.0,2.0,,72.0,3.0,42.0,2.0,,2.0,,,,,,,,,,,,,,,,,
15,1932JJ00,593.0,11.0,116.0,39.0,409.0,25.0,61.0,182.0,7.0,54.0,16.0,,54.0,5.0,30.0,4.0,,2.0,,386.0,12.0,29.0,13.0,307.0,39.0,54.0,81.0,6.0,73.0,2.0,,35.0,2.0,23.0,1.0,,2.0,,,,,,,,,,,,,,,,,
16,1933JJ00,569.0,12.0,93.0,35.0,412.0,25.0,59.0,180.0,8.0,51.0,16.0,,50.0,5.0,25.0,4.0,,1.0,,342.0,10.0,33.0,15.0,270.0,34.0,48.0,73.0,6.0,58.0,2.0,,27.0,1.0,15.0,1.0,,1.0,,,,,,,,,,,,,,,,,
17,1934JJ00,490.0,10.0,88.0,31.0,338.0,21.0,52.0,142.0,7.0,46.0,12.0,,52.0,7.0,29.0,4.0,,1.0,,334.0,10.0,26.0,13.0,272.0,27.0,39.0,82.0,7.0,62.0,4.0,,25.0,1.0,14.0,,,1.0,,,,,,,,,,,,,,,,,
18,1935JJ00,444.0,13.0,88.0,29.0,293.0,21.0,51.0,113.0,6.0,44.0,10.0,,49.0,4.0,27.0,3.0,,1.0,,323.0,11.0,34.0,19.0,250.0,23.0,36.0,59.0,7.0,67.0,7.0,,26.0,,15.0,1.0,,2.0,,444.0,80.0,101.0,30.0,27.0,162.0,44.0,323.0,105.0,55.0,19.0,24.0,86.0,34.0,,
19,1936JJ00,486.0,16.0,97.0,33.0,309.0,20.0,59.0,112.0,1.0,52.0,10.0,,63.0,4.0,36.0,3.0,,1.0,,361.0,13.0,45.0,26.0,268.0,27.0,46.0,54.0,2.0,77.0,8.0,,32.0,1.0,20.0,1.0,,2.0,,486.0,86.0,121.0,33.0,29.0,173.0,44.0,361.0,123.0,59.0,21.0,25.0,100.0,33.0,,
20,1937JJ00,728.0,25.0,151.0,62.0,451.0,29.0,87.0,153.0,6.0,66.0,18.0,,54.0,5.0,58.0,4.0,,2.0,,546.0,19.0,63.0,34.0,396.0,36.0,64.0,81.0,5.0,115.0,10.0,,66.0,1.0,44.0,2.0,,3.0,,728.0,134.0,195.0,48.0,37.0,247.0,68.0,546.0,176.0,88.0,33.0,36.0,160.0,54.0,,
21,1938JJ00,663.0,21.0,143.0,70.0,415.0,31.0,78.0,141.0,6.0,58.0,18.0,,82.0,2.0,46.0,3.0,,2.0,,490.0,19.0,50.0,21.0,351.0,29.0,52.0,71.0,6.0,108.0,13.0,,67.0,,47.0,1.0,,3.0,,663.0,126.0,160.0,45.0,37.0,216.0,79.0,490.0,161.0,70.0,32.0,32.0,133.0,62.0,,
22,1939JJ00,708.0,19.0,142.0,67.0,472.0,36.0,105.0,167.0,7.0,58.0,10.0,,74.0,2.0,42.0,3.0,,2.0,,457.0,17.0,52.0,21.0,319.0,25.0,44.0,63.0,5.0,104.0,10.0,,66.0,,46.0,,,3.0,,708.0,113.0,158.0,54.0,44.0,252.0,87.0,457.0,151.0,64.0,29.0,32.0,122.0,59.0,,
23,1940JJ00,464.0,8.0,109.0,61.0,313.0,12.0,69.0,147.0,9.0,25.0,2.0,,33.0,1.0,25.0,1.0,,,,295.0,5.0,14.0,5.0,249.0,9.0,29.0,141.0,4.0,35.0,5.0,,24.0,,19.0,,,,,464.0,79.0,82.0,32.0,29.0,187.0,55.0,295.0,129.0,48.0,16.0,17.0,57.0,28.0,,
24,1941JJ00,338.0,,2.0,1.0,333.0,5.0,40.0,235.0,12.0,0.0,,,3.0,,3.0,,,,,288.0,,,,287.0,7.0,29.0,228.0,3.0,,,,1.0,,,,,,,338.0,20.0,47.0,18.0,34.0,164.0,54.0,288.0,116.0,32.0,16.0,8.0,83.0,33.0,,
25,1942JJ00,219.0,,,,217.0,8.0,24.0,148.0,6.0,0.0,,,,,,,,,,280.0,,,,280.0,12.0,20.0,220.0,3.0,,,,,,,,,,,219.0,16.0,35.0,15.0,29.0,92.0,31.0,280.0,69.0,41.0,10.0,14.0,102.0,44.0,,
26,1943JJ00,191.0,,,,191.0,12.0,19.0,129.0,4.0,0.0,1.0,,,,,,,,,291.0,,,,290.0,10.0,20.0,243.0,1.0,,,,,,,,,,,191.0,19.0,34.0,15.0,27.0,74.0,23.0,291.0,74.0,45.0,10.0,15.0,114.0,33.0,,
27,1944JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1945JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1946JJ00,1001.0,25.0,406.0,243.0,539.0,44.0,137.0,25.0,4.0,169.0,0.0,,25.0,,9.0,,0.0,7.0,,370.0,15.0,46.0,27.0,280.0,26.0,77.0,24.0,5.0,40.0,0.0,,29.0,1.0,12.0,,1.0,1.0,,1001.0,173.0,175.0,81.0,67.0,368.0,136.0,370.0,123.0,69.0,12.0,24.0,99.0,43.0,,
30,1947JJ00,1942.0,37.0,843.0,544.0,908.0,90.0,237.0,44.0,34.0,191.0,4.0,,140.0,8.0,89.0,,3.0,13.0,,859.0,42.0,73.0,28.0,620.0,63.0,134.0,26.0,25.0,110.0,3.0,,117.0,2.0,61.0,,1.0,8.0,,1942.0,315.0,432.0,147.0,112.0,595.0,341.0,859.0,282.0,108.0,20.0,72.0,226.0,150.0,,
31,1948JJ00,2253.0,62.0,724.0,391.0,1217.0,111.0,332.0,121.0,25.0,223.0,4.0,,229.0,3.0,152.0,,11.0,20.0,,1234.0,60.0,101.0,39.0,897.0,100.0,192.0,73.0,25.0,178.0,5.0,,160.0,1.0,91.0,,,15.0,,2253.0,431.0,519.0,170.0,117.0,691.0,325.0,1234.0,437.0,129.0,46.0,113.0,366.0,142.0,,
32,1949JJ00,2420.0,76.0,618.0,399.0,1413.0,162.0,346.0,164.0,34.0,282.0,27.0,,295.0,1.0,183.0,5.0,35.0,18.0,,1748.0,66.0,135.0,59.0,1259.0,124.0,232.0,187.0,34.0,285.0,9.0,,275.0,,178.0,1.0,3.0,12.0,,2420.0,387.0,575.0,210.0,122.0,750.0,377.0,1748.0,687.0,172.0,75.0,134.0,468.0,211.0,,
33,1950JJ00,3544.0,162.0,675.0,408.0,2115.0,168.0,652.0,436.0,34.0,372.0,4.0,,538.0,20.0,232.0,12.0,31.0,54.0,,2436.0,102.0,260.0,123.0,1777.0,110.0,330.0,503.0,32.0,358.0,1.0,,258.0,,144.0,1.0,1.0,39.0,,3544.0,617.0,839.0,350.0,157.0,1118.0,463.0,2436.0,931.0,239.0,168.0,186.0,631.0,281.0,,
34,1951JJ00,4402.0,181.0,844.0,486.0,2546.0,178.0,805.0,547.0,53.0,383.0,24.0,,783.0,30.0,349.0,17.0,22.0,48.0,,3362.0,154.0,437.0,204.0,2305.0,152.0,497.0,467.0,48.0,535.0,3.0,,379.0,,195.0,6.0,4.0,87.0,,4402.0,734.0,1101.0,507.0,202.0,1354.0,504.0,3362.0,1131.0,342.0,262.0,275.0,961.0,391.0,,
35,1952JJ00,3834.0,141.0,805.0,492.0,2203.0,130.0,658.0,537.0,35.0,355.0,44.0,,630.0,8.0,248.0,13.0,1.0,54.0,,3637.0,213.0,487.0,243.0,2416.0,159.0,568.0,507.0,59.0,455.0,8.0,,443.0,,213.0,7.0,7.0,78.0,,3834.0,632.0,837.0,594.0,151.0,1097.0,523.0,3637.0,1237.0,313.0,352.0,271.0,1050.0,413.0,,
36,1953JJ00,4096.0,186.0,743.0,408.0,2479.0,155.0,706.0,654.0,41.0,407.0,54.0,,646.0,26.0,226.0,12.0,,41.0,,3712.0,208.0,565.0,315.0,2448.0,167.0,574.0,522.0,69.0,399.0,39.0,,415.0,7.0,147.0,19.0,9.0,76.0,,4096.0,677.0,887.0,522.0,184.0,1215.0,611.0,3712.0,1234.0,314.0,327.0,261.0,1057.0,519.0,,
37,1954JJ00,4928.0,239.0,1026.0,583.0,2892.0,176.0,835.0,831.0,52.0,425.0,39.0,,728.0,11.0,245.0,15.0,1.0,42.0,,4162.0,242.0,575.0,285.0,2841.0,171.0,587.0,662.0,83.0,481.0,57.0,,399.0,2.0,121.0,16.0,10.0,105.0,,4928.0,827.0,1033.0,657.0,237.0,1405.0,770.0,4162.0,1333.0,350.0,447.0,296.0,1124.0,611.0,,
38,1955JJ00,5532.0,261.0,1180.0,750.0,3375.0,216.0,1001.0,978.0,58.0,471.0,52.0,,677.0,14.0,172.0,30.0,4.0,38.0,,4634.0,268.0,625.0,273.0,3192.0,223.0,640.0,796.0,113.0,573.0,27.0,,423.0,5.0,134.0,17.0,12.0,124.0,,5532.0,834.0,1043.0,786.0,265.0,1661.0,943.0,4634.0,1445.0,383.0,524.0,332.0,1276.0,673.0,,
39,1956JJ00,6424.0,265.0,1463.0,897.0,3933.0,214.0,1216.0,1156.0,76.0,525.0,73.0,,721.0,20.0,201.0,31.0,12.0,42.0,,4935.0,291.0,624.0,308.0,3418.0,270.0,700.0,898.0,127.0,578.0,14.0,,478.0,10.0,160.0,18.0,19.0,124.0,,6424.0,943.0,1112.0,966.0,298.0,1924.0,1181.0,4935.0,1492.0,447.0,603.0,373.0,1325.0,696.0,,
40,1957JJ00,7079.0,261.0,1670.0,930.0,4256.0,227.0,1278.0,1317.0,91.0,569.0,68.0,,849.0,17.0,208.0,45.0,30.0,42.0,,5341.0,303.0,632.0,274.0,3798.0,253.0,829.0,994.0,145.0,581.0,33.0,,474.0,10.0,141.0,25.0,15.0,134.0,,7079.0,999.0,1166.0,1194.0,345.0,2058.0,1316.0,5341.0,1499.0,447.0,764.0,454.0,1400.0,778.0,,
41,1958JJ00,6250.0,307.0,1265.0,705.0,3756.0,171.0,1116.0,1221.0,110.0,461.0,71.0,,882.0,29.0,142.0,51.0,38.0,41.0,,5548.0,324.0,711.0,312.0,3974.0,266.0,830.0,1060.0,152.0,660.0,19.0,,410.0,20.0,63.0,23.0,16.0,129.0,,6250.0,963.0,946.0,1060.0,345.0,1752.0,1184.0,5548.0,1541.0,424.0,729.0,470.0,1477.0,908.0,,
42,1959JJ00,6792.0,351.0,1269.0,749.0,4334.0,241.0,1247.0,1406.0,123.0,514.0,109.0,,796.0,38.0,125.0,33.0,36.0,42.0,,6218.0,330.0,763.0,357.0,4511.0,329.0,912.0,1345.0,168.0,667.0,21.0,,474.0,19.0,56.0,34.0,16.0,149.0,,6792.0,1054.0,1060.0,924.0,420.0,2042.0,1293.0,6218.0,1763.0,486.0,668.0,550.0,1664.0,1088.0,,
43,1960JJ00,7813.0,341.0,1542.0,1034.0,5020.0,299.0,1432.0,1684.0,165.0,537.0,77.0,,872.0,37.0,109.0,41.0,49.0,37.0,,6945.0,367.0,739.0,342.0,5165.0,409.0,991.0,1566.0,222.0,761.0,20.0,,520.0,12.0,57.0,39.0,17.0,153.0,,7813.0,1089.0,1173.0,1020.0,517.0,2350.0,1664.0,6945.0,1856.0,570.0,812.0,580.0,1843.0,1283.0,,
