ID,LandVanHerkomst,TypeAccommodatie,Perioden,Gasten_1,Overnachtingen_2,Bestedingen_3
0,20,3,2005SJ00 ,10012,25210,3545.0
1,20,1,2005SJ00 ,8081,15143,3102.0
2,20,2,2005SJ00 ,1931,10067,442.0
3,12,3,2005SJ00 ,918,2241,192.0
4,12,1,2005SJ00 ,597,862,
5,12,2,2005SJ00 ,320,1379,
6,11,3,2005SJ00 ,2570,9487,628.0
7,11,1,2005SJ00 ,1266,2240,
8,11,2,2005SJ00 ,1304,7248,
9,14,3,2005SJ00 ,527,985,139.0
10,14,1,2005SJ00 ,468,788,
11,14,2,2005SJ00 ,59,197,
12,13,3,2005SJ00 ,1853,4133,874.0
13,13,1,2005SJ00 ,1744,3440,
14,13,2,2005SJ00 ,109,693,
15,15,3,2005SJ00 ,697,1491,235.0
16,15,1,2005SJ00 ,639,1279,
17,15,2,2005SJ00 ,57,212,
18,17,3,2005SJ00 ,1339,2844,505.0
19,17,1,2005SJ00 ,1269,2558,
20,17,2,2005SJ00 ,70,286,
21,18,3,2005SJ00 ,872,1485,279.0
22,18,1,2005SJ00 ,868,1459,
23,18,2,2005SJ00 ,4,26,
24,19,3,2005SJ00 ,1238,2543,694.0
25,19,1,2005SJ00 ,1231,2516,
26,19,2,2005SJ00 ,7,27,
